"seq","suite","question","current_sha","current_status","closure","core_h3_count","boundary_h3_count","body_hit","hit_headings","adjudication","basis","old_v7_decision","terms","aliases","paper_source","rubric_source"
"1","2024一模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","2","0","True","L850 2024东城一模Q20 || L942 2024东城一模Q20","","","P0必须回源查细则-旧表未取到细则不能排除","经济全球化；开放型世界经济；贸易投资；两个市场；两种资源；供应链；产业链；高水平对外开放；制度型开放","2024一模 / 2024东城一模","C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必1.docx",""
"2","2024一模","Q22","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-选择题/分类汇编噪声","来源是按模块分类汇编中的选择题片段，未定位正式主观题第22题及评分细则。","P0必须回源查细则-旧表未取到细则不能排除","经济全球化；全球治理；人类命运共同体；供应链；产业链","2024一模","C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必1.docx",""
"3","2024丰台一模","Q18","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第18题(1)为哲学等级题，18(2)明示运用《经济与社会》；产业链、高水平对外开放只作跨书背景，不进入选必一主文。","P0必须回补-旧稿缺失但已有细则上下文","产业链；高水平对外开放","2024丰台一模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx"
"4","2024丰台一模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","4","0","True","L1032 2024丰台一模Q20供应链如何成为""共赢链"" || L1580 2024丰台一模Q20 || L1764 2024丰台一模Q20 || L1828 2024丰台一模Q20，","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；中国力量；供应链；高水平对外开放","2024丰台一模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf",""
"5","2024丰台一模","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","1","0","True","L5550 2024丰台一模Q21","","","P0必须回源查细则-旧表未取到细则不能排除","人类命运共同体；联合国；供应链","2024丰台一模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf",""
"6","2024丰台二模","Q19","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","4","0","True","L2907 2024丰台二模Q19 || L3298 2024丰台二模Q19中国""答卷""如何彰显大国担当 || L4171 2024丰台二模Q19 || L5360 2024丰台二模Q19","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；经济全球化；全球治理；人类命运共同体；中国智慧；中国方案；中国力量；国际关系民主化；两个市场；两种资源","2024丰台二模","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx"
"7","2024朝阳一模","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","8","0","True","L312 2024朝阳一模Q21 || L1017 2024朝阳一模Q21中国经济在变局中开新局 || L2325 2024朝阳一模Q21 || L3268 2024朝阳一模Q21 || L4070 2024朝阳一模Q21 || L4381 2024朝阳一模Q21 || L4609 2024朝阳一模Q21〔本题只写准则层〕 || L5422 2024朝阳一模Q21","","","纳入候选-旧稿已有主位置-仍需一题一例复核","新型国际关系；高水平对外开放","2024朝阳一模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx",""
"8","2024朝阳二模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","7","0","True","L344 2024朝阳二模Q20 || L2879 2024朝阳二模Q20——完善全球气候治理基本原则与各方共识表格 || L3676 2024朝阳二模Q20 || L3708 2024朝阳二模Q20 || L3725 2024朝阳二模Q20 || L3742 2024朝阳二模Q20 || L4157 2024朝阳二模Q20——完善全球气候治理基本原则与各方共识表格","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；共同利益；新型国际关系；全球治理；人类命运共同体；联合国；多边主义","2024朝阳二模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\试卷\003202405朝阳高三二模政治试题.pdf","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\细则\2024朝阳二模细则.pdf"
"9","2024朝阳期中","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","5","0","True","L957 2024朝阳期中Q20(3) || L1124 2024朝阳期中Q20(3) || L1188 2024朝阳期中Q20(3) || L1221 2024朝阳期中Q20(3)""数字驱动商通全球""短评 || L2851 2024朝阳期中Q20(3)","","","纳入候选-旧稿已有主位置-仍需一题一例复核","经济全球化；全球治理；两个市场","2024朝阳期中","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\试卷\202411朝阳高三政治 期中1试题(1).pdf","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\其他材料\2024.11期中政治朝阳评标2.docx"
"10","2024海淀一模","Q18","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","2","0","True","L1002 2024海淀一模Q18(1)免签政策与高水平对外开放 || L1565 2024海淀一模Q18(1)","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；贸易投资；两个市场；两种资源；高水平对外开放","2024海淀一模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx"
"11","2024海淀一模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第20题为党史学习教育活动方案设计；细则中的贸易投资、高水平开放表格来自相邻/串入材料，不属于本题评分点。","P0必须回补-旧稿缺失但已有细则上下文","国际竞争；贸易投资；两个市场；两种资源；高水平对外开放","2024海淀一模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx"
"12","2024海淀二模","Q18","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","3","0","True","L99 2024海淀二模Q18(1)多极化世界中的民主与全球治理 || L3223 2024海淀二模Q18(1)多极化世界中的民主与全球治理 || L3821 2024海淀二模Q18(1)","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；世界多极化；全球治理；人类命运共同体","2024海淀二模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\试卷\高三二模：政治试题（以PDF为准）(1).docx","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\细则\2024海淀二模细则.docx"
"13","2024海淀期中","Q16","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","1","0","True","L2725 2024海淀期中Q16(2)","","","P0误纳入审计-旧稿已有但疑非选必一","","2024海淀期中","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中\细则\2024海淀期中细则.pdf"
"14","2024海淀期中","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-讲评反馈练习","只在细则PPT反馈练习中出现2024北京20，不是该区该套正式主观题；不作为2024-2026区卷覆盖项。","P0必须回补-旧稿缺失但已有细则上下文","世界多极化；人类命运共同体；联合国","2024海淀期中","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中\细则\2024海淀期中细则.pdf"
"15","2024海淀期中","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","9","0","True","L141 2024海淀期中Q21(2)新中国外交的""变"" || L427 2024海淀期中Q21(2) || L3283 2024海淀期中Q21(2)新中国外交的""变"" || L4396 2024海淀期中Q21(2) || L4443 2024海淀期中Q21(2) || L4490 2024海淀期中Q21(2) || L4527 2024海淀期中Q21(2)〔本题只写政策层〕 || L5454 2024海淀期中Q21(2)","","","纳入候选-旧稿已有主位置-仍需一题一例复核","综合国力；联合国；国际秩序","2024海淀期中","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中\细则\2024海淀期中细则.pdf"
"16","2024石景山一模","Q16","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第16题明示运用《哲学与文化》说明习近平文化思想，非国政经主观题。","P0必须回源查细则-旧表未取到细则不能排除","人类命运共同体","2024石景山一模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx",""
"17","2024石景山一模","Q19","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","4","0","True","L865 2024石景山一模Q19(2)，迁移提醒 || L1047 2024石景山一模Q19(2)新能源车企""扎下根"" || L1717 2024石景山一模Q19(2)，迁移提醒 || L5503 2024石景山一模Q19(2)，迁移提醒","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；供应链；产业链","2024石景山一模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx",""
