priority,question_id,visible_title,module,question_type,phase10_body_status,phase07_input_permission,ref_count,referenced_by_phase10_body_ids,repair_reason,source_locator,answer_locator,hold_reason,risk_note
P0_PROTECTED_HOLD_DO_NOT_EXPAND,Q-2026顺义一模-3,2026 顺义一模第3题,思维,选择题,same_type_index_only,hold_answer_locator_risk,3,Q-2024朝阳一模-9；Q-2025海淀二模-20；Q-2026朝阳期中-20,hard-lock row; keep absent or index-only until explicit source repair plus later GPT/Governor authorization,002细则.pptx答案表(Q3=C),answer_confirmed_C_from_002_alt_extraction,L3 paired_candidate must be upgraded before Opus packet,①矛盾分析法属哲学但属应用_未具体到选必三;④质量互变规律+得中而处之非选必三对立项_质变量变是哲学
P0_PROTECTED_HOLD_DO_NOT_EXPAND,Q-2025海淀二模-12,2025 海淀二模第12题,思维,选择题,same_type_index_only,hold_answer_locator_risk,1,Q-2025丰台期末-7,hard-lock row; keep absent or index-only until explicit source repair plus later GPT/Governor authorization,supplemental_source=2025北京海淀高三二模政治试题及答案.txt (page9: 12.D); render_008_page_04.png=视觉确认Q12题目存在，主题耐心资本,answer_confirmed_D_from_supplemental_key,L3 no_formal_rubric / B-choice-signal not allowed directly into Opus packet,①直接说耐心资本=新事物生命力过强，错误推断；②消除矛盾错误（矛盾不可消除）
P0_PROTECTED_HOLD_DO_NOT_EXPAND,Q-2024西城一模-11,2024 西城一模第11题,推理,选择题,same_type_index_only,hold_answer_locator_risk,1,Q-2024朝阳期中-9,hard-lock row; keep absent or index-only until explicit source repair plus later GPT/Governor authorization,DOCX=/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx (python3 zipfile XML textbox extraction); 答案表025=025_Desktop_2024模拟题_西城一模_细则_细则.docx.txt line6 Q11=B; 026=026_Desktop_2024模拟题_西城一模_细则_补充材料_2024.4高三统一测试思想政治答案.docx.txt line6 Q11=B,answer_confirmed_B_from_rubric_025_026; hard_lock_pairing=B=①③,L3 no_formal_rubric / B-choice-signal not allowed directly into Opus packet,"②将""个体→类别X""反转为""类别X→仅为这三个""（非法逆推）；④将获自一个语境的谓词（作为""路""的属性）迁移到另一语境（作为""舱段""的主语），犯了语境混淆错误; hard_lock_pairing=B=①③"
P0_PROTECTED_HOLD_DO_NOT_EXPAND,Q-2025海淀二模-13,2025 海淀二模第13题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,0,,hard-lock row; keep absent or index-only until explicit source repair plus later GPT/Governor authorization,supplemental_source=2025北京海淀高三二模政治试题及答案.txt (page9: 13.C); render_008_page_04.png=视觉确认Q13题目存在,answer_confirmed_C_from_supplemental_key,L3 no_formal_rubric / B-choice-signal not allowed directly into Opus packet,A分类混杂（语义模糊）；B充分条件过强；D把国际关系三形式作不相容穷尽选言（实为相容选言）
P1_REPAIR_HIGH_VALUE_INDEX_CLUSTER,Q-2025东城期末-18-2,2025 东城期末第18题第(2)问,交叉,主观题,same_type_index_only,hold_reasoning_form_risk,5,Q-2024朝阳一模-7；Q-2025海淀期末-18；Q-2025西城二模-16-3；Q-2026东城一模-19-4；Q-2026朝阳期中-21-2,already supports several Phase10 same-type links; repair source before any body expansion,paper:012@L199-203; rubric:012@L681-698(inline),answer_confirmed_from_rubric_012_inline,missing_reasoning=same_type_question_ids,只列思维无材料分析丢分;混淆联想/发散/聚合归属丢分
P1_REPAIR_HIGH_VALUE_INDEX_CLUSTER,Q-2026通州期末-9,2026 通州期末第9题,思维,选择题,same_type_index_only,hold_answer_locator_risk,5,Q-2024朝阳一模-7；Q-2025海淀期末-18；Q-2025西城二模-16-3；Q-2026东城一模-19-4；Q-2026朝阳期中-21-2,already supports several Phase10 same-type links; repair source before any body expansion,006试卷::Q9=D,answer_confirmed_D_from_006_paper,L3 paired_candidate must be upgraded before Opus packet,"A完善基本医疗保障体系夸大;B创新思维保障民生但""优先构建""过窄;C发散思维拓展应用场景""转化服务要素""表述错"
P1_REPAIR_HIGH_VALUE_INDEX_CLUSTER,Q-2024朝阳二模-7,2024 朝阳二模第7题,交叉,选择题,same_type_index_only,hold_reasoning_form_risk,3,Q-2024海淀二模-17-1；Q-2024海淀二模-17-2；Q-2025海淀期末-17-1,already supports several Phase10 same-type links; repair source before any body expansion,023_Desktop_2024模拟题_2024朝阳二模_细则_补充材料_细则.docx::Q7=D,answer_confirmed_D_from_023_rubric,missing_reasoning=same_type_question_ids,A小项不当周延/小项扩大（娱乐工具在前提中不周延，结论中周延）;B归纳推理结论确定性夸大;C必要条件假言推理误用
P2_REPAIR_INDEX_CLUSTER,Q-2024朝阳期中-19,2024 朝阳期中第19题,交叉,主观题,same_type_index_only,hold_reasoning_form_risk,2,Q-2024海淀二模-17-1；Q-2024海淀二模-17-2,already visible as same-type index; repair before deciding whether it deserves body treatment,paper:017@L233-260; rubric:018@L80-181,answer_confirmed_from_rubric_018,missing_reasoning=same_type_question_ids,只把2思维写全但材料不匹配只1分;只1思维0分
P2_REPAIR_INDEX_CLUSTER,Q-2026通州期末-11,2026 通州期末第11题,交叉,选择题,same_type_index_only,hold_answer_locator_risk,2,Q-2024朝阳一模-9；Q-2025海淀二模-20,already visible as same-type index; repair before deciding whether it deserves body treatment,006试卷::Q11=C,answer_confirmed_C_from_006_paper,L3 paired_candidate must be upgraded before Opus packet,A迁移飞跃错位;B分析综合普遍特殊普遍非该题进阶;D类比推理与系统整合错位
P2_REPAIR_INDEX_CLUSTER,Q-2025东城期末-5,2025 东城期末第5题,思维,选择题,same_type_index_only,hold_answer_locator_risk,2,Q-2024朝阳一模-9；Q-2025海淀二模-20,already visible as same-type index; repair before deciding whether it deserves body treatment,012试卷::故选C(Q5),answer_confirmed_C_from_012_paper,L3 paired_candidate must be upgraded before Opus packet,①自在联系不通过实践建立(实践建人为联系);③否定过去肯定现在=简单否定非辩证否定
