sentence_id,question_id,framework_entry_node,evidence_level,pass_status,sentence_pattern,must_have_keywords,source_rubric_atom_ids,use_condition,forbidden_scene
FS_001,CC0002_2024_丰台_一模_17,F6 价值收束必须从法律规则推出,formal,PASS,法理依据5分：法院判决应以事实为依据，以法律为准绳，为必踩点1分。；法理依据：双方形成好意同乘，需明确权利义务；涉及侵权责任一般规定，2分。,法理依据与现实意义分层,R_CC0002_2024_丰台_一模_17_M17_01 ; R_CC0002_2024_丰台_一模_17_M17_02 ; R_CC0002_2024_丰台_一模_17_M17_03 ; R_CC0002_2024_丰台_一模_17_M17_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_002,CC0011_2024_丰台_二模_17,F3 定准法律入口：从六类候选中选,formal,PASS,17.运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。（8分） 民法典规定的绿色原则为生态环境保护提供了基本遵循。在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。 【拓展答案】： 增强环保意识、维护社会公平正义。 评分标准说明： 民法典规定的绿色,相邻关系与民法原则锚句,R_CC0011_2024_丰台_二模_17_01,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_003,CC0019_2024_朝阳_一模_19,F3 定准法律入口：从六类候选中选,formal,PASS,"19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。",相邻关系与民法原则锚句,R_CC0019_2024_朝阳_一模_19_01,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_004,CC0025_2024_朝阳_二模_17,F3 定准法律入口：从六类候选中选 + F2 把材料事实翻译成法律事实,formal,PASS,17.结合材料，说明仲裁委员会作出上述裁决的理由，并分析该典型案例的意义。；原答案：甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性；,平台劳动关系三从属性 ; 劳动解除与用工自主权 ; 竞业限制身份与秘密利益平衡 ; 材料事实转译为法律语言,R_CC0025_2024_朝阳_二模_17_01 ; R_CC0025_2024_朝阳_二模_17_02 ; R_CC0025_2024_朝阳_二模_17_03 ; R_CC0025_2024_朝阳_二模_17_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_005,CC0054_2024_石景山_一模_17,F4 把定性落成责任、效果或裁判理由,formal,PASS,甲公司参与比选并向乙公司报价，内容具体确定，属于要约。；乙公司确认甲公司中标并送达中标通知，属于承诺。,合同层次与责任路径定性,R_CC0054_2024_石景山_一模_17_M17_01 ; R_CC0054_2024_石景山_一模_17_M17_02 ; R_CC0054_2024_石景山_一模_17_M17_03 ; R_CC0054_2024_石景山_一模_17_M17_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_006,CC0063_2024_西城_二模_16,F3 定准法律入口：从六类候选中选,formal,PASS,16．（8分） 经营者应依法、诚信经营，保护消费者的合法权益。（2分，多选一）人民法院支持市民甲就首单购买行为适用食品安全法中的惩罚性赔偿请求，以此打击违法生产经营行为，维护了消费者的合法权益。（1分，材料分析） 民事主体行使民事权利时不能超过正当的界限，并且不得滥用民事权利损害国家利益、社会公共利益或者他人合法权益。（2分，二选一）市民甲的加购行为超出了正常的生活消费需要，人民法院对甲就加购行为提出的惩罚性赔偿请求不予支持，有利于引导消费者诚信、理性维权。（1分，材料分析） 人民法院的判决，体现了保证食品安全和维,消费/知识产权/竞争秩序的行为-赔偿-价值链,R_CC0063_2024_西城_二模_16_01,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_007,CC0077_2025_东城_一模_19,F3 定准法律入口：从六类候选中选 + F4 把定性落成责任、效果或裁判理由,formal,PASS,19. 阅读材料，完成表格。（8 分） （一）本题标准和变通；①解决机制（1 分）：调解/诉讼调解/诉讼 1 分 （对写“诉讼”得分的原因给予解释：该案已进入诉讼程序，虽然没有“审判”但也是通过 诉讼程序的某个环节，以出具调解书的方式解决，也属于诉讼解决机制）,平台劳动关系三从属性 ; 劳动解除与用工自主权 ; 竞业限制身份与秘密利益平衡 ; 合同层次与责任路径定性,R_CC0077_2025_东城_一模_19_01 ; R_CC0077_2025_东城_一模_19_02 ; R_CC0077_2025_东城_一模_19_03 ; R_CC0077_2025_东城_一模_19_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_008,CC0084_2025_东城_二模_19,F4 把定性落成责任、效果或裁判理由 + F2 把材料事实翻译成法律事实 + F5 程序救济单独成步：路径、证据、选择 + F3 定准法律入口：从六类候选中选,formal,PASS,19.阅读材料，完成表格。 （一）本题标准和变通；①龙某为钱某文身案例（2 分）：该情境有两个问题，即合同效力问题和侵权问题： 学生可以通过把一个问题说清楚得2 分，也可以通过呈现2 个准确的知识点得2 分 合同效力问题：限制民事行为能力人/法定代理人未追认（1 分）+ 合同无效（1 分） 侵权问题：龙某没有尽到核实义务/存在过错（1 分）+ 侵犯身体权/健康权（1 分） 呈现了两个知识点，如：钱某事限制民事行为能力人（1 分）+龙某侵犯了身体权/健康 [page 4] 权（1 分）,合同层次与责任路径定性 ; 原名术语与主体身份精度 ; 具体救济与程序路径 ; 相邻关系与民法原则锚句 ; 材料事实转译为法律语言,R_CC0084_2025_东城_二模_19_01 ; R_CC0084_2025_东城_二模_19_02 ; R_CC0084_2025_东城_二模_19_03 ; R_CC0084_2025_东城_二模_19_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_009,CC0103_2025_丰台_一模_19,F6 价值收束必须从法律规则推出 + F2 把材料事实翻译成法律事实 + F3 定准法律入口：从六类候选中选,formal,PASS,19.（6分） 本案判决维护当事人合法权益，严惩侵权行为，保护知识产权。规范市场竞争秩序，营造公平市场环境，以法治力量鼓励创新。作为典型案例为同类案件提供范例，有利于提升审判质量和效率，增强司法公信力。引导公民依法办事，增强民众法治信仰，推动法治中国建设。 19题 评分标准说明： 企业层面（从权利与义务角度）：维护当事人合法权益或者平衡（明确）双方的权利和义务，或者保护原告方（当事人）的知识产权， 1分；严惩或者严厉打击侵权行为 1分 出现的问题：维护公民的合法权益、维护双方的合法权益、维护被告方的权益都是错误表达,法理依据与现实意义分层 ; 原名术语与主体身份精度 ; 消费/知识产权/竞争秩序的行为-赔偿-价值链,R_CC0103_2025_丰台_一模_19_01,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
FS_010,CC0119_2025_丰台_期末_19,F6 价值收束必须从法律规则推出 + F3 定准法律入口：从六类候选中选,formal,PASS,法理依据：法院判决应以事实为依据、以法律为准绳，或写出相关法律规定，为必踩点1分。；法理依据：劳动者应完成劳动任务，遵守劳动纪律和职业道德，1分。,法理依据与现实意义分层 ; 平台劳动关系三从属性 ; 劳动解除与用工自主权 ; 竞业限制身份与秘密利益平衡,R_CC0119_2025_丰台_期末_19_M17_01 ; R_CC0119_2025_丰台_期末_19_M17_02 ; R_CC0119_2025_丰台_期末_19_M17_03 ; R_CC0119_2025_丰台_期末_19_M17_04,同类设问且材料事实能够触发相同法律定性时使用,模块边界不清、reference_only、或材料不能触发该法律规则时禁用
