"candidate_id","question_id","cluster","source_log","proposal","evidence_status","status"
"F2026ERMO-001","Q0113","换位推理/三段论/矛盾关系 cross-link","03_claudecode_lane/logs/claudecode_2026_ermo_fengtai_stdout.log","Add explicit back-links from reasoning section 50 to its constituent form sections.","A-support; structural editorial only","patched_by_section_50_backlink"
"F2026ERMO-002","Q0115","创新思维 cluster","03_claudecode_lane/logs/claudecode_2026_ermo_fengtai_stdout.log","Cluster section 60 closer to other innovation-thinking sections or add framework back-links.","A-formal; rubric-backed","patched_by_thinking_section_60_backlink"
"F2026ERMO-003","Q0117","类比推理 chapter","03_claudecode_lane/logs/claudecode_2026_ermo_dongcheng_stdout.log","Audit analogy-reasoning sections as one chapter while preserving Q0117's governance sub-mode.","A-formal dual row","patched_by_same_form_index"
"F2026ERMO-004","Q0119","必要条件不能反推充分条件","03_claudecode_lane/logs/claudecode_2026_ermo_chaoyang_stdout.log","Co-locate Q0119 with Q0052 under one necessary-condition fallacy cluster, or at minimum cross-link sections 22 and 54.","A-support with identical fallacy nucleus","patched_by_same_form_index"
"F2026ERMO-005","Q0121","定义方法/种差加属概念","03_claudecode_lane/logs/claudecode_2026_ermo_chaoyang_stdout.log","Merge or chapter-link Q0121 with Q0067 under one definition-method form cluster with parsing and constructive sub-blocks.","A-formal with formal rubric","patched_by_same_form_index"
"F2026ERMO-006","Q0124","必要条件 family","03_claudecode_lane/logs/claudecode_2026_ermo_haidian_stdout.log","Decide whether sections 7, 54, and 57 are sub-contexts or should be consolidated under one necessary-condition form node.","A-support","patched_by_same_form_index"
"F2026ERMO-007","Q0126","不完全归纳推理 family","03_claudecode_lane/logs/claudecode_2026_ermo_haidian_stdout.log","Audit incomplete-induction sections 2, 19, 24, and 59 as one same-form family.","A-support","patched_by_same_form_index"
"F2026ERMO-008","Q0128","三段论 family","03_claudecode_lane/logs/claudecode_2026_ermo_haidian_stdout.log","Audit syllogism sections 5, 8, 15, 21, and 60 for same-form chapter aggregation.","A-formal","patched_by_same_form_index"
"F2026ERMO-009","Q0134","同一律 cross-index","03_claudecode_lane/logs/claudecode_2026_ermo_shijingshan_stdout.log","Add reverse index from section 62 to section 9 and related same-law samples.","A-support","patched_pending_external_review"
"F2026ERMO-010","Q0135","辩证分合 alternate angles","03_claudecode_lane/logs/claudecode_2026_ermo_shijingshan_stdout.log","Keep MT0062 main method but annotate formal-rubric alternate angles: quality change and dialectical negation.","A-formal","patched_pending_external_review"
"F2026ERMO-011","Q0139","矛盾律/一致性 and 科学思维客观性","03_claudecode_lane/logs/claudecode_2026_ermo_shunyi_body_supplement_stdout.log","Group RF0080 with contradiction-law samples and MT0064 with scientific-thinking objectivity samples; add a dedicated CT row.","A-formal dual row","patched_by_CT_and_same_form_index"
"F2026ERMO-012","Q0140","综合题中的超前/战略/底线思维","03_claudecode_lane/logs/claudecode_2026_ermo_shunyi_body_supplement_stdout.log","Keep body placement but persist comprehensive-question boundary as schema/annotation before any release packet.","A-formal comprehensive-boundary sample","patched_pending_external_review"
