canonical_question_id,suite_id,original_qno,requires_visual_processing,visual_confirmation_status,can_enter_locked_fusion,notes
Q-2024朝阳一模-1,S-2024朝阳一模,1,yes,not_visual_confirmed,no,
Q-2024朝阳一模-10,S-2024朝阳一模,10,yes,not_visual_confirmed,no,
Q-2024朝阳一模-11,S-2024朝阳一模,11,yes,not_visual_confirmed,no,
Q-2024朝阳一模-12,S-2024朝阳一模,12,yes,not_visual_confirmed,no,
Q-2024朝阳一模-13,S-2024朝阳一模,13,yes,not_visual_confirmed,no,
Q-2024朝阳一模-14,S-2024朝阳一模,14,yes,not_visual_confirmed,no,
Q-2024朝阳一模-15,S-2024朝阳一模,15,yes,not_visual_confirmed,no,
Q-2024朝阳一模-16,S-2024朝阳一模,16,yes,not_visual_confirmed,no,
Q-2024朝阳一模-17,S-2024朝阳一模,17,yes,not_visual_confirmed,no,
Q-2024朝阳一模-18-1,S-2024朝阳一模,18(1),yes,not_visual_confirmed,no,
Q-2024朝阳一模-18-2,S-2024朝阳一模,18(2),yes,not_visual_confirmed,no,
Q-2024朝阳一模-19,S-2024朝阳一模,19,yes,not_visual_confirmed,no,
Q-2024朝阳一模-2,S-2024朝阳一模,2,yes,not_visual_confirmed,no,
Q-2024朝阳一模-20-1,S-2024朝阳一模,20(1),yes,not_visual_confirmed,no,
Q-2024朝阳一模-20-2,S-2024朝阳一模,20(2),yes,not_visual_confirmed,no,
Q-2024朝阳一模-21,S-2024朝阳一模,21,yes,not_visual_confirmed,no,
Q-2024朝阳一模-3,S-2024朝阳一模,3,yes,not_visual_confirmed,no,
Q-2024朝阳一模-4,S-2024朝阳一模,4,yes,not_visual_confirmed,no,
Q-2024朝阳一模-5,S-2024朝阳一模,5,yes,not_visual_confirmed,no,
Q-2024朝阳一模-6,S-2024朝阳一模,6,yes,not_visual_confirmed,no,
Q-2024朝阳一模-7,S-2024朝阳一模,7,yes,not_visual_confirmed,no,
Q-2024朝阳一模-8,S-2024朝阳一模,8,yes,not_visual_confirmed,no,
Q-2024朝阳一模-9,S-2024朝阳一模,9,yes,not_visual_confirmed,no,
Q-2024朝阳二模-1,S-2024朝阳二模,1,yes,not_visual_confirmed,no,
Q-2024朝阳二模-10,S-2024朝阳二模,10,yes,not_visual_confirmed,no,
Q-2024朝阳二模-11,S-2024朝阳二模,11,yes,not_visual_confirmed,no,
Q-2024朝阳二模-12,S-2024朝阳二模,12,yes,not_visual_confirmed,no,
Q-2024朝阳二模-13,S-2024朝阳二模,13,yes,not_visual_confirmed,no,
Q-2024朝阳二模-14,S-2024朝阳二模,14,yes,not_visual_confirmed,no,
Q-2024朝阳二模-15,S-2024朝阳二模,15,yes,not_visual_confirmed,no,
Q-2024朝阳二模-16-1,S-2024朝阳二模,16(1),yes,not_visual_confirmed,no,
Q-2024朝阳二模-16-2,S-2024朝阳二模,16(2),yes,not_visual_confirmed,no,
