target_id,suite_id,qno,question_type,section_scope,laneB_result,evidence_level,visual_status,answer_status,rubric_status,node,logical_or_method_form,rule_slogan,trap_or_boundary,can_enter_fusion,can_enter_student_draft,blocker_reason,source_evidence,notes
Q-2024朝阳一模-20-1,S-2024朝阳一模,20(1),主观题,推理,B_TARGET_CONFIRMED,A-formal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_from_rubric_031,formal_rubric_pptx,推理/假言推理,充分条件假言推理(否定后件式),前真后必真;否定后件→否定前件,假言推理结构识别错误;前后件颠倒;化作不完全归纳,yes,no,无blocker,paper:030@L266-280; rubric:031@L343-353,"题干""如果A区域古代没有广泛生长竹子,就不可能有大量的炭化竹节""为充分条件假言判断;细则31明确规定推理类型为充分条件假言推理(1分),理由""前真后必真,后假则前假""(2分);A-formal确认"
Q-2024朝阳一模-20-2,S-2024朝阳一模,20(2),主观题,推理,B_TARGET_CONFIRMED,A-formal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_from_rubric_031,formal_rubric_pptx,推理/假言推理,必要条件假言推理(补充推理二),只有...才...;前件是后件的必要条件,补完整推理时漏写"古代/当时"等时间表述会扣1分,yes,no,无blocker,paper:030@L278-280; rubric:031@L355-362,"细则31例:前提1=只有A区域古代气候温暖,A区域古代才有可能生长竹子(必要条件);前提2=A区域古代广泛生长着竹子;A-formal确认"
Q-2024朝阳一模-21,S-2024朝阳一模,21,主观题,边界,B_TARGET_SCOPE_OUT,C-boundary,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_from_rubric_031_当代国政经,formal_rubric_pptx_其他模块,当代国际政治与经济,中国经济变局开新局(经济形势分析+应对策略),非选必三逻辑与思维落点;勿被queue自动tag误导,no,no,no,scope_out=当代国际政治与经济(非选必三逻辑与思维),paper:030@L286-288; rubric:031@L376-389,"题干明确""运用《当代国际政治与经济》知识"";细则31采分点为政治多极化/经济全球化两个维度;非选必三task,记录边界"
Q-2024朝阳二模-16-1,S-2024朝阳二模,16(1),主观题,边界,B_TARGET_SCOPE_OUT,C-boundary,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_from_rubric_022,formal_rubric_pdf_其他模块,经济与社会,算力网构建意义(国际/产业/区域/总说),queue自动tag(知识=概念)系误标;实际题干"运用《经济与社会》知识"非逻辑与思维,no,no,no,scope_out=经济与社会(非选必三逻辑与思维),paper:021@L226-243; rubric:022@L5-27,"题干明确""结合材料一,运用《经济与社会》知识"";细则022四个角度均为经济政策分析;queue误tag为概念/逻辑三律,实非"
Q-2024朝阳二模-16-2,S-2024朝阳二模,16(2),主观题,边界,B_TARGET_SCOPE_OUT,C-boundary,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_from_rubric_022,formal_rubric_pdf_其他模块,哲学与文化,人与人工智能相互塑造(矛盾对立统一/实践/物质意识),非选必三逻辑与思维;queue自动tag误标,no,no,no,scope_out=哲学(非选必三逻辑与思维),paper:021@L259-260; rubric:022@L29-61,题干明确"运用哲学知识";细则022采分点为辩证统一/实践/价值观/人民群众等哲学知识
Q-2024朝阳二模-19-1,S-2024朝阳二模,19(1),主观题,推理+思维,B_TARGET_CONFIRMED,A-formal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_from_rubric_022,formal_rubric_pdf,思维+推理双挂载,辩证思维动态性+类比推理,①动态性=用变化发展观点看问题;②类比=两类对象由相同属性推出新相同属性,①填错为整体性/质量互变会丢分;②类比变通"无变通"严格,yes,no,无blocker,paper:021@L353-367; rubric:022@L126-134,细则022明确①动态性(替代:变化发展/矛盾运动/创新)②类比推理(无变通);双挂载思维(辩证)+推理(类比);A-formal确认
Q-2024朝阳二模-19-2,S-2024朝阳二模,19(2),主观题,推理,B_TARGET_CONFIRMED,A-formal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_from_rubric_022,formal_rubric_pdf,推理/复合判断,联言判断及其保真条件,当且仅当各联言支都真则联言判断真;一假即假,错别字"连言判断"不给分;表述为"充分/必要条件联言判断"不给分,yes,no,无blocker,paper:021@L371-372; rubric:022@L139-148,细则022明确联言判断(2分)+保真条件(3分):全真才真/一假即假;A-formal确认
Q-2024朝阳二模-19-3,S-2024朝阳二模,19(3),主观题,边界,B_TARGET_SCOPE_OUT,C-boundary,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_from_rubric_022,formal_rubric_pdf_其他模块,中华优秀传统文化/中国式现代化(哲学与文化),理解类(是什么+为什么+怎么做),非选必三逻辑与思维;queue cross tag正确;落点是哲学+文化,no,no,no,scope_out=哲学与文化/必修3模块,paper:021@L373-374; rubric:022@L149-188,"细则022三个角度=生生宇宙观+一体天人观+法天地人生观,均哲学/文化分析;无选必三推理或思维方法"
Q-2024朝阳期中-18,S-2024朝阳期中,18,主观题,推理,B_TARGET_CONFIRMED,A-formal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_from_rubric_018,formal_rubric_docx,推理(双类型),不完全归纳推理(楚王)+类比推理(晏子),不完全归纳=结论或然性;类比=两类对象由相同属性推出新相同属性(或然推理),楚王=以一例归纳全体;晏子=橘枳类比环境致变(均或然但晏子辩证驳论),yes,no,无blocker,paper:017@L224-232; rubric:018@L56-78,细则018明确楚王=不完全归纳1分(关键词:归纳推理+或然);晏子=类比推理1分;A-formal确认;queue cross tag降级为in_scope推理
Q-2024朝阳期中-19,S-2024朝阳期中,19,主观题,思维,B_TARGET_CONFIRMED,A-formal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_from_rubric_018,formal_rubric_docx,思维/创新思维,创新思维(三新+发散+聚合+联想),材料三段对应五个创新思维点;每点2分(思维+材料),只把2思维写全但材料不匹配只1分;只1思维0分,yes,no,无blocker,paper:017@L233-260; rubric:018@L80-181,细则018明确五点=业态/品牌/服务/价值耦合等;思维方法包括发散/聚合/联想;A-formal确认
