expansion_decision_id,source_suggestion_id,candidate_label,decision,new_or_revised_code_label,affected_existing_code_ids,supporting_question_ids,supporting_rubric_atom_ids_or_patch_atom_ids,supporting_material_atom_ids,evidence_level_summary,what_student_must_judge,material_trigger_pattern,legal_knowledge_or_rule_pattern,rubric_reward_pattern,full_score_sentence_pattern,risk_of_empty_value_talk,risk_of_legal_exam_overanalysis,module_boundary_risk,counterexamples_or_limits,confidence,reason
EXP_DEC_001,Cowork EXP_008 / PC06+PC09+PC14+PC19 联动,知识产权/不正当竞争司法保护四步链,accept_new_code,CODE_COWORK_008 知识产权/不正当竞争司法保护四步链,与 CODE_COWORK_002/004/005 部分相邻；不替代任何 code,CC0131_2025_房山_一模_19 | CC0143_2025_朝阳_一模_19 | CC0206_2025_西城_期末_19 | CC0229_2026_东城_一模_18 | CC0283_2026_朝阳_一模_18 | CC0319_2026_海淀_期末_19 | CC0103_2025_丰台_一模_19 | RECOVER_2026_西城_二模_18_2,R_CC0131_2025_房山_一模_19_02..07（4+3+1 显式赋分） | R_CC0131_2025_房山_一模_19_10 必修三上限规则 | R_CC0143_2025_朝阳_一模_19_02..10（不使用 11..25 教学反思段）| R_CC0206_2025_西城_期末_19_01 | R_CC0229_2026_东城_一模_18_01..08（三案例分点） | R_CC0283_2026_朝阳_一模_18_02..05 | R_CC0319_2026_海淀_期末_19_01 | R_CC0103_2025_丰台_一模_19_01 | RECOVER_2026_西城_二模_18_2_R01..R03,M_CC0131_2025_房山_一模_19_01..04 | M_CC0143_2025_朝阳_一模_19_01..06 | M_CC0229_2026_东城_一模_18_01..06 | M_CC0283_2026_朝阳_一模_18_01..05 | M_CC0319_2026_海淀_期末_19_01..06 | M_CC0103_2025_丰台_一模_19_01..04 | M_CC0206_2025_西城_期末_19_01..06 | RECOVER_2026_西城_二模_18_2_M01..M03,"8 题全部 formal；6 题 rubric 显式带分值或括号关键词（CC0131 4+3+1+2+1+2/CC0143 1+1+2+2+2/CC0229 8 分点/CC0283 4 段四关键词/CC0319/RECOVER_18_2 三段奖励标签），多区多年、独立学校；2 题（CC0206/CC0319）为参考答案+扣分口径，CC0103 含显式扣分（""维护双方合法权益、优化营商环境""被扣）",①该案是侵犯知识产权/不正当竞争/商业诋毁/恶意诉讼中的哪一类（行为定性） ②法院使用的是惩罚性赔偿/调解/驳回恶意诉讼/制止侵权中的哪一种司法手段 ③意义层应分别落到不同主语（原告方合法权益—市场秩序/创新生态—社会主义核心价值观/法治化营商环境）,"材料含""挖走核心技术人员/窃取技术秘密""""抢注/仿冒/混淆""""恶意诉讼/滥用诉讼权利""""植物新品种权/专利权""""平台抢票/技术绕过""""高额赔偿/惩罚性赔偿""""调解化解知识产权纠纷""等司法行为短语",《反不正当竞争法》关于混淆、商业诋毁、虚假宣传的规则；《民法典》惩罚性赔偿规则；民事诉讼诚信原则；消费者权益保护法欺诈三倍赔偿（CC0143 限定）,"行为定性 1 分 + 援引法律 1 分 + 司法手段 1-2 分 + 法治意义 2-4 分；CC0131 显式标注""必修三上限 6 分""；CC0143 显式""必须有消费者法律字样""""部分写反不正当竞争被扣""；CC0103 显式扣""维护双方合法权益""","""（定性）××行为构成不正当竞争/侵犯××权；（援引）根据《反不正当竞争法》第×条/《民法典》第×条；（手段）法院适用惩罚性赔偿/调解/驳回，提高侵权成本/化解纠纷；（意义）保护原告方合法权益+维护市场公平竞争秩序+营造法治化营商环境+弘扬社会主义核心价值观""","高——CC0103/CC0143 reward 已显式扣""维护双方合法权益""""优化营商环境""等模板话；意义层必须落明确主语","中高——惩罚性赔偿、商业秘密、合同欺诈易扩成法考构成要件清单；CC0143""必须有消费者法律字样""显式约束","中——""法治化营商环境/法治社会""易滑到必修三；CC0131 显式上限 6 分 + 必修三角度 2 分独立给定","CC0276 涉外法治不入此 code（公共政策论证不同型）；CC0244 合同纠纷（人格权/动产侵权）不入此 code（无知识产权/不正当竞争锚点）；不可只停在""不正当竞争""层而不落法治意义三向；CC0143 不可写反不正当竞争（必须消法）",high,"8 道独立年份独立学校题反复同型奖励""行为定性 + 援引 + 司法手段 + 三向意义""，多个学校 rubric 显式带分值与关键词，且与 CODE_COWORK_002/004/005 有明确边界（004/006 侧重一般侵权/合同、002 侧重意义三向、005 侧重表态首句；008 锁定 IP+不正当竞争+司法手段维度）。可独立升级为新核心 code。"
EXP_DEC_002,Cowork EXP_001R / PC02+PC15,表格题三段式 cell sub-pattern,revise_existing_code,CODE_COWORK_001 子型 1.1,CODE_COWORK_001,CC0189_2025_石景山_一模_20 | CC0213_2025_门头沟_一模_20 | CC0214_2025_门头沟_一模_20_2 | CC0137_2025_昌平_二模_20 | RECOVER_2025_海淀_二模_18,R_CC0189_2025_石景山_一模_20_01..04（法理3+事实2+保障作用3） | R_CC0213_2025_门头沟_一模_20_M17_01..09（裁判结果2+裁判理由4+意义2） | R_CC0214_2025_门头沟_一模_20_2_01..05（裁判理由 1+1+1+1） | R_CC0137_2025_昌平_二模_20_05..07（法律依据1+材料1+意义1+扩展） | R_RECOVER_2025_海淀_二模_18_01..08（8 格各 1 分独立采点）,M_CC0189_2025_石景山_一模_20_01..06 | M_CC0213_2025_门头沟_一模_20_01..06 | M_CC0214_2025_门头沟_一模_20_2_01..06 | M_CC0137_2025_昌平_二模_20_01..06 | M_RECOVER_2025_海淀_二模_18_01..04,"5 题全部 formal；4 题（CC0189/CC0213/CC0214/CC0137）显式三段式赋分；1 题（RECOVER_2025_海淀_二模_18）属""完成下表""逐格各 1 分，与三段式 cell 同构但非纯三段","表格列头是""法律依据/事实分析/现实意义/保障作用/法治价值""中的哪一种；不允许跨格抄套话","表格列头显式标注""法律依据 / 事实分析 / 现实意义 / 保障作用 / 法治价值""，或题干已给""示例行""作为评分基线",案件对应的具体法律（劳动合同法、著作权法、反不正当竞争法+民法典、商标权法、合同违约）+ 具体要件,每格 1-2 分独立采点；法理格写出法律具体名称即得分，事实格须切到要件位，意义格须主语不同（劳动者/经营者/市场秩序/创新生态/核心价值观）,"法理格 = ""根据《××法》/民法典××规定，……""；事实格 = ""本案中××（材料事实片段），因此……（要件归位）""；意义格 = ""有利于××（一类受益主体）……""","中高——CC0213_M17_07-09 三层意义易模板化；意义格只写""维护公平正义""不写受益主语会被扣",中——著作权法、反不正当竞争法易扩成完整条文体系；需限制于教材范畴,低——表格题型本身限制在选必二,"CC0084、CC0157 等""完成下表""型只走""机制+以案说法+典型意义""，不要强套三段式；CC0180""无过错侵权责任""扣分系裁判类型扣分，不属 1.1 子型",high,5 道独立题反复同型奖励三段式 cell；与 CODE_COWORK_001 原核（表格题每格独立赋分）相容，作为 sub-pattern 不另设新 code。
EXP_DEC_003,Cowork EXP_002R / PC01(部分) + PC03(部分) + PC06(部分) + PC11(部分) + PC12,民法基本原则/典型案例示范三角对象扩展,revise_existing_code,CODE_COWORK_002 子型 2.1（对象=原则/制度/典型案例）,CODE_COWORK_002,CC0054_2024_石景山_一模_17 | CC0019_2024_朝阳_一模_19(应用 PATCH) | CC0011_2024_丰台_二模_17(应用 PATCH) | CC0045_2024_海淀_二模_19 | CC0063_2024_西城_二模_16 | CC0223_2025_顺义_一模_19 | RECOVER_2026_西城_二模_18_3,R_CC0054_2024_石景山_一模_17_M17_04..06（原则引导 + 转型升级 + 市场秩序）| PATCH_CC0019_R01..R06（替代当前单 atom，6 分点切分） | PATCH_CC0011_R01..R04（替代当前 8 分单 atom） | R_CC0045_2024_海淀_二模_19_01（单 atom 但含 2分多选一+材料 1+核心价值 2+多元 2 显式细则） | R_CC0063_2024_西城_二模_16_01（单 atom 但含 2分多选一+材料 1+权利边界 2+核心价值 3 显式细则） | R_CC0223_2025_顺义_一模_19_M17_01..06 | RECOVER_2026_西城_二模_18_3_R01..R03,M_CC0054_2024_石景山_一模_17_01..06 | M_CC0019_2024_朝阳_一模_19_01..07 | M_CC0011_2024_丰台_二模_17_01..06 | M_CC0045_2024_海淀_二模_19_01..06 | M_CC0063_2024_西城_二模_16_01..06 | M_CC0223_2025_顺义_一模_19_01..06 | RECOVER_2026_西城_二模_18_3_M01..M03,7 题全部 formal；其中 CC0019/CC0011 当前是单 atom，必须使用 Codex PATCH 后才可作支撑；CC0045/CC0063 是单 atom 但内部含显式分项说明，作为辅助 evidence 可用；CC0223 已切分 6 atoms；RECOVER_2026_西城_二模_18_3 为奖励标签 3 atoms,"设问对象是原则/制度/典型案例时，首句须写出""《民法典》第×条确立××原则""或""该典型案例统一裁判尺度""；三角分点主语必须不同","材料含""《民法典》第七条/第九条""""诚信原则""""公平原则""""绿色原则""""典型案例发布""""指导性案例""""统一裁判尺度""""碳排放权交易""等",民法典基本原则（诚信/公平/绿色/守法）；典型案例制度；统一裁判尺度,原则定位 1 分 + 三角各 1-2 分；CC0019 PATCH 后总述 1 + 角度一 2 + 司法 1 + 角度二 1 + 消费者关系 2；CC0223 已显式 1+1+1+1+1+1,"""《民法典》第×条确立诚信/公平/绿色原则……（援引）；该原则要求当事人……（个人/合同主体权益）；有利于规范市场秩序/为同类案件提供示范……（司法/行业秩序）；弘扬社会主义核心价值观/推进法治建设……（价值层）""","高——CC0251 已记录""法治政府/法治国家/法治社会""模板套必修三话术被扣；RECOVER_2026_西城_二模_18_3 必修三化风险高",低,"中——典型案例治理意义易跑到""国家治理体系""必修三话语，需克制在选必二司法/市场层",评析当事人行为题（CC0238/CC0373）不进意义层；建议类题（CC0245_2/CC0277）不进意义层；CC0011/CC0019 不可在 PATCH 落地前使用,medium-high,"7 道独立题在意义层稳定奖励""原则/制度/典型案例 → 三向作用""，但其中 2 题（CC0011/CC0019）当前 atom 未切分，必须先经 Codex PATCH 才可作 evidence；CC0045/CC0063 单 atom 内部含显式赋分但格式偏参考答案。综合后作为 002 的 sub-branch 扩展合规，不另设新 code。"
EXP_DEC_004,Cowork EXP_007R / PC04(部分) + PC05(部分) + PC07(部分) + PC08 + PC23 + PC24 + PC27 + PC30,维权/建议/应对四段扩展,revise_existing_code,CODE_COWORK_007 子型 7.1,CODE_COWORK_007,CC0092_2025_东城_期末_19_1 | CC0277_2026_房山_二模_18 | CC0289_2026_朝阳_二模_18 | CC0380_2026_顺义_二模_18_2 | RECOVER_2024_东城_二模_19_1 | RECOVER_2026_延庆_一模_18_1 | RECOVER_2026_门头沟_一模_18_1 | CC0125_2025_延庆_一模_19,"R_CC0277_2026_房山_二模_18_01..07（风险1+1+1+措施2+1 细则） | R_CC0289_2026_朝阳_二模_18_04..08（3+2+2+1 + ""答必修3不赋分""扣分边界） | R_CC0380_2026_顺义_二模_18_2_P01..P04（识别+实体+程序+责任） | RECOVER_2024_东城_二模_19_1_R01..R03（诉讼请求2+事实2+理由分） | RECOVER_2026_延庆_一模_18_1_R01..R03（三类违法+诉讼请求+事实） | RECOVER_2026_门头沟_一模_18_1_R01..R03（主体+多元解纷+强制执行力） | R_CC0125_2025_延庆_一模_19_M17_01..05 | R_CC0092_2025_东城_期末_19_1_01",M_CC0277_..._01..04 | M_CC0289_..._01..06 | M_CC0380_..._P01..P03 | RECOVER_2024_东城_二模_19_1_M01..M03 | RECOVER_2026_延庆_一模_18_1_M01..M02 | RECOVER_2026_门头沟_一模_18_1_M01..M03 | M_CC0125_2025_延庆_一模_19_01..06 | M_CC0092_2025_东城_期末_19_1_01..05,8 题全部 formal；CC0277/CC0289/CC0380 含显式分值与扣分细则；RECOVER 系列已切分但 atoms 较概括；CC0092 单 atom（issue spotting 标题题）相对薄弱,"①材料处于""协商未果/已起诉/可能涉及风险/起诉状起草""等阶段中的哪一类 ②违法行为具体类型（不正当竞争/侵权/违约/商业秘密/著作权） ③对应到具体诉讼请求或措施动词，不写公平正义泛话","出现""协商未果""""拟提起诉讼""""已起诉""""可能涉及法律风险""""数字员工/AI""""平台规则""""上传公共平台""""校园安全""""起诉状""""检察建议""""公益诉讼""等场景关键词",民事纠纷多元解决机制；侵权责任承担方式；起诉准备要件；公益诉讼/检察建议；商业秘密；著作权,"CC0277 风险识别 4 分（1+1+1+1）+ 措施 3 分（2+1）；CC0289 第一问 3 分 + 第二问 5 分 + 显式扣""选择问题一/二/三""""个人信息""""错别字""""答必修3""; CC0380 实体+程序+责任三段；RECOVER 系列每段 1-2 分","""（识别）涉及××法律问题；（援引）根据《××》/民法典××条；（请求/措施）应当××/请求××；（程序）可通过调解/仲裁/诉讼维权；（实体）请求××承担停止侵害/排除妨碍/消除危险/赔礼道歉/赔偿损失""","高——CC0289_08 明文""答必修3/全面依法治国的基本要求--不赋分""","高——CC0245_03 已显式扣""不能直接上诉、不能对刘某直接行政诉讼""；越级民诉法体系属过度法考化；起诉状不得写完整民诉法文书结构",中——公益诉讼/校园欺凌易跑到必修三全面依法治国,不可对未涉及行政诉讼的题写行政诉讼；不可把单纯论证题（CC0011/CC0276）误入维权三层；CC0289 选择问题一/二/三选错不赋分；CC0277 公共平台/保密措施区分必须按场景对应,high,"8 道独立题反复同型奖励""识别+依据+诉讼请求/措施+程序+实体救济""，CODE_COWORK_007 当前仅 CC0245 单题支撑，扩展后稳定。"
EXP_DEC_005,Cowork EXP_046R / PC10(部分) + PC11(部分) + PC20,多主体评析 + 无锚句仍给法理 1 分扩展,revise_existing_code,CODE_COWORK_004 子型 4.1 + CODE_COWORK_006 子型 6.1,CODE_COWORK_004 | CODE_COWORK_006,CC0364_2026_通州_期末_19_1 | RECOVER_2026_西城_二模_18_1 | CC0238_2026_东城_二模_19,"R_CC0364_2026_通州_期末_19_1_01（当前为巨型单 atom，含细则文字""法理依据3分+事实分析+判决意义""，建议 Codex 后续切分） | RECOVER_2026_西城_二模_18_1_R01..R03 | R_CC0238_2026_东城_二模_19_M17_01..06（乙公司商业诋毁 2 + 违约 1 + 赔偿 1 + 张某违反职业道德 2 + 收束 1）",M_CC0364_..._01..06 | RECOVER_2026_西城_二模_18_1_M01..M03 | M_CC0238_..._01..06,3 题 formal；CC0238 已切分 6 atoms 强支撑；RECOVER_2026_西城_二模_18_1 已切分 3 atoms；CC0364 仍为单巨型 atom，需 Codex 后续切分,"①是否存在多个主体（乙公司+张某 / 公司+AI使用者 / 甲+被告） ②每个主体行为定性是否不同（违约 vs 侵权 vs 商业诋毁 vs 违反职业道德） ③法律依据是否需要分别援引 ④即使无""法院判决""锚句也要在法理小项独立写出依据",材料含两个或多个行为主体；每个主体行为性质明确分离,民法典侵权/合同/相邻；反不正当竞争法；劳动合同法 + 职业道德,CC0238 多主体每主体独立链；RECOVER_2026_西城_二模_18_1 主体资格 + 公司过错 + 侵权构成；CC0364 法理3+事实2+意义3 巨型段,"""主体A 的××行为构成××（定性），违反《××法》第×条（依据），应承担××责任（责任）。主体B 的××行为构成××（定性），……（独立链条）""",低,中——CC0364 易拓到完整侵权四要件,低,不可将多主体混链；不可对单主体题套此分支；CC0364 切分前不可作 standalone evidence,medium,3 道题强化已有 code，本身不构成新 code，作为 004/006 的 sub-branch 扩展可显著提升 PARTIAL 闭合率。仍建议 Codex 把 CC0364 巨型 atom 切分为 3-4 个独立 atom 以加强 evidence 厚度。
EXP_DEC_006,Codex CC0011_2024_丰台_二模_17 source check,民法典绿色原则与生态侵权,split_before_use（PATCH 落地后用于支撑 EXP_DEC_003）,"不单独成 code；作为 CODE_COWORK_002 子型 2.1 的""绿色原则""分支补强 evidence",CODE_COWORK_002,CC0011_2024_丰台_二模_17,PATCH_CC0011_R01（绿色原则1分） | PATCH_CC0011_R02（知识产权2分） | PATCH_CC0011_R03（环境侵权1分） | PATCH_CC0011_R04（民法典权利义务+利益平衡4分）；当前 R_CC0011_2024_丰台_二模_17_01 巨型单 atom 不可单独使用,M_CC0011_2024_丰台_二模_17_01..06,formal_after_split；不 split 前不可用,"设问对象是""民法典对生态环境保护的作用""，应同时写出原则（绿色）+ 制度（知识产权 + 侵权责任）+ 价值（权利义务/利益平衡/良好生态）","材料含""绿色原则""""生态环境""""污染""""专利技术""""利益平衡""等",民法典绿色原则；环境侵权责任；知识产权保护,PATCH 后 1+2+1+4 共 8 分四段独立采点,"""（原则）民法典绿色原则为生态环境保护提供基本遵循；（制度）知识产权保护激励技术创新并为生态保护提供技术支撑；（责任）污染破坏环境应承担侵权责任；（价值）民法典通过权利义务确定、个人与公共利益平衡，预防损害并维护良好生态环境""","中——易跑到""美丽中国/生态文明""必修三话语",低,中——选必二与必修三交叉,单题孤证（绿色原则维度）；不可单独升级为新 code，仅作 CODE_COWORK_002 子型 2.1 evidence,medium（PATCH 后方可用）,Codex 已确认 formal 来源 F0270 lines 11-16；4 个 PATCH atoms 是独立赋分单元；旧单 atom 必须先替换。
EXP_DEC_007,Codex CC0019_2024_朝阳_一模_19 source check,民法典诚信原则三向作用,split_before_use（PATCH 落地后用于支撑 EXP_DEC_003）,"不单独成 code；作为 CODE_COWORK_002 子型 2.1 的""诚信原则""核心 evidence",CODE_COWORK_002,CC0019_2024_朝阳_一模_19,PATCH_CC0019_R01（总述1分） | PATCH_CC0019_R02（合同履行1分） | PATCH_CC0019_R03（民事主体权利1分） | PATCH_CC0019_R04（司法定分止争1分） | PATCH_CC0019_R05（经营者诚信1分） | PATCH_CC0019_R06（消费者+市场2分）；当前 R_CC0019_2024_朝阳_一模_19_01 单 atom 不可单独使用,M_CC0019_2024_朝阳_一模_19_01..07,formal_after_split；不 split 前不可用,总述（法治经济+诚信原则入民法典）+ 角度一（合同当事人）+ 司法定分止争 + 角度二（经营者）+ 消费者关系四个分支齐写,"材料含""合同履行""""信用公开""""失信被执行人""""消费者放心消费""等",民法典诚信原则；合同全面履行；消费者权益保护,PATCH 后 1+1+1+1+1+2 共 7 分六段,见 PATCH plan,中——诚信易跑到法治社会必修三话语,低,中,单题孤证（诚信原则维度），需与 CC0054/CC0223 联动方可作 002 的多题支撑,medium-high（PATCH 后）,Codex 已确认 formal 来源 F0013 lines 333-349；6 个 PATCH atoms 明确分项；旧单 atom 必须先替换。
EXP_DEC_008,Codex CC0061_2024_西城_一模_18 source check,综合多小题（回避制度/诉讼代理人/赡养义务）,split_before_use（须按 18(1)/18(2)/18(3) 三段拆分；仅 18(3) 可作扩码 evidence）,"不单独成 code；18(3) 赡养义务 + 法德统一支撑 CODE_COWORK_002 子型 2.1 的""成年子女赡养""分支；18(1)(2) 隔离为程序微项",CODE_COWORK_002（仅 18(3)）,CC0061_2024_西城_一模_18 (18-3 only),PATCH_CC0061_18_3_R01（成年子女赡养义务 1分） | PATCH_CC0061_18_3_R02（赡养内容五选二 2分） | PATCH_CC0061_18_3_R03（精神慰藉/告知书引导 1分） | PATCH_CC0061_18_3_R04（传统美德/核心价值观/法德统一 2分多选一组）；PATCH_CC0061_18_1_R01 与 PATCH_CC0061_18_2_R01 仅作为 reference 标记，不进扩码 evidence,M_CC0061_2024_西城_一模_18_01..05（18-3 相关）；M_CC0061_2024_西城_一模_18_07..09 为 18-1/18-2 程序微项，不进 002 evidence,formal_after_split_and_trim,"18(3) 必须先点""成年子女对父母有赡养义务""，再切赡养内容（五选二），再切精神慰藉/告知书价值，最后落传统美德/核心价值观/法德统一",材料含老人陪伴需求、告知书、亲属赡养纠纷,民法典赡养义务；法治与德治统一,18(3) 1+2+1+2 共 6 分,"""成年子女对父母有赡养义务……赡养包括经济供养、生活照料、精神慰藉……三个儿子应履行精神慰藉义务……传承中华传统美德，发挥法律对道德建设的促进作用""","中——易跑到""法治国家/法治社会""必修三话语",中——18(1) 回避制度易扩成诉讼法清单，18(2) 诉讼代理人易扩成程序法,中,18(1)(2) 是程序微项，不可与 18(3) 合并作单一机制使用；不可整题统一套 code,medium,"Codex 已确认 formal 来源 F0278 lines 25-42；split 后 18(3) 提供""赡养+法德统一+价值""四段独立采点，是 002 子型 2.1 的核心 evidence 之一。"
EXP_DEC_009,Codex CC0254_2026_丰台_二模_18 source check,综合辨析（动物侵权+无过错责任+调解+核心价值观）,split_before_use（旧 R01-R08 来自学生问题段，须替换为 PATCH_R01-R08 后方可用）,不单独成 code；PATCH 后跨支撑 CODE_COWORK_002 子型 2.1（核心价值观+法德统一）+ CODE_COWORK_007 子型 7.1（调解方案与实体救济）的混合分支,CODE_COWORK_002 | CODE_COWORK_007,CC0254_2026_丰台_二模_18,PATCH_CC0254_R01（法治与德治1分） | PATCH_CC0254_R02（依据民法典1分） | PATCH_CC0254_R03（饲养动物无过错责任1分） | PATCH_CC0254_R04（财产权益保护1分） | PATCH_CC0254_R05（生态修复+损害担责1分） | PATCH_CC0254_R06（分期赔偿+生态修复调解方案1分） | PATCH_CC0254_R07（互谅互让+司法温度1分） | PATCH_CC0254_R08（核心价值观1分）；旧 R_CC0254_2026_丰台_二模_18_01..08 来自学生问题/教学建议段，禁止作 scoring atom,M_CC0254_2026_丰台_二模_18_01..11,formal_after_atom_replacement,同时识别（A）法治+德治原则、（B）饲养动物无过错责任、（C）调解柔性方案（分期赔偿+生态修复+互谅互让）、（D）核心价值观收束,材料含养犬纠纷、果园损害、调解协议、致歉、生态修复,民法典动物侵权；无过错责任；调解程序；法治与德治统一,8 段各 1 分独立,见 PATCH plan,"高——CC0254 已记录学生易写""法治国家/法治社会""必修三话术",中,中,"不可使用旧 R01-R08；PATCH 之前不可使用此题；不可整题套用单一意义模板（CC0254 教学反思已明文警告""不要所有题型照搬统一模板""）",medium-high（PATCH 后）,Codex 已确认 formal 来源 F0187 lines 148-170；旧 atoms 是学生问题段（lines 181-190），严格符合硬规则 #4 必须替换；PATCH 后是 002+007 跨 code 的高质量 evidence。
EXP_DEC_010,Codex RECOVER_2026_房山_一模_17_1 source check,AI 幻觉损失承担/民事法律关系辨析,split_before_use（须按 1+2 alternative 结构保留，禁止累加）,不单独成 code；仅作为 CODE_COWORK_005（表态首句）的单题 transfer evidence,CODE_COWORK_005,RECOVER_2026_房山_一模_17_1,PATCH_RECOVER_FS17_1_R01（结论判断 1分） | PATCH_RECOVER_FS17_1_R02A 或 R02B 或 R02C（主体/内容/客体任一维度 2分，alternative not cumulative）,RECOVER_2026_房山_一模_17_1_M01..M02,formal_after_split,先表态（损失不由 A 公司买单），再从主体/内容/客体三个维度任选其一展开,材料含 AI 生成内容、提示义务、损害是否实际发生,民事法律关系三要素（主体/内容/客体）；侵权构成,1+2 共 3 分（2 分为三选一可替代）,"""（表态）AI 幻觉造成的损失不由 A 公司买单；（解释·任一维度）从主体维度：AI 不具备民事主体资格 / 或内容维度：A 公司已履行提示义务无过错 / 或客体维度：梁某权益未受实际损害""",低,中,低,三维度严禁累加为 4-6 分；单题孤证，不足以独立成新 code；不可与 CC0364/RECOVER_2026_西城_二模_18_1 直接合并（虽都涉 AI 主体辨析，但赋分结构不同）,medium,Codex 已确认 formal 来源 F0371 lines 22-29；alternative 结构必须保留；硬规则 #6 已明示。可作 CODE_COWORK_005 的 transfer evidence，但不成立 standalone code。
