doc_order,entry_id,source_file,extract_path,line_range,exists
176,Q0176,SRC_EXAM_2026_CHAOYANG_QIZHONG_Q17.txt,05_source_backcheck/slice_036/SRC_EXAM_2026_CHAOYANG_QIZHONG_Q17.txt,148-169;191;243-245,True
176,Q0176,SRC_RUBRIC_2026_CHAOYANG_QIZHONG_Q17.txt,05_source_backcheck/slice_036/SRC_RUBRIC_2026_CHAOYANG_QIZHONG_Q17.txt,14-30,True
177,Q0177,SRC_EXAM_2024_XICHENG_YIMO_Q19.txt,05_source_backcheck/slice_036/SRC_EXAM_2024_XICHENG_YIMO_Q19.txt,203-204,True
177,Q0177,SRC_RUBRIC_2024_XICHENG_YIMO_Q19.txt,05_source_backcheck/slice_036/SRC_RUBRIC_2024_XICHENG_YIMO_Q19.txt,85-101,True
178,Q0178,SRC_EXAM_2024_CHAOYANG_YIMO_Q21.txt,05_source_backcheck/slice_036/SRC_EXAM_2024_CHAOYANG_YIMO_Q21.txt,372-376,True
178,Q0178,SRC_RUBRIC_2024_CHAOYANG_YIMO_Q21_DOCX.txt,05_source_backcheck/slice_036/SRC_RUBRIC_2024_CHAOYANG_YIMO_Q21_DOCX.txt,88-99,True
178,Q0178,SRC_RUBRIC_2024_CHAOYANG_YIMO_Q21_PPTX.txt,05_source_backcheck/slice_036/SRC_RUBRIC_2024_CHAOYANG_YIMO_Q21_PPTX.txt,1228;1260-1317,True
179,Q0179,SRC_EXAM_2025_XICHENG_YIMO_Q18.txt,05_source_backcheck/slice_036/SRC_EXAM_2025_XICHENG_YIMO_Q18.txt,221-234;342-345,True
179,Q0179,SRC_RUBRIC_2025_XICHENG_YIMO_Q18.txt,05_source_backcheck/slice_036/SRC_RUBRIC_2025_XICHENG_YIMO_Q18.txt,65-78,True
180,Q0180,SRC_EXAM_2025_HAIDIAN_QIZHONG_Q16_2.txt,05_source_backcheck/slice_036/SRC_EXAM_2025_HAIDIAN_QIZHONG_Q16_2.txt,180-191,True
180,Q0180,SRC_RUBRIC_2025_HAIDIAN_QIZHONG_Q16_2.txt,05_source_backcheck/slice_036/SRC_RUBRIC_2025_HAIDIAN_QIZHONG_Q16_2.txt,file lines 7-15 / source lines 1-8,True
