line_no,target_id,raw_field_count,normalized_field_count,action,can_enter_fusion,can_enter_student_draft
2,Q-2025西城二模-7,19,19,unchanged,yes,no
3,Q-2026东城一模-6,19,19,unchanged,yes,no
4,Q-2026顺义一模-5,19,19,unchanged,yes,no
5,Q-2024朝阳期中-1,19,19,unchanged,no,no
6,Q-2024朝阳期中-5,19,19,unchanged,no,no
7,Q-2024海淀二模-14,19,19,unchanged,no,no
8,Q-2024海淀二模-4,19,19,unchanged,no,no
9,Q-2024海淀二模-8,19,19,unchanged,no,no
10,Q-2024西城一模-13,19,19,unchanged,yes,no
11,Q-2025东城期末-2,19,19,unchanged,no,no
12,Q-2025东城期末-7,19,19,unchanged,no,no
13,Q-2025东城期末-8,19,19,unchanged,no,no
14,Q-2025东城期末-9,19,19,unchanged,no,no
15,Q-2025丰台期末-9,19,19,unchanged,yes,no
16,Q-2025顺义一模-10,19,19,unchanged,no,no
17,Q-2025顺义一模-4,19,19,unchanged,no,no
18,Q-2025顺义一模-5,19,19,unchanged,yes,no
19,Q-2026东城一模-12,19,19,unchanged,no,no
20,Q-2026东城一模-2,19,19,unchanged,no,no
21,Q-2026东城期末-14,19,19,unchanged,no,no
22,Q-2026东城期末-3,20,19,merged_extra_trap_clause_into_trap_or_boundary,no,no
23,Q-2026东城期末-4,20,19,merged_extra_trap_clause_into_trap_or_boundary,no,no
24,Q-2026东城期末-5,19,19,unchanged,no,no
25,Q-2026东城期末-6,19,19,unchanged,yes,no
26,Q-2026朝阳期中-1,19,19,unchanged,no,no
27,Q-2026顺义一模-7,19,19,unchanged,no,no
28,Q-2024朝阳一模-9,19,19,unchanged,yes,no
29,Q-2025东城期末-1,19,19,unchanged,no,no
30,Q-2025东城期末-5,19,19,unchanged,yes,no
31,Q-2025顺义一模-3,20,19,merged_extra_trap_clause_into_trap_or_boundary,no,no
32,Q-2026通州期末-5,19,19,unchanged,yes,no
33,Q-2026通州期末-8,19,19,unchanged,yes,no
34,Q-2026顺义一模-6,19,19,unchanged,yes,no
35,Q-2026顺义一模-9,19,19,unchanged,no,no
36,Q-2024朝阳二模-7,19,19,unchanged,yes,no
37,Q-2024朝阳期中-9,19,19,unchanged,yes,no
38,Q-2025丰台期末-10,19,19,unchanged,yes,no
39,Q-2026通州期末-11,19,19,unchanged,yes,no
40,Q-2024朝阳二模-6,19,19,unchanged,yes,no
41,Q-2024朝阳期中-11,19,19,unchanged,yes,no
42,Q-2024朝阳期中-7,19,19,unchanged,yes,no
43,Q-2024朝阳期中-8,19,19,unchanged,yes,no
44,Q-2024海淀二模-6,19,19,unchanged,yes,no
45,Q-2025东城期末-13,19,19,unchanged,yes,no
46,Q-2025东城期末-14,19,19,unchanged,yes,no
47,Q-2025东城期末-15,19,19,unchanged,yes,no
48,Q-2025海淀期末-8,19,19,unchanged,yes,no
49,Q-2025顺义一模-6,19,19,unchanged,yes,no
50,Q-2025顺义一模-7,21,19,merged_BCD_option_analysis_into_trap_or_boundary,yes,no
51,Q-2026东城期末-7,19,19,unchanged,yes,no
52,Q-2026顺义一模-4,19,19,unchanged,yes,no
53,Q-2024朝阳一模-7,19,19,unchanged,yes,no
54,Q-2025丰台期末-7,19,19,unchanged,yes,no
55,Q-2025丰台期末-8,19,19,unchanged,yes,no
56,Q-2026通州期末-9,19,19,unchanged,yes,no
57,Q-2026顺义一模-3,19,19,unchanged,yes,no
