source_id,year,district_or_exam_scope,exam_type,suite_id,file_type,raw_category,candidate_evidence_level,verified_evidence_level,contains_xuanbiyi,contains_subjective_question,question_numbers_detected,has_scoring_detail,has_reference_answer,has_teaching_or_lecture,has_pdf_visual_risk,has_ppt_visual_risk,has_image_or_table,needs_ocr,status,blocker
SRC_d3bf32a70598,2024,北京,,2024_mixed_or_compilation_unknown_stage,.docx,北京2024各区《经济与社会》考题-wlfwlf.docx,unknown,unknown_needs_visual_check,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_7d9c899ad31f,2024,北京,,2024_mixed_or_compilation_unknown_stage,.pdf,北京及2024各区《经济与社会》考题-wlf.pdf,unknown,unknown_needs_visual_check,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_04f136a5f8d1,2024,丰台,一模,2024_丰台_一模,.docx,丰台一模/细则/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_a2905154bbd4,2024,丰台,一模,2024_丰台_一模,.pdf,丰台一模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_60a70dc180c6,2024,丰台,一模,2024_丰台_一模,.pdf,丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf,P1_candidate_reference_answer,P1_reference_answer,unknown,unknown,,no,yes,no,yes,no,no,yes,pending_phase02_recheck,
SRC_f887d1b620c6,2024,石景山,一模,2024_石景山_一模,.pptx,石景山一模/细则/细则.pptx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,yes,no,no,pending_phase02_recheck,
SRC_6fbd7d422e58,2024,石景山,一模,2024_石景山_一模,.docx,石景山一模/试卷/试卷.docx,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_df323259ba77,2024,朝阳,二模,2024_朝阳_二模,.pdf,2024朝阳二模/细则/细则.pdf,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_8802a640c1e2,2024,朝阳,二模,2024_朝阳_二模,.docx,2024朝阳二模/细则/补充材料/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_4de874d0f669,2024,朝阳,二模,2024_朝阳_二模,.pdf,2024朝阳二模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_461b3fdcd830,2024,西城,一模,2024_西城_一模,.docx,西城一模/细则/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_ae7373932e0b,2024,西城,一模,2024_西城_一模,.docx,西城一模/细则/补充材料/2024.4高三统一测试思想政治答案.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_7591c6b9885f,2024,西城,一模,2024_西城_一模,.docx,西城一模/细则/补充材料/~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_359083f91cd3,2024,西城,一模,2024_西城_一模,.docx,西城一模/试卷/试卷.docx,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_24d3e2778457,2024,西城,一模,2024_西城_一模,.xlsx,西城一模/其他材料/~$教学班报告--高三西城一模练习(政治)-高三年级政6.xlsx,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_0eb74816f25f,2024,顺义,二模,2024_顺义_二模,.docx,顺义思政二模/细则/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_3019384a5b42,2024,顺义,二模,2024_顺义_二模,.docx,顺义思政二模/试卷/试卷.docx,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_144e07c6e537,2024,东城,二模,2024_东城_二模,.pdf,东城二模/细则/补充材料/细则.pdf,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_f89c1a3533f5,2024,东城,二模,2024_东城_二模,.docx,东城二模/细则/分题细则/阅卷总结/18题/18（2）.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_c94e22c92a69,2024,东城,二模,2024_东城_二模,.docx,东城二模/细则/分题细则/阅卷总结/18题/18(1).docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_6f5e364530de,2024,东城,二模,2024_东城_二模,.pptx,东城二模/细则/分题细则/阅卷总结/16题/16题评分细则.pptx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,yes,no,no,pending_phase02_recheck,
SRC_9c72a99890c0,2024,东城,二模,2024_东城_二模,.docx,东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_593d33b50bbf,2024,东城,二模,2024_东城_二模,.docx,东城二模/细则/分题细则/阅卷总结/21题/20小题二模阅卷总结.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_82b0237dce42,2024,东城,二模,2024_东城_二模,.docx,东城二模/细则/分题细则/阅卷总结/21题/21.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_322c2db4a7fe,2024,东城,二模,2024_东城_二模,.pptx,东城二模/细则/分题细则/阅卷总结/21题/21题(1).pptx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,yes,no,no,pending_phase02_recheck,
SRC_242c241d6288,2024,东城,二模,2024_东城_二模,.docx,东城二模/细则/分题细则/阅卷总结/17题/17(1).docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_76b0722d57f1,2024,东城,二模,2024_东城_二模,.docx,东城二模/细则/分题细则/阅卷总结/17题/17-2.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_c492176058fd,2024,东城,二模,2024_东城_二模,.docx,东城二模/细则/分题细则/阅卷总结/19题/19（2）.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_9080f96f9701,2024,东城,二模,2024_东城_二模,.docx,东城二模/细则/分题细则/阅卷总结/19题/19（1）.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
SRC_6a382f2c9e97,2024,东城,二模,2024_东城_二模,.pdf,东城二模/试卷/试卷.pdf,P3_candidate_paper,P3_paper_only_pending_question_scan,unknown,unknown,,no,no,no,yes,no,no,yes,pending_phase02_recheck,
SRC_e61b8f13001a,2024,,一模,2024_unknown_district_一模,.docx,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,unknown,unknown_needs_visual_check,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_2cc62698b97c,2024,,一模,2024_unknown_district_一模,.docx,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必1.docx,unknown,unknown_needs_visual_check,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_98d21522da5e,2024,,一模,2024_unknown_district_一模,.docx,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修2 .docx,unknown,unknown_needs_visual_check,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_7e91ca9d6ed4,2024,,一模,2024_unknown_district_一模,.doc,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必3.doc,unknown,unknown_needs_visual_check,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_f3d24ca7308c,2024,,一模,2024_unknown_district_一模,.docx,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修4.docx,unknown,unknown_needs_visual_check,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_022512b3acc6,2024,,一模,2024_unknown_district_一模,.docx,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必2.docx,unknown,unknown_needs_visual_check,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_dc86b569e8e2,2024,,一模,2024_unknown_district_一模,.docx,202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修3.docx,unknown,unknown_needs_visual_check,unknown,unknown,,no,no,no,no,no,no,no,pending_phase02_recheck,
SRC_24a14c0c2355,2024,海淀,一模,2024_海淀_一模,.docx,2024海淀一模/细则/细则.docx,P0_candidate_scoring,pending_content_recheck,unknown,unknown,,yes,no,no,no,no,no,no,pending_phase02_recheck,
