entry_index,method_category,method_node,title,设问,答题提醒,同题说明,has_claim_terms
1,三、创新思维52,,2026东城一模 第19题第（4）问79,,,,False
2,一、科学思维,追求认识的客观性,2026顺义一模 第19题第（2）问,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,,本题6分，围绕科学思维三特征组织：客观性（蹲点观察、立足实际）、预见性（依趋势预判方向）、可检验性（多轮测试迭代检验）各约2分；本条只训练其一，完整作答须三特征合答。,True
3,一、科学思维,追求认识的客观性,2026顺义二模 第18题第（1）问,结合材料，运用《逻辑与思维》知识，请你对 AI 分析的观点进行点评。（6分）,本条只处理“结论二”对事故归因是否客观的问题；“结论一”属于形式逻辑中的一致性规则，不在本条展开。,,False
4,一、科学思维,追求认识的客观性,2025丰台一模 第18题第（1）问,（1）结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。（5分）,,本题5分，细则中“客观性+预见性+可检验性”三特征名称共2分须同时点出，再各配材料1分；三特征须都答，本条只训练其一，须三条合答方得满分。,True
5,一、科学思维,追求认识的客观性,2024海淀二模 第17题第（1）问,（1）结合材料，说明此次时间利用调查是如何体现科学思维的。（7分）,,,False
6,一、科学思维,追求认识的客观性,2026海淀一模 第17题（建议部分）,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,,本题建议部分4分，共2条建议（每条“建议1分＋知识1分”），知识角度可选科学思维（客观性／可检验性）、辩证思维（分析综合／矛盾分析法）、创新思维（发散聚合）等；两条建议各选一种不同角度，本条只训练其一（另：前半问为形式逻辑考点，本条只训练建议部分）。,True
7,一、科学思维,追求认识的客观性,2025石景山一模 第19题,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,,本题5分，细则三点：①客观性与可检验性合计2分（二者共用同一采分点、合并只得2分、不叠加）②归纳推理可靠程度2分③创新思维1分。本条只训练其一，作答须注意客观性与可检验性共用2分。,True
8,一、科学思维,追求认识的客观性,2024丰台一模 第19题第（2）问,在划线②处补全两种具体研究方法，并运用科学思维知识分别说明理由。（6分）,本题要先写出具体研究方法，如问卷调查法、访谈法、抽样调查法；科学思维只用于说明这些方法为什么合理，不要把超前思维、发散思维、联想思维直接当作方法名。,,False
9,一、科学思维,追求认识的客观性,2025门头沟一模 第21题第（1）问,"（1）运用科学思维知识，说明门头沟区从""千年煤城""向""京西智谷""转型的智慧。（9分）",原题是9分宽口径“科学思维”题，客观性/预见性在评分要求中属于可选或分层角度；本条只训练对应角度，不能把两条都当成同一题的独立满分答案。,本题9分，分三组：辩证思维（辩证否定／整体性／动态性／分析综合，四选一）、科学思维（客观性／预见性，二选一）、创新思维（联想＋超前等，须选二合用）；各组择路径，本条只训练其一，单条不等于满分答案。,True
10,一、科学思维,追求认识的客观性,2025西城一模 第17题,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,,本题7分，细则要求客观性／整体性／三新三维度（各约3分、至少一点深入才6—7分）；本条只训练其一，须三维度合答方得满分。,True
11,一、科学思维,追求认识的客观性,2026西城二模 第18题第（4）问,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,,本题7分，细则按三角度等级赋分：追求认识的客观性、辩证思维（全面／发展）、创新思维（三新或逆向思维）均按“观点1分＋对应展开1分＋扣材料解释1分”评价；三角度且至少一点深入可达6—7分。本条只训练其一，须三维度合答。,True
12,一、科学思维,追求认识的客观性,2026海淀二模 第18题第（1）问,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,,本题6分，细则按三个材料维度给分：市场调研、“减配”实验、上市前测试，每个维度2分（可选知识1分＋结合材料分析1分），共3个点。可选知识包括分析与综合、整体性／联系发展全面观点、矛盾分析法、量变质变、联想／逆向／超前、科学思维客观性／可检验性／预见性、不完全归纳推理等。本条只训练其一，完整作答须扣住三个材料维度分别选知识并结合材料分析，单条不等于满分答案。,True
13,一、科学思维,追求认识的客观性,2024门头沟一模 第20题,结合材料，运用《逻辑与思维》知识，说明模拟提案的完成过程是如何体现科学思维的。（7分）,,本题7分，设问要求说明模拟提案的完成过程如何体现科学思维，可从科学思维客观性、分析与综合、发散思维与聚合思维等角度，围绕“发现问题—研究论证—形成提案”展开；本条只训练其一，完整作答须多角度合答，单条不等于满分答案。,False
14,一、科学思维,追求认识的客观性,2025海淀期末 第17题第（1）问,（1）运用科学思维知识，分析这个“永动机”设计图的问题所在。,,,False
15,一、科学思维,追求认识的客观性,2026顺义一模 第19题第（2）问,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,,本题6分，围绕科学思维三特征组织：客观性（蹲点观察、立足实际）、预见性（依趋势预判方向）、可检验性（多轮测试迭代检验）各约2分；本条只训练其一，完整作答须三特征合答。,True
16,一、科学思维,追求认识的客观性,2025丰台一模 第18题第（1）问,（1）结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。（5分）,,本题5分，细则中“客观性+预见性+可检验性”三特征名称共2分须同时点出，再各配材料1分；三特征须都答，本条只训练其一，须三条合答方得满分。,True
17,一、科学思维,追求认识的客观性,2025门头沟一模 第21题第（1）问,"（1）运用科学思维知识，说明门头沟区从""千年煤城""向""京西智谷""转型的智慧。（9分）",原题是9分宽口径“科学思维”题，客观性/预见性在评分要求中属于可选或分层角度；本条只训练对应角度，不能把两条都当成同一题的独立满分答案。,本题9分，分三组：辩证思维（辩证否定／整体性／动态性／分析综合，四选一）、科学思维（客观性／预见性，二选一）、创新思维（联想＋超前等，须选二合用）；各组择路径，本条只训练其一，单条不等于满分答案。,True
18,一、科学思维,追求认识的客观性,2024丰台二模 第18题第（2）问,（2）有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分）,"本题与超前思维条目属于同一冰雪经济评析题的同一预测采分点；本条从科学思维“预见性”表达，正式作答仍要评析“预测不是充分条件”，不要当成两套独立答案重复堆写。
结果具有可检验性",本题6分（评析题），细则踩点：观点片面1分、合理性1分、逻辑不足1—2分、其他角度≤2分。“预见性”与“超前思维”对应同一“合理性”采分点、二者择一即可（不可叠加）；“矛盾分析法”属“其他角度”层。本条只训练一个角度，单条不等于满分答案。,True
