suite,question,module_decision,evidence_status,entries_created,coverage_status,notes
2026通州期末,Q20,in_scope,source_checked,6,drafted,"PPTX source checked; six-point scoring rule matches user correction; entries drafted in codex_lane/entries/2026通州期末_Q20.md."
2026朝阳期中,Q17,in_scope,source_checked,9,drafted,"DOCX source checked; total/subpoint structure confirmed; duplicate supplement DOCX matches; entries drafted in codex_lane/entries/2026朝阳期中_Q17.md."
2025海淀期中,Q16(2),in_scope,source_checked_with_visual_media,2,drafted,"DOCX text plus embedded image2/image3 visually read; entries drafted in codex_lane/entries/2025海淀期中_Q16_Q21.md."
2025海淀期中,Q21(2),in_scope,source_checked_with_visual_media,7,drafted,"DOCX text plus embedded image8 visually read; table scoring rule confirms '变/不变' layers; entries drafted in codex_lane/entries/2025海淀期中_Q16_Q21.md."
2025海淀期末,Q22,in_scope,source_checked,2,drafted,"PPTX XML confirms optional xuanbiyi angle: 人类命运共同体、中国智慧中国方案; entries drafted in codex_lane/entries/2025海淀期末_Q22.md with optional evidence layer marked."
2024东城一模,Q16,cross_book_confirmed,source_checked_with_visual_render,1,drafted,"PPTX XML confirms scoring allows 新型国际关系/国际关系民主化/人类命运共同体 despite 哲学与文化 prompt; paper prompt visually read from rendered PDF; entry drafted in codex_lane/entries/2024东城一模_Q16_Q20.md."
2024东城一模,Q20,cross_book_confirmed,source_checked_with_visual_render,2,drafted,"PPTX XML confirms 制度型开放/经济全球化/两个市场两种资源; paper prompt visually read from rendered PDF; 必修二 boundary terms excluded from main xuanbiyi entries."
2026东城期末,Q20,in_scope,source_checked,6,drafted,"PPTX rubric and paper PDF text checked; entries preserve four global initiatives plus system/practice layers in codex_lane/entries/2026东城期末_Q20.md."
2026朝阳一模,Q20,in_scope,source_checked,8,drafted,"DOCX rubric and paper PDF text checked;必答国际竞争/创新驱动 point preserved; boundary term 推进高水平对外开放 excluded from main xuanbiyi term slot."
2026顺义一模,Q20,in_scope,source_checked,5,drafted,"PPTX rubric and paper PDF text checked;共同利益 marked as必答; entries drafted for 南南合作/科技小院."
2025丰台期末,Q20,in_scope,source_checked,7,drafted,"PPTX rubric and paper PDF text checked; entries preserve theory logic and value implication for 中非战略性共识."
2026丰台一模,Q19,in_scope,source_checked_with_visual_render,6,drafted,"PPTX rubric checked and paper PDF visually rendered; entries preserve user-corrected 真正的多边主义/合作共赢 point."
2025海淀二模,Q21,in_scope,source_checked_with_visual_render,8,drafted,"DOCX rubric plus review checked and paper PDF visually rendered; entries preserve two-sided 中国需要联合国/联合国需要中国 structure."
2026西城期末,Q20,in_scope,source_checked_with_visual_render,8,drafted,"细则PDF视觉核读确认全球气候治理评分点；同步库教师版 PDF 第8页视觉读取补齐完整题面；entries drafted in codex_lane/entries/2026西城期末_Q20.md."
2026延庆一模,Q19(2),in_scope,source_checked_with_visual_render,5,drafted,"DOCX rubric and paper PDF text checked; visual render completed to recover full prompt ending 理论逻辑和价值意蕴."
2026石景山一模,Q20,in_scope,source_checked,5,drafted,"DOC rubric and paper PDF text checked; entries preserve optional 共同/开放/包容 keyword lanes."
2026西城一模,Q20(2),in_scope,source_checked,5,drafted,"DOCX paper and rubric checked; entries preserve 中国—东盟自贸区3.0 standard/rules, supply-chain, regional and global value layers."
2026门头沟一模,Q20,in_scope,source_checked,5,drafted,"DOCX rubric and paper PDF text checked; entries preserve 海南自贸港封关 economic-globalization terms while avoiding 必修二-only term drift."
2026海淀期末,__suite__,excluded,excluded,0,excluded,"User confirmed no 选必一; pypdf text contained no priority xuanbiyi hits; keep excluded unless new evidence appears."
2026石景山期末,__suite__,excluded,excluded,0,excluded,"Hard rule: no usable scoring rubric; only answer/reference PDF; do not include."
2024东城一模,答案补充PDF,needs_visual_read,needs_visual_read,0,pending_low_priority,"PDF text extraction empty; PPTX has main evidence and paper prompt has been visually rendered; supplemental PDF only needs visual/OCR if later source conflict appears."
