title,major,subtype,has_original,has_question,has_rubric,has_why,has_answer,missing
2024朝阳一模 第20题第（1）问（主观题）,一、充分条件假言推理与判断,有效式：肯定前件或否定后件，方向要走对,True,True,True,True,True,
2026通州期末 第19题第（2）问（主观题）,一、充分条件假言推理与判断,有效式：肯定前件或否定后件，方向要走对,True,True,True,True,True,
2026东城期末 第17题第（2）问（主观题）,一、充分条件假言推理与判断,陷阱：后件为真不能倒推前件,True,True,True,True,True,
2025西城二模 第16题第（2）问（主观题）,一、充分条件假言推理与判断,陷阱：后件为真不能倒推前件,True,True,True,True,True,
2026海淀期末 第20题第（1）问（主观题）,一、充分条件假言推理与判断,陷阱：后件为真不能倒推前件,True,True,True,True,True,
2024丰台一模 第19题第（1）问（主观题）,一、充分条件假言推理与判断,判断构造：把条件补成能推出结果的前件,True,True,True,True,True,
2025丰台二模 第19题第（1）问（主观题）,一、充分条件假言推理与判断,陷阱一：重要条件不等于充分条件,True,True,True,True,True,
2024丰台二模 第18题第（2）问（主观题）,一、充分条件假言推理与判断,陷阱一：重要条件不等于充分条件,True,True,True,True,True,
2025东城二模 第18题第（2）问（主观题）,一、充分条件假言推理与判断,陷阱二：形式像对，前提未必真,True,True,True,True,True,
2024朝阳一模 第20题第（2）问（主观题）,二、必要条件假言推理与判断,有效式：少了它不行，结果成立就要回找它,True,True,True,True,True,
2026丰台一模 第18题第（2）问（主观题）,二、必要条件假言推理与判断,有效式：少了它不行，结果成立就要回找它,True,True,True,True,True,
2025朝阳一模 第17题第（1）问（主观题）,二、必要条件假言推理与判断,陷阱：有了必要条件不等于结果必然成,True,True,True,True,True,
2026通州期末 第19题第（2）问（主观题）,二、必要条件假言推理与判断,陷阱：有了必要条件不等于结果必然成,True,True,True,True,True,
2024顺义二模 第7题（选择题）,二、必要条件假言推理与判断,必要条件的文字信号,True,True,True,True,True,
2024丰台一模 第11题（选择题）,二、必要条件假言推理与判断,必要条件与结论边界,True,True,True,True,True,
2026海淀二模 第5题（选择题）,二、必要条件假言推理与判断,必要条件与结论边界,True,True,True,True,True,
2026石景山一模 第6题（选择题）,二、必要条件假言推理与判断,必要条件与定义边界,True,True,True,True,True,
2026朝阳二模 第6题（选择题）,二、必要条件假言推理与判断,除非、否则与双重否定,True,True,True,True,True,
2026海淀二模 第6题（选择题）,二、必要条件假言推理与判断,必要条件与选言边界,True,True,True,True,True,
2026西城二模 第5题（选择题）,二、必要条件假言推理与判断,相容选言里不要误排斥,True,True,True,True,True,
2026东城期末 第17题第（2）问（主观题）,三、三段论、性质判断周延与换质位,先看三项：大项、小项、中项,True,True,True,True,True,
2026丰台一模 第18题第（2）问（主观题）,三、三段论、性质判断周延与换质位,先看三项：大项、小项、中项,True,True,True,True,True,
2026顺义一模 第19题第（1）问（主观题）,三、三段论、性质判断周延与换质位,三段论形式正确，前提仍要真实,True,True,True,True,True,
2026东城期末 第6题（选择题）,三、三段论、性质判断周延与换质位,补大前提：把省略规则说出来,True,True,True,True,True,
2026西城一模 第19题第（3）问（主观题）,三、三段论、性质判断周延与换质位,四概念：同一个词前后换了对象,True,True,True,True,True,
2025顺义一模 第7题（选择题）,三、三段论、性质判断周延与换质位,大项扩大：结论说得比前提更满,True,True,True,True,True,
2024朝阳二模 第7题（选择题）,三、三段论、性质判断周延与换质位,小项扩大：主语范围被偷偷放大,True,True,True,True,True,
2025房山一模 第16题第（2）问（主观题）,三、三段论、性质判断周延与换质位,构造三段论：先定中项桥梁,True,True,True,True,True,
2024丰台二模 第18题第（1）问（主观题）,三、三段论、性质判断周延与换质位,构造三段论：先定中项桥梁,True,True,True,True,True,
2025朝阳期末 第19题（主观题）,三、三段论、性质判断周延与换质位,有效结构：形式有效还要看前提,True,True,True,True,True,
2024东城一模 第7题（选择题）,三、三段论、性质判断周延与换质位,有效形式与真实前提要分开,True,True,True,True,True,
2024丰台一模 第7题（选择题）,三、三段论、性质判断周延与换质位,周延性：看概念有没有被说尽,True,True,True,True,True,
2024海淀二模 第6题（选择题）,三、三段论、性质判断周延与换质位,换位边界：不是每句话都能倒过来,True,True,True,True,True,
2026门头沟一模 第6题（选择题）,三、三段论、性质判断周延与换质位,类比与换位换质不要混判,True,True,True,True,True,
2026石景山一模 第5题（选择题）,三、三段论、性质判断周延与换质位,换质位：变形不能变意思,True,True,True,True,True,
2025丰台二模 第16题第（2）问（主观题）,三、三段论、性质判断周延与换质位,构建论证：让结论从共同前提长出来,True,True,True,True,True,
2026海淀二模 第20题第（1）问（主观题）,三、三段论、性质判断周延与换质位,构建论证：让结论从共同前提长出来,True,True,True,True,True,
2025西城期末 第17题第（2）问（主观题）,三、三段论、性质判断周延与换质位,构建论证：让结论从共同前提长出来,True,True,True,True,True,
2026丰台二模 第8题（选择题）,三、三段论、性质判断周延与换质位,综合辨析：换位、三段论、外延分开看,True,True,True,True,True,
2026东城二模 第12题（选择题）,三、三段论、性质判断周延与换质位,省略前提：把隐藏的大前提补回来,True,True,True,True,True,
2026朝阳一模 第17题第（1）问前半（主观题）,四、归纳推理与探求因果联系,不完全归纳推理,True,True,True,True,True,
2024.11朝阳期中 第18题（主观题）,四、归纳推理与探求因果联系,不完全归纳推理,True,True,True,True,True,
2026石景山一模 第7题（选择题）,四、归纳推理与探求因果联系,不完全归纳推理,True,True,True,True,True,
2026海淀二模 第7题（选择题）,四、归纳推理与探求因果联系,不完全归纳推理,True,True,True,True,True,
2025朝阳二模 第17题（主观题）,四、归纳推理与探求因果联系,不完全归纳推理可靠程度,True,True,True,True,True,
2024海淀一模 第18题第（2）问（主观题）,四、归纳推理与探求因果联系,不完全归纳推理可靠程度,True,True,True,True,True,
2026海淀一模 第17题第（2）问（主观题）,四、归纳推理与探求因果联系,不完全归纳推理可靠程度,True,True,True,True,True,
2025石景山一模 第19题（主观题）,四、归纳推理与探求因果联系,不完全归纳推理可靠程度,True,True,True,True,True,
2024西城二模 第18题第（1）问（主观题）,四、归纳推理与探求因果联系,科学归纳推理与不完全归纳推理,True,True,True,True,True,
2024海淀二模 第5题（选择题）,四、归纳推理与探求因果联系,探求因果联系中的求异法,True,True,True,True,True,
2024东城二模 第17题第（2）问（主观题）,四、归纳推理与探求因果联系,科学归纳、求异法与类比推理,True,True,True,True,True,
2024.11朝阳期中 第18题（主观题）,五、类比推理,类比推理,True,True,True,True,True,
2026顺义一模 第4题（选择题）,五、类比推理,类比推理,True,True,True,True,True,
2024朝阳二模 第19题第（1）问（主观题）,五、类比推理,类比推理,True,True,True,True,True,
2026东城二模 第18题（主观题）,五、类比推理,类比推理,True,True,True,True,True,
2026海淀一模 第17题第（1）问（主观题）,六、概念、定义、外延关系与划分,概念划分规则,True,True,True,True,True,
2026西城一模 第19题第（3）问（主观题）,六、概念、定义、外延关系与划分,同一律与偷换概念,True,True,True,True,True,
2026顺义一模 第2题（选择题）,六、概念、定义、外延关系与划分,概念外延关系错项辨析,True,True,True,True,True,
2024西城一模 第19题第（2）问（主观题）,六、概念、定义、外延关系与划分,定义构成与属加种差定义,True,True,True,True,True,
2024西城一模 第19题第（3）问（主观题）,六、概念、定义、外延关系与划分,概念外延中的相容关系与属种关系,True,True,True,True,True,
2024石景山一模 第7题（选择题）,六、概念、定义、外延关系与划分,概念外延关系图示辨析,True,True,True,True,True,
2026朝阳二模 第19题第（1）问（主观题）,六、概念、定义、外延关系与划分,定义方法与种差加属概念,True,True,True,True,True,
2026石景山二模 第7题（选择题）,六、概念、定义、外延关系与划分,同一律与概念确定性,True,True,True,True,True,
2026海淀一模 第17题第（1）问（主观题）,七、选言推理、联言判断与复合判断,选言判断,True,True,True,True,True,
2026西城一模 第19题第（3）问（主观题）,七、选言推理、联言判断与复合判断,反对关系与联言判断,True,True,True,True,True,
2025海淀一模 第21题第（1）问（主观题）,七、选言推理、联言判断与复合判断,不相容选言推理（有效式）,True,True,True,True,True,
2025丰台期末 第9题（选择题）,七、选言推理、联言判断与复合判断,不相容选言推理无效式辨析,True,True,True,True,True,
2024东城一模 第8题（选择题）,七、选言推理、联言判断与复合判断,复合假言与选言推理链,True,True,True,True,True,
2024海淀一模 第6题（选择题）,七、选言推理、联言判断与复合判断,选言推理与逆向思维复合辨析,True,True,True,True,True,
2024海淀一模 第7题（选择题）,七、选言推理、联言判断与复合判断,联言判断类型识别,True,True,True,True,True,
2024朝阳二模 第19题第（2）问（主观题）,七、选言推理、联言判断与复合判断,联言判断真值条件,True,True,True,True,True,
2024顺义二模 第6题（选择题）,七、选言推理、联言判断与复合判断,复合判断识别与逻辑规则辨析,True,True,True,True,True,
2026东城期末 第17题第（2）问（主观题）,八、真假关系、逻辑规律与关系判断,矛盾律,True,True,True,True,True,
2026东城期末 第7题（选择题）,八、真假关系、逻辑规律与关系判断,矛盾关系与真假判断,True,True,True,True,True,
2024朝阳一模 第6题（选择题）,八、真假关系、逻辑规律与关系判断,形式逻辑综合选择题,True,True,True,True,True,
2026朝阳一模 第5题（选择题）,八、真假关系、逻辑规律与关系判断,关系判断与非传递关系,True,True,True,True,True,
2025丰台二模 第13题（选择题）,八、真假关系、逻辑规律与关系判断,关系判断与非传递关系,True,True,True,True,True,
2025朝阳期末 第19题（主观题）,八、真假关系、逻辑规律与关系判断,排中律与两不可错误,True,True,True,True,True,
2025朝阳期末 第19题（主观题）,八、真假关系、逻辑规律与关系判断,矛盾律与自相矛盾错误,True,True,True,True,True,
2024东城一模 第6题（选择题）,八、真假关系、逻辑规律与关系判断,逻辑规则综合选择,True,True,True,True,True,
2024西城一模 第11题（选择题）,八、真假关系、逻辑规律与关系判断,枚举概括与同一对象替换,True,True,True,True,True,
2026丰台二模 第9题（选择题）,八、真假关系、逻辑规律与关系判断,真假话约束推理,True,True,True,True,True,
2026顺义二模 第18题第（1）问（主观题）,八、真假关系、逻辑规律与关系判断,矛盾律与一致性要求,True,True,True,True,True,
