"question_id","year","district","exam_stage","question_no","evidence_status","chain_state","真实设问","真实材料核心","主入口","副入口","主材料触发_1","主材料触发_2","主材料触发_3","禁止命中","答案骨架","飞哥想说","最终处理","正文口径"
"CC0002_2024_丰台_一模_17","2024","丰台","一模","17","PASS","已写题链","结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。","甲某无偿搭乘乙某车辆且未系安全带；乙某雨天驾驶发生交通事故致甲某受伤；民法典好意同乘规则要求对非故意、非重大过失的驾驶人减轻赔偿责任。","问法院减轻赔偿责任的理由与意义","法律制度意义","无偿搭乘交通事故 → 好意同乘下适用侵权责任减责规则 → 无偿帮忙关系中驾驶人无故意或重大过失，可依法酌情减轻赔偿责任","驾驶人无故意或重大过失 → 过错程度影响责任承担 → 法院不是否定赔偿，而是在责任范围内公平衡量","搭乘人未系安全带 → 受害人自身过错影响责任分担 → 损害后果与双方注意义务共同进入裁判衡量","合同成立|人格权主轴|消费者欺诈|平台用工","先说明本案是好意同乘交通损害，不是合同纠纷。 / 再写驾驶人无故意或重大过失，无偿搭乘关系下可酌情减轻赔偿责任。 / 最后写这样既保护受害人合法权益，也鼓励互助善意并守住安全责任边界。","本题本质是“好心帮忙出了事故，法律既讲责任也讲公平”。","重写","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0011_2024_丰台_二模_17","2024","丰台","二模","17","PASS","已写题链","运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。","民法典守护碧水蓝天。案例一：某公司发明污水污泥分离技术，解决长期污水污泥分离难题，并在农村污水净化处理项目中应用推广。案例二：甲公司长期超标排放废水、废气等污染物损害环境公共利益，乙环境研究所提起环境民事公益诉讼，法院判令甲公司立即停止侵权、消除危险、赔偿环境损失。","问法律规定的生态保护作用","规则意义","专利技术治理污水 → 民法典保护知识产权也服务生态治理 → 技术创新能为环境保护提供法治保护和实践支撑","长期超标排污损害公共利益 → 污染破坏生态应承担侵权责任 → 民法典用责任机制约束破坏环境行为","法院判令停止侵害、消除危险、赔偿损失 → 法律责任落到修复和预防 → 保护生态环境不是口号，而是权利义务责任的落地","知识产权侵权主轴|消费者|平台用工","先写民法典绿色原则要求民事活动有利于节约资源、保护生态环境。 / 再结合两个案例写知识产权保护促进绿色技术应用，侵权责任追究约束污染行为。 / 最后落到民法典以权利保护、义务约束和责任承担推动生态环境保护。","本题不是知识产权侵权题，是“民法典怎样把绿色发展落到民事规则里”。","重写","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0054_2024_石景山_一模_17","2024","石景山","一模","17","PASS","已写题链","运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。","乙公司发布碳排放配额采购比选公告；甲公司报价内容具体明确并承诺违约补差；乙公司确认中标并送达通知，之后甲公司拒不履行导致乙公司高价另购。","问合同成立理由与判决意义","绿色交易意义","报价内容具体明确 → 构成要约 → 具备合同成立的意思表示基础","中标通知送达 → 承诺生效 → 甲乙之间合同成立","拒不履行 → 违反全面履行和诚信原则 → 应承担违约责任并服务绿色交易秩序","多主体过错|平台用工|消费者欺诈|普通纠纷解决","先写报价具体明确构成要约，中标通知到达构成承诺，合同成立。 / 再写合同成立后双方应全面履行、遵循诚信原则，拒不履行应担责。 / 最后从碳排放配额交易看，判决维护交易安全，也服务绿色发展。","这才是真合同题：要约、承诺、成立、履行，一步不能跳。","重写","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0103_2025_丰台_一模_19","2025","丰台","一模","19","PASS","已写题链","结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。","19. 2024 年6 月，最高人民法院知识产权法庭对一起因技术秘密侵权纠纷上诉案作出判决。原告方下 属公司的近40 名高级管理人员及技术人员离职后加入被告方，并利用在原单位接触的技术信息申请了12 件实用新型专利。 根据《中华人民共和国反不正当竞争法》，最高人民法院知识产权法庭依法适用2 倍惩罚性赔偿，判 决被告方赔偿原告方经济损失及维权合理开支合计6.4 亿余元，创下我国知识产权侵权诉讼判赔数额新 高。 该案在停止侵害民事责任承担的具体方式、内容、范围，以及拒绝履行、停止…","问典型案例意义","规则意义","核心人员离职后使用原单位技术秘密 → 技术秘密受法律保护 → 不正当获取使用应担责","申请实用新型专利并投入竞争 → 侵害权利并破坏公平竞争 → 提高侵权成本才有震慑","法院适用惩罚性赔偿 → 加强知识产权司法保护 → 激励真创新、保护新质生产力","合同成立|消费者|平台用工","先写技术秘密属于知识产权保护对象，任何主体不得以不正当手段获取和使用。 / 再结合离职人员、专利申请和竞争行为说明侵权及不正当竞争。 / 最后写惩罚性赔偿提高违法成本，有利于保护科技创新和公平竞争。","创新题先写权利和责任，最后才写创新价值。","保留","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0119_2025_丰台_期末_19","2025","丰台","期末","19","PASS","v12回填题链","请运用《法律与生活》相关知识阐释法院的裁判理由。","尹某在购物中心任主管期间违反管理规章，单位结合经营需要调整其岗位。尹某消极怠工、经常无故旷工，经多次提醒仍未改变。购物中心解除劳动合同，尹某诉请支付违法赔偿金，法院驳回其诉讼请求。","问法院裁判理由","劳动纪律；解除劳动合同","尹某违反规章、消极怠工、无故旷工 → 劳动者应完成劳动任务、遵守劳动纪律和职业道德 → 未履行劳动者义务","购物中心多次提醒后仍未改变 → 严重违反用人单位规章制度 → 用人单位可依法解除劳动合同","法院驳回赔偿请求 → 解除行为合法、不构成违法解除 → 保护用人单位合理用工自主权，提醒劳动者权利义务统一","只写劳动者权利|把单位调岗写成单方侵权|空写公平正义","先写劳动者既有权利也有义务。 / 再结合尹某旷工和违反规章说明解除有法律依据。 / 最后写法院驳回赔偿请求，维护合理用工秩序和健康劳动关系。","劳动题别只背“保护劳动者”。劳动者严重违纪时，法律也保护用人单位的合理管理。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0125_2025_延庆_一模_19","2025","延庆","一模","19","PASS","已写题链","运用《法律与生活》知识，说明你会如何进行调解并说 明理由。","19. 网络经济持续健康发展，需要法治护航。 案情：杨某在贾某经营的网店下单DIY 模具类商品4 件，售价78 元，杨某签收后对商品不满意，在 未与贾某协商一致的情况下，直接点击了“仅退款”并退款成功。贾某要求杨某退回商品，杨某表示已经 将商品扔掉，无法退回。 贾某认为双方应当先确定货物是否存在质量问题，是否符合“仅退款”标准。杨某退款后应当退还货 物，虽然商品实际售价仅78 元，但杨某恶意“仅退款”的做法让自己遭受了商品损失和邮费损失。杨某 则认为商品质量不合格，达不到预期…","问调解理由","材料证明","消费者退款后未退货 → 合同解除或退款后应返还相应利益 → 诚信原则约束双方","商品质量争议证据不足 → 调解不能直接偏向一方 → 要提示证据意识","商家损失较小且纠纷适合协商 → 调解方案应兼顾公平和效率 → 促成退货/合理补偿","惩罚性赔偿|平台用工|知识产权","先表明调解应围绕诚信原则和公平原则。 / 再说明消费者不能退款后占有商品，商家也要举证商品质量和损失。 / 最后提出退货、补偿或协商方案，兼顾双方利益。","调解题不是判案，要给方案加理由。","保留","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0131_2025_房山_一模_19","2025","房山","一模","19","PASS","已写题链","结合材料，谈谈“真创新”受到“真保护”的法治价值。","A集团近40名高管及技术人员离职赴B集团工作；B集团利用离职人员在原单位接触掌握的新能源汽车底盘技术信息申请12件实用新型专利，并在无合法技术来源情况下短期推出相关车型；法院认定B集团以不正当手段侵害A集团技术秘密，适用2倍惩罚性赔偿，判赔6.4亿余元。","问法治价值/意义","知识产权保护","离职人员利用原单位技术秘密 → 技术秘密受反不正当竞争保护 → 不正当获取使用应承担责任","无合法技术来源却短期推出车型 → 破坏公平竞争和创新秩序 → 侵权成本必须提高","法院适用2倍惩罚性赔偿 → 严格保护真创新 → 让侵权者付出足够代价","合同成立|消费者|平台用工|裸写法治价值","先写技术秘密和知识产权应受法律保护。 / 再结合离职人员、技术信息、无合法来源说明B集团构成不正当竞争。 / 最后写惩罚性赔偿提高侵权成本，维护公平竞争，激励真创新。","“真创新真保护”不是喊创新，是把偷技术这件事按不正当竞争打穿。","重写","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0137_2025_昌平_二模_20","2025","昌平","二模","20","PASS","已写题链","阅读材料，运用《法律与生活》知识，完成裁判理由。","（1）李某使用 AI 绘图软件制作图片，加“AI 绘画”等标签发布；刘某未经许可拿来配图并抹去水印；法院支持李某诉讼请求。（2）小王申请开通信用卡，声明已阅览申请材料并愿意遵守领用合约；使用信用卡透支消费后未按约还款；银行诉至法院；法院判决小王偿还本金和利息。","裁判理由 / 补表 / 完成理由","一格一链","AI 不能成为著作权主体，但李某使用 AI 形成具备智力成果和独创性的图片 → 受著作权法保护 → AI 格先判主体与作品保护","刘某未经许可使用并抹去水印 → 侵犯信息网络传播权/署名权 → 应承担侵权责任","小王真实意思表示申请信用卡并同意合约，合同有效；透支后拒不还款 → 构成违约 → 偿还本金和利息","平台用工|消费者欺诈|公共场所侵权|动物侵权|只写创新价值","AI 格：AI 不是著作权主体，但李某使用 AI 形成的独创性智力成果受保护；刘某未经许可使用并抹水印，侵犯著作权，应担责。 / 信用卡格：双方信用卡领用合约合法有效，小王透支后未按约还款，违反诚信和全面履行原则，应承担违约责任。 / 裁判理由题是一格一链，不能把两个格子糊成一个创新题。","裁判理由题是一格一链，不能把两个格子糊成一个创新题。","重写","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0213_2025_门头沟_一模_20","2025","门头沟","一模","20","PASS","v12回填题链","结合以下案例，参照所给出完成下表。","案例一给出“我不是胖虎”美术作品著作权侵权示例。案例二：孙某应聘甲公司时简历只写4段工作经历，入职后查明其7年间曾在17家公司任职；甲公司以未如实提供工作经历为由，在试用期内解除劳动关系。","完成裁判要点 / 参照示例","著作权；劳动合同诚信","“我不是胖虎”作品未经许可被用作微博图片 → 著作权人作品被信息网络传播使用 → 停止侵害、删除内容、赔偿损失","孙某简历隐瞒大量工作经历 → 违反订立劳动合同的诚实信用原则，损害用人单位知情权 → 劳动合同效力和解除合法性受到影响","甲公司基于查证结果解除劳动关系 → 解除劳动关系符合法律规定 → 维护用人单位合法权益并约束劳动者诚信应聘","把劳动案写成普通合同|只写劳动者被保护|把著作权案例价值套到劳动案例","先照案例一的格式：裁判结果、裁判理由、现实意义。 / 案例二结果写驳回孙某请求，甲公司无需赔偿。 / 理由写诚实信用、知情权、劳动合同无效或解除合法；意义写维护用人单位权益和诚信劳动关系。","参照示例题不要自由发挥。人家给了格式，就按格式补齐“结果—理由—意义”。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0214_2025_门头沟_一模_20_2","2025","门头沟","一模","20","PASS","v12回填题链","参照案例一，完成案例二的裁判理由。","孙某入职甲公司时隐瞒真实工作经历，甲公司在违背真实意思情况下与其签订劳动合同；试用期内查证后解除劳动关系，孙某请求赔偿。","裁判理由补写","劳动合同诚信","孙某应聘时隐瞒真实工作经历 → 违反诚实信用原则和劳动者职业道德 → 用人单位知情权受损","甲公司在不知真实经历情况下签订劳动合同 → 意思表示不真实 → 劳动合同可认定无效或部分无效","甲公司查证后解除劳动关系 → 解除有法律依据 → 无需支付赔偿金","只写孙某有就业权|把所有劳动题都写成平台用工|忽略“真实意思表示”","先写劳动合同订立要遵循诚实信用。 / 再写孙某隐瞒经历使甲公司违背真实意思签约。 / 最后写甲公司解除劳动关系合法，不承担赔偿责任。","这题的关键不是“简历不好看”，是“隐瞒影响用人单位真实意思”。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
