suite_id,detected_question_count,missing_if_expected_1_to_21,triage_status,triage_note,primary_detected_questions,auxiliary_detected_questions,matrix_detected_questions
2024_东城_一模,20,4,paper_or_ocr_missing_but_auxiliary_present,auxiliary_sources_have_missing_questions=4,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,1 2 3 4,1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
2024_朝阳_二模,20,21,likely_actual_20_question_paper,primary_sources_have_1_to_20_no_21,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,1 2 3 16 17 18 19 20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2024_朝阳_期中,20,21,likely_actual_20_question_paper,primary_sources_have_1_to_20_no_21,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,1 2 3 4 16 17 18 19 20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2024_海淀_一模,20,21,likely_actual_20_question_paper,primary_sources_have_1_to_20_no_21,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,1 2 3 6 11 16 17 18 19 20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2024_海淀_期中,20,21,likely_actual_20_question_paper,primary_sources_have_1_to_20_no_21,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,1 2 3 4 5 19,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2024_石景山_一模,20,21,likely_actual_20_question_paper,primary_sources_have_1_to_20_no_21,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,1 2 3 4,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2024_西城_一模,18,5 20 21,source_or_ocr_missing_no_candidate,missing_questions_absent_from_primary_and_auxiliary_candidates,1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19,1 6 11 16 17 18 19,1 2 3 4 6 7 8 9 10 11 12 13 14 15 16 17 18 19
2024_西城_二模,16,1 4 15 20 21,paper_or_ocr_missing_but_auxiliary_present,auxiliary_sources_have_missing_questions=1,2 3 5 6 7 8 9 10 11 12 13 14 16 17 18 19,1 2 3 6 11 16 17 18 19,2 3 5 6 7 8 9 10 11 12 13 14 16 17 18 19
2024_顺义_二模,16,6 9 14 20 21,paper_or_ocr_missing_but_auxiliary_present,"auxiliary_sources_have_missing_questions=6,20",1 2 3 4 5 7 8 10 11 12 13 15 16 17 18 19,1 6 11 17 19 20,1 2 3 4 5 7 8 10 11 12 13 15 16 17 18 19
2025_房山_一模,20,21,likely_actual_20_question_paper,primary_sources_have_1_to_20_no_21,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,1 2 3 4 5 6 16 17 18 19 20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2025_西城_二模,20,21,likely_actual_20_question_paper,primary_sources_have_1_to_20_no_21,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,1 6 11 16 17 18 19 20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
