question_id,year,district,exam_stage,question_no,运行分组,证据等级,设问入口,命中框架,材料触发行,答案骨架,反向筛查,飞哥想说
CC0002_2024_丰台_一模_17,2024,丰台,一模,17,PASS,正式题,问理由/为什么支持,问理由/为什么支持；合同成立/要约承诺/履约违约；人格权/隐私/名誉/肖像/个人信息；纠纷解决/调解/仲裁/诉讼/举证；先表态，再证明；一主体一链,- 17.   《中华人民共和国民法典》 第一千二百一十七条 非营运机动车发生交通事故造 成无偿搭乘人损害，属于该机动车一方责任的，应当 减轻其赔偿责任，但是机动车使用人有故意或重大过… → 合同关系成立或有效后，当事人依法全面履行；违约要担责 → 合同成立/有效、全面履行、诚信原则、违约责任 / - 17.   《中华人民共和国民法典》 第一千二百一十七条 非营运机动车发生交通事故造 成无偿搭乘人损害，属于该机动车一方责任的，应当 减轻其赔偿责任，但是机动车使用人有故意或重大过… → 点出具体人格权，再写侵害行为和责任 → 人格权、侵害行为、停止侵害/道歉/赔偿 / - 法院综合考虑本案好意同乘时的具体情况、事故事实以及被告乙某主动承担部分责任的行为等，酌情减轻 乙某赔偿责任。 法院综合考虑本案好意同乘时的具体情况、事故事实以及被告乙某主动承担部分… → 按纠纷性质选路径，说明理由和证据 → 调解优先、依法维权、举证责任、程序救济,1. 先按“问理由/为什么支持”确定本题交付物。 / 2. 再抓“合同成立/要约承诺/履约违约”这类材料信号，写出对应法律判断。 / 3. 最后用“先表态，再证明”把规则、材料、结论扣在一起。,- 不要写成法院的误区；先筛：具体私法规则、权利义务责任。 / - 不要写成意义题的误区；先筛：价值是否从规则推出。,本题本质是：用“合同成立/要约承诺/履约违约”把生活事实翻成法律得分点。
CC0011_2024_丰台_二模_17,2024,丰台,二模,17,PASS,正式题,问理由/为什么支持,问理由/为什么支持；知识产权/作品/商标/专利；相邻关系/物权边界/绿色原则/生态保护；法律制度意义/规则保护谁规范谁；一主体一链；一事实一法律词,- 在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。 在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。 … → 先判权利对象，再判侵害方式 → 知识产权保护、侵权责任、保护创新 / - 17.  民法典规定的绿色原则为生态环境保护提供了基本遵循。 17.  民法典规定的绿色原则为生态环境保护提供了基本遵循。 民法典 → 把生活边界转成物权/民法原则/生态责任 → 相邻关系、绿色原则、生态保护、合理预防损害 / - 民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。 民法典上述条款合理地确定了民事主… → 先规则后价值，讲保护谁、规范谁、救济谁 → 明确权利义务责任、稳定预期、维护秩序,1. 先按“问理由/为什么支持”确定本题交付物。 / 2. 再抓“知识产权/作品/商标/专利”这类材料信号，写出对应法律判断。 / 3. 最后用“一主体一链”把规则、材料、结论扣在一起。,- 不要写成企业的误区；先筛：经营措施还是法律责任。 / - 不要写成意义题的误区；先筛：价值是否从规则推出。,本题本质是：用“知识产权/作品/商标/专利”把生活事实翻成法律得分点。
CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,PASS,正式题,问意义/价值/作用,问意义/价值/作用；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；纠纷解决/调解/仲裁/诉讼/举证；一主体一链；一规则一价值,"- 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利； 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事… → 合同关系成立或有效后，当事人依法全面履行；违约要担责 → 合同成立/有效、全面履行、诚信原则、违约责任 / - 诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。 诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。 经营者 → 先写消费者权利，再写欺诈和救济 → 知情权、公平交易权、自主选择权、欺诈、退赔、惩罚性赔偿 / - 司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 → 按纠纷性质选路径，说明理由和证据 → 调解优先、依法维权、举证责任、程序救济",1. 先按“问意义/价值/作用”确定本题交付物。 / 2. 再抓“合同成立/要约承诺/履约违约”这类材料信号，写出对应法律判断。 / 3. 最后用“一主体一链”把规则、材料、结论扣在一起。,- 不要写成法治的误区；先筛：有没有具体权利义务责任。 / - 不要写成企业的误区；先筛：经营措施还是法律责任。,本题本质是：用“合同成立/要约承诺/履约违约”把生活事实翻成法律得分点。
CC0025_2024_朝阳_二模_17,2024,朝阳,二模,17,PASS,正式题,问理由/为什么支持,问理由/为什么支持；合同成立/要约承诺/履约违约；平台用工/合作协议/三从属性；纠纷解决/调解/仲裁/诉讼/举证；先表态，再证明；一事实一法律词,"- 王某认为其与甲公司之间实际上 已构成劳动关系,甲公司应当支付解除 劳动合同经济补偿,甲公司以双方是合 作关系为由拒绝,王某遂向仲裁委员会 申请仲裁。 王某认为其与甲公司之间实际上 … → 合同关系成立或有效后，当事人依法全面履行；违约要担责 → 合同成立/有效、全面履行、诚信原则、违约责任 / - 17. 人力资源社会保障部和最高人民法院联合发布了一批涉及平台经济的劳动人 事争议典型案例,供各地仲裁机构、人民法院在办案中予以参照。 17. 人力资源社会保障部和最高人民法院联合… → 不看协议名，先看人格、经济、组织从属性 → 三从属性、事实劳动关系、劳动权益保护 / - 17. 人力资源社会保障部和最高人民法院联合发布了一批涉及平台经济的劳动人 事争议典型案例,供各地仲裁机构、人民法院在办案中予以参照。 17. 人力资源社会保障部和最高人民法院联合… → 按纠纷性质选路径，说明理由和证据 → 调解优先、依法维权、举证责任、程序救济",1. 先按“问理由/为什么支持”确定本题交付物。 / 2. 再抓“合同成立/要约承诺/履约违约”这类材料信号，写出对应法律判断。 / 3. 最后用“先表态，再证明”把规则、材料、结论扣在一起。,- 不要写成法院的误区；先筛：具体私法规则、权利义务责任。 / - 不要写成企业的误区；先筛：经营措施还是法律责任。,本题本质是：用“合同成立/要约承诺/履约违约”把生活事实翻成法律得分点。
CC0054_2024_石景山_一模_17,2024,石景山,一模,17,PASS,正式题,问理由/为什么支持,问理由/为什么支持；合同成立/要约承诺/履约违约；纠纷解决/调解/仲裁/诉讼/举证；多主体过错/未成年人/监护/平台；先表态，再证明；一主体一链,- 17．（） 2023 年 12 月 28 日，北京市第三中级人民法院终审公开宣判北京甲环保公司与四川乙发电公司合同纠纷一案，该案系北京市首例碳排放权交易纠纷案件。 17．（） 20… → 合同关系成立或有效后，当事人依法全面履行；违约要担责 → 合同成立/有效、全面履行、诚信原则、违约责任 / - 17．（） 2023 年 12 月 28 日，北京市第三中级人民法院终审公开宣判北京甲环保公司与四川乙发电公司合同纠纷一案，该案系北京市首例碳排放权交易纠纷案件。 17．（） 20… → 按纠纷性质选路径，说明理由和证据 → 调解优先、依法维权、举证责任、程序救济 / - 17．（） 2023 年 12 月 28 日，北京市第三中级人民法院终审公开宣判北京甲环保公司与四川乙发电公司合同纠纷一案，该案系北京市首例碳排放权交易纠纷案件。 → 不能只找一个人，一主体一链分责 → 各方过错、监护责任、公平分担、保护未成年人,1. 先按“问理由/为什么支持”确定本题交付物。 / 2. 再抓“合同成立/要约承诺/履约违约”这类材料信号，写出对应法律判断。 / 3. 最后用“先表态，再证明”把规则、材料、结论扣在一起。,- 不要写成法院的误区；先筛：具体私法规则、权利义务责任。 / - 不要写成法治的误区；先筛：有没有具体权利义务责任。,本题本质是：用“合同成立/要约承诺/履约违约”把生活事实翻成法律得分点。
CC0063_2024_西城_二模_16,2024,西城,二模,16,PASS,正式题,问评析/认识,问评析/认识；消费者欺诈/虚假宣传/隐瞒/搭售；知识产权/作品/商标/专利；不正当竞争/混淆/商业诋毁/虚假宣传；先表态，再证明；一主体一链,- 市民甲首单购买的30盒“黄芪薏米饼干”未超出合理生活消费需要，对其就该部分饼干提出的惩罚性赔偿请求应予支持。 市民甲首单购买的30盒“黄芪薏米饼干”未超出合理生活消费需要，对其就该… → 先写消费者权利，再写欺诈和救济 → 知情权、公平交易权、自主选择权、欺诈、退赔、惩罚性赔偿 / - 16． 市民甲在某食品科技有限公司开设的网店中购买了30盒“黄芪薏米饼干”，付款516元。 → 先判权利对象，再判侵害方式 → 知识产权保护、侵权责任、保护创新 / - 16． 市民甲在某食品科技有限公司开设的网店中购买了30盒“黄芪薏米饼干”，付款516元。 → 先看是否破坏公平竞争秩序 → 不正当竞争、停止侵害、赔偿、维护竞争秩序,1. 先按“问评析/认识”确定本题交付物。 / 2. 再抓“消费者欺诈/虚假宣传/隐瞒/搭售”这类材料信号，写出对应法律判断。 / 3. 最后用“先表态，再证明”把规则、材料、结论扣在一起。,- 不要写成法院的误区；先筛：具体私法规则、权利义务责任。 / - 不要写成法治的误区；先筛：有没有具体权利义务责任。,本题本质是：用“消费者欺诈/虚假宣传/隐瞒/搭售”把生活事实翻成法律得分点。
CC0077_2025_东城_一模_19,2025,东城,一模,19,PASS,正式题,问评析/认识,问评析/认识；合同成立/要约承诺/履约违约；平台用工/合作协议/三从属性；纠纷解决/调解/仲裁/诉讼/举证；先表态，再证明；一主体一链,- 案件一 张某与某公司签订《家庭装修合同》，因公司未按工期完工，张某诉至法院，要求赔偿损失并 支付违约金。 案件一 张某与某公司签订《家庭装修合同》，因公司未按工期完工，张某诉至法院… → 合同关系成立或有效后，当事人依法全面履行；违约要担责 → 合同成立/有效、全面履行、诚信原则、违约责任 / - 19. 法治以“固根本、稳预期、利长远”的治理效能，夯实人民群众可感可及的公平正义。 → 不看协议名，先看人格、经济、组织从属性 → 三从属性、事实劳动关系、劳动权益保护 / - 案件一 张某与某公司签订《家庭装修合同》，因公司未按工期完工，张某诉至法院，要求赔偿损失并 支付违约金。 案件一 张某与某公司签订《家庭装修合同》，因公司未按工期完工，张某诉至法院… → 按纠纷性质选路径，说明理由和证据 → 调解优先、依法维权、举证责任、程序救济,1. 先按“问评析/认识”确定本题交付物。 / 2. 再抓“合同成立/要约承诺/履约违约”这类材料信号，写出对应法律判断。 / 3. 最后用“先表态，再证明”把规则、材料、结论扣在一起。,- 不要写成法院的误区；先筛：具体私法规则、权利义务责任。 / - 不要写成法治的误区；先筛：有没有具体权利义务责任。,本题本质是：用“合同成立/要约承诺/履约违约”把生活事实翻成法律得分点。
CC0084_2025_东城_二模_19,2025,东城,二模,19,PASS,正式题,问理由/为什么支持,问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；人格权/隐私/名誉/肖像/个人信息；先表态，再证明；一主体一链,- 19.法律以清晰的边界和公正的尺度守护社会秩序，营造美好生活。 → 合同关系成立或有效后，当事人依法全面履行；违约要担责 → 合同成立/有效、全面履行、诚信原则、违约责任 / - 19.法律以清晰的边界和公正的尺度守护社会秩序，营造美好生活。 → 先写消费者权利，再写欺诈和救济 → 知情权、公平交易权、自主选择权、欺诈、退赔、惩罚性赔偿 / - 19.法律以清晰的边界和公正的尺度守护社会秩序，营造美好生活。 → 点出具体人格权，再写侵害行为和责任 → 人格权、侵害行为、停止侵害/道歉/赔偿,1. 先按“问理由/为什么支持”确定本题交付物。 / 2. 再抓“合同成立/要约承诺/履约违约”这类材料信号，写出对应法律判断。 / 3. 最后用“先表态，再证明”把规则、材料、结论扣在一起。,- 不要写成法院的误区；先筛：具体私法规则、权利义务责任。 / - 不要写成法治的误区；先筛：有没有具体权利义务责任。,本题本质是：用“合同成立/要约承诺/履约违约”把生活事实翻成法律得分点。
CC0103_2025_丰台_一模_19,2025,丰台,一模,19,PASS,正式题,问理由/为什么支持,问理由/为什么支持；合同成立/要约承诺/履约违约；消费者欺诈/虚假宣传/隐瞒/搭售；知识产权/作品/商标/专利；先表态，再证明；一主体一链,- 该案在停止侵害民事责任承担的具体方式、内容、范围，以及拒绝履行、停止侵害等非金钱给付义务 的迟延履行金及其计付标准等方面，作出了开创性探索，入选人民法院保护科技创新典型案例。 该案… → 合同关系成立或有效后，当事人依法全面履行；违约要担责 → 合同成立/有效、全面履行、诚信原则、违约责任 / - 19. 2024 年6 月，最高人民法院知识产权法庭对一起因技术秘密侵权纠纷上诉案作出判决。 → 先写消费者权利，再写欺诈和救济 → 知情权、公平交易权、自主选择权、欺诈、退赔、惩罚性赔偿 / - 19. 2024 年6 月，最高人民法院知识产权法庭对一起因技术秘密侵权纠纷上诉案作出判决。 19. 2024 年6 月，最高人民法院知识产权法庭对一起因技术秘密侵权纠纷上诉案作出… → 先判权利对象，再判侵害方式 → 知识产权保护、侵权责任、保护创新,1. 先按“问理由/为什么支持”确定本题交付物。 / 2. 再抓“合同成立/要约承诺/履约违约”这类材料信号，写出对应法律判断。 / 3. 最后用“先表态，再证明”把规则、材料、结论扣在一起。,- 不要写成法院的误区；先筛：具体私法规则、权利义务责任。 / - 不要写成法治的误区；先筛：有没有具体权利义务责任。,本题本质是：用“合同成立/要约承诺/履约违约”把生活事实翻成法律得分点。
CC0119_2025_丰台_期末_19,2025,丰台,期末,19,PASS,正式题,问理由/为什么支持,问理由/为什么支持；合同成立/要约承诺/履约违约；平台用工/合作协议/三从属性；纠纷解决/调解/仲裁/诉讼/举证；先表态，再证明；一格一链,- 尹某没有履行劳动者的义务，违反了相关法律规定，不符合敬业等社会主义核心价 值观； 尹某没有履行劳动者的义务，违反了相关法律规定，不符合敬业等社会主义核心价 值观； 劳动者 → 合同关系成立或有效后，当事人依法全面履行；违约要担责 → 合同成立/有效、全面履行、诚信原则、违约责任 / - ②购物中心要求解除与尹某的劳动合网，符合《中华人民共和国劳动介同法》第三十九条的规定， 因此，法院驳回尹某的诉讼请求，法院的裁判保护了用人单位合理的用工自主权，引导劳动者坚持权利义… → 不看协议名，先看人格、经济、组织从属性 → 三从属性、事实劳动关系、劳动权益保护 / - ②购物中心要求解除与尹某的劳动合网，符合《中华人民共和国劳动介同法》第三十九条的规定， 因此，法院驳回尹某的诉讼请求，法院的裁判保护了用人单位合理的用工自主权，引导劳动者坚持权利义… → 按纠纷性质选路径，说明理由和证据 → 调解优先、依法维权、举证责任、程序救济,1. 先按“问理由/为什么支持”确定本题交付物。 / 2. 再抓“合同成立/要约承诺/履约违约”这类材料信号，写出对应法律判断。 / 3. 最后用“先表态，再证明”把规则、材料、结论扣在一起。,- 不要写成法院的误区；先筛：具体私法规则、权利义务责任。 / - 不要写成法治的误区；先筛：有没有具体权利义务责任。,本题本质是：用“合同成立/要约承诺/履约违约”把生活事实翻成法律得分点。
