题目,题目键,Claude节点,Claude行,备注
2024东城二模第21题,2024_东城_二模_Q21,规律的客观性,528,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024丰台一模第18(1)题,2024_丰台_一模_Q18-1,发展的观点 / 发展的普遍性；社会基本矛盾 / 社会发展规律；联系的普遍性,582；956；1906,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024丰台一模第8题,2024_丰台_一模_Q8,一切从实际出发 / 实事求是,127,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024丰台一模第9题,2024_丰台_一模_Q9,主观能动性 / 意识的能动作用,266,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024朝阳一模第3题,2024_朝阳_一模_Q3,发展,1179,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024朝阳一模第4题,2024_朝阳_一模_Q4,尊重客观规律与发挥主观能动性相结合,437,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024朝阳二模第1题,2024_朝阳_二模_Q1,发展,1184,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024朝阳二模第6题,2024_朝阳_二模_Q6,联系,779,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024朝阳期中第1题,2024_朝阳_期中_Q1,价值观的导向作用,2190,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024朝阳期中第10题,2024_朝阳_期中_Q10,发展,1189,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024朝阳期中第3题,2024_朝阳_期中_Q3,主观能动性 / 意识的能动作用,256,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024朝阳期中第4题,2024_朝阳_期中_Q4,联系,784,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024朝阳期中第5题,2024_朝阳_期中_Q5,联系,789,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024海淀一模第16题,2024_海淀_一模_Q16,主观能动性 / 意识的能动作用；前进性与曲折性；实践与认识 / 认识对实践的反作用；联系的普遍性,197；569；943；1600,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024海淀一模第2题,2024_海淀_一模_Q2,主观能动性 / 意识的能动作用,261,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024海淀一模第3题,2024_海淀_一模_Q3,发展,1194,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024海淀一模第5题,2024_海淀_一模_Q5,尊重客观规律与发挥主观能动性相结合,442,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024海淀二模第17(1)题,2024_海淀_二模_Q17-1,整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析,589；1320,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024海淀二模第17(2)题,2024_海淀_二模_Q17-2,实践与认识 / 认识对实践的反作用；认识发展原理,1661；1769,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024海淀二模第4题,2024_海淀_二模_Q4,一切从实际出发 / 实事求是,132,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024石景山一模第2题,2024_石景山_一模_Q2,尊重客观规律与发挥主观能动性相结合,447,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024石景山一模第5题,2024_石景山_一模_Q5,主观能动性 / 意识的能动作用,270,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024西城一模第10题,2024_西城_一模_Q10,联系,794,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024西城一模第12题,2024_西城_一模_Q12,联系,799,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024西城一模第17题,2024_西城_一模_Q17,价值观的导向作用；发展的观点 / 发展的普遍性；实践与认识 / 认识对实践的反作用；对立统一；尊重客观规律与发挥主观能动性相结合；联系的普遍性,344；596；963；1327；1607,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024西城一模第2题,2024_西城_一模_Q2,一切从实际出发 / 实事求是,137,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024西城一模第3题,2024_西城_一模_Q3,价值观的导向作用,2195,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024西城一模第9题,2024_西城_一模_Q9,主观能动性 / 意识的能动作用,275,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024西城二模第1题,2024_西城_二模_Q1,联系,804,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
