matrix_row_id,matched_terms,题源,题号,是否进宝典,宝典节点,证据等级,当前处理,disposition,formal_signal,source_pointer_exists,support_excerpt
M0115,证据不足：不单独成条,2026海淀二模,Q16,否：不进当前正文,认识对实践的反作用,证据不足：不单独成条,RETRACT_WEAK_SPLIT,NON_BODY_OR_BOUNDARY_ROW,false,true,可读源没有给出认识反作用独立落点。
M0116,证据不足：不单独成条,2026海淀二模,Q16,否：不进当前正文,矛盾就是对立统一,证据不足：不单独成条,RETRACT_WEAK_SPLIT,NON_BODY_OR_BOUNDARY_ROW,false,true,可读源没有给出矛盾对立统一独立落点。
M0125,formal_rubric_optional_angle,2026石景山二模,Q17(3),是/保留或补入：弱证据已回源修复,联系的普遍性 / 联系的观点（总）,formal_rubric_optional_angle,keep_with_optional_angle_note,BODY_FORMAL_OPTIONAL_ANGLE_RETAINED_WITH_BOUNDARY_NOTE,true,true,99_logs/weak_gate_sources/石景山区高三政治第二次模拟考试答案评分细则(1).txt
M0126,formal_rubric_optional_angle,2026石景山二模,Q17(3),是/保留或补入：弱证据已回源修复,矛盾就是对立统一,formal_rubric_optional_angle,keep_with_optional_angle_note,BODY_FORMAL_OPTIONAL_ANGLE_RETAINED_WITH_BOUNDARY_NOTE,true,true,99_logs/weak_gate_sources/石景山区高三政治第二次模拟考试答案评分细则(1).txt
M0127,formal_rubric_optional_angle,2026石景山二模,Q17(3),是/保留或补入：弱证据已回源修复,实践是认识的基础,formal_rubric_optional_angle,keep_with_optional_angle_note,BODY_FORMAL_OPTIONAL_ANGLE_RETAINED_WITH_BOUNDARY_NOTE,true,true,99_logs/weak_gate_sources/石景山区高三政治第二次模拟考试答案评分细则(1).txt
M0146,SUPERSEDED_BY_ROW_LEVEL_MATRIX,2026东城二模,Q16,候选已核：由Q16既有正文矩阵承接,SUPERSEDED_BY_ROW_LEVEL_MATRIX,强细则,SUPERSEDED_BY_EXISTING_Q16_BODY_ROWS,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,true,true,Q16候选已由M0001-M0006及当前DOCX正文承接。
M0165,SUPERSEDED_BY_ROW_LEVEL_REPAIR; SUPERSEDED_BY_ROW_LEVEL_MATRIX,2026西城一模,Q16,候选已核：由逐题矩阵承接,SUPERSEDED_BY_ROW_LEVEL_MATRIX,强细则,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,true,true,Q16生产线候选已由M0058-M0061及新增联系细化行承接。
M0166,SUPERSEDED_BY_ROW_LEVEL_REPAIR; SUPERSEDED_BY_ROW_LEVEL_MATRIX,2026西城一模,Q21,候选已核：由逐题矩阵承接,SUPERSEDED_BY_ROW_LEVEL_MATRIX,强细则,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,true,true,Q21生产线候选已由M0062-M0065及新增发展/实践/改革细化行承接。
M0193,缺直接证据,2024朝阳一模,Q哲学(题号待定),待核：生产线候选,-,缺直接证据,需回源核验,NON_BODY_OR_BOUNDARY_ROW,false,true,Codex A标注题号待回源定位
M0199,SUPERSEDED_BY_ROW_LEVEL_REPAIR; SUPERSEDED_BY_ROW_LEVEL_MATRIX,2024朝阳一模,Q待回源,候选已核：逐题矩阵承接,SUPERSEDED_BY_ROW_LEVEL_MATRIX,套卷候选承接,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,false,true,旧待回源占位已由2026-05-25逐题回源承接。
M0221,SUPERSEDED_BY_ROW_LEVEL_REPAIR,2026延庆一模,Q待定,否：占位行不进正文,-,SUPERSEDED_BY_ROW_LEVEL_REPAIR,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,false,true,逐题矩阵已补齐显式决策。
