target_id,suite_id,qno,question_type,section_scope,laneB_result,evidence_level,visual_status,answer_status,rubric_status,node,logical_or_method_form,rule_slogan,trap_or_boundary,can_enter_fusion,can_enter_student_draft,blocker_reason,source_evidence,notes
Q-2025西城二模-7,S-2025西城二模,7,选择题,推理,B_TARGET_CONFIRMED,A_formal_answer_only,text_extraction_clear,answer_confirmed_C_from_038_rubric,rubric_confirmed,推理,假言推理_必要条件;归纳_求异法;类比推理,只有接触过敏源才会引发过敏=必要条件假言;无前件不能否前件;求异法/类比可信度,①甲医生否定前件谬误;③甲医生演绎而非新结论;②求异法但非必然;④可信度甲>乙>丙合理,yes,no,,038_Desktop_2025模拟题_2025各区二模_2025西城二模_细则_细则.docx::Q1-15表(7=C);039_GaokaoPolitics版同;037试卷::Q7,正确为C=②④;Codex precheck同C
Q-2026东城一模-6,S-2026东城一模,6,选择题,推理,B_TARGET_CONFIRMED,A_formal_answer_only,text_extraction_clear,answer_confirmed_D_from_046_paper,paired_candidate,推理,换质换位法;性质判断推理,SAP换质得SEP_非P;再换位得非P不是S=A判断换质位标准链,A辩证否定误用_联结非否定;B抽象思维误标_应为形象思维;C有些S是P不能必推有些S不是P,yes,no,,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Page9参考答案表(题号6=D),正确为D;Codex precheck显示B为错误结论_本Lane标注冲突
Q-2026顺义一模-5,S-2026顺义一模,5,选择题,交叉,B_TARGET_CONFIRMED,A_formal_answer_only,text_extraction_clear,answer_confirmed_D_from_002_alt_extraction,paired_candidate,交叉,性质判断;关系判断;发散思维;认识论_感知表象,D感觉知觉表象基础上认识本质规律;A性质判断误标_为比喻;B发散思维误用_应聚合;C关系判断不周延误标,A性质判断错_是比喻;B发散误为聚合;C关系判断主项谓项错位,yes,no,,001试卷Q5;002_细则.pptx答案表(Q5=D)由双线四线终极跑extraction恢复,选必三概念错位+哲学正解_交叉
Q-2024朝阳期中-1,S-2024朝阳期中,1,选择题,scope_out,B_TARGET_SCOPE_OUT,A_formal_answer_only,text_extraction_clear,answer_confirmed_B_from_020_rubric,rubric_confirmed,scope_out,N/A_政治价值观,功勋模范人物学习_价值观+政治,无_非选必三逻辑思维内容,no,no,scope_out_other_book,020_Desktop_2024模拟题_2024朝阳期中_细则_补充材料_细则.rtf答案表;018+019细则subjective only,纯政治价值观题_答案B=①③但非选必三
Q-2024朝阳期中-5,S-2024朝阳期中,5,选择题,scope_out,B_TARGET_SCOPE_OUT,A_formal_answer_only,text_extraction_clear,answer_confirmed_A_from_020_rubric,rubric_confirmed,scope_out,N/A_哲学认识论,亚里士多德哲理探索路径_哲学认识论,无_非选必三,no,no,scope_out_other_book,020_细则.rtf答案表(Q5=A),哲学认识论题_答A=①②但非选必三逻辑思维
Q-2024海淀二模-14,S-2024海淀二模,14,选择题,scope_out,B_TARGET_SCOPE_OUT,A_formal_answer_only,text_extraction_clear,answer_confirmed_C_from_028_rubric,rubric_confirmed,scope_out,N/A_国际经济,欧盟原材料法案_国际经济与政治,无_非选必三,no,no,scope_out_other_book,028_Desktop_2024模拟题_海淀二模_细则_细则.docx::Q14=C,纯国际经济题
Q-2024海淀二模-4,S-2024海淀二模,4,选择题,scope_out,B_TARGET_SCOPE_OUT,A_formal_answer_only,text_extraction_clear,answer_confirmed_B_from_028_rubric,rubric_confirmed,scope_out,N/A_哲学_实事求是,基层减负+实事求是_哲学唯物论,无_非选必三,no,no,scope_out_other_book,028_细则::Q4=B,纯哲学唯物论题
Q-2024海淀二模-8,S-2024海淀二模,8,选择题,scope_out,B_TARGET_SCOPE_OUT,A_formal_answer_only,text_extraction_clear,answer_confirmed_B_from_028_rubric,rubric_confirmed,scope_out,N/A_政治协商,大家商量着办_政治民主协商,无_非选必三,no,no,scope_out_other_book,028_细则::Q8=B,纯政治民主协商题
Q-2024西城一模-13,S-2024西城一模,13,选择题,思维,B_TARGET_CONFIRMED,A_formal_answer_only,text_extraction_clear,answer_confirmed_B_from_025_rubric,rubric_confirmed,思维,联想_非逻辑制约的畅想性,联想散漫飘忽_非逻辑制约;关系是偶然的_体现畅想性,A思维抽象描述错(联想≠抽象);C联想是表象间联系非判断;D或然推理误用_联想非推理,yes,no,,025_Desktop_2024模拟题_西城一模_细则_细则.docx::Q13=B;026补充材料同B,选必三联想题_答案B
Q-2025东城期末-2,S-2025东城期末,2,选择题,scope_out,B_TARGET_SCOPE_OUT,A_formal_answer_only,text_extraction_clear,answer_confirmed_D_from_012_paper,rubric_confirmed,scope_out,N/A_政治理论,邓小平理论_政治理论体系,无_非选必三,no,no,scope_out_other_book,012试卷::故选D(Page8);013细则subjective only,纯政治理论题
