target_id,suite,qno,source_locator,question_type,section_scope,laneB_result,evidence_level,visual_status,answer_status,rubric_status,reasoning_or_thinking_node,logical_form,rule_slogan,trap_or_boundary,can_enter_fusion,can_enter_student_draft,blocker_reason,notes
Q-2024西城一模-11,2024西城一模,11,"024 lines 62-65; 026 line 6",选择题,推理,B_TARGET_BLOCKED,C-none,BLOCKED_OPTIONS_ARE_IMAGES,answer_confirmed_B_from_key,no_rubric,推理,形式推理图(图片嵌入),形式推理图判断,选项①②③④均为推理图形式（图片嵌入），答案B虽已确认但选项内容完全无法确认,no,no,选项①②③④全部为图片嵌入无法文字提取，需视觉渲染读取024 renders，blocker_visual_options,答案B已从026确认；但无选项内容即无法提取推理陷阱；必须视觉读取024 renders后才能入矩阵；A-only in scope (phase04_in_scope_cross_119_index L0_BLOCKED)
Q-2025海淀期末-2,2025海淀期末,2,"015 lines 14-18 (options); 015 table7 (answer=C)",选择题,思维/哲学(边界),B_TARGET_CONFIRMED,B-choice-signal,TEXT_ONLY_NOT_VISUAL_RENDERED,answer_confirmed_C_from_paper_key,no_formal_rubric,思维/创新思维+辩证思维,联想思维·辩证思维整体性,②场景迁移=联想同化迁移；③辩证思维整体性,①扬弃(哲学)非选必三；④成功经验开发新形式,conditional_yes_after_scope_decision,no,scope boundary_思维/哲学未经形式解决；答案C已确认，选项完整，docx文字清晰无视觉阻塞,选项②③均为选必三思维部分词汇；答案C=②③从paper answer key确认；boundary仍需scope决策；A-only in scope (phase04_in_scope_cross_119_index L0_BLOCKED 边界_思维/哲学)
Q-2025西城二模-16-2,2025西城二模,16(2),"037 lines 186-191; 038 lines 18-19",主观题,推理,B_TARGET_CONFIRMED,A-formal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_from_paper_key_and_rubric,rubric_confirmed_A_formal,推理/充分条件假言推理,充分条件假言推理·肯定后件,只有P才Q(岩松鼠→红嘴蓝鹊)：肯后不能推前,后件真≠前件真；条件①(勺鸡雕鸮)与岩松鼠无关,yes,no,无blocker；Codex结论独立确认一致,4分；038 A-formal细则；Lane B独立读源确认；A-only 119 index (pending_B_target_verification)→可升级
Q-2025西城二模-16-3,2025西城二模,16(3),"037 lines 192-193; 038 line 22",主观题,思维,B_TARGET_CONFIRMED,A-formal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_from_paper_key_and_rubric,rubric_confirmed_A_formal,思维/创新思维,创新思维·改变创造条件建立新联系,改变具体联系以解决矛盾，程序+方案+人文关怀,不是推理题；A/B分类冲突由子问拆分解决,yes,no,无blocker；Codex结论独立确认一致,038 A-formal；Lane B独立读源确认；A-only 119 index (pending_B_target_verification)→可升级；注意本题分类为思维而非推理
Q-2025西城二模-7,2025西城二模,7,"037 lines 65-79; 038 line 7",选择题,推理,B_TARGET_CONFIRMED,A-formal,TEXT_ONLY_NOT_VISUAL_RENDERED,answer_confirmed_C_from_rubric,rubric_confirmed_A_formal,推理/演绎+归纳+类比,演绎(甲)·共变求异(乙)·类比(丙),②乙求异法结论非必然；④可信度甲>乙>丙,①演绎能确保结构正确但不能保证绝对真；③演绎不利于发现新知识,yes,no,文字选项完整无需视觉解锁；建议Batch02视觉确认后升级locked,038 A-formal answer C；037文字选项四项完整；之前L0_BLOCKED原因"visual/options"已通过文字读取解除；A-only 119 index L0_BLOCKED→Lane B B_TARGET_CONFIRMED
Q-2026朝阳期中-11,2026朝阳期中,11,"003 lines 130-136; 003 lines 297-326",选择题,推理,B_TARGET_CONFIRMED,B-choice-signal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_A_from_paper_table,no_formal_rubric,推理/三段论,三段论·补大前提,补大前提要求中项联系大项小项，覆盖性，,B-choice-signal（paper answer table非formal rubric）；可入fusion，yes,no,证据级B-choice-signal；A-only 119 index (pending_B_target_verification)→可升级为evidence fusion ready
Q-2026朝阳期中-13,2026朝阳期中,13,"003 lines 148-158; 003 lines 297-326",选择题,交叉,B_TARGET_CONFIRMED,B-choice-signal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_D_from_paper_table,no_formal_rubric,思维/感性具体→思维抽象·联想思维,感性具体→思维抽象；联想思维,答案D=③④：感性具体转化思维抽象+联想思维联结不同认识,②类比推理是推理部分（诱惑项非答案）；①哲学常识层面,yes,no,证据级B-choice-signal；A-only 119 index (pending_B_target_verification)→可升级,注意②类比推理是错误项；主分类应为思维部分而非推理/类比
Q-2026朝阳期中-14,2026朝阳期中,14,"003 lines 159-168; 003 lines 297-326",选择题,推理,B_TARGET_CONFIRMED,B-choice-signal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_B_from_paper_table,no_formal_rubric,推理/不完全归纳·或然性,不完全归纳推理→结论或然性,④未考察全部对象→结论具有或然性；①从实践产生,②求异法表述不当(应为不完全归纳)；③"正确揭示本质规律"错,yes,no,证据级B-choice-signal；A-only 119 index (pending_B_target_verification)→可升级,主要考察④归纳推理或然性；①哲学色彩但与④配对为正确答案B
Q-2026朝阳期中-15,2026朝阳期中,15,"003 lines 169-175; 003 lines 297-326",选择题,推理,B_TARGET_CONFIRMED,B-choice-signal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,answer_confirmed_D_from_paper_table,no_formal_rubric,推理/联言判断,联言判断·否定一个联言支,否定一个联言支即否定整个联言判断，联言判断假只需一支假,A(小浩自矛盾)错；B(关系判断)错；C(联言支不能并存)错,yes,no,证据级B-choice-signal；A-only 119 index (pending_B_target_verification)→可升级，完全匹配Codex结论
REMAINING_A_ONLY_BATCH02,多套卷,多题号,NOT_PROCESSED_IN_BATCH01,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,no,no,Batch01未处理的A-only 76行余量（约67行）进入Batch02队列,套卷包含：2024朝阳一模/二模/期中/2024海淀二模/2024西城一模(其余)/2025东城期末/2025丰台期末/2025海淀二模(其余)/2025海淀期末(其余)/2025西城二模(16(1)/17系列)/2025顺义一模/2026东城一模/2026东城期末/2026朝阳期中(其余)/2026通州期末/2026顺义一模
