order,question_id,visible_title,question_type_group,module,district,year,exam_stage,question_no,subquestion_no,sort_key,phase12_decision,current_body_status,body_found,source_pool,source_file,note,phase12_362_status
1,Q-2025海淀二模-20,2025 海淀二模第20题,主观题,思维,海淀,2025,二模,20,0,01-01-02-02-020-00,body_now,body,yes,phase11B_fallback_for_missing_body_now,phase11B_batch01_student_body_30_REVIEW_ONLY.md,fallback_body_now_block_used; must be rechecked before final,carried_from_74
2,Q-2025海淀期末-17-1,2025 海淀期末第17题第(1)问,主观题,思维,海淀,2025,期末,17,1,01-01-02-04-017-01,body_now,body,yes,phase11D_combined29,phase11D_combined_source_verified_29_REVIEW_ONLY.md,existing_phase11D_block_used,carried_from_74
3,Q-2025海淀期末-18,2025 海淀期末第18题,主观题,思维,海淀,2025,期末,18,0,01-01-02-04-018-00,body_now,body,yes,phase11D_combined29,phase11D_combined_source_verified_29_REVIEW_ONLY.md,existing_phase11D_block_used,carried_from_74
4,Q-2024海淀二模-17-1,2024 海淀二模第17题第(1)问,主观题,思维,海淀,2024,二模,17,1,01-01-03-02-017-01,body_after_repair,body,yes,phase11D_combined29,phase11D_combined_source_verified_29_REVIEW_ONLY.md,existing_phase11D_block_used,carried_from_74
5,Q-2024海淀二模-17-2,2024 海淀二模第17题第(2)问,主观题,思维,海淀,2024,二模,17,2,01-01-03-02-017-02,body_now,body,yes,phase11D_combined29,phase11D_combined_source_verified_29_REVIEW_ONLY.md,existing_phase11D_block_used,carried_from_74
6,Q-2025西城二模-16-2,2025 西城二模第16题第(2)问,主观题,推理,西城,2025,二模,16,2,01-02-02-02-016-02,body_now,body,yes,phase11D_combined29,phase11D_combined_source_verified_29_REVIEW_ONLY.md,existing_phase11D_block_used,carried_from_74
7,Q-2025西城二模-16-3,2025 西城二模第16题第(3)问,主观题,思维,西城,2025,二模,16,3,01-02-02-02-016-03,body_now,body,yes,phase11D_combined29,phase11D_combined_source_verified_29_REVIEW_ONLY.md,existing_phase11D_block_used,carried_from_74
8,Q-2024西城一模-19-2,2024 西城一模第19题第(2)问,主观题,推理,西城,2024,一模,19,2,01-02-03-01-019-02,body_now,body,yes,phase11D_combined29,phase11D_combined_source_verified_29_REVIEW_ONLY.md,existing_phase11D_block_used,carried_from_74
9,Q-2024西城一模-19-3,2024 西城一模第19题第(3)问,主观题,推理,西城,2024,一模,19,3,01-02-03-01-019-03,body_now,body,yes,phase11D_combined29,phase11D_combined_source_verified_29_REVIEW_ONLY.md,existing_phase11D_block_used,carried_from_74
10,Q-2024西城一模-19-5,2024 西城一模第19题第(5)问,主观题,推理,西城,2024,一模,19,5,01-02-03-01-019-05,body_now,body,yes,phase11D_combined29,phase11D_combined_source_verified_29_REVIEW_ONLY.md,existing_phase11D_block_used,carried_from_74
11,Q-2026东城一模-19-4,2026 东城一模第19题第(4)问,主观题,思维,东城,2026,一模,19,4,01-03-01-01-019-04,body_now,body,yes,phase11D_combined29,phase11D_combined_source_verified_29_REVIEW_ONLY.md,existing_phase11D_block_used,carried_from_74
12,Q-2026东城期末-17-2,2026 东城期末第17题第(2)问,主观题,推理,东城,2026,期末,17,2,01-03-01-04-017-02,body_after_repair,not_represented,yes,phase12_batch_repair,phase12_batch01_repaired_entries_REVIEW_ONLY.md,repaired_review_only_block_used,carried_from_74
13,Q-2025东城期末-18-2,2025 东城期末第18题第(2)问,主观题,交叉,东城,2025,期末,18,2,01-03-02-04-018-02,body_after_repair,index_only,yes,phase12_batch_repair,phase12_batch01_repaired_entries_REVIEW_ONLY.md,repaired_review_only_block_used,carried_from_74
