matrix_row_id,题源,题号,宝典节点,证据等级,formal_signal,objective_choice_boundary,verdict,support_excerpt
M0002,2026东城二模,Q16,物质决定意识,强细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,东城第16题主观题细则16.pdf第4页知识表列“实践决定认识、物质决定意识（规律）”；本条只使用物质决定意识/一切从实际出发，不再展开主观能动性。
M0026,2026海淀二模,Q16,实践与认识（总）,答案和评分参考角度（非逐点细则）,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,答案和评分参考只列“联系、实践与认识”等角度；当前只保留实践与认识总节点。
M0034,2026石景山二模,Q17(3),联系的普遍性 / 联系的观点（总）,正式评分参考角度,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,答案评分参考第17(3)明确可从联系、矛盾、实践与认识关系等角度回答；仅为任选路径，不作累加采分。
M0035,2026石景山二模,Q17(3),矛盾就是对立统一,正式评分参考角度,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,答案评分参考第17(3)明确可从联系、矛盾、实践与认识关系等角度回答；仅为任选路径，不作累加采分。
M0036,2026石景山二模,Q17(3),实践与认识（总）,正式评分参考角度,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,答案评分参考第17(3)明确可从联系、矛盾、实践与认识关系等角度回答；仅为任选路径，不作累加采分。
M0043,2026顺义二模,Q16,实践是认识的基础,正式评标doc/阅卷版-已由强证据行覆盖,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,顺义二模评标doc第16题阅卷版已明确实践观点、人民主体、价值观、矛盾观、中华优秀传统文化等角度，当前DOCX已分别在实践是认识的基础、人民群众、价值观的导向作用、两点论与重点论、辩证否定/守正创新五个节点覆盖。
M0044,2026顺义二模,Q16,价值观的导向作用,正式评标doc/阅卷版-已由强证据行覆盖,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,顺义二模评标doc第16题阅卷版已明确实践观点、人民主体、价值观、矛盾观、中华优秀传统文化等角度，当前DOCX已分别在实践是认识的基础、人民群众、价值观的导向作用、两点论与重点论、辩证否定/守正创新五个节点覆盖。
M0045,2026顺义二模,Q16,两点论与重点论,正式评标doc/阅卷版-已由强证据行覆盖,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,顺义二模评标doc第16题阅卷版已明确实践观点、人民主体、价值观、矛盾观、中华优秀传统文化等角度，当前DOCX已分别在实践是认识的基础、人民群众、价值观的导向作用、两点论与重点论、辩证否定/守正创新五个节点覆盖。
M0049,2026丰台一模,Q16,矛盾就是对立统一,正式阅卷细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,丰台一模主观题阅卷说明Q16哲学评分细则：第（1）点明确“坚持矛盾的观点，用全面、辩证的眼光看问题”，并要求看到AI积极作用和风险挑战。
M0050,2026丰台一模,Q16,矛盾的主要方面和次要方面,正式阅卷细则（进阶阐述）,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,丰台一模主观题阅卷说明Q16哲学评分细则：第（1）点后写“或者进一步阐述：坚持两点论与重点论的统一。AI的积极作用是主流，风险与隐忧是支流”。
M0051,2026丰台一模,Q16,系统观念 / 系统优化,正式阅卷细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,丰台一模主观题阅卷说明Q16哲学评分细则：第（2）点明确“坚持联系的观点，立足整体，统筹部分”，要求统筹科技、伦理与社会公平。
M0052,2026丰台一模,Q16,价值观的导向作用,正式阅卷细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,丰台一模主观题阅卷说明Q16哲学评分细则：第（3）点明确“坚持正确的价值观，发挥科学价值观的导向作用”，并要求朝着有益、安全、公平方向健康发展。
M0078,2026顺义一模,Q21,尊重客观规律与发挥主观能动性相结合,正式评分PPT-哲学角度+等级赋分（非逐点细则）,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,顺义一模第21题正式评分PPT第10-11页写明哲学角度：客观性2分可用主观能动性和客观规律相结合、社会存在和社会意识、实践和认识等；辩证性2分可用主次矛盾和矛盾主次方面辩证关系、两点论和重点论、矛盾对立统一、整体部分/系统优化、前进性曲折性、量变质变、内外因；价值性2分可用人民群众是历史创造者、群众观点路线、价值判断价值选择遵循社会发展规律并站在最广大人民立场。当前DOCX已在相应节点多处覆盖第21题。
M0079,2026顺义一模,Q21,矛盾的主要方面和次要方面 / 两点论与重点论 / 主要矛盾和次要矛盾（评分PPT综合角度）,正式评分PPT-哲学角度+等级赋分（非逐点细则）,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,顺义一模第21题正式评分PPT第10-11页写明哲学角度：客观性2分可用主观能动性和客观规律相结合、社会存在和社会意识、实践和认识等；辩证性2分可用主次矛盾和矛盾主次方面辩证关系、两点论和重点论、矛盾对立统一、整体部分/系统优化、前进性曲折性、量变质变、内外因；价值性2分可用人民群众是历史创造者、群众观点路线、价值判断价值选择遵循社会发展规律并站在最广大人民立场。当前DOCX已在相应节点多处覆盖第21题。
M0080,2026顺义一模,Q21,人民群众,正式评分PPT-哲学角度+等级赋分（非逐点细则）,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,顺义一模第21题正式评分PPT第10-11页写明哲学角度：客观性2分可用主观能动性和客观规律相结合、社会存在和社会意识、实践和认识等；辩证性2分可用主次矛盾和矛盾主次方面辩证关系、两点论和重点论、矛盾对立统一、整体部分/系统优化、前进性曲折性、量变质变、内外因；价值性2分可用人民群众是历史创造者、群众观点路线、价值判断价值选择遵循社会发展规律并站在最广大人民立场。当前DOCX已在相应节点多处覆盖第21题。
M0096,2025门头沟一模,Q16,价值判断与价值选择,强细则+当前DOCX,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式评分细则支持价值判断和价值选择的标准：符合社会发展的需求，满足人们对文化生活的更高追求。
M0128,2026丰台一模,Q16,矛盾就是对立统一,正式阅卷细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,丰台一模主观题阅卷说明Q16哲学评分细则：第（1）点明确“坚持矛盾的观点，用全面、辩证的眼光看问题”，并要求看到AI积极作用和风险挑战。
M0129,2026丰台一模,Q16,矛盾的主要方面和次要方面,正式阅卷细则（进阶阐述）,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,丰台一模主观题阅卷说明Q16哲学评分细则：第（1）点后写“或者进一步阐述：坚持两点论与重点论的统一。AI的积极作用是主流，风险与隐忧是支流”。
M0130,2026丰台一模,Q16,系统观念 / 系统优化,正式阅卷细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,丰台一模主观题阅卷说明Q16哲学评分细则：第（2）点明确“坚持联系的观点，立足整体，统筹部分”，要求统筹科技、伦理与社会公平。
M0131,2026丰台一模,Q16,价值观的导向作用,正式阅卷细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,丰台一模主观题阅卷说明Q16哲学评分细则：第（3）点明确“坚持正确的价值观，发挥科学价值观的导向作用”，并要求朝着有益、安全、公平方向健康发展。
M0141,2024丰台一模,Q21,矛盾的普遍性和特殊性；价值判断与价值选择,正式答案/评分参考-角度提示+现有DOCX正文覆盖,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,21题参考答案提示可从唯物辩证法、构建人类命运共同体等角度作答，等级赋分；当前DOCX已有2处第21题条目。
M0142,2024海淀一模,Q16,主观能动性/联系/发展/实践,细则角度简列,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,2024海淀一模 source bundle lines 23-24 / 63: Q16可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。 ????????/????????????????????
M0159,2026顺义二模,Q16,实践是认识的基础；人民群众；价值观的导向作用；两点论与重点论；辩证否定 / 守正创新,正式评标doc/阅卷版-已由强证据行覆盖,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,顺义二模评标doc第16题阅卷版已明确实践观点、人民主体、价值观、矛盾观、中华优秀传统文化等角度，当前DOCX已分别在实践是认识的基础、人民群众、价值观的导向作用、两点论与重点论、辩证否定/守正创新五个节点覆盖。
