id,suite,question_no,source,evidence,knowledge
C1,东城,3,东城试卷 docx,'晴日约定卡 / 票根通兑券……辩证思维，建立联系实现由舍到得的转化' 答案 B,联系观、矛盾转化
C2,东城,4,同上,'灯诱法+智能识虫'答案 D：在把握对立统一中实现识虫飞跃,对立统一、实践与认识
C3,东城,5,同上,'湿性愈合打破干燥认知'答案 A：科学思维追求认识的客观性,认识客观性（科学思维）
C4,西城,3,西城试卷 docx,'城市是生命体'答案 D：联系/价值理性,联系观、价值观
C5,西城,4,同上,'外卖骑手随手拍'答案 A：系统优化、整体最优,系统观、整体与部分
C6,丰台,2,OCR 试卷（PDF 字形需 OCR）,'龙骨水车'——整体功能大于部分之和,系统观（整体大于部分之和）
C7,丰台,3,同上,'竹的美好寓意'——人脑加工的主观映象,意识能动性、人脑加工
C8,丰台,4,同上,'燕子归来意象'——人们对春日生机的反映，思维能动性,意识能动性
C9,丰台,5,同上,'可控核聚变'——科研实践不断深化对规律的认识,实践与认识、规律
C10,海淀,3,海淀试卷 docx,'墨梅美学符号'答案 C：人们能够创造出自然界并不存在的艺术形象,意识能动作用
C11,海淀,4,同上,'深圳湾候鸟调暗灯光'答案 A：联系的'人化'特点,人为事物联系
C12,朝阳,3,朝阳试卷 docx,'词元概念走进大众视野'——实践是认识发展的动力、社会存在决定社会意识,认识论、唯物史观
C13,朝阳,4,同上,'智慧物业'——联系的多样性,联系的多样性、整体观
C14,朝阳,5,同上,'许渊冲译诗'——辩证否定、形象思维,辩证否定（兼形象思维）
C15,朝阳,7,同上,'智能轮椅'——创新思维的动态性,创新思维（兼及选必 3）
C16,石景山,2,石景山试卷 docx,'立体剪纸'——辩证否定/爱国主义/人为联系/对立属性寓于统一属性,辩证否定、矛盾观
C17,石景山,3,同上,'致广大而尽精微'——大与小的辩证法,矛盾对立统一、度的把握
C18,石景山,5,同上,'春晚变化'——辩证思维与创新思维实现形式突破,辩证思维
C19,石景山,6,同上,'苏轼《守岁》赴壑之蛇'——联想想象、思维形态情感性,形象思维（兼及哲学）
C20,房山,3,OCR 房山试卷,'三星堆青铜器吸收中原模范法'——中华文明创新性、意识自主选择性,意识能动性
C21,房山,5,同上,'工位爆改'——意识能动作用、人为事物联系,意识能动作用、联系观
C22,顺义,3,OCR 顺义试卷,'沈括隙积术'答案 C：实践是认识的来源和发展动力,认识论
C23,顺义,6,同上,'甲乙省超级足球联赛'答案 D：乙省没有做到具体问题具体分析,矛盾特殊性
