year,suite,files_total,main_q_nums,choice_q_nums,uncertain_q_nums,rubric_files_count,rubric_files_sample,status
2024,202404各区一模试题分类_按模块_,7,,,,0,,no_xuanbier
2024,2024东城一模,3,,1,,2,2024东城一模__细则__细则.pptx.txt;2024东城一模__细则__补充材料__北京市东城区2023-2024学年度第二学期高三综合练习_一_思想政治答案(1).pdf.txt,has_xuanbier_choice_only
2024,2024朝阳一模,4,,,,2,2024朝阳一模__细则__细则.pptx.txt;2024朝阳一模__细则__补充材料__细则.docx.txt,no_xuanbier
2024,2024朝阳二模,3,"12,17",11,,2,2024朝阳二模__细则__细则.pdf.txt;2024朝阳二模__细则__补充材料__细则.docx.txt,has_xuanbier_main
2024,2024朝阳期中,5,,12,12,3,2024朝阳期中__细则__细则.docx.txt;2024朝阳期中__细则__补充材料__2024.11期中政治朝阳评标2.docx.txt;2024朝阳期中__细则__补充材料__细则.rtf.txt,has_xuanbier_choice_only
2024,2024海淀一模,3,,,,2,2024海淀一模__细则__细则.docx.txt;2024海淀一模__细则__补充材料__一模政治-答案.docx.txt,no_xuanbier
2024,2024海淀期中,2,,,,1,2024海淀期中__细则__细则.pdf.txt,no_xuanbier
2024,ROOT,2,,,,0,,no_xuanbier
2024,东城二模,13,,,,12,东城二模__细则__分题细则__阅卷总结__16题__16题二模阅卷总结.docx.txt;东城二模__细则__分题细则__阅卷总结__16题__16题评分细则.pptx.txt;东城二模__细则__分题细则__阅卷总结__17题__17(1).docx.txt,no_xuanbier
2024,丰台一模,3,,7,,1,丰台一模__细则__细则.docx.txt,has_xuanbier_choice_only
2024,丰台二模,2,,12,,1,丰台二模__细则__细则.docx.txt,has_xuanbier_choice_only
2024,海淀二模,4,,6,,2,海淀二模__细则__细则.docx.txt;海淀二模__细则__补充材料__高三二模_政治答案(2).docx.txt,has_xuanbier_choice_only
2024,石景山一模,2,,,,1,石景山一模__细则__细则.pptx.txt,no_xuanbier
2024,西城一模,3,,"6,7,8",,2,西城一模__细则__细则.docx.txt;西城一模__细则__补充材料__2024.4高三统一测试思想政治答案.docx.txt,has_xuanbier_choice_only
2024,西城二模,5,,9,,2,西城二模__细则__细则.docx.txt;西城二模__细则__补充材料__高三模拟测试思想政治答案.docx.txt,has_xuanbier_choice_only
2024,顺义思政二模,2,,8,,1,顺义思政二模__细则__细则.docx.txt,has_xuanbier_choice_only
2025,2025东城一模,2,,,,1,2025各区一模__2025东城一模__细则__细则.pdf.txt,no_xuanbier
2025,2025东城二模,2,,,,1,2025各区二模__2025东城二模__细则__细则.pdf.txt,no_xuanbier
2025,2025东城期末,3,,,,2,2025各区期末__2025东城期末__细则__细则.pdf.txt;2025各区期末__2025东城期末__细则__补充材料__东城期末.pptx.txt,no_xuanbier
2025,2025丰台一模,2,"10,19",,,1,2025各区一模__2025丰台一模__细则__细则.docx.txt,has_xuanbier_main
2025,2025丰台二模,9,,"6,9,10,11","6,9",8,2025各区二模__2025丰台二模__细则__分题细则__2025丰台二模评标细则__2025丰台二模评标细则__16.(1).doc.txt;2025各区二模__2025丰台二模__细则__分题细则__2025丰台二模评标细则__2025丰台二模评标细则__16.(2).docx.txt;2025各区二模__2025丰台二模__细则__分题细则__2025丰台二模评标细则__2025丰台二模评标细则__17题.docx.txt,has_xuanbier_choice_only
2025,2025丰台期末,2,"11,12,19,20","11,12",11,1,2025各区期末__2025丰台期末__细则__细则.pptx.txt,has_xuanbier_main
2025,2025延庆一模,2,,"10,11",,1,2025各区一模__2025延庆一模__细则__细则.docx.txt,has_xuanbier_choice_only
2025,2025房山一模,2,"8,10,11,19","8,10,11","8,11",1,2025各区一模__2025房山一模__细则__细则.pdf.txt,has_xuanbier_main
2025,2025昌平二模,2,"15,20",,,1,2025各区二模__2025昌平二模__细则__细则.pptx.txt,has_xuanbier_main
