question_id,priority,decision,ask_locked,material_locked,rubric_locked
CC0077_2025_东城_一模_19,A,可回填,yes,yes,yes
CC0084_2025_东城_二模_19,A,可回填,yes,yes,yes
CC0157_2025_朝阳_期末_20,A,可回填,yes,yes,yes
CC0189_2025_石景山_一模_20,A,可回填,yes,yes,yes
CC0206_2025_西城_期末_19,A,可回填,yes,yes,yes
CC0213_2025_门头沟_一模_20,A,可回填,yes,yes,yes
CC0277_2026_房山_二模_18,A,待用户确认,no,no,partial
CC0317_2026_海淀_期中_18,A,待用户确认,no,no,partial
CC0319_2026_海淀_期中_19,A,待用户确认,no,no,partial
CC0325_2026_石景山_一模_18,A,可回填,yes,yes,yes
CC0051_2024_海淀_期中_21_1,B,可回填,yes,yes,yes
CC0119_2025_丰台_期末_19,B,可回填,yes,yes,yes
CC0180_2025_海淀_期末_20,B,可回填,yes,yes,yes
CC0195_2025_西城_一模_20,B,可回填,yes,yes,yes
CC0245_2026_东城_期中_18_2,B,可回填,yes,yes,yes
CC0276_2026_房山_二模_17,B,待用户确认,no,no,partial
CC0283_2026_朝阳_一模_18,B,可回填,yes,yes,yes
CC0318_2026_海淀_期中_18_2,B,待用户确认,no,no,partial
CC0019_2024_朝阳_一模_19,A,可回填,yes,yes,yes
CC0092_2025_东城_期末_19_1,A,可回填,yes,yes,yes
CC0214_2025_门头沟_一模_20_2,C,可回填,yes,yes,yes
CC0223_2025_顺义_一模_19,C,可回填,yes,yes,yes
CC0251_2026_丰台_一模_20,C,待用户确认,no,no,partial
CC0364_2026_通州_期中_19_1,C,可回填,yes,yes,yes
