key,question_title,question_paragraph_index,samegroup_paragraph_index,core_heading,samegroup_marker,samegroup_text
2026通州期末Q20,1. 2026通州期末Q20,60,65,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，按六点答题层次组织
· 共商共建共享全球治理观（1分）
· 时代主题、经济全球化、顺应各国人民愿望等（2分）
· 符合《联合国宪章》宗旨和原则（1分）
· 推动构建国际新秩序、倡导国际关系民主化、践行多边主义、坚持正确义利观、兼顾利益等任意点（2分）
· 推动构建人类命运共同体（1分）
· 贡献中国智慧、中国方案，勇于大国担当（1分）"
2025海淀期中Q21(2),2. 2025海淀期中Q21(2),73,78,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本小题围绕新中国外交的“变”与“不变”展开
· 变的方面：新中国外交的时代背景不断变化，政治多极化、经济全球化深入发展，和平与发展成为时代主题；中国的综合国力不断增强，国际地位不断提升，承担越来越多的国际责任；外交指导思想与时俱进，习近平外交思想为新时代中国特色大国外交提供根本遵循和行动指南
· 不变的方面：新中国外交始终服务于我国人民民主专政的国家性质；坚持独立自主的基本立场；贯彻维护世界和平、促进共同发展的宗旨；以维护我国的主权、安全和发展利益、促进世界和平与发展为基本目标；坚持以和平共处五项原则作为我国对外关系的基本准则"
2024海淀二模Q18(1),3. 2024海淀二模Q18(1)多极化世界中的民主与全球治理,82,87,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，时政述评定档
· 背景层：和平与发展，世界多极化，霸权主义、强权政治等现实挑战
· 原因层：共同利益或国家利益是国家合作的基础
· 做法与意义层：坚持共商共建共享的全球治理观，推动构建人类命运共同体，推动国际关系民主化，依托国际组织或发挥联合国作用
· 定档提示：一个知识1-3分，两个知识4-6分，三个知识7-8分；必须扣住所选议题论述，有逻辑。经济全球化不得分，选错议题酌情扣分"
2025延庆一模Q20(2),"4. 2025延庆一模Q20(2)外交部发言人回应""脱钩断链""",93,98,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，四个角度，每角度2分
· 时代主题：维护全球产供链韧性和稳定，是推动世界经济可持续发展的重要保障，符合国际社会共同利益，顺应和平与发展的时代主题
· 经济全球化方向：中国坚持高质量发展和高水平对外开放，反对“脱钩断链”，推动经济全球化朝开放、包容、普惠、平衡、共赢方向发展
· 世界多极化：世界多极化是当今国际形势的突出特点，“脱钩断链”损人不利己；中国在追求本国利益的同时兼顾他国合理关切，推动各国深化产供链合作、共建“世界共赢链”
· 人类命运共同体：中国愿同各国携手维护全球产业链供应链稳定畅通，凝聚合作共识，共筑人类命运共同体"
2024西城二模Q19,5. 2024西城二模Q19中国答案的国际关系新思路,104,109,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题5分，1分总判断，4分任取二点
· 总判断（1分）：全人类是一个命运与共的大家庭，国与国之间利益交汇、命运交织、休戚与共；也可用和平与发展作时代背景替代
· 新思路层（4分，以下任取二点，每点2分）：人类命运共同体理念超越集团政治的“小圈子”规则；超越实力至上的逻辑；超越少数国家定义“普世价值”的垄断；顺应时代潮流，倡导全球协作，推动国际秩序朝着更加公正合理的方向发展。正面解释可展开为赋予发展中国家更多发言权、推动国际关系民主化、坚持真正的多边主义、完善全球治理等"
2025丰台期末Q20,6. 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,113,118,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，前四点各1分，后两点合计4分
· 理论逻辑层（4分）：中非达成战略性共识符合和平与发展的时代主题（1分）；基于国家间共同利益构建中非命运共同体（1分）；在平等互利基础上开展合作（1分）；落实共商共建共享的全球治理观（1分）
· 价值意蕴层（2分）：有利于推动建设相互尊重、公平正义、合作共赢的新型国际关系；只写新型国际关系给1分，具体写出“相互尊重、公平正义、合作共赢”给2分；推动国际关系民主化可替代得1分
· 材料落点层（2分）：有利于中非携手推进现代化（材料1分），构建人类命运共同体（1分）"
2026西城二模Q19(1),7. 2026西城二模Q19(1),123,128,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题6分，按背景解释、宗旨原则、世界意义三层组织
· 背景解释（2分）：全球化发展趋势1分；替代可写和平与发展、全人类共同价值、人类共同利益；结合材料分析1分
· 宗旨原则说明（2分）：共商共建共享1分，变通可写国际关系民主化等；结合材料说明我国参与全球数据组织的实践1分，可写实践经验、安全与发展、大国担当
· 对世界的意义（2分，任意二）：构建公正合理的全球数据治理新秩序；推动包容普惠的经济全球化或共同推动现代化；推动构建人类命运共同体"
2026朝阳期末Q20,8. 2026朝阳期末Q20,133,138,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，4个角度各2分，按背景与目标配对组织
· 和平发展角度：和平与发展是当今时代主题（1分）；命运共同体、共同利益、国际新秩序、全球治理等，结合周边命运共同体和人民远离冲突等材料说明目标（1分）
· 政治角度：世界多极化、单边主义、霸权主义和强权政治等背景（1分）；提升发展中国家代表性和话语权、维护发展中国家利益、全球南方联合自强等目标（1分）
· 经济角度：经济全球化、贸易保护主义等背景（1分）；建设开放型世界经济、促进世界经济共同繁荣、互利共赢、开放合作、共享成果等目标（1分）
· 国家利益角度：主权、安全、发展利益是国家核心利益，或国家利益是国际关系的决定性因素，或维护国家利益是主权国家对外活动的出发点和落脚点（1分）；维护人民利益、服务中国式现代化等目标（1分）"
2025朝阳期末Q21,9. 2025朝阳期末Q21,144,149,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题8分，要求总分或分总结构，四个角度齐全，均围绕“为推进中国式现代化营造良好外部环境”展开
· 总体外部环境：坚持和加强党对外交工作的领导，坚持以习近平外交思想为指导，全面贯彻总体国家安全观，推动构建人类命运共同体；坚定奉行独立自主的和平外交政策，坚持和平共处五项原则，维护我国主权、安全和发展利益，促进世界和平与发展，推进三大全球倡议走深走实
· 外部政治环境：倡导平等有序的世界多极化，加强全球南方团结合作，建设以合作共赢为核心的新型国际关系，坚持共商共建共享，反对霸权主义和强权政治，推动国际关系民主化，维护以联合国为核心的国际体系和以国际法为基础的国际秩序，推动全球治理体系变革完善和国际政治经济新秩序更加公正合理
· 外部经济环境：倡导普惠包容的经济全球化，推动经济全球化朝开放、包容、普惠、平衡、共赢方向发展，推进高水平对外开放，服务构建新发展格局
· 外部文化和国际舆论环境：坚定文化自信，坚持正确义利观，提升国际话语权，尊重世界文明多样性，以文明交流互鉴增进理解，讲好中国故事、交流中国经验、塑造中国形象"
2026顺义一模Q20,10. 2026顺义一模Q20,155,160,核心答题点：和平与发展仍是时代主题,【同题组】 （按原题答题层次）,"【同题组】 （按原题答题层次）
· 答题层次：本题7分，按“共同利益必答 + 国际政治3分 + 国际经济3分”组织。
· 必答基础：国家间共同利益是国家合作的基础，科技小院回应全球南方农业发展、人才培养、绿色发展和可持续发展的共同需求。
· 国际政治：和平与发展是时代主题；构建人类命运共同体是习近平外交思想的核心理念；可结合独立自主的和平外交政策、外交政策宗旨、正确义利观、新型国际关系、合作共赢、互利共赢、共享发展成果说明南南合作为什么能成为典范。
· 国际经济：科技小院输出农业技术、提升生产率、降低成本、培养本土人才、激发内生发展动力，体现经济全球化朝普惠、平衡、共赢方向发展，让更多全球南方国家共享发展成果。"
