entry_id,source_id,year,district_or_exam_scope,exam_type,question_no,sub_question_no,question_type,module,unit_or_topic,material_trigger,scoring_term,term_function,why_this_term,answer_landing,evidence_level,evidence_source_type,needs_visual_check,needs_claudecode_compare,old_final_quality_reference_used,status
2026_通州_期末_Q20_01,SRC_35ef9424281a,2026,通州,期末,Q20,,主观题,选必一,时代背景,题目让解释“正逢其时”，核心是说明全球治理倡议为什么在当前世界形势下有现实必要；题干呈现百年变局加速、地区动荡、经济发展受阻、逆全球化抬头、规则法治缺位和治理赤字，触发时代主题、经济全球化受阻与各国人民治理愿望之间的背景判断。,时代主题、经济全球化、顺应各国人民愿望,时代背景,题目让解释“正逢其时”，核心是说明全球治理倡议为什么在当前世界形势下有现实必要；题干呈现百年变局加速、地区动荡、经济发展受阻、逆全球化抬头、规则法治缺位和治理赤字，触发时代主题、经济全球化受阻与各国人民治理愿望之间的背景判断。,和平与发展仍是时代主题，经济全球化遭遇逆全球化抬头和治理赤字加剧的挑战，全球治理倡议回应各国人民对有效治理和共同发展的普遍愿望，因而正逢其时。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2026_通州_期末_Q20_02,SRC_35ef9424281a,2026,通州,期末,Q20,,主观题,选必一,政治多极化,题目让解释全球治理倡议如何为完善全球治理提供方案；材料把倡议定位为完善全球治理的系统方案，并强调推动各国积极参与治理体系改革与建设，触发共商共建共享这一全球治理观。,共商共建共享全球治理观,政治多极化,题目让解释全球治理倡议如何为完善全球治理提供方案；材料把倡议定位为完善全球治理的系统方案，并强调推动各国积极参与治理体系改革与建设，触发共商共建共享这一全球治理观。,全球治理倡议秉持共商共建共享的全球治理观，推动各国共同参与全球治理体系改革与建设，为完善全球治理提供中国方案。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2026_通州_期末_Q20_03,SRC_35ef9424281a,2026,通州,期末,Q20,,主观题,选必一,政治多极化,题目让解释“指引方向”，不是只说明倡议存在，而是要说明倡议凭什么指向更合理的全球治理秩序；材料列出主权平等、国际法治、多边主义、以人为本、行动导向五大原则，触发国际关系民主化、多边主义和公正合理国际新秩序的方向性术语。,推动构建国际新秩序、倡导国际关系民主化、践行多边主义、坚持正确义利观、兼顾利益,政治多极化,题目让解释“指引方向”，不是只说明倡议存在，而是要说明倡议凭什么指向更合理的全球治理秩序；材料列出主权平等、国际法治、多边主义、以人为本、行动导向五大原则，触发国际关系民主化、多边主义和公正合理国际新秩序的方向性术语。,全球治理倡议以主权平等、国际法治、多边主义等原则推动构建更加公正合理的国际新秩序，倡导国际关系民主化，践行多边主义，为全球治理体系改革指引方向。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2026_通州_期末_Q20_04,SRC_35ef9424281a,2026,通州,期末,Q20,,主观题,选必一,政治多极化,题目让解释“彰显担当”，需要把中国提出倡议与人类共同前途联系起来；材料写中国站在历史正确一边、站在人类进步一边，与世界进步力量携手落实倡议，触发推动构建人类命运共同体。,人类命运共同体,政治多极化,题目让解释“彰显担当”，需要把中国提出倡议与人类共同前途联系起来；材料写中国站在历史正确一边、站在人类进步一边，与世界进步力量携手落实倡议，触发推动构建人类命运共同体。,中国坚持站在历史正确一边、站在人类进步一边，推动落实全球治理倡议，体现了推动构建人类命运共同体的主动担当。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2026_通州_期末_Q20_05,SRC_35ef9424281a,2026,通州,期末,Q20,,主观题,选必一,联合国,题目让解释全球治理倡议为什么能“指引方向”，需要证明倡议不是另起炉灶，而是符合已有国际法治和联合国框架；材料写倡议精神内涵同联合国宪章宗旨和原则一脉相承，触发《联合国宪章》宗旨和原则。,符合《联合国宪章》,联合国,题目让解释全球治理倡议为什么能“指引方向”，需要证明倡议不是另起炉灶，而是符合已有国际法治和联合国框架；材料写倡议精神内涵同联合国宪章宗旨和原则一脉相承，触发《联合国宪章》宗旨和原则。,全球治理倡议的精神内涵同《联合国宪章》宗旨和原则一脉相承，坚持国际法治，为各国参与全球治理提供共同遵循。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2026_通州_期末_Q20_06,SRC_35ef9424281a,2026,通州,期末,Q20,,主观题,选必一,中国 / 智慧,题目让解释“彰显担当”，需要说明中国提出全球治理倡议对世界的贡献；材料把全球治理倡议称为中国向世界贡献的重要公共产品，并写四大全球倡议为动荡世界注入稳定性和确定性，触发中国智慧、中国方案和大国担当。,贡献中国智慧、中国方案、勇于大国担当,中国 / 智慧,题目让解释“彰显担当”，需要说明中国提出全球治理倡议对世界的贡献；材料把全球治理倡议称为中国向世界贡献的重要公共产品，并写四大全球倡议为动荡世界注入稳定性和确定性，触发中国智慧、中国方案和大国担当。,中国把全球治理倡议作为重要国际公共产品贡献给世界，与三大全球倡议协同发力，为动荡世界注入稳定性和确定性，贡献中国智慧、中国方案，彰显勇于大国担当。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2026_朝阳_期中_Q17_01,SRC_1babd6c525fe|SRC_763b7470b96b,2026,朝阳,期中,Q17,,主观题,选必一,经济全球化,同学甲先指出外部环境复杂严峻、构建自主可控的人工智能基础软硬件系统是一项重要任务，又强调自主可控不是闭门造车，并非所有环节都由本国独立完成，触发自力更生与对外开放并重。,处理好自力更生和对外开放的关系,经济全球化,同学甲先指出外部环境复杂严峻、构建自主可控的人工智能基础软硬件系统是一项重要任务，又强调自主可控不是闭门造车，并非所有环节都由本国独立完成，触发自力更生与对外开放并重。,我国推进人工智能发展要处理好自力更生和对外开放的关系，在核心技术自主可控上增强创新主动权和核心竞争力，同时加强国际交流合作，参与经济全球化和国际分工，用两个市场两种资源服务双循环。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2026_朝阳_期中_Q17_02,SRC_1babd6c525fe|SRC_763b7470b96b,2026,朝阳,期中,Q17,,主观题,选必一,理论,同学乙把人工智能产业作为驱动经济增长的重要引擎，同时列举数据泄露、模型缺陷、伦理失控等风险，并给出风险事件与安全问题相关的比例，触发发展动能与安全底线的统筹。,处理好发展和安全的关系、统筹发展和安全,理论,同学乙把人工智能产业作为驱动经济增长的重要引擎，同时列举数据泄露、模型缺陷、伦理失控等风险，并给出风险事件与安全问题相关的比例，触发发展动能与安全底线的统筹。,我国推进人工智能发展要统筹发展和安全，坚持总体国家安全观和底线思维，维护经济安全、科技安全，通过监管和规则完善防范数据、模型、伦理风险，同时释放人工智能降本增效、优化资源配置和推动高质量发展的动能。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2026_朝阳_期中_Q17_03,SRC_1babd6c525fe|SRC_763b7470b96b,2026,朝阳,期中,Q17,,主观题,选必一,中国,同学丙把人工智能定位为造福人类的国际公共产品，并强调我国关注发展中国家需求、帮助全球南方国家加强人工智能能力建设、弥合全球智能鸿沟，触发中国发展与世界发展相统一。,处理好中国发展和世界发展的关系,中国,同学丙把人工智能定位为造福人类的国际公共产品，并强调我国关注发展中国家需求、帮助全球南方国家加强人工智能能力建设、弥合全球智能鸿沟，触发中国发展与世界发展相统一。,我国推进人工智能发展要处理好中国发展和世界发展的关系，在谋求自身高质量发展、满足人民美好生活需要和促进产业结构优化升级的同时，兼顾他国合理关切，为世界提供公共产品和发展机遇，贡献中国智慧、中国方案，承担大国责任。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
2025_海淀_期中_Q16(2)_01,SRC_cda046c2d36d,2025,海淀,期中,Q16(2),,主观题,选必一,经济全球化 / 全球经济治理与规则制定,题目要求为中国咖啡企业“出海”提建议，材料三不仅写海外市场差异和成本压力，还写中国L公司在泰国商标权案件中败诉并遭反诉，说明企业出海会遭遇贸易摩擦和国际规则风险；回答这种外部规则风险时，需要从国际组织权利和全球经济治理规则制定角度提出营造国际环境的建议。,利用国际组织赋予的权利；积极参与全球经济治理和规则制定,经济全球化 / 全球经济治理与规则制定,题目要求为中国咖啡企业“出海”提建议，材料三不仅写海外市场差异和成本压力，还写中国L公司在泰国商标权案件中败诉并遭反诉，说明企业出海会遭遇贸易摩擦和国际规则风险；回答这种外部规则风险时，需要从国际组织权利和全球经济治理规则制定角度提出营造国际环境的建议。,中国咖啡企业“出海”遭遇贸易摩擦和知识产权风险时，企业和政府应充分利用国际组织赋予的权利，积极参与全球经济治理和规则制定，为企业进入海外市场营造良好的国际环境。,P0_current_run_source_checked,formal_scoring_or_marking_detail,no,yes,no,phase02_hard_sample_codex_checked
