delta_status,suite_guess,role,suffix,cache_status,cache_chars,source_path
present_in_previous_extract,2023东城一模,answer,.pdf,rendered-ocr-needed,0,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf
present_in_previous_extract,2024东城一模,rubric,.pptx,text-extracted,9254,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\细则\2024东城一模细则.pptx
present_in_previous_extract,2023东城一模,paper,.pdf,rendered-ocr-needed,0,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf
present_in_previous_extract,2024丰台一模,rubric,.docx,text-extracted,4579,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx
present_in_previous_extract,2024丰台一模,answer,.pdf,text-extracted,8880,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf
present_in_previous_extract,2024丰台一模,paper,.pdf,text-extracted,984,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\丰台高三一模政治试卷终版.pdf
present_in_previous_extract,2024朝阳一模,rubric,.pptx,text-extracted,10935,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx
present_in_previous_extract,2024朝阳一模,answer,.docx,text-extracted,1902,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx
present_in_previous_extract,2024朝阳一模,rubric,.pptx,text-extracted,10935,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx
present_in_previous_extract,2024朝阳一模,paper,.pdf,text-extracted,6948,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf
present_in_previous_extract,2024海淀一模,answer,.docx,text-extracted,1641,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\其他材料\一模政治-答案.docx
present_in_previous_extract,2024海淀一模,rubric,.docx,text-extracted,3032,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx
present_in_previous_extract,2024海淀一模,paper,.pdf,text-extracted,8265,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf
