question_id,label,codex_a_status,laneb_decision,laneb_reason
2024_东城_一模_001_Q9,2024 东城 一模 第9题,included,confirm,题面明确《法律与生活》物权变动/登记主题；细则有对应答案块。
2024_东城_一模_001_Q10,2024 东城 一模 第10题,included,confirm,遗嘱效力/遗赠扶养协议主题；答案 C 与民法典1131条对应。
2024_东城_一模_001_Q11,2024 东城 一模 第11题,excluded_by_curation,confirm,选择题虽含法律词，但锚点为公共法治治理，私法/程序法锚点不足。
2024_朝阳_二模_003_Q11,2024 朝阳 二模 第11题,included,confirm,继承/婚姻家庭主题清晰。
2024_朝阳_二模_003_Q12,2024 朝阳 二模 第12题,included,confirm,纠纷解决程序主题清晰。
2024_朝阳_二模_003_Q17,2024 朝阳 二模 第17题,included,confirm_with_caveat,主观题以劳动保护为核心，正式细则匹配；命题路径（劳动关系→事实争议→规则条件→补偿落点）成立。
2024_海淀_一模_005_Q8,2024 海淀 一模 第8题,excluded_by_curation,confirm,锚点偏宪法/法治价值，私法锚点弱。
2024_海淀_一模_005_Q10,2024 海淀 一模 第10题,included,confirm,劳动就业边界，主体关系明确。
2024_海淀_一模_005_Q11,2024 海淀 一模 第11题,included,confirm,程序救济主题清晰。
2024_海淀_一模_005_Q13,2024 海淀 一模 第13题,excluded_by_curation,challenge,题面涉及职业资格/劳动者保护，可能仍属选必二范畴；建议复核题面。
2024_海淀_一模_005_Q19,2024 海淀 一模 第19题,included,confirm,知识产权主观题，细则匹配（一模政治-答案.docx）。
2024_海淀_二模_010_Q11,2024 海淀 二模 第11题,included,challenge_evidence,evidence_type=unknown，应改为 rubric_match_pending；题归位本身可信。
2024_石景山_一模_011_Q11,2024 石景山 一模 第11题,included,challenge_evidence,paper_source 无正式细则匹配；rubric_match_pending。
2024_石景山_一模_011_Q17,2024 石景山 一模 第17题,included_needs_review,confirm,合同/民法基本原则混合题；需拆分小问后再正式归位。
2024_石景山_一模_011_Q18,2024 石景山 一模 第18题,included_needs_review,confirm,含纠纷解决与其他模块设问，待拆分。
2024_西城_一模_012_Q18,2024 西城 一模 第18题,included_needs_review,confirm,法律材料与其他模块混排，需拆分小问。
2024_西城_二模_013_Q16,2024 西城 二模 第16题,included,confirm,惩罚性赔偿/消费者保护主观题，正式细则匹配。
2024_顺义_二模_014_Q10,2024 顺义 二模 第10题,included,confirm,直播带货合同/仲裁/诉讼，主体关系明确。
2025_东城_一模_017_Q19,2025 东城 一模 第19题,included,confirm,正式细则支撑；命题路径清晰。
2025_丰台_一模_016_Q11,2025 丰台 一模 第11题,included,challenge_evidence,paper_source 无正式细则；rubric_match_pending。
2025_丰台_一模_016_Q19,2025 丰台 一模 第19题,included,confirm,正式细则支撑。
