check_id,severity,status,detail
P0_files_exist,P0,PASS,phase08_opus_teaching_prototype_REVIEW_ONLY.csv:True;phase08_opus_teaching_prototype_REVIEW_ONLY.md:True;phase08_opus_change_log.csv:True;phase08_opus_change_log.md:True;phase08_opus_boundary_compliance.md:True;progress.md:True
P0_proto_csv_rows_29,P0,PASS,proto_rows=29
P0_change_csv_rows_29,P0,PASS,change_rows=29
P0_question_ids_exact_freeze,P0,PASS,missing=[]; extra=[]; dup=0
P0_change_ids_exact_freeze,P0,PASS,missing=[]; extra=[]; dup=0
P0_proto_csv_columns,P0,PASS,"['question_id', 'module', 'prototype_section', 'source_entry_status', 'generated_text', 'fields_preserved_check', 'opus_self_note']"
P0_change_csv_columns,P0,PASS,"['question_id', 'changed_field', 'before_packet_text', 'after_prototype_text', 'change_type', 'answer_changed', 'status_changed', 'question_deleted', 'question_added', 'pairing_changed']"
P0_no_hold_question_rows,P0,PASS,intersection=[]
P0_no_L0_question_rows,P0,PASS,intersection=[]
P0_status_preserved,P0,PASS,[]
P0_module_preserved,P0,PASS,[]
P0_change_log_sentinels,P0,PASS,[]
P1_change_type_limited,P1,PASS,[]
P0_required_header,P0,PASS,[]
P0_Q11_not_row_and_no_wrong_pairing,P0,PASS,q11_in_rows=False; wrong_pairing_present=False
P0_Q12_Q13_not_rows,P0,PASS,q12_in_rows=False; q13_in_rows=False
P0_shunyi3_not_row,P0,PASS,in_rows=False
P0_fengtai_18_2_patch_phrase,P0,PASS,"题型:甲必要条件假言推理肯后式+乙三段论大项不当扩大组合;逻辑形式:甲——必要条件假言推理·肯定后件式;乙——三段论·大项在前提不周延却在结论周延·大项不当扩大;规则口诀:""只有P才Q"":必要条件下肯后式有效;三段论:前提不周延的项结论不得周延;有效式或错误式:甲属必要条件假言推理肯定后件式,前提真实结论可成立;乙属三段论大项在前提中不周延却在结论中周延,违反三段论周延规则,大项不当扩大,结论不成"
P1_generated_text_forbidden_terms,P1,PASS,[]
P0_no_final_artifact_language_in_generated_text,P0,PASS,[]
P1_cross_double_mount_visible,P1,PASS,[]
P2_module_distribution,P2,INFO,"{'思维': 13, '推理': 11, '交叉': 5}"
P2_section_distribution,P2,INFO,"{'思维-创新思维-选择题': 1, '思维-辩证系统观念-选择题': 1, '思维-科学辩证创新三角度-主观题': 1, '思维-思维抽象与思维具体-主观题': 1, '思维-超前思维作干扰-选择题': 1, '思维-发散与形象思维-选择题': 1, '思维-辩证思维角度池-主观题': 1, '思维-科学思维客观性-主观题': 1, '思维-创新思维联想逆向-主观题': 1, '思维-创新思维改变条件-主观题': 1, '思维-系统观念创新思维-主观题': 1, '思维-辩证思维矛盾整体动态-主观题': 1, '思维-创新思维联想发散逆向-主观题': 1, '推理-充分条件假言-主观题': 1, '推理-必要条件假言补充-主观题': 1, '推理-三段论排序-选择题': 1, '推理-下定义结构-主观题': 1, '推理-外延关系-主观题': 1, '推理-综合推理链-主观题': 1, '推理-三段论谬误识别-选择题': 1, '推理-充分条件假言肯后无效-主观题': 1, '推理-三段论谬误纠错-选择题': 1, '推理-甲假言乙三段论组合-主观题': 1, '推理-假言推理正误-主观题': 1, '交叉-动态性类比推理双挂载': 1, '交叉-动态性联言判断双挂载': 1, '交叉-归纳共变思维抽象双挂载': 1, '交叉-三段论科学思维双挂载': 1, '交叉-科学思维三特征双挂载': 1}"
