pool,situation,label,question_type,front_domain,framework_domain,evidence,source_label,material_triggers,prompt,rubric_or_answer,scoring_terms,score_sentence,situation_reason,source_path,include_status,curation_status
已入框可用情境,物权归属、担保物权、登记交付与绿色物权,2024 东城 一模 2024东城一模 第9题,选择题,财产、相邻、继承与家庭,财产权、物权与相邻关系,客观题答案已锁定；只能作为选择题判断与情境信号，不直接生成主观题踩分句。,2024东城一模 第9题答案表/题肢来源,张某、物权、人民法院、法院、判决,9.张某因房屋产权纠纷，向人民法院提起物权确认之诉，人民法院依法判决涉案房屋 归张某所有。下列说法正确的是 A. 张某应尽快办理房产登记，以免影响物权变动 B.该案所涉的他物权对应着物的使用价值 C.涉案房产与占地，二者法律关系的内容一致 D.张某对于房屋的物权自一审判决宣告时生效,答案：B；客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。；A项不对在主体关系、事实条件或法律后果没有扣准，因为“张某应尽快办理房产登记，以免影响物权变动”与题面事实或法律规则不匹配。；C项不对在主体关系、事实条件或法律后果没有扣准，因为“涉案房产与占地，二者法律关系的内容一致”与题面事实或法律规则不匹配。；D项不对在主体关系、事实条件或法律后果没有扣准，因为“张某对于房屋的物权自一审判决宣告时生效”与题面事实或法律规则不匹配。,物权,本题客观落点是B；训练价值在于排除主体错位、关系错位、责任错位或程序错位。,先看权利种类和公示方式，再落归属、效力、担保或绿色边界。,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,included,defer_answer_missing
已入框可用情境,继承、遗嘱、遗赠扶养协议与赡养义务,2024 东城 一模 2024东城一模 第10题,选择题,财产、相邻、继承与家庭,婚姻家庭与继承扶养,客观题答案已锁定；只能作为选择题判断与情境信号，不直接生成主观题踩分句。,2024东城一模 第10题答案表/题肢来源,高某、李某、继承、遗嘱、诉讼,继承。高某翔对此毫不知情。二人 去世后，高某与李某的独生子高某亮得知《遗嘱》内 容，表示强烈反对，以高某翔为被告提起诉讼，请求 确认涉案《遗嘱》无效。对本案分析正确的是 《中华人民共和国民 法典》第一千一百三十一 条 对继承人以外的依靠 被继承人扶养的人，或者 继承人以外的对被继承人 扶养较多的人，可以分给 适当的遗产。 A. 该遗嘱实遗赠抚养协议，遗产应由高某翔取得 B. 高某翔因照顾被继承人，可以继承适当的遗产 C.该遗嘱无效，遗产应按法定继承处理 D. 因高某翔对被继承人尽主要赡养义务，应视其为第一顺位继承人,答案：C；客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。；A项不对在主体关系、事实条件或法律后果没有扣准，因为“该遗嘱实遗赠抚养协议，遗产应由高某翔取得”与题面事实或法律规则不匹配。；B项不对在主体关系、事实条件或法律后果没有扣准，因为“高某翔因照顾被继承人，可以继承适当的遗产”与题面事实或法律规则不匹配。；D项不对在主体关系、事实条件或法律后果没有扣准，因为“因高某翔对被继承人尽主要赡养义务，应视其为第一顺位继承人”与题面事实或法律规则不匹配。,遗嘱；赡养义务,本题客观落点是C；训练价值在于排除主体错位、关系错位、责任错位或程序错位。,先看身份和协议/遗嘱效力，再落遗产归属、赡养扶助和家庭伦理。,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,included,accept_high
已入框可用情境,调解、仲裁、诉讼、司法确认、执行与举证,2024 东城 一模 2024东城一模 第19题,主观题,创新竞争与公共救济,纠纷解决与程序救济,主观题细则已锁定；可以提炼踩分词和上卷面句。,2024东城一模 第19题细则/给分依据,郭某、李某、冯某、程某、民法典、诉讼、法院,针对上述案件，运用《法律与生活》知识，谈谈法律规定诉讼时效并对其不适用 的情形加以规定的原因。,19.（6分） 法律规定诉讼时效有助于督促当事人积极主张权利，推动纠纷解决，节约司法资源。赡 养问题事关老年人的基本生存权利，成年子女对父母有赡养的义务。请求支付赡养费不 适用诉讼时效的规定有助于保护老年人的合法权益，彰显公序良俗，体现人文关怀，构建 和谐家庭。,公序良俗；诉讼；诉讼时效；合法权益；人文关怀,法律规定诉讼时效有助于督促当事人积极主张权利，推动纠纷解决，节约司法资源。 赡 养问题事关老年人的基本生存权利，成年子女对父母有赡养的义务。,先看纠纷解决路径和程序效果，再落举证、执行力、诉讼时效或裁判理由。,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,included,accept_high
已入框可用情境,商标、商业标识、混淆与不正当竞争,2024 东城 二模 东城二模 第7题,选择题,创新竞争与公共救济,知识产权与竞争秩序,客观题答案已锁定；只能作为选择题判断与情境信号，不直接生成主观题踩分句。,东城二模 第7题答案表/题肢来源,徐某、侵权、消费者、知情权、商标、不正当竞争、诉讼,7.乐业公司系“舒A”注册商标的专用权人，该公司主要生产用于治疗跌打损伤的医疗 用品。徐某在其经营的“跌打损伤修复贴”产品外包装的醒目位置使用了“乐业”名 称，其外包装与乐业公司的同类型产品的外包装高度近似。乐业公司以徐某侵权为 由提起诉讼。以下说法正确的是 ①徐某的行为容易导致消费者误认，构成不正当竞争 ②徐某的行侵害了消费者的知情权，应当合法诚信经营 ③徐某在类似的商品上使用“乐业”名称，构成商标侵权 ④乐业公司的注册商标保护期15年，从申请之日起计算 A.①② B. ①0 ③ C.②④ D.③④,答案：A；客观判断落点：A；判断依据应扣住主体关系、权利义务和法律后果。；B项不对在主体关系、事实条件或法律后果没有扣准，因为“①0 ③”与题面事实或法律规则不匹配。；C项不对在主体关系、事实条件或法律后果没有扣准，因为“②④”与题面事实或法律规则不匹配。；D项不对在主体关系、事实条件或法律后果没有扣准，因为“③④”与题面事实或法律规则不匹配。,需按对应细则原句提取，暂不另造踩分词。,本题客观落点是A；训练价值在于排除主体错位、关系错位、责任错位或程序错位。,先看标识是否足以导致混淆，再落商标侵权、不正当竞争和市场秩序。,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf,included,accept_high
已入框可用情境,消费者权益、虚假宣传、格式条款与平台规则,2024 丰台 二模 丰台二模 第5题,选择题,交易关系与消费者保护,交易关系：合同规则与消费者保护,客观题答案已锁定；只能作为选择题判断与情境信号，不直接生成主观题踩分句。,丰台二模 第5题答案表/题肢来源,消费者、经营者,条例。 第三条 国家加大消费者合法权益保护力度，建立和完善经营者守法、行业自律、消费者参与、 政府监管和社会监督相结合的消费者权益保护共同治理体系。 第四条 国家统筹推进消费环境建设，营造安全放心的消费环境，增强消费对经济发展的基础 性作用。 以上规定能够 ①促使经营者依法、诚信经营，切实维护消费者合法权益 ②强化政府保护消费者权益的工作职责，加大监督检查和执法力度 ③及时查处侵害消费者合法权益的行为，避免消费投诉、举报 ④营造更加安全、公平的消费环境，确保消费规模的扩大 A. ①② B.①④ C. ②③ D.③④,答案：A；客观判断落点：A；判断依据应扣住主体关系、权利义务和法律后果。；B项不对在主体关系、事实条件或法律后果没有扣准，因为“①④”与题面事实或法律规则不匹配。；C项不对在主体关系、事实条件或法律后果没有扣准，因为“②③”与题面事实或法律规则不匹配。；D项不对在主体关系、事实条件或法律后果没有扣准，因为“③④”与题面事实或法律规则不匹配。,需按对应细则原句提取，暂不另造踩分词。,本题客观落点是A；训练价值在于排除主体错位、关系错位、责任错位或程序错位。,先看经营者是否真实诚信、是否尽提示说明义务，再落退赔、赔偿或惩罚性赔偿。,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2024北京丰台高三二模政治试题+答案.txt,included,defer_answer_missing
已入框可用情境,平台用工与新就业形态劳动关系,2024 丰台 二模 丰台二模 第6题,选择题,劳动用工与职业边界,劳动就业与职业边界,客观题答案已锁定；只能作为选择题判断与情境信号，不直接生成主观题踩分句。,丰台二模 第6题答案表/题肢来源,劳动关系、用人单位,6.“一函两书”制度是由最高人民检察院和中华全国总工会联合提出的一种制度，旨在通 过工会及相关单位提醒用人单位落实好劳动法律法规或纠正其违法劳动用工行为。“一 函”即工会劳动法律监督提示函，“两书”即工会劳动法律监督意见书和工会劳动法律 监督建议书。“一函两书”制度有利于 ①提高协作配合质效，推动构建和谐劳动关系 ②构建起全链条的保障体系，促进用人单位规范健康发展 ③加强源头预防，通过多种方式保障劳动者合法权益 ④强化检察机关和工会组织的检察监督职能，促进化解劳动纠纷 A. ①② B. ①③ C.②④ D.③④,答案：B；客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。；A项不对在主体关系、事实条件或法律后果没有扣准，因为“①②”与题面事实或法律规则不匹配。；C项不对在主体关系、事实条件或法律后果没有扣准，因为“②④”与题面事实或法律规则不匹配。；D项不对在主体关系、事实条件或法律后果没有扣准，因为“③④”与题面事实或法律规则不匹配。,需按对应细则原句提取，暂不另造踩分词。,本题客观落点是B；训练价值在于排除主体错位、关系错位、责任错位或程序错位。,先看是否只是合作外观，再用人格、经济、组织从属性判断是否形成劳动关系。,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2024北京丰台高三二模政治试题+答案.txt,included,defer_answer_missing
已入框可用情境,公益诉讼、生态修复、司法建议与公共利益,2024 丰台 二模 丰台二模 第17题,主观题,创新竞争与公共救济,生态公益、新业态与法治价值,主观题细则已锁定；可以提炼踩分词和上卷面句。,丰台二模 第17题细则/给分依据,甲公司、民法典、民事、赔偿、侵权、知识产权、专利、诉讼、法院、判决、公益诉讼、生态环境,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境 的作用。,答案要点：民法典规定的绿色原则为生态环境保护提供了基本遵循。在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。 【拓展答案】： 增强环保意识、维护社会公平正义。 评分标准说明： 民法典规定的绿色原则为生态环境保护提供了基本遵循。（1分）在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。（2分）依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。（1分）民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。（4分）（权利义务、个人利益和公共利益、维护良好的生态环境三个点都写到就给4分。） 18(1)结合材料，同学们构建了一个符合逻辑规则的三段论，请你补充完整。（5分） 答案要点：大前提：搭建对外交流合作平台推动了冰雪经济高质量发展， 小前提：第七届雪博会是对外交流合作平台， 结论：第七届雪博会可以推动冰雪经济高质量发展。 【拓展答案】：符合题意和逻辑规则，言之有理，即可给分。 评分标准说明：符合三段论的形式要件和内容真实，言之有理，即可给分； 基本正确或准确，5分； 略有瑕疵，4分； 比较合理，3分 大小前提倒置，给1-2分； 不符合逻辑规则，0分 18(2)有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分） 答案要点：该观点强调要运用超前思维准确预测冰雪经济的发展前景，推动冰雪经济高质量发展。准确预测冰雪经济的发展前景是推动冰雪经济高质量发展的必要条件，但不是唯一条件。同时，还需要坚持辩证思维，既要看到冰雪经济发展的优势和机会，又要看到劣势和不足，具体问题具体分析，遵循冰雪产业发展规律，从当地实际情况出发推动冰雪经济高质量发展。因此，该观点是片面的。 【拓展答案】：科学思维具有预见性； 从充分条件假言判断的角度反向论证该观点的不合理之处； 辩证思维的具体内容（联系、发展、矛盾；综合与分析；质量互变） 创新思维的具体内容（除超前思维以外的发散与聚合、逆向等） 评分标准说明：基本按照参考的思维逻辑给分，略有变通。 亮明观点片面，1分；替代：不合理、不科学、不准确、错误等，根据后面论述适当给分； 合理性1分，包括：超前思维、科学思维的预测性等 不足之处1-2分，包括：看出了观点实际上为必要条件假言判断，给2分；只从口头语言或……,绿色原则；侵权责任；损害；知识产权；公共利益；合法权益；公平正义；社会公平正义,依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。 民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。,先看适格主体和公共利益受损，再落公益诉讼、生态修复、司法建议或公共治理意义。,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,included,accept_high
已入框可用情境,继承、遗嘱、遗赠扶养协议与赡养义务,2024 朝阳 二模 2024朝阳二模 第11题,选择题,财产、相邻、继承与家庭,婚姻家庭与继承扶养,客观题答案已锁定；只能作为选择题判断与情境信号，不直接生成主观题踩分句。,2024朝阳二模 第11题答案表/题肢来源,小李、继承、遗嘱,",其母 2018 年去世,未立遗嘱。 小李的外祖父母 2020 年去 世,舅舅在世。 小李父亲 2022 年去世,去世前立下遗嘱,将名下房产由小李继承。 此 后,小李携父亲遗嘱到公证处,欲办理该套房产的继承手续。 对此,下列说法正确的是 ①小李父亲拥有的房产份额按照遗嘱全部由小李继承 ②小李无需取得其舅舅的同意,就可以取得该房产的全部产权 ③小李母亲去世后,其名下房产份额依法定继承规定,一般应当均等分配 ④小李外祖父母去世后,小李以第二顺序继承人身份可继承相应房产份额 A. ①② B. ①③ C. ②④ D. ③④",答案：B；客观判断落点：B；判断依据应扣住主体关系、权利义务和法律后果。；A项不对在主体关系、事实条件或法律后果没有扣准，因为“①②”与题面事实或法律规则不匹配。；C项不对在主体关系、事实条件或法律后果没有扣准，因为“②④”与题面事实或法律规则不匹配。；D项不对在主体关系、事实条件或法律后果没有扣准，因为“③④”与题面事实或法律规则不匹配。,需按对应细则原句提取，暂不另造踩分词。,本题客观落点是B；训练价值在于排除主体错位、关系错位、责任错位或程序错位。,先看身份和协议/遗嘱效力，再落遗产归属、赡养扶助和家庭伦理。,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2024北京朝阳高三二模政治试题及答案_vision.txt,included,defer_answer_missing
已入框可用情境,调解、仲裁、诉讼、司法确认、执行与举证,2024 朝阳 二模 2024朝阳二模 第12题,选择题,创新竞争与公共救济,纠纷解决与程序救济,客观题答案已锁定；只能作为选择题判断与情境信号，不直接生成主观题踩分句。,2024朝阳二模 第12题答案表/题肢来源,刘某、张某、在某、民事、赔偿、诉讼、法院、判决、裁判,"12. 刘某和张某在某场地进行羽毛球比赛。 比赛中刘某举拍防守未果,被羽毛球击中右 眼,右眼视力受损严重。 刘某遂诉至法院,要求张某赔偿多项费用。 一审法院判决驳 回刘某诉讼请求,二审法院维持原判。 关于本案,下列说法正确的是 A. 本次诉讼中,刘某和张某都有委托辩护人、申请回避和上诉的权利 B. 自诉人刘某可就张某的行为向法院提起诉讼,追究张某的刑事责任 C. 刘某提起的诉讼属于解决平等主体之间的民事权利和义务纠纷的民事诉讼 D. 刘某不服二审裁判,可以请求启动审判监督程序或向上一级法院提出上诉","答案：C；客观判断落点：C；判断依据应扣住主体关系、权利义务和法律后果。；A项不对在把有条件的法律判断说绝对，因为“本次诉讼中,刘某和张某都有委托辩护人、申请回避和上诉的权利”与题面事实或法律规则不匹配。；B项不对在纠纷解决方式或程序效力错位，因为“自诉人刘某可就张某的行为向法院提起诉讼,追究张某的刑事责任”与题面事实或法律规则不匹配。；D项不对在主体关系、事实条件或法律后果没有扣准，因为“刘某不服二审裁判,可以请求启动审判监督程序或向上一级法院提出上诉”与题面事实或法律规则不匹配。",诉讼,本题客观落点是C；训练价值在于排除主体错位、关系错位、责任错位或程序错位。,先看纠纷解决路径和程序效果，再落举证、执行力、诉讼时效或裁判理由。,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2024北京朝阳高三二模政治试题及答案_vision.txt,included,defer_answer_missing
已入框可用情境,平台用工与新就业形态劳动关系,2024 朝阳 二模 2024朝阳二模 第17题,主观题,劳动用工与职业边界,劳动就业与职业边界,主观题细则已锁定；可以提炼踩分词和上卷面句。,2024朝阳二模 第17题细则/给分依据,王某、甲公司、小时、合同、劳动合同、劳动关系、用人单位、经济补偿、仲裁、人民法院、法院、新就业形态,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",给分依据 理由4 分，意义 5分 辩一）理由：理例结合，采意给分，结合基本案情和资料包，说清三个从属性各1 分，归纳 二者具有劳动关系1 分 甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性辩1 分） ；或王某在接受平台派单的同时，还要遵守平台企业的纪律和奖惩制度，具有人格从属 性。 甲公司占有王某提供货物运输服务所需的数据信息，单方制定服务费用结算标准， 具有 明显的经济从属性；辩1 分）或甲公司通过平台对王某的订单完成情况进行全程跟踪，掌握 王某的重要数据信息，此外，甲公司与客户结算运输费，单方制定每月向王某支付包月服务 费6000元及奖励金的价格标准，具有经济从属性； 王某从事的货物运输服务属于甲公司业务的组成部分，具有较强的组织从属性辩1 分） 或王某每日在公司平台签到并通过公司平台接受派单， 以平台公司名义提供货物运输服务具 有组织从属性。 辩如果仅写出三个从属性，没有结合材料只给1 分） 所以，双方之间存在事实上的劳动关系，对王某的仲裁请求应当予以支持。辩1 分） 辩二）意义：从三个方面作答：法律意义、道德意义、经济意义 法律意义： 该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问 题，辩或为各地仲裁机构、人民法院提供参照与借鉴）辩1 分） 提高以事实为依据、 以法律为准绳进行公正裁决的能力 辩或有利于实社社会公平正 义）辩1 分） ； 有利于保障新就业形态劳动者 辩合法）权益，辩1 分）发展和谐稳定的劳动关系；辩1 分）辩此三点答出两点给2分） 道德意义：符合民法的基本原则辩或践行社会主义核心价值观）辩1分） 3 经济意义：有利于引导平台经济良性发展，促进经济社会的发展。 辩1分）,以法律为准绳；劳动关系；事实上的劳动关系；人格从属性；经济从属性；组织从属性；新就业形态劳动者；和谐稳定的劳动关系；仲裁；核心价值观,甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性辩1 分）。 或王某在接受平台派单的同时，还要遵守平台企业的纪律和奖惩制度，具有人格从属 性。 甲公司占有王某提供货物运输服务所需的数据信息，单方制定服务费用结算标准， 具有 明显的经济从属性。,先看是否只是合作外观，再用人格、经济、组织从属性判断是否形成劳动关系。,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,included,accept_high
