block,framework_point,role,question_count,formal_count,recovered_count,open_reference_count,question_ids,是否核心,是否仅参考,禁止误用说明
A_core_42,完成举证责任表,主入口,1,1,0,0,CC0325_2026_石景山_一模_18,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,完成表格 / 一格一链,主入口,1,1,0,0,CC0077_2025_东城_一模_19,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,完成表格 / 一案一原则,主入口,1,1,0,0,CC0084_2025_东城_二模_19,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,完成表格 / 法律护航创新,主入口,1,0,1,0,CC0189_2025_石景山_一模_20,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,完成裁判要点 / 一案一链,主入口,1,1,0,0,CC0157_2025_朝阳_期末_20,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,完成裁判要点 / 参照示例,主入口,1,1,0,0,CC0213_2025_门头沟_一模_20,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,补问答并任选权利保护,主入口,1,1,0,0,CC0289_2026_朝阳_二模_18,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,裁判理由 / 补表 / 完成理由,主入口,1,1,0,0,CC0137_2025_昌平_二模_20,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,裁判理由补写,主入口,1,1,0,0,CC0214_2025_门头沟_一模_20_2,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,解释法律规则的意义,主入口,1,1,0,0,CC0180_2025_海淀_期末_20,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,评析观点,主入口,1,0,1,0,CC0051_2024_海淀_期中_21_1,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,识别法律问题,主入口,1,0,1,0,CC0092_2025_东城_期末_19_1,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,问仲裁裁决理由与典型意义,主入口,1,1,0,0,CC0025_2024_朝阳_二模_17,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,问做法如何平衡公平与效率,主入口,1,1,0,0,CC0195_2025_西城_一模_20,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,问典型案例意义,主入口,1,1,0,0,CC0103_2025_丰台_一模_19,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,问判决分析,主入口,1,1,0,0,CC0206_2025_西城_期末_19,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,问判决意义,主入口,1,1,0,0,CC0063_2024_西城_二模_16,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,问判决社会价值,主入口,1,0,1,0,CC0045_2024_海淀_二模_19,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,问判决结果 / 责任分担理由,主入口,1,1,0,0,CC0200_2025_西城_二模_18,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,问判决结果及理由,主入口,1,1,0,0,CC0364_2026_通州_期中_19_1,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,问司法如何守护创新 / 知识产权制度意义,主入口,1,0,1,0,CC0229_2026_东城_一模_18,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,问合同成立理由与判决意义,主入口,1,1,0,0,CC0054_2024_石景山_一模_17,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,问如何保护权利或判决认识,主入口,1,1,0,0,CC0150_2025_朝阳_二模_20,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,问对法治温度/法德结合的认识,主入口,1,1,0,0,CC0254_2026_丰台_二模_18,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
A_core_42,问对督促履行义务告知书的认识,主入口,1,0,1,0,CC0061_2024_西城_一模_18,yes,no,只按42道正文真实主入口/主触发统计；不得外推到OPEN_OR_REFERENCE。
