suite_id,question,operation,prior_book_module,prior_status,new_book_module,new_status,rule_id,matched_terms,evidence_source_type,evidence_source,evidence_text
2024_东城_二模,3,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B4_PHILOSOPHY_EXCLUDED,module-boundary-excluded,SOURCE_EXPLICIT_B4P_MAQUE_PHILOSOPHY_CHOICE,"解剖麻雀,矛盾普遍性,个性共性,系统观念",ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2024_东城_二模.txt,"“解剖麻雀”是我们党在长期实践中总结提炼的调查研究方法,该方法需要选准“麻 雀”,对其进行剖析研究,由此得出的调研结论具有可推广性,能举一反三。这说明, 从“解决一个问题”到“解决一类问题” 1体现矛盾普遍性与特性相互联结,要从个性中把握共性 2体现了规律是普遍的,找准案例就可找到此类问题的共同规律 3实现了“一个问题”和“一类问题”的斗争性转化力同一性 4启示我们要树立系统观念,以“点的突破”带动“面的提升” A. 12 B. 14. C.23 D. 34 2万亩,吸引企业参与规模化经营,打造盐碱地治理产业项目10余个,发展盐碱 地特色农业、旅游业,真正实现政府、企业与农民的“共赢”。 (1)运用《经济与社会》知识,分析该地探索“盐碱荒滩”转化力“金山银山”的路 径。(7分) 我国科学家以耐碱作物高粱为突破口,试图揭开其耐碱奥秘。他们收集全球 各地352 种不同品系的高粱,通过全基因组大数据关联分析耐碱差异大的高粱资 源,发现了主效耐碱基因 ATI。将该基因从高中提取出来再转到高粱中,高梁 耐碱能力减弱;而将该基因进行“剪切”后,高粱的耐碱能力增强。 如果高粱有这个基因,那么其他作物是否也会有类似的基因?团队利用 ATI 基因的同源体(指不同的基因序列与功能相似)——影响稻米粒长的粒形调控基因 GS3,进行水稻GS3 基因的耐碱性研究,结果发现,缺失了GS3 基因的水稻也更耐 碱。作物耐碱“密码”被找到了。 (2)结合材料,从推理的角度,谈谈科学团队是如何找到作物耐碱“密码”的。 (5分) 高三思想政治 第7页(共11页) ===== 试卷.pdf page 8 ====="
2024_海淀_二模,18,close_parent_remainder,UNKNOWN_OR_MIXED,blocked,XB1_EXCLUDED,module-boundary-excluded,SOURCE_EXPLICIT_PARENT_REMAINDER_XB1_DEMOCRACY_FORUM,,,,
2025_东城_期末,19(3),close_parent_remainder,UNKNOWN_OR_MIXED,blocked,XB2_EXCLUDED,module-boundary-excluded,SOURCE_EXPLICIT_PARENT_REMAINDER_XB2_NEIGHBOR_RELATION,,,,
2025_丰台_一模,20,close_parent_remainder,UNKNOWN_OR_MIXED,blocked,XB1_EXCLUDED,module-boundary-excluded,SOURCE_EXPLICIT_PARENT_REMAINDER_XB1_TWO_ZONES_OPENING,,,,
2025_朝阳_二模,18,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B2_ECONOMICS,included,SOURCE_EXPLICIT_B2_SOCIAL_SECURITY_PROMPT,"运用《经济与社会》知识,社会保障,医保,个人养老金,劳动者社保",paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/6009b3f19a33a729.txt,"(6 分)进一步织密社会保障安全网,促进我国社会保障事业高质量发展。 【异地结算和就业地参加医保】 2023 年1 月,跨省异地就医直接结算正式实施。2024 年8 月,国务院办公厅发布《关于健全基本医疗保 险参保长效机制的指导意见 》,提出超大城市要取消灵活就业人 员、农民工、新就业形态人员在就业地参 加基本医保的户籍限制,做好在就业地参加职工医保工作。 【实施个人养老金制度】 自 2024 年 12 月 15 日起,我国全面实施个人养老金制度。个人养老金制度是指政府政策支持、个人自 愿参加 、市场化运营 、实现养老保险补充功能的制度 。个人养老金缴费 由参加人承担 ,每年缴费上限为 12000 元,可享受个人所得税税前优惠扣除 。在达到领取基本养老金年龄等法定条件时,居民可领取个人养 老金。 【新就业形态劳动者社保缴纳】 新就业形态人员就业方式灵活,劳动关系缺乏明确界定和规范。2025 年 3 月,某大型平台企业与超一万 名全职骑手签署正式劳动合同,并承担外卖全职骑手缴纳五险一金的所有成本。 结合材料,运用《经济与社会》知识,说明上述举措对促进我国社会保障事业高质量发展的作用。"
2025_朝阳_二模,21,resolve_original_row,UNKNOWN_OR_MIXED,blocked,XB1_EXCLUDED,module-boundary-excluded,SOURCE_EXPLICIT_XB1_NEIGHBORHOOD_DIPLOMACY_PROMPT,"运用《当代国际政治与经济》知识,周边工作,周边命运共同体,元首外交",paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/6009b3f19a33a729.txt,"(8 分)努力开创周边工作新局面。 我国幅员辽阔、边界线长,周边国家包括俄罗斯、中亚5 国、东北亚4 国、南亚8 国、东南亚11 国,共 计 29 个国家。 中国与周边国家山水相连,人文相通,利益相融,命运与共。中国提出亲诚惠容周边外交理念,倡导推动 构建周边命运共同体,以元首外交为引领,同周边国家深化全方位合作、加强各领域交流、共同维护和平稳 定,形成务实高效的周边工作框架 ,推动周边工作取得历史性成就 、发生历史性变革,开创了周边工作新局 第7页/共10页 面。 当前我国同周边关系处于近代以来最好的时期 ,同时也进入周边格局和世界变 局深度联动的重要阶段 。 在国际形势日趋复杂的当下,中国已同周边 17 国达成构建命运共同体共识,同周边 25 国签署共建“一带一 路”合作协议,成为18 国的最大贸易伙伴,携手周边国家实现共同发展,造福更多亚洲民众,让亚洲命运共同 体给世界注入更多稳定、带来更多希望。 结合材料,运用《当代国际政治与经济》知识,说明我国为什么要努力开创周边工作新局面。 22.(10 分)中国式现代化是强国建设、民族复兴的康庄大道。 中国式现代化作为人类历史上最为宏大而独特的实践创新 ,是一个高度复杂的 系统工程。这种复杂程 度既体现在内部新旧问题的交织叠加上,也体现在内外因素的深度互动上,其整体性、关联性、动态性前所 未有,可谓牵一发而动全身,需要“凭六韬以安天下”。 推进中国式现代化,是一项前无古人的开创性事业,必然会遇到各种可以预料和 难以预料的风险挑战、 艰难险阻甚至惊涛骇浪 。应对这些风险挑战,必须正确处理好 顶层设计与实践探索 、战略与策略 、守正与 创新、效率与公平 、活力与秩序 、自立自强与对外开放等一系列重大关系 。处理这六对关系,角度不完全 一样,需要把握的重点、难点也不完全一样。 中国式现代化是分阶段 、分领域推进的,实现各个阶段发展目标 、落实各个领域 发展战略同样需要进 行顶层设计 。同时,推进中国式现代化是一个探索性事业 ,还有许多未知领域,需要我们在实践中去大胆探 索。 结合材料,综合运用所学,谈谈对推进中国式现代化事业中的顶层设计与实践探索的理解。 第8页/共10页 参考答案 第一部分(共 45 分) 题号 1 2 3 4 5 6 7 8 答案 C D C D A B A B 题号 9 10 11 12 13 14 15 答案 A C D C B C D 第二部分(共 55 分)"
2025_朝阳_期末,17,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B3_POLITICS_RULE_OF_LAW,included,SOURCE_EXPLICIT_B3_PEOPLE_DEMOCRACY_PROMPT,"运用《政治与法治》知识,人民民主,基层立法联系点,政协,基层群众自治",paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/195324f05d7e2fea.txt,"(8分)民主,起始于人民意愿充分表达,落实于人民意愿有效实现。中国的民主是人民民主。 材料一 立法到社区 某街道基层立法联系点工作深入到社区,围绕省人力资源市场条例草案征集立法建议,组织包括居民、政府相关部门工作人员、人大代表、政协委员、律师、党员群众代表等一起认真讨论草案,充分发表意见和建议。该街道基层立法联系点是“国家、省、市”三级基层立法联系点,近两年来,共有23部国家法律草案在此吸纳民意,激发了群众参与立法的热情。 材料二 议事惠民生 某政协委员履职小组围绕“如何让群众在家门口能有好去处?”展开了摸底调研,线上平台发问卷,协商驿站听民意,睦邻客厅汇民声......随后,履职小组发起民生议事堂协商,讨论闲置老谷仓的改造,形成可行方案,得到当地镇党委、镇政府和相关职能部门的积极回应,助推民生实事项目加速落地,催生了当地谷仓文化产业园。 材料三 基层有合力 某村发挥党建引领作用,通过搭建村两委——人大代表——村民三方“小板凳说事”平台,建立起一套有效的基层群众自治模式,推动形成合力,以民事民管、民事民议、民事民办的共治路径助力乡村全面振兴,建成了“全国民主法治示范村”。 结合材料,运用《政治与法治》知识,谈谈对“我国的人民民主”的理解。 1性质层面、领导力量 (2分) 中国共产党团结带领人民发展全过程人民民主,实现了过程民主和成果民主、程序民主和实质民主、直接民主和间接民主、人民民主和国家意志相统一。 2制度层面:三个制度 (3分) 我国的人民民主具有科学、有效、健全的制度安排, 确立和坚持根本制度、基本制度、重要制度, 全面推进民主选举、民主协商、民主决策、民主管理、民主监督, 协同推进选举民主与协商民主。 3成效层面:特点、功能、意义、价值 (2分) 我国的民主是全链条、全方位、全覆盖的民主,是最广泛、最真实、最管用的社会主义民主。 实现了人民当家作主,扩大了人民依法有序政治参与,丰富了人民的民主生活,发挥了制度优越性,巩固发展了安定团结的政治局面,凝聚了人民奋斗的力量,推进了国家治理体系和治理能力现代化,有效促进了社会生产力解放和发展。 既有鲜明的中国特色,也体现全人类共同价值,为丰富和发展人类政治文明贡献了中国智慧、中国方案。 4坚持完善层面 (1分) 我国的民主还需要不断发展完善。要坚持以人民为中心的发展思想,坚定不移推进全过程人民民主,在不断推动人的全面发展、全体人民共同富裕中实现民主新发展。 评分细则、答案变通说明 1性质层面、领导力量 (2分) 是什么 中国共产党团结带领人民 发展全过程人民民主, 实现了过程民主和成果民主、程序民主和实质民主、直接民主和间接民主、人民民主和国家意志相统一。 (性质层面3点中出现以上任意2点给2分) 2制度层面:三个制度 (3分) 为什么能全过程 我国的人民民主具有科学、有效、健全的制度安排, 确立和坚持人民"
2025_石景山_一模,17,close_parent_remainder,UNKNOWN_OR_MIXED,blocked,XB1_EXCLUDED,module-boundary-excluded,SOURCE_EXPLICIT_PARENT_REMAINDER_XB1_BEIJING_DECLARATIONS,,,,
2026_东城_期末,19,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B3_POLITICS_RULE_OF_LAW,included,SOURCE_EXPLICIT_B3_REFORM_AND_RULE_OF_LAW_PROMPT,"运用《政治与法治》知识,法治中国建设,改革与法治,法治政府,法治社会",paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/15664381470d8300.txt,"改革与法治,如同“鸟之两翼、车之两轮”,共同驱动国家治理体系和治理能力现代化。 第7页/共9页 《粮食安全保障法》将政策治理提 升为法治保障, 《民法典》以法典 化方式确认民事法治建设经验, 《乡村振兴促进法》将三农领域改 革经验上升为法律规范,为未来改 革发展提供了稳定的法治预期。 修订《国务院组织法》等法律法 规,推进政府机构改革、“放管 服”改革; 《海南自由贸易港法》让 海南自由贸易港建设有了重要遵 循;全国人大常委会授权上海创设 “浦东新区法规”,深化改革。 完善司法体制机制、综合 执法体制机制等改革,推 进司法领域“当事人一件 事”集成改革;健全覆盖 城乡的公共法律服务体 系,改进法治宣传教育。 结合材料,运用《政治与法治》知识,说明法治中国建设是如何在改革与法治的良性互动中不断推进的。"
2026_丰台_期末,19,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B2_ECONOMICS,included,SOURCE_EXPLICIT_B2_AI_DEVELOPMENT_PROMPT,"运用《经济与社会》知识,人工智能,完整产业体系,超大规模市场,高质量发展",rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/dbc93cbfd3a93eff.txt,"(6分)遗赠扶养协议纠纷案宣判。 【案情简介】某社区居委会与曹某签订协议,约定由某居委会定时定员结对子照 看关心曹某,每月给予曹某基本生活费,免费看病诊治,逢年过节给予曹某各类生 活补助及慰问生活用品等,养老至寿终;曹某现有的动产和不动产在曹某寿终后, 产权移交某居委会。此后,某居委会按照约定履行扶养义务。曹某去世后,曹某的 四个子女要求继承遗产,与该居委会产生争议。该居委会遂将曹某的四个子女等人 诉至法院,请求判令:(1)确认某居委会与曹某签订的协议有效;(2)曹某名下 的房屋、股权、现金、存款归某居委会所有。 【裁判结果】法院认为,案涉协议符合法律有关遗赠扶养协议的规定,属于有效 的遗赠扶养协议;原告某居委会对被扶养人曹某已尽到扶养义务,判决被继承人曹 某安置所得的房屋以及其生前遗留的股权、现金、银行存款本息归某居委会所有。 结合材料,运用《法律与生活》知识,分析本案判决的社会价值。 知识板块:经济与社会 能力板块:预测与选择 解释与论证 回应问题 评分标准 问题1:有利条件(2分) 党的领导/国家顶层设计/政府宏观调控、数据资源、完整产业体系、超大规模市 场、人才资源。 Ø 答出4-5个条件,至少4个表述正确 +2分; Ø 少于4个条件,至少有2个表述正确+1分; Ø 其余为0分。 问题2:是如何发挥作用 (6分) 第一层次:更好发挥政府作用(政府宏观调控/经济职能/坚持党的领导/发挥集 中力量办大事的制度优势)+1分,促进人工智能与完整产业体系的深度融合+1分, 建设现代化产业体系/推动产业结构的优化升级+1分。 第二层次:发挥市场在资源配置中的决定性作用+1分,超大规模市场为人工智能 提供应用场景,加速人工智能技术迭代,可以更好发挥数据资源、人才资源优势 (表述出这种优势作用于人工智能)+1分,发展新质生产力/构建新发展格局+1 分,赋能经济社会高质量发展。 学生作答若按照材料的顺序阐释: 至少写出三组材料对应的完整逻辑推导(有利条件【起点】+作用于人工智能+效果【终点】),且包含有 效市场+有为政府的结合/“政府和市场”两只手发挥作用,推导完整表述清晰,最高给6分;如果三组中 不能完整包含“政府和市场”两个方面,最高5分; 参考表述:完整的产业体系和人工智能深度融合—推动传统产业智能化升级改造—建设现代化产业体系 能够写出二个材料,逻辑完整,最高4分; 如果写出一个材料,逻辑完整,最高2分。 纯抄材料最多2分,若全部作答没有和人工智能赋能结合,酌情扣1-2分 路径推导清晰 知识运用准确 典型错误: 路径推导不明确 结合材料程度较低 典型错误: 脱离材料 作答仅回应知识背 诵“如何推动高质 量发展”"
