question_id,visible_title,module,question_type,source_verified,answer_verified,logical_or_thinking_form_repaired,decision,body_position_target,repair_note
Q-2026顺义一模-3,2026 顺义一模第3题,思维,选择题,yes,yes,yes,body_after_repair,选择题正文,"C=②③；②抓辩证思维整体性/动态性，③抓分析与综合；①主要方面错位，④质量互变与得中不对应"
Q-2025海淀二模-12,2025 海淀二模第12题,思维,选择题,yes,yes,yes,body_after_repair,选择题正文,"D=③④；耐心资本看长期、趋势和风险收益平衡；①新事物生命力过强，②消除矛盾错误"
Q-2024西城一模-11,2024 西城一模第11题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"B=①③；①/③为合成式有效推理；②把三个个别对象反推为全部，④名称象征语境与实体舱段语境混淆"
Q-2025海淀二模-13,2025 海淀二模第13题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"C为有效三段论；A分类标准混杂，B充分条件过强，D把国际关系三形式误作不相容穷尽选言"
Q-2024朝阳期中-19,2024 朝阳期中第19题,交叉,主观题,yes,yes,yes,body_after_repair,主观题正文,"创新思维按材料配对：超前、逆向、联想、发散与聚合；必须思维和材料对应"
Q-2026通州期末-11,2026 通州期末第11题,交叉,选择题,yes,yes,yes,body_after_repair,选择题正文,"C；河-合-和理念诠释过程体现感性具体到思维抽象再到思维具体"
Q-2025东城期末-5,2025 东城期末第5题,思维,选择题,yes,yes,yes,body_after_repair,选择题正文,"C=②④；道路改造触发整体动态优化和矛盾分析；①自在联系错，③简单否定错"
Q-2025海淀期末-2,2025 海淀期末第2题,思维,选择题,yes,yes,yes,body_after_repair,选择题正文,"C=②③；场景迁移和整体性；①辩证否定陷阱，④立足成功经验错位"
Q-2026通州期末-5,2026 通州期末第5题,思维,选择题,yes,yes,yes,body_after_repair,选择题正文,"C=②③；基层治理从点到网触发系统思维/辩证思维与多元共治；①过宽，④政府主导错"
Q-2026通州期末-8,2026 通州期末第8题,思维,选择题,yes,yes,yes,body_after_repair,选择题正文,"D=③④；刺绣建立人为事物联系，个体差异与民族记忆整体性统一；①②过度主观化"
Q-2026顺义一模-5,2026 顺义一模第5题,交叉,选择题,yes,yes,yes,body_after_repair,选择题正文,"D；展品体验从感性认识走向把握本质规律；A性质判断误判，B发散误为聚合，C谓项周延判断错位"
Q-2026丰台一模-8,2026 丰台一模第8题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"C=②③；充分条件假言推理中否定后件有效，且存在使用标识的全市性活动；①否定前件无效，④肯定后件无效"
Q-2026朝阳期中-11,2026 朝阳期中第11题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"A；以耐干旱月季花适应高温为大前提，可推出大部分绿化花卉适应高温；B/C特称不足，D方向反"
Q-2026朝阳期中-14,2026 朝阳期中第14题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"B=①④；天气谚语来自实践并反作用于实践，经验归纳结论具有或然性；②求异法错，③夸成揭示本质规律"
