material_atom_id,question_id,flagged_question,pattern_hits,material_phrase,source_locator
M_CC0002_2024_丰台_一模_17_08,CC0002_2024_丰台_一模_17,no,酌情,法院综合考虑本案好意同乘时的具体情况、事故事实以及被告乙某主动承担部分责任的行为等，酌情减轻 乙某赔偿责任。,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8
M_CC0011_2024_丰台_二模_17_01,CC0011_2024_丰台_二模_17,yes,参考答案,17. （8分） 参考答案：民法典规定的绿色原则为生态环境保护提供了基本遵循。,F0047:text | F0270:text
M_CC0011_2024_丰台_二模_17_02,CC0011_2024_丰台_二模_17,yes,,在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。,F0047:text | F0270:text
M_CC0011_2024_丰台_二模_17_03,CC0011_2024_丰台_二模_17,yes,,依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。,F0047:text | F0270:text
M_CC0011_2024_丰台_二模_17_04,CC0011_2024_丰台_二模_17,yes,,民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。,F0047:text | F0270:text
M_CC0011_2024_丰台_二模_17_05,CC0011_2024_丰台_二模_17,yes,,【拓展答案】： 增强环保意识、维护社会公平正义。,F0047:text | F0270:text
M_CC0011_2024_丰台_二模_17_06,CC0011_2024_丰台_二模_17,yes,评分,评分标准说明： 民法典规定的绿色原则为生态环境保护提供了基本遵循。,F0047:text | F0270:text
M_CC0011_2024_丰台_二模_17_07,CC0011_2024_丰台_二模_17,yes,,（1分）在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。,F0047:text | F0270:text
M_CC0011_2024_丰台_二模_17_08,CC0011_2024_丰台_二模_17,yes,,（2分）依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。,F0047:text | F0270:text
M_CC0011_2024_丰台_二模_17_09,CC0011_2024_丰台_二模_17,yes,,（1分）民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。,F0047:text | F0270:text
M_CC0011_2024_丰台_二模_17_10,CC0011_2024_丰台_二模_17,yes,,（4分）（权利义务、个人利益和公共利益、维护良好的生态环境三个点都写到就给4分。,F0047:text | F0270:text
M_CC0019_2024_朝阳_一模_19_01,CC0019_2024_朝阳_一模_19,yes,,19.（7分） 社会主义市场经济本质上是法治经济。,F0014:text | F0239:text
M_CC0019_2024_朝阳_一模_19_02,CC0019_2024_朝阳_一模_19,yes,,民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。,F0014:text | F0239:text
M_CC0019_2024_朝阳_一模_19_03,CC0019_2024_朝阳_一模_19,yes,,诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；,F0014:text | F0239:text
M_CC0019_2024_朝阳_一模_19_04,CC0019_2024_朝阳_一模_19,yes,,"司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。",F0014:text | F0239:text
M_CC0019_2024_朝阳_一模_19_05,CC0019_2024_朝阳_一模_19,yes,,诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。,F0014:text | F0239:text
M_CC0019_2024_朝阳_一模_19_06,CC0019_2024_朝阳_一模_19,yes,,这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。,F0014:text | F0239:text
M_CC0077_2025_东城_一模_19_01,CC0077_2025_东城_一模_19,yes,,19.(8 分) 法治以“固根本、稳预期、利长远”的治理效能，夯实人民群众可感可及的公平正义。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_02,CC0077_2025_东城_一模_19,yes,,以下三个案例生 动展现了法治的实践与成效。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_03,CC0077_2025_东城_一模_19,yes,,案件一 张某与某公司签订《家庭装修合同》，因公司未按工期完工，张某诉至法院，要求赔偿损失并 支付违约金。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_04,CC0077_2025_东城_一模_19,yes,,在诉讼程序启动后，法官了解双方需求、耐心释法析理，最终该公司主动赔偿工期延误损失， 既解“法结”又解“心结”。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_05,CC0077_2025_东城_一模_19,yes,,案件二 柳某入职某医院时，双方在合同中约定“若柳某提出解约，培训费补偿见《培训协议》”，并 另行签订《培训协议》。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_06,CC0077_2025_东城_一模_19,yes,,医院依约出资提供培训后，柳某在服务期未满时提出辞职并自愿支付违约金，但 [page 6] 第6页/共9页 离职后又申请仲裁要求返还，仲裁委员会驳回其请求。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_07,CC0077_2025_东城_一模_19,yes,,案件三 顾氏三兄弟长期尽心照料孤寡老人杨某，在其住院期间陪护并承担费用，杨某去世后又为其 操办丧葬事宜。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_08,CC0077_2025_东城_一模_19,yes,,因杨某财产无人管理，三兄弟申请指定民政局作为遗产管理人，获得法院支持。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_09,CC0077_2025_东城_一模_19,yes,,判决生效 后，民政局出具《分割决定书》，将杨某部分遗产分配给了顾氏三兄弟。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_10,CC0077_2025_东城_一模_19,yes,,阅读材料，完成下表。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_11,CC0077_2025_东城_一模_19,yes,,解决机制 以案说法 典型意义 案件一 ① 某公司未能按时完工，应承担违约 责任。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_12,CC0077_2025_东城_一模_19,yes,,该案争议点不大，诉讼标的 额较小，承办法官本着以和为贵的 理念，经征求双方同意后，以该方 式圆满解决纠纷。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_13,CC0077_2025_东城_一模_19,yes,,有效化解矛盾，避免双方损 失进一步扩大，有利于规范 市场秩序，促进社会 和谐。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_14,CC0077_2025_东城_一模_19,yes,,案件二 仲裁 医院与柳某签订的合同与协议被依 法认定有效，柳某签订协议并支付 违约金是真实意思表示，其要求返 还违约金有违诚信原则，故驳回。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0077_2025_东城_一模_19_15,CC0077_2025_东城_一模_19,yes,,② 案件三 诉讼 顾氏三兄弟无法定赡养义务，但对 杨某进行生活照顾、精神慰藉等构 成事实上的扶养，符合民法典规定 的“可以分给适当遗产”情形，有权作 为利害关系人申请人民法院指定遗 产管理人。,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
M_CC0084_2025_东城_二模_19_01,CC0084_2025_东城_二模_19,yes,,19.(8 分)法律以清晰的边界和公正的尺度守护社会秩序，营造美好生活。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
M_CC0084_2025_东城_二模_19_02,CC0084_2025_东城_二模_19,yes,,案件一 龙某为13 周岁的钱某在所经营的美容工作室进行了大面积文身并收取费用。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
M_CC0084_2025_东城_二模_19_03,CC0084_2025_东城_二模_19,yes,,钱某母亲发现后，为 避免对钱某求学及就业造成影响，要求龙某为钱某清洗文身并赔偿。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
M_CC0084_2025_东城_二模_19_04,CC0084_2025_东城_二模_19,yes,,因协商未果，钱某诉至法院，最终法 院判决龙某退还文身费用并赔偿精神损失。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
M_CC0084_2025_东城_二模_19_05,CC0084_2025_东城_二模_19,yes,,案件二 杨某在其运营的自媒体账号发布文章，在没有事实依据的情况下，评价某公司“搅乱市场”“打劫同 行”“无赖”“强盗”，引发社会关注，造成严重负面影响。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
M_CC0084_2025_东城_二模_19_06,CC0084_2025_东城_二模_19,yes,,该公司诉至法院，最终法院判决杨某公开道歉并赔 偿损失。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
M_CC0084_2025_东城_二模_19_07,CC0084_2025_东城_二模_19,yes,,案件三 邬某通过某公司的 App 预定境外客房，支付方式为“到店支付”，下单后即被从银行卡中扣除房款， 邬某不知情也未入住。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
M_CC0084_2025_东城_二模_19_08,CC0084_2025_东城_二模_19,yes,,邬某发现扣款后要求退还，而公司认为其服务条款中已注明“部分酒店住宿可能会 对您的银行卡预先收取全额预订费用”，拒绝退款。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
M_CC0084_2025_东城_二模_19_09,CC0084_2025_东城_二模_19,yes,,邬某诉至法院，最终法院判决该公司退还房款。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
M_CC0084_2025_东城_二模_19_10,CC0084_2025_东城_二模_19,yes,,阅读材料，完成下表。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
M_CC0084_2025_东城_二模_19_11,CC0084_2025_东城_二模_19,yes,,案件 体现的 民法原则 以案说法 典型意义 案件一 守法和公序良俗原则 ① 对规范商家经营，保障未成年人合法权 益、呵护未成年人健康成长具有重要意 义。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
M_CC0084_2025_东城_二模_19_12,CC0084_2025_东城_二模_19,yes,,案件二 诚信原则 ② 引导自媒体经营者树立法治意识，规范其 行为，有利于提升媒体公信力，同时有利 于维护良性市场竞争秩序。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
M_CC0084_2025_东城_二模_19_13,CC0084_2025_东城_二模_19,yes,,[page 6] 第6页/共8页 案件三 ③ 本案所涉“服务条款”属于 格式条款，公司负有向用 户提示、说明的义务，只 在内容复杂繁多的服务条 款中约定，不足以起到提 示作用，故认定公司违 约。,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
M_CC0092_2025_东城_期末_19_1_01,CC0092_2025_东城_期末_19_1,yes,得分|评分|细则,19（1）评分细则（两种思路都可以得分，如果在同样的思路中，要求涉及具体问题不同， 1个问题1分） • 思路1.充电桩方案的具体内容是否符合/违反规定（依法依规） • 如： • 设置充电柜是否违反消防规定；,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11
M_CC0092_2025_东城_期末_19_1_02,CC0092_2025_东城_期末_19_1,yes,,• 改变公有部分用途的法律程序问题；,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11
M_CC0092_2025_东城_期末_19_1_03,CC0092_2025_东城_期末_19_1,yes,,• 涉及民法典对公共区域功能改变的规定；,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11
M_CC0092_2025_东城_期末_19_1_04,CC0092_2025_东城_期末_19_1,yes,,• 思路2.充电桩方案的具体内容涉及哪些权利？,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11
M_CC0092_2025_东城_期末_19_1_05,CC0092_2025_东城_期末_19_1,yes,,• 如： • 公共区域设置充电柜是否涉及侵权问题；,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11
M_CC0092_2025_东城_期末_19_1_06,CC0092_2025_东城_期末_19_1,yes,,• 可能侵害部分业主对公共部分的合法权利 • 充电柜建设是否损害相邻权的问题 • 充电柜安全问题可能侵犯居民的人身安全和财产权 • xx问题侵犯了居民的合法权益 [page 12] •,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11
M_CC0131_2025_房山_一模_19_01,CC0131_2025_房山_一模_19,yes,,19. 【答案】 ①激励创新积极性。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0131_2025_房山_一模_19_02,CC0131_2025_房山_一模_19,yes,,通过高额赔偿和惩罚性赔偿，保障创新者的合法权益，使其获得合理回报，激发社会 创新动力。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0131_2025_房山_一模_19_03,CC0131_2025_房山_一模_19,yes,,②维护市场公平竞争。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0131_2025_房山_一模_19_04,CC0131_2025_房山_一模_19,yes,,严惩以不正当手段获取技术秘密的行为，保障市场规则的公平性，促进健康有序的 竞争环境。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0131_2025_房山_一模_19_05,CC0131_2025_房山_一模_19,yes,,严格执法和公正司法强化了法律对侵权行为的威慑力，提升公众对法治的信任，推动法 治社会建设。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0131_2025_房山_一模_19_06,CC0131_2025_房山_一模_19,yes,,（原卷无答案，本答案仅供参考） 【分析】背景素材：知识产权侵权诉讼案例 考点考查：依法治国、尊重知识产权、公平竞争 能力考查：描述和阐释事物、论证和探究问题 核心素养：政治认同、科学精神 【详解】第一步：审设问。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0131_2025_房山_一模_19_07,CC0131_2025_房山_一模_19,yes,,明确主体、作答范围、问题限定和作答角度。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0131_2025_房山_一模_19_08,CC0131_2025_房山_一模_19,yes,,本题为说明类主观题，无主体，要求运用“依法治国、尊重知识产权、公平竞争”知识，从意义角度来分 析作答。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0131_2025_房山_一模_19_09,CC0131_2025_房山_一模_19,yes,,[page 15] 第15页/共16页 第二步：审材料，通过标点符号、段落等，提取材料有效信息。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0131_2025_房山_一模_19_10,CC0131_2025_房山_一模_19,yes,,有效信息①：我国知识产权侵权诉讼判赔数额创历史新高→可运用“尊重知识产权”知识，从“激励创 新”角度分析说明：“真创新”受到“真保护”有利于激发社会创新动力。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0131_2025_房山_一模_19_11,CC0131_2025_房山_一模_19,yes,,有效信息②：B 集团在没有任何技术积累或合法技术来源的情况下，在短期内即推出某系列型号电动汽 车，涉嫌侵害A 集团技术秘密→可运用“公平竞争”知识，从“维护市场公平竞争”角度分析说明：“真 创新”受到“真保护”有利于保障市场规则的公平性，促进健康有序的竞争环境。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0131_2025_房山_一模_19_12,CC0131_2025_房山_一模_19,yes,,有效信息③：法院经审理认为，B 集团以不正当手段侵害A 集团技术秘密，适用2 倍惩罚性赔偿，判决赔 偿共计6.4 亿余元→可运用“严格执法和公正司法”知识，从“彰显法治权威”角度分析说明：“真创 新”受到“真保护”有利于提升公众对法治的信任，推动法治社会建设。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0131_2025_房山_一模_19_13,CC0131_2025_房山_一模_19,yes,,第三步：整合信息，组织答案。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0131_2025_房山_一模_19_14,CC0131_2025_房山_一模_19,yes,,注意设问限定以及教材知识与材料、时政信息等相结合。,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
M_CC0157_2025_朝阳_期末_20_01,CC0157_2025_朝阳_期末_20,yes,,20. （10 分）人民法院审理案件，必须坚持以事实为根据、以法律为准绳，做到公正司法。,F0135:page 6 | F0135:page 9
M_CC0157_2025_朝阳_期末_20_02,CC0157_2025_朝阳_期末_20,yes,,了解案件，分析事实，印证法理，参考示例，完成下表。,F0135:page 6 | F0135:page 9
M_CC0157_2025_朝阳_期末_20_03,CC0157_2025_朝阳_期末_20,yes,,案件事实 拟写裁判要点 案件一 甲公司在 2016 年与乙公司终 止合作后，继续在甲公司运营的相关地图软 件、应用和第三方服务中使用乙公司数据。,F0135:page 6 | F0135:page 9
