source_id,suite,source_role,path,text_path,render_dir,extraction_status,visual_or_ocr_need,notes
001,2026顺义一模,paper,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,text/001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf.txt,renders/001_Desktop_2026模拟题_2026各区一模_2026顺义一模_试卷_试卷.pdf,text_read,NO,全卷读取完成；char=9110；Q3/Q4/Q5为逻辑与思维choice候选；Q19(1)(2)Q21为主观题
002,2026顺义一模,rubric_pptx,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,text/002_Desktop_2026模拟题_2026各区一模_2026顺义一模_细则_细则.pptx.txt,,text_read,PARTIAL,Q19(1)三段论错误+Q19(2)科学思维3×2分细则完整；char=3958；无渲染目录（PPTX文字提取）；图片slides疑存在视觉依赖
003,2026朝阳期中,paper,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,text/003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf.txt,renders/003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,text_read,NO,全卷读取完成；char=8354；Q11-Q15全部为逻辑推理选择题；Q20辩证思维Q21(2)创新思维主观题确认
004,2026朝阳期中,rubric_docx,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx,text/004_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_细则_细则.docx.txt,,text_read,NO,A-formal细则完整；char=4763；Q20辩证思维+Q21(2)创新思维积分层次全提取
005,2026朝阳期中,rubric_docx_duplicate,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/补充材料/细则.docx,text/005_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_细则_补充材料_细则.docx.txt,,text_read,NO,与004逐字相同（char同为4763）；Phase02已确认为副本；仅保留004作为主细则
006,2026通州期末,paper,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,text/006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf.txt,renders/006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf,text_read,NO,全卷读取完成；char=8702；Q9发散思维Q11感性具体→思维抽象→思维具体(HS04)Q19(2)假言推理
007,2026通州期末,rubric_pptx,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,text/007_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_细则_细则.pptx.txt,,text_read,PARTIAL,A-formal；char=6172；Q11选项C完整确认；Q19(2)两道假言推理评分细则完整
008,2025海淀二模,paper,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,text/008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf.txt,renders/008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf,scan_blocked,YES,CRITICAL BLOCKER；char=167（纯扫描版）；renders已生成但未视觉读取；HS02题干无法从文字提取确认
009,2025海淀二模,rubric_docx,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,text/009_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_细则.docx.txt,,text_read,NO,char=2777；Q20辩证思维条目存在跳段现象；整体性+动态性+辩证否定三角架构可见
010,2025海淀二模,supplementary_marking_record,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/补充材料/2025年海淀二模评标实录.docx,text/010_Desktop_2025模拟题_2025各区二模_2025海淀二模_细则_补充材料_2025年海淀二模评标实录.docx.txt,,text_read,NO,char=2083；明确记录"辩证否定显然是没有问题"；整体性/动态性/辩证否定三角确认
011,2025海淀二模,lecture_review,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,text/011_Desktop_2025模拟题_2025各区二模_2025海淀二模_其他材料_2025届二模考试讲评0510.pdf.txt,renders/011_Desktop_2025模拟题_2025各区二模_2025海淀二模_其他材料_2025届二模考试讲评0510.pdf,text_read,PARTIAL,char=13035；确认Q12-13为选必三choice(6分)；Q20主观6分；分布表清晰
012,2025东城期末,paper,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,text/012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf.txt,renders/012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,text_read,NO,char=22031；Q13三段论规则Q14概念关系Q15假言推理选择题；Q18(2)创新思维主观题确认
013,2025东城期末,rubric_pdf_lecture,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/细则.pdf,text/013_Desktop_2025模拟题_2025各区期末_2025东城期末_细则_细则.pdf.txt,renders/013_Desktop_2025模拟题_2025各区期末_2025东城期末_细则_细则.pdf,text_read,PARTIAL,char=3521；PPT格式讲评；Q18(2)创新思维细则完整(聚合+发散/联想/超前)；Q13-Q15选择题无细则
014,2025东城期末,rubric_pptx,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/补充材料/东城期末.pptx,text/014_Desktop_2025模拟题_2025各区期末_2025东城期末_细则_补充材料_东城期末.pptx.txt,,text_extracted_unread,PARTIAL,char=4413；未读取全文；备用细则文件
015,2025海淀期末,paper,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/试卷/试卷.docx,text/015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx.txt,,text_read,NO,char=10225；Q2联想/辩证思维choice；Q8逻辑与思维判断(Ans D相容选言)；Q17(1)科学思维Q18创新思维主观题
016,2025海淀期末,rubric_pptx,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/细则/细则.pptx,text/016_Desktop_2025模拟题_2025各区期末_2025海淀期末_细则_细则.pptx.txt,,text_read,PARTIAL,char=11312；Q17(1)科学思维4分(客观性/可检验性+规律+材料分析)A-formal；Q18创新思维(逆向+联想)A-formal
017,2024朝阳期中,paper,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,text/017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf.txt,renders/017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf,text_read,NO,char=7704；Q7-Q9Q11全部为推理选择题；Q18推理评析Q19创新思维主观题
018,2024朝阳期中,rubric_docx,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx,text/018_Desktop_2024模拟题_2024朝阳期中_细则_细则.docx.txt,,text_read,NO,char=5662；A-formal；Q18归纳+类比评标积分层次；Q19创新思维四方法2分各满6分细则
019,2024朝阳期中,supplementary_marking_record,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx,text/019_Desktop_2024模拟题_2024朝阳期中_细则_补充材料_2024.11期中政治朝阳评标2.docx.txt,,text_extracted_unread,NO,char=22368；大型评标实录；优先级高但未读；可能含Q18/Q19详细阅卷讨论
020,2024朝阳期中,answer_key_rtf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/细则.rtf,text/020_Desktop_2024模拟题_2024朝阳期中_细则_补充材料_细则.rtf.txt,,text_extracted_unread,NO,char=3515；RTF格式；备用答案文件
021,2024朝阳二模,paper,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,text/021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf.txt,renders/021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf,text_read,NO,char=8387；Q6属种概念Q7合乎逻辑choice；未见显性选必三主观题（设问多为哲学/政治）
022,2024朝阳二模,rubric_pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,text/022_Desktop_2024模拟题_2024朝阳二模_细则_细则.pdf.txt,renders/022_Desktop_2024模拟题_2024朝阳二模_细则_细则.pdf,text_read,NO,char=5901；阅卷总结格式；Q15经济Q16哲学Q17法律；未见选必三思维主观题得分细则
023,2024朝阳二模,rubric_docx_supplement,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,text/023_Desktop_2024模拟题_2024朝阳二模_细则_补充材料_细则.docx.txt,,text_extracted_unread,NO,char=2006；小文件；备用细则
024,2024西城一模,paper,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,text/024_Desktop_2024模拟题_西城一模_试卷_试卷.docx.txt,,text_extracted_unread,NO,char=6166；未读取；优先级中等
025,2024西城一模,rubric_docx,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,text/025_Desktop_2024模拟题_西城一模_细则_细则.docx.txt,,text_extracted_unread,NO,char=3055；未读取
026,2024西城一模,answer_key_docx,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/补充材料/2024.4高三统一测试思想政治答案.docx,text/026_Desktop_2024模拟题_西城一模_细则_补充材料_2024.4高三统一测试思想政治答案.docx.txt,,text_extracted_unread,NO,char=1685；答案文件
027,2024海淀二模,paper,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,text/027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf.txt,renders/027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf,text_read,NO,char=7700；Q5共变法求异(Ans A)Q6概念外延种属(Ans B)；主观题设问未见显性选必三思维题
028,2024海淀二模,rubric_docx,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,text/028_Desktop_2024模拟题_海淀二模_细则_细则.docx.txt,,text_extracted_unread,NO,char=2705；未读取
029,2024海淀二模,answer_key_docx,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/补充材料/高三二模：政治答案(2).docx,text/029_Desktop_2024模拟题_海淀二模_细则_补充材料_高三二模_政治答案_2_.docx.txt,,text_extracted_unread,NO,char=1734；答案文件
030,2024朝阳一模,paper,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,text/030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf.txt,renders/030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf,text_read,NO,char=6585；Q6逻辑规则(Ans B)Q7创新思维(Ans C)；主观题内容未完整提取
