title,entry_count
2026通州一模 第17题第（2）问,6
2025海淀二模 第20题,5
2025门头沟一模 第21题第（1）问,5
2026朝阳期中(2025-11) 第21题第（2）问,5
2026朝阳期中(2025-11) 第20题,4
2026海淀一模 第17题（建议部分）,4
2026海淀二模 第18题第（1）问,4
2026石景山一模 第17题第（2）问,4
2024丰台二模 第18题第（2）问,3
2024门头沟一模 第20题,3
2025丰台一模 第18题第（1）问,3
2025石景山一模 第19题,3
2025西城一模 第17题,3
2026东城一模 第19题第（4）问,3
2026延庆一模 第18题第（2）问,3
2026房山一模 第18题第（1）问,3
2026西城二模 第18题第（4）问,3
2026顺义一模 第19题第（2）问,3
2024东城一模 第18题第（3）问,2
2024石景山一模 第19题第（3）问,2
2025东城期末 第18题第（2）问,2
2025延庆一模 第18题,2
2025昌平二模 第19题,2
2025海淀期末 第18题,2
2026丰台二模 第21题,2
2026门头沟一模 第18题第（2）问,2
2024丰台一模 第19题第（2）问,1
2024房山一模 第20题第（1）问,1
2024朝阳二模 第19题第（1）问,1
2024朝阳期中 第19题,1
2024海淀一模 第17题第（2）问,1
2024海淀二模 第17题第（1）问,1
2024海淀二模 第17题第（2）问,1
2024西城一模 第19题第（5）问,1
2024顺义二模 第16题第（2）问,1
2025东城一模 第18题第（1）问,1
2025丰台期末“界”迁移题,1
2025房山一模 第16题第（3）问,1
2025海淀期末 第17题第（1）问,1
2026东城一模 第19题第（4）问79,1
2026东城二模 第18题,1
2026房山二模 第18题第（2）问,1
2026朝阳一模 第17题第（1）问后半,1
2026海淀期末 第20题第（2）问,1
2026石景山二模 第17题第（2）问,1
2026西城一模 第16题,1
2026西城期末 第21题,1
2026顺义二模 第18题第（1）问,1
2026顺义二模 第21题,1
