framework_node,sub_node,entry_id,suite,question,part,question_family,note
科学思维,客观性,MT-2026SY-19-2-A,2026顺义一模,19,(2),科学思维三性同时考,客观性=蹲点观察老人真实生活习惯
科学思维,客观性,MT-2024HD2-17-1-A,2024海淀二模,17,(1),科学思维单角度设问,客观性=抽样全面真实准确（SCIENCE_ONLY_SOURCE_SUPPORTED）
科学思维,客观性,MT-2026HD1-17-2-A,2026海淀一模,17,(2),四类思维方法-调研改进,客观性=调研从实际出发设计选项
科学思维,预见性,MT-2026SY-19-2-A,2026顺义一模,19,(2),科学思维三性同时考,预见性=研判老龄化趋势预测市场潜力
科学思维,可检验性,MT-2026SY-19-2-A,2026顺义一模,19,(2),科学思维三性同时考,可检验性=多轮迭代测试
科学思维,可检验性,MT-2026HD1-17-2-A,2026海淀一模,17,(2),四类思维方法-调研改进,可检验性=实地测量对比数据比对
科学思维,探索性/方法更新,MT-2024HD2-17-1-A,2024海淀二模,17,(1),科学思维单角度设问,028/029 细则中‘思路新方法新’
科学思维,整体安排,MT-2024HD2-17-1-A,2024海淀二模,17,(1),科学思维单角度设问,028/029 细则中‘分阶段实施任务明确’
科学思维,超前思维-调查研究,MT-2026HD-QM-20-2-A,2026海淀期末,20,(2),超前思维方法三件套,广泛深入调研居民需求
科学思维,超前思维-矛盾分析,MT-2026HD-QM-20-2-A,2026海淀期末,20,(2),超前思维方法三件套,运营成本与需求矛盾分析
科学思维,超前思维-推理与想象,MT-2026HD-QM-20-2-A,2026海淀期末,20,(2),超前思维方法三件套,人口结构变化的前瞻规划
辩证思维,分析与综合/整体性/系统优化,MT-2025HD2-20-A,2025海淀二模,20,,辩证思维复合题三层任选,共建共享/做大蛋糕分好蛋糕
辩证思维,质量互变/动态性,MT-2025HD2-20-A,2025海淀二模,20,,辩证思维复合题三层任选,循序渐进分阶段
辩证思维,辩证否定,MT-2025HD2-20-A,2025海淀二模,20,,辩证思维复合题三层任选,扬弃旧富裕观
辩证思维,矛盾分析,MT-2026CYQZ-20-A,2026朝阳期中,20,,辩证思维复合题四方法任选,机遇与挑战对立统一
辩证思维,辩证否定,MT-2026CYQZ-20-A,2026朝阳期中,20,,辩证思维复合题四方法任选,辩证否定替代矛盾分析
辩证思维,分析与综合/整体性,MT-2026CYQZ-20-A,2026朝阳期中,20,,辩证思维复合题四方法任选,分析风险综合战略
辩证思维,质量互变,MT-2026CYQZ-20-A,2026朝阳期中,20,,辩证思维复合题四方法任选,科研持续投入实现质变
辩证思维,动态性,MT-2026CYQZ-20-A,2026朝阳期中,20,,辩证思维复合题四方法任选,顺应科技革命动态趋势
辩证思维,全面观点,MT-2026HD1-17-2-A,2026海淀一模,17,(2),四类思维方法-调研改进,综合四法
辩证思维,矛盾分析,MT-2026HD1-17-2-A,2026海淀一模,17,(2),四类思维方法-调研改进,对比不同群体回答
创新思维,超前思维,MT-2026CYQZ-21-2-A,2026朝阳期中,21,(2),创新思维复合题三方法+三新,合理预测消费趋势主动转型
创新思维,联想思维,MT-2026CYQZ-21-2-A,2026朝阳期中,21,(2),创新思维复合题三方法+三新,冰雪+音乐+文化叙事跨界联结
创新思维,联想思维-迁移与想象,MT-2026CY1-17-1-B,2026朝阳一模,17,(1),创新思维-联想-迁移与想象设计应用,铁路博物馆文创产品迁移想象
创新思维,转换思维/逆向思维,MT-2026CYQZ-21-2-A,2026朝阳期中,21,(2),创新思维复合题三方法+三新,静态→动态/冷资源→热经济
创新思维,三新(思路新方法新结果新),MT-2026CYQZ-21-2-A,2026朝阳期中,21,(2),创新思维复合题三方法+三新,从物理景观局限到沉浸式复合空间
创新思维,发散与聚合,MT-2026CYQZ-21-2-A,2026朝阳期中,21,(2),创新思维复合题三方法+三新,多角度挖掘后聚焦融合街区
创新思维,发散与聚合,MT-2026HD1-17-2-A,2026海淀一模,17,(2),四类思维方法-调研改进,发散收集再聚合核心问题
创新思维,转换性思考,MT-2026HD1-17-2-A,2026海淀一模,17,(2),四类思维方法-调研改进,对因果关系作交换性思考
思维抽象与思维具体,感性具体→思维抽象→思维具体,CT-2026TZ-11-A,2026通州期末,11,,选择题陷阱-思维抽象/思维具体,河→合→和 三层认识链(永久硬样本)
形式逻辑边界,推理形式综合,待 Codex 整理,2026东城期末,17,(2),形式逻辑综合,矛盾律+充分条件假言+三段论中项不周 — 不入思维主链
