question_id,suite_id,original_qno,question_type,answer_letter,claudecode_decision,decision_reason,needs_codex_recheck
Q-2025东城期末-1,S-2025东城期末,1,选择题,D,excluded,答案D；十一届/十四届/二十届三中全会与改革开放这一主轴，考核改革开放是坚持发展中国特色社会主义的必由之路；属必修一中国特色社会主义模块，不进入选必三思维主链。,no
Q-2025东城期末-2,S-2025东城期末,2,选择题,D,excluded,答案D；邓小平理论是中国特色社会主义理论体系的奠基之作并明确提出走自己的路；属必修一中特理论体系考点，不进入选必三思维主链。,no
Q-2025东城期末-3,S-2025东城期末,3,选择题,B,excluded,答案B；优秀人物事迹生发报效祖国斗志、转化为推动社会发展的物质力量；属必修四文化的功能模块，不进入选必三思维主链。,no
Q-2025东城期末-4,S-2025东城期末,4,选择题,A,excluded,答案A；汉字笔画对立统一、笔画蕴含精神向往；属必修四矛盾观+中华优秀传统文化模块，不进入选必三思维主链。,no
Q-2025东城期末-5,S-2025东城期末,5,选择题,C,入正文,答案C(②④)；社区公园直角改圆角、入口拓宽提升体验。②命中辩证思维整体性+动态性，④命中矛盾分析法；①把'人为事物联系'误说成'自在联系'(必修四联系观陷阱)，③把'否定不合理保留合理'误说成'否定过去肯定现在'(辩证否定观陷阱)。可入选必三辩证思维 choice trap。,yes
Q-2025东城期末-6,S-2025东城期末,6,选择题,C,excluded,答案C；全国人大常委会立法权+草案公开征求意见常态化推进科学民主立法；属必修三政治与法治模块，不进入选必三思维主链。,no
Q-2025东城期末-7,S-2025东城期末,7,选择题,B,excluded,答案B(①④)；宏观调控+优化营商环境+鼓励芯片技术研发推动产业转型升级；属必修二经济与社会传导路径题，不进入选必三思维主链。,no
Q-2025东城期末-8,S-2025东城期末,8,选择题,B,excluded,答案B；外资战略投资管理办法降低投资门槛、拓宽外资投资渠道营造公平投资环境；属必修二经济与社会更高层次开放型经济，不进入选必三思维主链。,no
Q-2025东城期末-9,S-2025东城期末,9,选择题,A,excluded,答案A；金砖国家会晤反映发展中国家谋和平发展、促合作共赢的强烈愿望；属选必一国际政治与经济模块，不进入选必三思维主链。,no
Q-2025东城期末-10,S-2025东城期末,10,选择题,C,excluded,答案C；全球发展倡议之友小组+中国方案中国行动凝聚国际共识；属选必一国际政治与经济模块，不进入选必三思维主链。,no
Q-2025东城期末-11,S-2025东城期末,11,选择题,C,excluded,答案C(②④)；数据知识产权登记证书降低举证难度+完善行政与司法协同保护机制；属选必二法律与生活+必修三政治与法治模块，不进入选必三思维主链。,no
Q-2025东城期末-12,S-2025东城期末,12,选择题,A,excluded,答案A；民法典合同/遗赠扶养/股票质押/作品转载付酬规则；属选必二法律与生活模块，不进入选必三思维主链。,no
Q-2025东城期末-13,S-2025东城期末,13,选择题,B,入正文,答案B(①③)；①'大国重器'作中项不周延，③'适合山地骑行'作中项不周延，二者违反相同规则即'中项至少周延一次'。②'三盘六针'前提中不周延、结论中周延犯大项不当扩大；④'智能温控系统'前后含义错位犯四概念错误。可入选必三推理-三段论选择题陷阱。,yes
Q-2025东城期末-14,S-2025东城期末,14,选择题,D,入正文,答案D；性质判断与关系判断综合题。A把整体与部分关系误标为属种关系；B'位于北京老城中心'是反对称关系不是传递关系；C两个'中'外延不一致；D'统领整个老城规划格局的建筑与遗址的组合体'是简单肯定判断的谓项，因联项肯定故谓项不周延，正解。可入选必三-判断章选择题陷阱。,yes
Q-2025东城期末-15,S-2025东城期末,15,选择题,B,入正文,答案B；前提'如果赵→李陈/李大钊'是充分条件假言判断，规则'肯前必肯后、否后必否前'。B肯定前件赵且否定后件不去陈/不去大钊，违反'肯前必肯后'，必假；A为'只有…才'式必要条件不矛盾；C否前不能否后；D肯后不能肯前(逆否换位失败)。可入选必三推理-假言推理选择题陷阱。,yes
Q-2025东城期末-16,S-2025东城期末,16,主观题,,excluded,8分；'器以述史，物以载道'+《哲学与文化》知识；细则三层为中华文化源远流长博大精深+文化载体+意识能动作用；属必修四哲学与文化模块，不进入选必三思维主链。,no
Q-2025东城期末-17,S-2025东城期末,17,主观题,,excluded,9分；北京法院如何提升'生态颜值'+法治知识；细则三层为审判权惩处+劳务代偿创新司法+宣传教育公开道歉；属必修三政治与法治+选必二法律与生活模块，不进入选必三思维主链。,no
Q-2025东城期末-18-1,S-2025东城期末,18(1),主观题,,excluded,5分；'嫦娥揽月回'+《经济与社会》知识；细则三层为政府履行经济职能+社会主义基本经济制度新型举国体制+两个毫不动摇深化体制机制改革；属必修二经济与社会模块，不进入选必三思维主链。,no
Q-2025东城期末-18-2,S-2025东城期末,18(2),主观题,,入正文,4分；登月服设计如何体现创新思维+《逻辑与思维》知识。东城期末细则PPTX明确两层：第一层创新思维表现/特点(思路新方法新结果新或多向性跨越性独特性)1分；第二层具体方法(聚焦核心问题综合考虑不同需要→聚合+发散；服装造型与火箭形象传统文化联系→联想；提前预判月面环境与航天员需求→超前)，写对一点2分、二点3分。可入选必三创新思维主链(联想/聚合+发散/超前)。,yes
Q-2025东城期末-19-1,S-2025东城期末,19(1),主观题,,excluded,短答；电动自行车充电柜涉及的法律问题；细则两思路：是否符合/违反消防与共有部分用途规定；涉及哪些权利(侵权、相邻权、人身安全、财产权)。属选必二法律与生活模块，不进入选必三思维主链。,no
Q-2025东城期末-19-2,S-2025东城期末,19(2),主观题,,excluded,短答；解决电动自行车安家难的利益相关方；细则得分主体为街道办事处/消防部门/居委会/党/基层党组织等。属必修三政治与法治+基层群众自治模块，不进入选必三思维主链。,no
Q-2025东城期末-19-3,S-2025东城期末,19(3),主观题,,excluded,短答；如何更好解决居民分歧达成共识；细则两层：相邻关系原则+权利有界限(选必二法律与生活)；民主协商+民主决策(必修三政治与法治)。不进入选必三思维主链。,no
Q-2025东城期末-20,S-2025东城期末,20,主观题,,excluded,8分短文；新能源汽车反补贴税+《当代国际政治与经济》知识；细则三层为中国贡献+欧盟逆全球化贸易保护+国家利益与共同利益和平谈判。属选必一国际政治与经济模块，不进入选必三思维主链。,no
Q-2025东城期末-21,S-2025东城期末,21,主观题,,同类索引,10分综合短文；'中国式现代化民生为大'+综合运用所学；细则按知识运用方面数给等级分(党的领导/以人民为中心/法治/公共服务/中华优秀传统文化等)。本题不限定选必三知识范围，不入选必三思维主链正文；可作为综合短文同类索引保留，提醒学生'综合运用所学'类设问可视答题角度涉及辩证思维等思维方法但本题细则未独立给分。,no
