global_entry_no,source_label,bucket,second_level,core_point,year,district,exam_type,q_no,q_sub,overall_auto_status,paper_count,rubric_count,other_count,paper_statuses,rubric_statuses,q_in_paper,q_in_rubric,prompt_exact,prompt_match_fragment,prompt_match_score,score_match_fragment,score_match_score,surface_match_fragment,surface_match_score,paper_paths,rubric_paths,other_paths,prompt,score_layers,surface_sentence
1,2026通州期末Q20,时代背景,机遇,和平与发展仍是时代主题,2026,通州,期末,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,顺应各国人民愿望等,1.000,全球治理倡议回应世界变乱交织和治理赤字,0.002,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,,结合材料，运用《当代国际政治与经济》知识，谈谈你对“全球治理倡议正逢其时、指引方向彰显担当”的理解。,六层：1.共商共建共享全球治理观；2.时代主题、经济全球化、顺应各国人民愿望等；3.符合《联合国宪章》；4.推动构建国际新秩序、倡导国际关系民主化、践行多边主义、坚持正确义利观、兼顾利益等任意一点给1分、共2分；5.人类命运共同体；6.贡献中国智慧、中国方案、勇于大国担当。,全球治理倡议回应世界变乱交织和治理赤字，符合和平与发展时代主题、经济全球化发展趋势和各国人民求和平、谋发展、促合作的共同愿望。
2,2025海淀期中Q21(2),时代背景,机遇,和平与发展仍是时代主题,2025,海淀,期中,21,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,1,OK,OK,True,True,True,分析新中国外交的“变”与“不变”,1.000,,0.000,和平与发展成为时代主题,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf,结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。,,新中国外交所处时代背景不断变化，政治多极化、经济全球化深入发展，和平与发展成为时代主题，外交重点和国际合作方式也随之发展。
3,2024海淀二模Q18(1)多极化世界中的民主与全球治理,时代背景,机遇,和平与发展仍是时代主题,2024,海淀,二模,18,1,NEEDS_MANUAL_SURFACE_CHECK,2,2,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,,0.000,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx || /Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx || /Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/补充材料/高三二模：政治答案(2).docx,,任选一个议题，参考资料包中的内容，运用《当代国际政治与经济》知识，围绕所选议题写一篇时政述评。（8分）要求：观点明确；知识运用准确；论述合乎逻辑，条理清晰。（本宝典示例：选「多极化世界中的民主与全球治理」议题作答）,,和平与发展仍是时代主题，人工智能、大数据带来的治理挑战和全球南方国家诉求上升，要求各方在和平合作框架内推进更有效、更民主的全球治理。
4,"2025延庆一模Q20(2)外交部发言人回应""脱钩断链""",时代背景,机遇,和平与发展仍是时代主题,2025,延庆,一模,20,2,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,顺应和平与发展的时代主题,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx,,假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对上述提问做出回应。,,维护全球产供链韧性和稳定是世界经济可持续发展的重要保障，符合国际社会的共同利益，顺应和平与发展的时代主题。
5,2024西城二模Q19中国答案的国际关系新思路,时代背景,机遇,和平与发展仍是时代主题,2024,西城,二模,19,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,2,2,OK,OK,True,True,True,阐述中国答案所体现的处理国际关系的新思路,1.000,,0.000,推动国际秩序朝着更加公正合理的方向发展,1.000,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx || /Users/wanglifei/Desktop/2024模拟题/西城二模/细则/补充材料/高三模拟测试思想政治答案.docx,/Users/wanglifei/Desktop/2024模拟题/西城二模/其他材料/西城东城二模选择题讲评.pdf || /Users/wanglifei/Desktop/2024模拟题/西城二模/其他材料/西城东城二模选择题讲评.pptx,结合材料，阐述中国答案所体现的处理国际关系的新思路。,,人类命运共同体理念顺应时代潮流（细则可替代为「和平与发展」），倡导全球协作，推动国际秩序朝着更加公正合理的方向发展。
6,2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,时代背景,机遇,和平与发展仍是时代主题,2025,丰台,期末,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OK,True,True,True,阐明中非达成一系列战略性共识的理论逻辑和价值意蕴,1.000,,0.000,中非达成一系列战略性共识符合和平与发展的时代主题,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx,,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。,,中非达成一系列战略性共识符合和平与发展的时代主题，为发展中国家联合应对全球挑战提供合作土壤。
7,2026西城二模Q19(1),时代背景,机遇,和平与发展仍是时代主题,2026,西城,二模,19,1,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OK,OCR_OK,True,True,True,阐释中国参与全球数据治理的逻辑,1.000,,0.000,全球化发展趋势使数据治理成为各国共同面对的问题,0.003,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf,,结合材料，运用当代国际政治知识，阐释中国参与全球数据治理的逻辑。,,数字经济发展推动数据跨境流动，全球化发展趋势使数据治理成为各国共同面对的问题，中国参与全球数据治理符合和平与发展、全人类共同价值和人类共同利益。
8,2026朝阳期末Q20,时代背景,机遇,和平与发展仍是时代主题,2026,朝阳,期末,20,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,0,OCR_OK,OCR_OK,True,True,True,分析中国特色大国外交为什么要更有作为,1.000,我国国家利益四个角度各2分,0.006,和平与发展是当今时代的主题,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/细则/细则.pdf,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,和平与发展是当今时代的主题，中国携手周边国家共建和平家园、安宁家园，妥善管控矛盾分歧，扩大共同利益，有利于推动周边命运共同体建设和全球治理更加公正合理。
9,2026海淀期中Q22(1),时代背景,机遇,和平与发展仍是时代主题,2026,海淀,期中,22,1,BLOCKED_NO_RUBRIC_FILE,1,0,0,OK,,True,False,False,说明全球治理倡议为什么能获得国际社会广泛认同,1.000,,0.000,符合世界各国人民的共同愿望,1.000,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/试卷/试卷.docx,,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,全球治理倡议顺应和平与发展的时代潮流，符合世界各国人民的共同愿望，因此能够获得国际社会广泛认同。
10,2025朝阳期末Q21,时代背景,机遇,和平与发展仍是时代主题,2025,朝阳,期末,21,,AUTO_LOCATED_NEEDS_MANUAL_CONFIRM,1,1,1,OK,OCR_OK,True,True,False,运用《当代国际政治与经济》知识,1.000,,0.000,维护和平稳定的国际环境,1.000,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/细则/细则.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/其他材料/朝阳高三期末2025.pptx,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。,,中国开展中国特色大国外交，促进世界和平与发展，维护和平稳定的国际环境，回应单边霸凌、脱钩断链和意识形态分歧等外部风险，为推进中国式现代化营造稳定的外部条件。
