question_id,题干信号,完整选项或选项单位,答案源,正确项理由,诱人错项,陷阱类型,是否可入学生稿,当前判定
Q-2024朝阳一模-7,7 抢占科技制高点ꎬ必须坚持原始创新、集成创新、开放创新一体设计ꎬ实现有效贯通ꎮ 下列说法正确的是 1原始创新中的创新思维ꎬ深深地依赖迁移、想象、逆向等逻辑思维活动 2集成创新中的创新思维ꎬ具有跨越性ꎬ但不排斥有步骤的逻辑推导与分析 3开放创新中的合作创新ꎬ离不开对前人和他人已有成果的继承与借鉴 4有效贯通发散思维、聚,needs_current_full_options_recheck,Q-2024朝阳一模-7 | S-2024朝阳一模 | 030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q7,②集成创新跨越性+不排斥逻辑推导=选必三创新思维+逻辑思维并行;③开放创新合作创新需对前人继承=辩证否定继承,"①迁移想象逆向不属逻辑思维而是创新思维(混用错);④""就能确保""绝对化错",创新思维；发散；聚合；逆向；超前；迁移,prelim_yes_needs_options_audit,入正文
Q-2024朝阳一模-9,9 几名中学生针对许多小区存在的闲置车辆长期占用车位导致车位紧张的问题ꎬ在模拟政 协活动中提出解决该问题的提案ꎮ市政协委员关注到了这一模拟提案ꎬ指导同学们务实 调查、充实内容、完善提案ꎮ在此基础上ꎬ市政协委员向市政协会议提交了相关正式提 案ꎮ从“模拟提案”到“正式提案”的探索 1需要针对所研究的问题制定具体政策ꎬ协调多,needs_current_full_options_recheck,Q-2024朝阳一模-9 | S-2024朝阳一模 | 030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q9,③系统观念在调查研究和思考任务中的整体性体现+④对中国特色社会主义制度优势理解,①具体政策制定不属此活动主旨;②引领社会治理过度,辩证思维；系统观念；整体性,prelim_yes_needs_options_audit,入正文
Q-2024朝阳二模-7,"7. 科学思维离不开逻辑。下列表述中,合乎逻辑的是 A. 自媒体是思想政治教育的工具, 自媒体也是娱乐的工具,所以,娱乐 工具都是思想政治教育的工具。 B. 归纳推理是从个别性前提推出一 般性结论的推理。我学过归纳推理,所 以,我能推出一般性结论和新知识体系。 C. 只有既弄清对象的性质,又了解 对象之间的关系,才能对",needs_current_full_options_recheck,Q-2024朝阳二模-7 | S-2024朝阳二模 | 021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q7,D推理结构错误_前提真也不能保正确结论=选必三逻辑核心,A小项不当周延/小项扩大（娱乐工具在前提中不周延，结论中周延）;B归纳推理结论确定性夸大;C必要条件假言推理误用,科学思维,prelim_yes_needs_options_audit,入正文
Q-2024朝阳期中-9,"9. 喜欢科学的小李同学设计了一个实验:将闹钟放在密闭的玻璃钟罩内,使用抽气机抽 出罩内空气。随着罩内空气的减少,铃声逐渐减小;拧开进气阀,让空气慢慢进入玻璃 钟罩,随着罩内空气的增多,铃声逐渐增大。小李由此推断出声音不能在真空中传播。 该推理 A. 是演绎推理,揭示了前提和结论之间存在的本质联系 B. 运用共变法,探",needs_current_full_options_recheck,Q-2024朝阳期中-9 | S-2024朝阳期中 | 017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q9,B共变法_声音随空气量共变=因果探求共变法,A演绎推理结构错;C求异法误用且必然性夸大;D假如式想象未发生_是科学实验,思维抽象；思维具体,prelim_yes_needs_options_audit,入正文
Q-2025东城期末-5,"5.社区中的“小修小补”往往能焕新空间,为居民带来幸福感。社区公园的原入口只有两块砖的宽度, 进入后呈直角转弯,道路狭窄还容易踩踏绿地。通过改造,把原本的直角变成圆角,入口更宽敞,居民 在结伴散步时也更安全便利,提升了休闲体验。对此,评论恰当的是( ) 1道路改造体现了通过实践建立自在联系 2要在整体和动态中认识和优化",needs_current_full_options_recheck,Q-2025东城期末-5 | S-2025东城期末 | 012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q5,②整体动态认识社区环境=辩证思维整体性动态性;④辩证思维矛盾分析法解忧=矛盾分析法,①自在联系不通过实践建立(实践建人为联系);③否定过去肯定现在=简单否定非辩证否定,辩证思维；整体性；动态性,prelim_yes_needs_options_audit,入正文
Q-2025丰台期末-10,"10. 生活中,有人“吃一堑,长一智”,有人却“在同一地方摔倒多次”;有人能“闻一知十”,有人 “举一”却不能“反三”。以下说法正确的是( ) 1“吃一堑,长一智”启示我们要从特殊推出一般,寻找规律性 2人之所以会“在同一地方摔倒多次”,是因为没有运用演绎推理 3“闻一知十”启示我们要从思维抽象到思维具体,开启创新之门",needs_current_full_options_recheck,Q-2025丰台期末-10 | S-2025丰台期末 | 040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q10,①吃一堑长一智=从特殊推一般归纳;④举一反三未运用类比推理_因果分析,②同地摔倒非演绎推理责任_错位;③闻一知十非思维抽象到具体_错位,思维抽象；思维具体；感性具体,prelim_yes_needs_options_audit,入正文
Q-2025丰台期末-7,"7. 下图漫画给我们的哲学启示有( ) A. 集中精力关注当下,就能活出最美的样子 B. 运用超前思维思考明天,创造出幸福的人生 C. 从实际出发,从当下做起,生活才能少些迷茫 D. 弄清昨天明天和当下各自的意义,是取得成功的关键 || Batch03 LaneB note: 哲学题_选必三超前思维作干扰_答案非选必三",needs_current_full_options_recheck,Q-2025丰台期末-7 | S-2025丰台期末 | 040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q7,C从实际出发从当下做起=哲学唯物论+实事求是;漫画显示纠结于昨天明天而忽视当下,A集中关注当下绝对化;B超前思维就能创造幸福夸大且与漫画反义;D弄清意义是成功关键过度,超前,prelim_yes_needs_options_audit,入正文
Q-2025丰台期末-8,"8. 阅读现代诗《和平是一棵树》。 “和平是白天鹅的翅膀, 是翅膀掠过宁静的湖水, 是水底映出的云影; 和平是开向四方的门, 是门里圆桌上斟满的红酒, 是酒上照耀的灯......” 以下对其创作思路解读正确的是( ) 1以想象作为思维的基本单元,激发人们对和平的热爱 2运用发散思维表达了人们对和平的向往和追求 3主要运",needs_current_full_options_recheck,Q-2025丰台期末-8 | S-2025丰台期末 | 040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q8,②发散思维表达和平向往=诗词从多个意象发散表达+④形象思维触及和平本质=以白天鹅翅膀_门_红酒等具体形象,①想象作为思维基本单元(基本单元是概念非想象);③抽象思维错位_本诗用形象不抽象,发散,prelim_yes_needs_options_audit,入正文
Q-2025海淀期末-2,"2. 申遗成功后,“大美中轴”观光巴士吸引了大量游客。观光巴士复刻百年前行驶在北京街头的电车外观,线路涵盖中轴线沿途15处文化遗产。在车上,乘客可以倾听讲解员京味十足的解说,还可以品尝北京烤鸭、观看曲艺表演,沉浸式体验古都深厚的历史底蕴。对此分析正确的是( ) 1观光巴士复刻百年前的电车外观是对旧事物积极部分的扬弃 2",needs_current_full_options_recheck,Q-2025海淀期末-2 | S-2025海淀期末 | 015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q2,②将北京烤鸭曲艺搬上巴士=场景迁移/联想思维（选必三思维核心）；③旅游设计关注乘客与环境整体关系=辩证思维整体性（选必三思维核心）；答案C=②③,"①""扬弃""=辩证否定观（哲学与文化），是哲学诱惑项而非选必三；④立足成功经验开发更多形式，不构成明确思维方法，非答案",辩证思维；整体性；联想；迁移,prelim_yes_needs_options_audit,入正文
Q-2026东城一模-6,"6.人们以脚步为笔、运动App 的地图为纸,“画”出骏马图案,寓意马到成功。“画马”是将运动、创意 与社交相融合的活动。在奥森公园的“画马”活动中,有些途经银杏林的“画马”路线,也经过雨燕塔。 对此,下列认识正确的是 A.将马的形象与运动路线相联结,是对传统马形象的辩证否定 B.用科技手段和抽象思维表达运动创意与美好情",needs_current_full_options_recheck,Q-2026东城一模-6 | S-2026东城一模 | 046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q6,SAP换质得SEP_非P;再换位得非P不是S=A判断换质位标准链,A辩证否定误用_联结非否定;B抽象思维误标_应为形象思维;C有些S是P不能必推有些S不是P,辩证否定,prelim_yes_needs_options_audit,入正文
