target_id,suite_id,qno,question_type,codexA_precheck,laneB_result,before_phase04_level,after_phase04_level,can_enter_student_draft,notes
Q-2024朝阳一模-20-1,S-2024朝阳一模,20(1),主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,"题干""如果A区域古代没有广泛生长竹子,就不可能有大量的炭化竹节""为充分条件假言判断;细则31明确规定推理类型为充分条件假言推理(1分),理由""前真后必真,后假则前假""(2分);A-formal确认"
Q-2024朝阳一模-20-2,S-2024朝阳一模,20(2),主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,"细则31例:前提1=只有A区域古代气候温暖,A区域古代才有可能生长竹子(必要条件);前提2=A区域古代广泛生长着竹子;A-formal确认"
Q-2024朝阳一模-21,S-2024朝阳一模,21,主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,"题干明确""运用《当代国际政治与经济》知识"";细则31采分点为政治多极化/经济全球化两个维度;非选必三task,记录边界"
Q-2024朝阳一模-7,S-2024朝阳一模,7,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,选必三创新思维与逻辑思维区别题
Q-2024朝阳一模-9,S-2024朝阳一模,9,选择题,CODEX_A_CHOICE_NEEDS_ANSWER_SOURCE,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,跨模块cross_政治+选必三辩证思维系统观念
Q-2024朝阳二模-16-1,S-2024朝阳二模,16(1),主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,"题干明确""结合材料一,运用《经济与社会》知识"";细则022四个角度均为经济政策分析;queue误tag为概念/逻辑三律,实非"
Q-2024朝阳二模-16-2,S-2024朝阳二模,16(2),主观题,CODEX_A_PRECHECK_RUBRIC_PAIR_CANDIDATE,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,"题干明确""运用哲学知识"";细则022采分点为辩证统一/实践/价值观/人民群众等哲学知识"
Q-2024朝阳二模-19-1,S-2024朝阳二模,19(1),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,细则022明确①动态性(替代:变化发展/矛盾运动/创新)②类比推理(无变通);双挂载思维(辩证)+推理(类比);A-formal确认
Q-2024朝阳二模-19-2,S-2024朝阳二模,19(2),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_CONFIRMED,L1_A_ONLY_PENDING_B_TARGET,L3_A_PLUS_B_TARGET_CONFIRMED,NO_STUDENT_DRAFT,细则022明确联言判断(2分)+保真条件(3分):全真才真/一假即假;A-formal确认
Q-2024朝阳二模-19-3,S-2024朝阳二模,19(3),主观题,CODEX_A_PRECHECK_BOUNDARY_MIXED,B_TARGET_SCOPE_OUT,L1_A_ONLY_PENDING_B_TARGET,L0_BLOCKED,NO_STUDENT_DRAFT,"细则022三个角度=生生宇宙观+一体天人观+法天地人生观,均哲学/文化分析;无选必三推理或思维方法"
