idx,key,card_id,h1,h2,h3,title,question,tong_lines
60,2026通州期末Q20,2026_通州_期末_Q20,时代背景,机遇,和平与发展仍是时代主题,1. 2026通州期末Q20,结合材料，运用《当代国际政治与经济》知识，谈谈你对“全球治理倡议正逢其时、指引方向彰显担当”的理解。,【同题组】 （本题8分） | · 经济全球化：推进普惠包容的经济全球化 | · 政治多极化：共商共建共享的全球治理观；以主权平等、国际法治等原则推动全球治理体系变革完善；推动国际秩序和全球治理体系更加公正合理；推动构建人类命运共同体；推动国际关系民主化；践行真正的多边主义 | · 中国：贡献中国智慧、中国方案、中国力量；中国推动构建人类命运共同体；坚持正确义利观；中国是负责任大国并勇于担当 | · 联合国：维护《联合国宪章》宗旨和原则
70,2025海淀期中Q21(2),2025_海淀_期中_Q21_2,时代背景,机遇,和平与发展仍是时代主题,2. 2025海淀期中Q21(2),结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。,【同题组】 | · 理论：维护国家利益是主权国家对外活动的出发点和落脚点 | · 政治多极化：世界多极化是当今国际形势的突出特点 | · 中国：中国综合国力、国际地位和话语权提升；习近平外交思想指导中国特色大国外交（外交为民、服务中国式现代化）；新中国外交始终服务国家性质并坚持党对外交统一集中领导；中国坚持独立自主的和平外交政策；和平共处五项原则是我国对外关系基本准则
79,2024海淀二模Q18(1),2024_海淀_二模_Q18_1,时代背景,机遇,和平与发展仍是时代主题,3. 2024海淀二模Q18(1)多极化世界中的民主与全球治理,任选一个议题，参考资料包中的内容，运用《当代国际政治与经济》知识，围绕所选的议题写一篇时政述评。（8分）要求：观点明确；知识运用准确；论述合乎逻辑，条理清晰。,【同题组】 （本题8分） | · 时代背景：和平与发展仍是时代主题 | · 政治多极化：世界多极化是当今国际形势的突出特点；推动构建人类命运共同体；国际组织
87,2025延庆一模Q20(2),2025_延庆_一模_Q20_2,时代背景,机遇,和平与发展仍是时代主题,"4. 2025延庆一模Q20(2)外交部发言人回应""脱钩断链""",假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对上述提问做出回应。,【同题组】 | · 理论：国家间共同利益是国家合作的基础；维护国家利益是主权国家对外活动的出发点和落脚点 | · 经济全球化：推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展；维护全球产业链供应链稳定畅通 | · 政治多极化：世界多极化是当今国际形势的突出特点；践行真正的多边主义；推动国际关系民主化；推动构建人类命运共同体 | · 中国：中国推动构建人类命运共同体；展现大国责任担当
97,2024西城二模Q19,2024_西城_二模_Q19,时代背景,机遇,和平与发展仍是时代主题,5. 2024西城二模Q19中国答案的国际关系新思路,结合材料，阐述中国答案所体现的处理国际关系的新思路。,【同题组】 | · 理论：国家间共同利益是国家合作的基础 | · 政治多极化：超越集团政治、实力至上和少数国家垄断价值定义的治理逻辑；推动国际秩序和全球治理体系更加公正合理；推动构建人类命运共同体；推动国际关系民主化；践行真正的多边主义；相互尊重、公平正义、合作共赢的新型国际关系；反对单边主义、霸权主义和强权政治 | · 中国：中国推动构建人类命运共同体
106,2025丰台期末Q20,2025_丰台_期末_Q20,时代背景,机遇,和平与发展仍是时代主题,6. 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。,【同题组】 | · 理论：国家间共同利益是国家合作的基础 | · 政治多极化：在平等互利基础上开展合作，实现互利共赢；共商共建共享的全球治理观；相互尊重、公平正义、合作共赢的新型国际关系；推动国际关系民主化；促进共同发展、维护持久和平，共同推进现代化 | · 中国：中国推动构建人类命运共同体
115,2026西城二模Q19(1),2026_西城_二模_Q19_1,时代背景,机遇,和平与发展仍是时代主题,7. 2026西城二模Q19(1),结合材料，运用当代国际政治知识，阐释中国参与全球数据治理的逻辑。,【同题组】 （本题6分） | · 政治多极化：共商共建共享的全球治理观；推动国际关系民主化；坚持主权平等与安全保障；推动国际秩序和全球治理体系更加公正合理；推动构建人类命运共同体 | · 中国：展现大国责任担当
123,2026朝阳期末Q20,2026_朝阳_期末_Q20,时代背景,机遇,和平与发展仍是时代主题,8. 2026朝阳期末Q20,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,【同题组】 （本题8分） | · 理论：国家间共同利益是国家合作的基础；维护国家利益是主权国家对外活动的出发点和落脚点 | · 经济全球化：顺应经济全球化趋势，反对贸易保护主义；建设开放型世界经济，扩大开放合作；共享经济全球化成果，促进世界经济共同繁荣 | · 政治多极化：世界多极化是当今国际形势的突出特点；世界多极化与全球南方联合自强；推动构建人类命运共同体；推动国际秩序和全球治理体系更加公正合理；反对单边主义、霸权主义和强权政治 | · 中国：中国推动构建人类命运共同体
133,2025朝阳期末Q21,2025_朝阳_期末_Q21,时代背景,机遇,和平与发展仍是时代主题,9. 2025朝阳期末Q21,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。,【同题组】 | · 理论：维护国家利益是主权国家对外活动的出发点和落脚点 | · 经济全球化：推进普惠包容的经济全球化，推动构建更加开放、包容的全球经济格局；推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展；中国扩大高水平对外开放与制度型开放 | · 政治多极化：世界多极化是当今国际形势的突出特点；世界多极化与全球南方联合自强；相互尊重、公平正义、合作共赢的新型国际关系；共商共建共享的全球治理观；践行真正的多边主义；推动国际关系民主化；推动全球治理体系变革完善，建立更加公正合理的国际政治经济新秩序；推动国际秩序和全球治理体系更加公正合理；反对单边主义、霸权主义和强权政治 | · 中国：习近平外交思想指导中国特色大国外交（外交为民、服务中国式现代化）；坚持总体国家安全观，统筹发展与安全，以新安全格局保障新发展格局；新中国外交始终服务国家性质并坚持党对外交统一集中领导；中国坚持独立自主的和平外交政策；和平共处五项原则是我国对外关系基本准则；中国推动构建人类命运共同体；坚持正确义利观；倡导文明平等互鉴，弘扬全人类共同价值，尊重世界文明多样性 | · 联合国：坚定维护以联合国为核心的国际体系和以国际法为基础的国际秩序
144,2026顺义一模Q20,2026_顺义_一模_Q20,时代背景,机遇,和平与发展仍是时代主题,10. 2026顺义一模Q20,结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。,【同题组】 | · 理论：国家间共同利益是国家合作的基础 | · 经济全球化：推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展 | · 政治多极化：相互尊重、公平正义、合作共赢的新型国际关系；在平等互利基础上开展合作，实现互利共赢 | · 中国：中国推动构建人类命运共同体；中国坚持独立自主的和平外交政策；坚持正确义利观；南南合作与全球南方共同发展；贡献中国智慧、中国方案、中国力量；与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢；改善发展中国家民生并助力持续发展
154,2026石景山二模Q18,2026_石景山_二模_Q18,时代背景,机遇,和平与发展仍是时代主题,11. 2026石景山二模Q18,结合材料，运用《当代国际政治与经济》知识，分析中国与东盟经贸合作能够提质升级的原因。,【同题组】 | · 理论：当前国际竞争的实质是以经济和科技实力为基础的综合国力较量；国家间共同利益是国家合作的基础；维护国家利益是主权国家对外活动的出发点和落脚点 | · 经济全球化：顺应经济全球化趋势，主动融入并推动深化；利用两个市场两种资源优化全球资源配置；推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展 | · 政治多极化：推动构建人类命运共同体
