choice_id,suite_id,year,suite,question_no,correct_option,answer_key_source,question_excerpt,correct_trigger,wrong_option_notes,support_status,boundary_note
S002_C01,S002,2024,2024朝阳一模,3,B,答案表L922-L923：题号3答案B；试卷讲评L114独立确认B,L981-L989: 3.「太行山上的新愚公」李保国35年如一日扎根太行山，以创新成果助力广大农民致富；「糖丸爷爷」顾方舟一生致力研究脊髓灰质炎防控，守护几代国人健康成长；植物学家钟扬长期致力于生物多样性研究和保护，16年跋涉于青藏高原，为培养西部少数民族地区的植物学人才作出了重要贡献……这启示我们 ①应积极投身于为人民服务的实践，努力实现人生价值 ②只有全面提升自身价值，才能把握住难得的人生机遇 ③拥有对社会的独特的贡献方式，才能正确处理好个人与社会的关系 ④只有为国家、社会、民族和集体奋斗的人生，才是真正有意义的人生 A.①③ B.①④ C.②③ D.②④,三位楷模都把个人投入到扎根基层、防控传染病、培养少数民族人才等为人民、为国家社会奋斗的实践当中。①直接对应「积极投身为人民服务的实践，努力实现人生价值」，落到实现人生价值要在劳动和奉献中创造价值、把劳动当作人生价值的源泉；④对应「为国家、社会、民族和集体奋斗的人生才是真正有意义的人生」，落到实现人生价值需要在个人与社会的统一中实现，把个人融入社会发展。所以答案选B（①④）。,②错在「只有全面提升自身价值，才能把握住难得的人生机遇」——把人生价值实现窄化为先提升自身后等待机遇，与材料中三位楷模数十年扎根奋斗的实际不符，「全面提升自身」也是绝对化表述，且把人生价值降格为「把握机遇」。③错在「拥有对社会的独特的贡献方式，才能正确处理好个人与社会的关系」——「独特的贡献方式」是绝对化条件；处理个人与社会关系的关键在于把个人融入社会、为社会作贡献，而非贡献是否独特。,closed-question-and-answer-key,正确项①④锚定必修四哲学「实现人生价值」（劳动奉献中创造价值、个人与社会统一中实现价值）；错项均为价值观/人生观范围内的常见绝对化偏向；不越界到经济、政治、法律等模块。
S002_C02,S002,2024,2024朝阳一模,4,A,答案表L922-L923：题号4答案A；试卷讲评L122-L124：「本题主要考查学生对材料主旨的概括、理解能力，选择最能体现选育吃盐植物驱盐化碱的哲学道理的选项」并标A,L993-L1000: 4.改良利用好适宜种植粮食的5亿亩盐碱地，对维护国家粮食安全、端牢中国饭碗具有重要战略保障意义。为克服「洗土法」需要消耗大量水资源的弊端，某科研团队在盐碱地上种植盐角草等优质「吃盐」植物，3年累计降低盐碱地85%到90%的盐分，而消耗的水资源只有「洗土法」的15%。选育「吃盐」植物驱盐化碱 A.体现出人们根据事物的属性，在草、盐、地、粮之间建立新的联系 B.是遵循适度原则、创造条件促进盐碱地向粮田转变的科学方法 C.做到了把严谨的科学态度和改良客观规律相结合，从而改造了自然 D.表明正确的自然观在改造自然的生产实践中发挥了决定性作用,科研团队抓住盐角草等「吃盐」植物吸收盐分的固有属性，把吃盐植物—土壤盐分—盐碱地—粮田这几个原本不直接关联的对象重新组织起来，形成「植物吸盐—盐分下降—盐碱地转粮田」的新条件链。这是人们根据事物的固有属性、在事物之间建立起来的人为事物联系，触发联系观中「人们可以根据事物固有的属性、本质和规律建立新的具体联系」这一方法论。所以A正确——选育吃盐植物驱盐化碱体现的就是人们根据属性在草、盐、地、粮之间建立新的具体联系。,B错在「适度原则」——本题要尽可能彻底降低盐碱地盐分让其转为粮田，并不是要把盐分控制在某个度内，把发展观的适度原则错套到联系材料上。C错在「改良客观规律」——客观规律具有客观性，不能被改良，只能被尊重和利用；本选项把「改造自然」偷换为「改良规律」。D错在「正确的自然观在改造自然的生产实践中发挥了决定性作用」——决定改造自然成败的是物质资料生产方式和实践活动本身，正确的自然观作为意识只能起促进作用，不起决定性作用，颠倒了物质与意识的决定关系。,closed-question-and-answer-key,试卷讲评明确把本题定位为考查必修四哲学道理；正确项A单点对应联系观（人为事物联系），错项B/C/D分别从适度原则误用、规律可否改良、自然观与决定作用三个常见错误偏向设置，均落在哲学边界内，不涉及其他模块。
S003_C01,S003,2024,2024朝阳二模,1,B,L268-L269 答案表（题号1对应答案B）,"L309-L320: 第1题：'过去的一切运动都是少数人的,或者为少数人谋利益的运动。无产阶级的运动是绝大多数人的、为绝大多数人谋利益的独立的运动'（《共产党宣言》）；'为人民而生,因人民而兴,始终同人民在一起,为人民利益而奋斗,是我们党立党兴党强党的根本出发点和落脚点'（习近平）。据此,下列认识正确的是 ①人民立场是马克思主义政党区别于其他政党的显著标志 ②人民群众是社会存在和发展的基础,是社会进步的力量源泉 ③人民是领导力量,为实现中华民族伟大复兴创造了根本社会条件 ④坚持人民至上,体现了我们党为崇高理想奋斗和为最广大人民谋利益的一致性。A.①② B.①④ C.②③ D.③④",两段材料分别从《共产党宣言》和习近平讲话出发，反复突出'为绝大多数人谋利益''为人民利益而奋斗''党立党兴党强党的根本出发点和落脚点'；正项①把握住'人民立场是马克思主义政党区别于其他政党的显著标志'，正项④把握住'坚持人民至上'是我们党为崇高理想奋斗与为最广大人民谋利益的一致表达，二者从历史唯物主义群众观出发对接党的人民立场。,②错把'社会存在和发展的基础'扣在人民群众头上，必修四明确'物质资料的生产方式是社会存在和发展的基础''人民群众是历史的创造者'，把人民群众错置为'社会存在和发展的基础'是必修四历史唯物主义的典型错肢；③错把'领导力量'扣在人民头上，正确表述应是中国共产党是领导核心、人民群众是历史的创造者，且'根本社会条件'与中华民族伟大复兴的对接也不准确。,closed-question-and-answer-key,选项①中关于马克思主义政党的表述与必修四人民群众观相互呼应，本题以错肢②③这两个必修四历史唯物主义典型错肢作为核心区分点，整题归入必修四哲学。
S003_C02,S003,2024,2024朝阳二模,6,C,L268-L269 答案表（题号6对应答案C）,"L373-L381: 第6题：'商业航天'是指以市场为主导、具有商业盈利模式的航天活动。2023年7月,我国民营商业航天企业自主研制的全球首枚液氧甲烷火箭成功发射,标志着我国运载火箭在新型低成本液体推进剂应用方面取得突破,走过了从'0'到'1'的'拓荒'阶段,进入拼硬实力的成长阶段。下列选项正确的是 ①'商业航天'与'航天'两个概念是属种关系 ②我国商业航天的发展体现了事物发展过程中的渐进性与飞跃性 ③我国商业航天的发展应以航天'国家队'为主,坚持底线思维 ④不论是国有航天,还是民营航天,都是航天事业的重要组成部分。A.①② B.①③ C.②④ D.③④",材料把我国商业航天发展划为两个阶段：'从0到1的拓荒'是质的突破（飞跃性/质变），'进入拼硬实力的成长阶段'是在突破基础上的持续积累（渐进性/量变）；正项②准确对接必修四'事物发展是量变与质变的统一''发展过程中的渐进性与飞跃性'。,①'属种关系'属于选必三《逻辑与思维》中概念外延关系的范畴，已超出必修四哲学范围；③材料突出的是民营商业航天的突破成就，'以国家队为主'既无材料支撑也偏离题意，'底线思维'本身是辩证思维但被错误判断捆绑因此整体错；④'都是航天事业的重要组成部分'更接近经济范畴中所有制结构的表述，并未真正触发必修四整体与部分的辩证关系，不能作为本题的必修四哲学正项依据。,closed-question-and-answer-key,②为必修四发展观核心给分项；①属选必三逻辑模块边界；④偏经济所有制；本题以②作为必修四哲学触发点。
S004_C01,S004,2024,2024朝阳期中,1,B,L1153-L1154:题号1对应B(答案表)。,"L1180-L1185:第十四届全国人民代表大会常务委员会第十一次会议决定授予王永志、王振义、李振声、黄宗德'共和国勋章',授予王小谟、赵忠贤等10人国家荣誉称号。功勋模范人物忠诚、执着、朴实的优秀品格值得全党全国各族人民学习。向功勋模范人物学习 ①要胸怀强国之志,在为国尽责、为民服务中实现个人价值 ②要勇建强国之功,迎难而上,依据价值选择作出价值判断 ③要锤炼强国之技,学习新知识、掌握新技能、练就真本领 ④要铸牢强国之基,把时代精神作为人生奋斗的根本立足点。A.①② B.①③ C.②④ D.③④。","①'在为国尽责、为民服务中实现个人价值'对应'在劳动和奉献中创造和实现人生价值'是实现人生价值的根本途径;③'学习新知识、掌握新技能、练就真本领'对应在个人与社会的统一中实现人生价值,要努力提高个人能力素质。","②'依据价值选择作出价值判断'颠倒了价值判断与价值选择的关系——正确表述应是价值判断是价值选择的基础,价值选择体现一定的价值判断,即依据价值判断作出价值选择,典型颠倒型错肢;④'把时代精神作为人生奋斗的根本立足点'错误,人生奋斗的根本立足点应是最广大人民的根本利益,把时代精神替换为人生立足点属偷换概念错肢。",closed-question-and-answer-key,"必修四价值观/人生观实现人生价值范畴,错肢同时考查价值判断与价值选择关系、人生立足点定位。"
S004_C02,S004,2024,2024朝阳期中,3,D,L1153-L1154:题号3对应D(答案表)。,"L1195-L1202:唐代王维画物,多不问四时,如画花,往往以桃、杏、芙蓉、莲花同画一景;大雪纷飞的寒冬,还有'雪中芭蕉'。在相关评价中,有人认为此类画作简直四季不分,毫无时间观念,纵然画得逼真,也是失真;也有人认为'此乃得心应手,意到便成,故造理入神,迥得天意'。下列说法正确的是。A.脱离实景、没有如实呈现客观现实的画作缺乏审美价值 B.人们对绘画作品的评价具有主体差异性,难有客观标准 C.绘画创作的特殊规律与艺术创作的一般规律迥然不同 D.绘画创作中的意识活动具有自觉选择性和能动创造性。","D项'意识活动具有自觉选择性和能动创造性'是必修四唯物论意识能动作用的标准命题;王维不拘四时把不同季节花草同画一景、画'雪中芭蕉',体现意识对所画对象的自觉选择和对客观时空的能动改造,创造出独特的艺术意境。","A把审美价值简单等同于'如实呈现客观现实',否定艺术意识的能动反映与创造,属机械反映论错肢;B'难有客观标准'否定真理客观性,把评价完全主观化,属相对主义错肢;C'特殊规律与一般规律迥然不同'割裂矛盾普遍性与特殊性的辩证关系——共性与个性、一般与个别相互联结,不能完全对立。",closed-question-and-answer-key,"必修四唯物论意识的能动作用为主触发,错肢B、C还分别触及真理观和矛盾普遍性与特殊性。"
S004_C03,S004,2024,2024朝阳期中,4,C,L1153-L1154:题号4对应C(答案表)。,"L1206-L1215:我国部分农田生长着具有一定毒性的杂草,这些杂草具有较强适应性和惊人繁殖能力,与农作物争肥争水,导致土地退化、粮食减产。某地在传统的人工除草和化学农药除草方法之外,又发明了生物防治的方法。在肉苁蓉的生长期,将其根茎切碎撒播在杂草生长区域,肉苁蓉的根系可以抑制杂草的生长,防止杂草覆盖土壤,还可以在分解过程中释放出有机酸和其他化学物质,改变土壤酸碱度。这一做法 ①根据适度原则的要求,通过控制杂草数量改变了杂草的毒性 ②坚持了系统优化的方法,从整体上把握草、粮、地之间的联系 ③在把握规律的基础上实现了草、粮之间斗争性向同一性的转化 ④在保留原有方法的基础上增加新的防治手段,体现了创新意识。A.①② B.①③ C.②④ D.③④。","②'系统优化方法、从整体上把握草、粮、地之间的联系'对应辩证法系统观念/联系观——把草、粮、地视作系统整体并优化其内部联系;④'在保留原有方法基础上增加新的防治手段'对应辩证否定观和创新意识——既保留人工除草、化学除草的合理因素,又发展出生物防治新手段。","①把'控制杂草数量'与'改变杂草毒性'混为一谈,数量控制属量变,而毒性属杂草本质属性,量变不能直接改变事物的根本性质,属把量变结果夸大为质变的错肢;③'斗争性向同一性的转化'是必修四矛盾观的高频错肢——斗争性与同一性是矛盾的两种基本属性,二者相互联结但不能相互转化,转化的是矛盾双方而不是矛盾的两种属性。",closed-question-and-answer-key,必修四辩证法联系(系统)+发展(创新)双触发;错肢③属高频经典错肢。
S004_C04,S004,2024,2024朝阳期中,5,A,L1153-L1154:题号5对应A(答案表)。,"L1216-L1226:亚里士多德说:'古今来人们开始哲理探索,都应起于对自然万物的惊异:他们先是惊异于种种迷惑的现象,逐渐积累一点一滴的解释……他们探索哲理只是为想脱出愚蠢,他们为求知而从事学术,并无任何实用目的。这个可由事实为之证明:这类学术研究的开始,都在人生的必需品以及使人快乐安适的种种事物几乎全部获得了以后。'亚里士多德的上述思考 ①探讨了哲理探索的发生、路径和过程,有助于启发人们探索人与世界的关系 ②认为人们可以通过探索外部的、表面的现实世界而获得深层次的理性认识 ③表明探索哲理的过程重在追求体验的鲜活性,而不是追求概念的明晰性 ④证明人生必需品的满足是人追求真相、从事学术、认识真理的充分必要条件。A.①② B.①④ C.②③ D.③④。","②'通过探索外部的、表面的现实世界而获得深层次的理性认识'对应认识论中由感性认识上升到理性认识的认识发展原理,亚里士多德讲的'惊异—迷惑—逐渐积累解释—作成说明'正是这一过程;①'探讨哲理探索的发生、路径和过程,启发人们探索人与世界的关系'呼应哲学是关于世界观的学问,把握人与世界的关系是哲学的研究对象。","③'重在追求体验的鲜活性而不是追求概念的明晰性'把哲学等同于直观体验,否定哲学是系统化、理论化的世界观,属把哲学体验论化的错肢;④把'人生必需品的满足'夸大为认识真理的'充分必要条件',过度强化物质条件与认识真理的关系,且必需品满足只是从事学术的有利条件,远不足以单独决定真理认识,属充分必要条件滥用错肢。",closed-question-and-answer-key,"必修四认识论认识发展原理(感性→理性)为主触发,①属哲学概论与认识对象,框架内最近节点放在认识发展原理。"
S004_C05,S004,2024,2024朝阳期中,10,D,L1155-L1156:题号10对应D(答案表)。,"L1263-L1269:中国式现代化是人与自然和谐共生的现代化。良好的生态环境是最普惠的民生福祉,是人心所盼。要还老百姓蓝天白云、繁星闪烁,要为老百姓留住鸟语花香田园风光,这些美好愿景如今正在变成现实。下列选项正确的是 A.'中国式现代化'和'现代化'是属种关系 B.'良好的生态环境'和'民生福祉'在外延上是一致的 C.'留住鸟语花香田园风光',此处的'留住'关系为对称关系 D.'如今正在变成现实',说明要把握好事物发展过程中量变与质变的关系。","D项'美好愿景如今正在变成现实'对应辩证法发展观中的量变与质变关系——通过持续的生态治理与投入(量的积累),原本只是愿景的蓝天白云、鸟语花香逐步成为现实(实现质的提升),要求把握好量变与质变的辩证关系。","A、B、C三项考查的是选必三《逻辑与思维》模块的概念外延、外延关系、对称关系等知识点(属种方向、外延一致性、'留住'是否对称),它们的'错'在于逻辑判断不准,与必修四哲学错肢库无关;故本题ABC三个错肢不进入哲学错肢库,只D项触发必修四发展观。",closed-question-and-answer-key,"必修四辩证法发展观(量变与质变);本题ABC错肢均属选必三逻辑模块,仅D项触发必修四。"
S005_C01,S005,2024,2024海淀一模,2,A,L17（细则文件）与L111（参考答案文件）均为：2．A,L168-L175: 2．怎样才能突破身体的限制，将意识与万物相连？脑机接口技术通过记录和解读大脑信号，建立大脑与外部设备的直接通信，可以帮助人类实现'心想物来'。近日，我国在脑机接口领域取得新进展，成功帮助四肢截瘫患者实现意念控制电脑光标移动、控制气动手套完成自主喝水等活动。这说明 A．正确发挥主观能动性，从事物固有联系中把握事物造福人类 B．人们对事物的认识要经历一个从思维具体到思维抽象的过程 C．科学实验是基本的实践活动，获得正确认识是其发展的目的 D．人脑与万物互联将是实现人类自由而全面发展的决定性因素,正确项A同时落在唯物论与辩证法两个角度：脑机接口的研发是科研人员有目的、能动地认识和改造世界的活动，体现'正确发挥主观能动性'；同时它揭示并利用大脑信号与外部设备之间客观存在的可读取联系，把这种固有联系转化为帮助截瘫患者意念控制的方案，体现'从事物固有联系中把握事物造福人类'。,B项颠倒了认识由感性具体到思维抽象再到思维具体的发展方向，是常见的认识发展过程方向倒置错肢；C项把'获得正确认识'当作实践的目的，混淆了实践与认识的关系——实践的根本目的是改造客观世界，认识为实践服务，不是反过来；D项把'人脑与万物互联'夸大为实现人自由全面发展的'决定性因素'，违背人的全面发展由社会条件、社会关系等多方面共同决定的辩证唯物主义观点，是典型的'唯一决定论'夸大错肢。,closed-question-and-answer-key,正确项A为必修四唯物论+辩证法双触发；B/C/D均可入错肢库（认识发展过程方向倒置、混淆实践目的、唯一决定论夸大）。
