source_id,year,suite,role,ext,chars,status,abs_path,extract_filename
d3bf32a70598,2024,北京2024各区《经济与社会》考题-wlfwlf.docx,other,docx,14879,ok,/Users/wanglifei/Desktop/2024模拟题/北京2024各区《经济与社会》考题-wlfwlf.docx,d3bf32a70598__北京2024各区《经济与社会》考题-wlfwlf.txt
7d9c899ad31f,2024,北京及2024各区《经济与社会》考题-wlf.pdf,other,pdf,16004,ok,/Users/wanglifei/Desktop/2024模拟题/北京及2024各区《经济与社会》考题-wlf.pdf,7d9c899ad31f__北京及2024各区《经济与社会》考题-wlf.txt
04f136a5f8d1,2024,2024丰台一模,rubric,docx,4591,ok,/Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx,04f136a5f8d1__细则.txt
a2905154bbd4,2024,2024丰台一模,paper,pdf,1127,ok,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf,a2905154bbd4__试卷.txt
60a70dc180c6,2024,2024丰台一模,paper_with_answer,pdf,9304,ok,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf,60a70dc180c6__2024北京丰台高三一模政治试题及答案.txt
f887d1b620c6,2024,2024石景山一模,rubric,pptx,11619,ok,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,f887d1b620c6__细则.txt
6fbd7d422e58,2024,2024石景山一模,paper,docx,9090,ok,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,6fbd7d422e58__试卷.txt
df323259ba77,2024,2024朝阳二模,rubric,pdf,5905,ok,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,df323259ba77__细则.txt
8802a640c1e2,2024,2024朝阳二模,rubric,docx,1891,ok,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,8802a640c1e2__细则.txt
4de874d0f669,2024,2024朝阳二模,paper,pdf,8386,ok,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,4de874d0f669__试卷.txt
461b3fdcd830,2024,2024西城一模,rubric,docx,3063,ok,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,461b3fdcd830__细则.txt
ae7373932e0b,2024,2024西城一模,rubric_like,docx,1657,ok,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/补充材料/2024.4高三统一测试思想政治答案.docx,ae7373932e0b__2024.4高三统一测试思想政治答案.txt
7591c6b9885f,2024,2024西城一模,rubric_like,docx,0,fail,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/补充材料/~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx,7591c6b9885f__~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.txt
359083f91cd3,2024,2024西城一模,paper,docx,6182,ok,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,359083f91cd3__试卷.txt
0eb74816f25f,2024,2024顺义思政二模,rubric,docx,2035,ok,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,0eb74816f25f__细则.txt
3019384a5b42,2024,2024顺义思政二模,paper,docx,6328,ok,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,3019384a5b42__试卷.txt
144e07c6e537,2024,2024东城二模,rubric,pdf,18,ok,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf,144e07c6e537__细则.txt
f89c1a3533f5,2024,2024东城二模,rubric,docx,6538,ok,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18（2）.docx,f89c1a3533f5__18（2）.txt
c94e22c92a69,2024,2024东城二模,rubric,docx,3765,ok,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18(1).docx,c94e22c92a69__18(1).txt
6f5e364530de,2024,2024东城二模,rubric,pptx,1587,ok,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题评分细则.pptx,6f5e364530de__16题评分细则.txt
9c72a99890c0,2024,2024东城二模,rubric_like,docx,5433,ok,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx,9c72a99890c0__16题二模阅卷总结.txt
593d33b50bbf,2024,2024东城二模,rubric_like,docx,2080,ok,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/20小题二模阅卷总结.docx,593d33b50bbf__20小题二模阅卷总结.txt
82b0237dce42,2024,2024东城二模,rubric,docx,4370,ok,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21.docx,82b0237dce42__21.txt
322c2db4a7fe,2024,2024东城二模,rubric,pptx,2068,ok,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21题(1).pptx,322c2db4a7fe__21题(1).txt
242c241d6288,2024,2024东城二模,rubric,docx,2605,ok,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17(1).docx,242c241d6288__17(1).txt
76b0722d57f1,2024,2024东城二模,rubric,docx,3739,ok,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17-2.docx,76b0722d57f1__17-2.txt
c492176058fd,2024,2024东城二模,rubric,docx,1745,ok,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（2）.docx,c492176058fd__19（2）.txt
9080f96f9701,2024,2024东城二模,rubric,docx,5468,ok,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（1）.docx,9080f96f9701__19（1）.txt
6a382f2c9e97,2024,2024东城二模,paper,pdf,241,ok,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,6a382f2c9e97__试卷.txt
e61b8f13001a,2024,202404各区一模试题分类（按模块）,other,docx,3861,ok,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,e61b8f13001a__2024届各区一模试题分类汇编必修1.txt
2cc62698b97c,2024,202404各区一模试题分类（按模块）,other,docx,10480,ok,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必1.docx,2cc62698b97c__2024届各区一模试题分类汇编选必1.txt
98d21522da5e,2024,202404各区一模试题分类（按模块）,other,docx,10442,ok,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修2 .docx,98d21522da5e__2024届各区一模试题分类汇编必修2 .txt
7e91ca9d6ed4,2024,202404各区一模试题分类（按模块）,other,doc,9253,ok,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必3.doc,7e91ca9d6ed4__2024届各区一模试题分类汇编选必3.txt
f3d24ca7308c,2024,202404各区一模试题分类（按模块）,other,docx,10824,ok,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修4.docx,f3d24ca7308c__2024届各区一模试题分类汇编必修4.txt
022512b3acc6,2024,202404各区一模试题分类（按模块）,other,docx,12062,ok,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必2.docx,022512b3acc6__2024届各区一模试题分类汇编选必2.txt
