suite,question,reasoning_family,rule_or_error,tested_move,common_trap,solution_protocol,original_source_path_or_cache,needs_original_recheck,notes
2025顺义一模,Q7,三段论,大项不当扩大+双否前提+四概念+中项不周延,四选项分别对应四种错误：选找出分析错误的选项,把题目中A项标成小项不当扩大（实为大项不当扩大）；B项双否实为中项不周延错误描述,①辨认结构②辨认大中小项③检查四条规则④排查每选项标注哪条规则违反,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/试卷/,NO_cache_confirmed,选择题答案A已在cache确认；试卷文本完整；最典型三段论综合判断题
2025延庆一模,Q5-6,三段论,小项不当扩大+中项不周延+大项不当扩大+四概念,四位同学推理分别代表四种错误；选分析正确的组合,将大项/小项错误混淆；把中项不周延和四概念搞反,列出四推理→标注每个错误类型→逐项排查→选含正确分析组合的选项,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/,NO_cache_confirmed,cache文本已确认题目；答案选项C（②③）已可从答案文本中验证
2024朝阳期中,Q5,三段论,三段论基本规则综合判断,从四个判断中选三个组成合规三段论（大前提-小前提-结论）,选含换位不当或中项不周延的组合；不看联项直接凭印象选,第一步确定哪个判断可当全称大前提→第二步找匹配小前提→第三步验证结论周延,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/,YES_need_answer_key,cache有题文；答案选D待原卷答案表核实
2025朝阳期末,Q20,三段论,三段论规则分析（主观题）,丙的推理符合三段论规则：分析题,把"推理结构正确"混淆为"结论一定真"（忘记前提真实也是前提），分析步骤：①判断推理类型为三段论②确认推理结构正确③说明在前提真实情况下结论必然,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/试卷/,NO_cache_confirmed,cache文本已确认Q20答案包含"符合三段论推理规则"；证据等级paper+answer合并
2024丰台二模,Q19(1),三段论,三段论补全（主观题）,以"工业固废是放错了地方的资源"为小前提补全三段论,只写小前提对应的大前提而忘记结论；或结论不与大前提逻辑联通,①以小前提确定中项②构造全称肯定大前提③按大中小推导结论确保周延,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/,NO_cache_confirmed,cache已确认"工业固废"小前提文本；答案含示例已在cache
2025西城期末,Q20(2),三段论,三段论补全（主观题）,以"工业固废是放错了地方的资源"为小前提编写合乎规则的三段论,只写大前提小前提忘结论；大前提构造时中项不周延,构造全称肯定大前提使中项在大前提中周延→写小前提（题目已给）→推出结论,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/试卷/,NO_cache_confirmed,cache文本已确认题目和4分评分标准；需核实评分细则原词是否覆盖示例容错
2026丰台二模,Q19(1),三段论,三段论补全（主观题）,结合冰雪经济材料补全符合规则的三段论,大前提写成特称而非全称；结论和大前提语义不联通,确认小前提中心词→构造全称肯定大前提→推出包含小项的结论,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/610be819f51bafdb_试卷.txt,NO_cache_confirmed,cache已确认题目文本；缺细则；需找答案表
2024西城一模,Q19(3),三段论,三段论补全（主观题）,以"大思政课有利于培养时代新人"为结论构建三段论,写成演绎推理但项数不是三个；或大小前提语义断裂,以结论确认小项（大思政课）和大项（培养时代新人）→构造大前提连接大项→写小前提联系小项,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/770de383c91136c2_试卷.txt,YES_need_answer_key,cache有题文；需从答案区确认示例；题号770de383c9为西城一模待确认
2024朝阳一模,Q20(1),假言推理,充分条件假言推理（否后式）,竹节考古推断：以"发现炭化竹节"否定"无竹生长"推回前件为假,混淆充分条件否后式为必要条件肯后式；忘记充分条件的否后式有效,①识别连接词（如果…那么…）→②确认是否充分条件→③判断用了哪个有效式（肯前/否后）→④说明结论,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/,NO_cache_confirmed,讲评PPT已在cache；细则原词确认为充分条件假言推理（1分）+理由（2分）+结论（2分）；A-formal
2026顺义一模,Q相关,假言推理,充分条件/必要条件区分,假言推理连接词识别与有效式判断,把"只有…才…"当充分条件处理；对必要条件用肯前式（无效）,连接词→条件类型→有效式（充分：肯前/否后；必要：否前/肯后）→结论,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/,YES_need_full_question,cache中见到假言推理词条命中；需回原卷确认具体题目
