framework_node,question_id,suite_id,mount_role,evidence_level,rubric_position,note
创新思维 / 联想思维,Q-2025东城期末-18-2,S-2025东城期末,正例(主观题),A-formal,S-2025东城期末第18(2)题第二层次具体方法第一点,登月服飞天飘带+火箭尾焰+中华传统文化的造型联系是联想思维的标志性材料动作。
创新思维 / 发散思维与聚合思维,Q-2025东城期末-18-2,S-2025东城期末,正例(主观题),A-formal,S-2025东城期末第18(2)题第二层次具体方法第二点,围绕登月任务核心问题先发散到月面环境/航天员行走/科考再聚合为一套设计方案。
创新思维 / 超前思维,Q-2025东城期末-18-2,S-2025东城期末,正例(主观题),A-formal,S-2025东城期末第18(2)题第二层次具体方法第三点,提前预判月面热环境、月尘和航天员登陆后需求，据此设计细节，是超前思维。
创新思维 / 创新思维表现(思路新方法新结果新),Q-2025东城期末-18-2,S-2025东城期末,正例(主观题),A-formal,S-2025东城期末第18(2)题第一层次表现/特点,细则明示思路新方法新结果新或多向性跨越性独特性，写一个词得1分。
辩证思维 / 整体性,Q-2025东城期末-5,S-2025东城期末,正例(选择题),B-choice-signal,S-2025东城期末第5题正确项②前半,社区公园改造把入口、绿地、通行、休闲体验作为一个有机整体一起考量。
辩证思维 / 动态性,Q-2025东城期末-5,S-2025东城期末,正例(选择题),B-choice-signal,S-2025东城期末第5题正确项②后半,改造体现以变化和发展的视角认识并优化社区环境。
辩证思维 / 矛盾分析法,Q-2025东城期末-5,S-2025东城期末,正例(选择题),B-choice-signal,S-2025东城期末第5题正确项④,原入口窄与通行需要的对立通过把直角变圆角化解，是矛盾分析法。
辩证思维 / 边界陷阱-必修四联系观,Q-2025东城期末-5,S-2025东城期末,选择题陷阱,B-choice-signal,S-2025东城期末第5题干扰项①,把'人为事物联系'误说成'自在联系'，必修四联系观跨模块陷阱。
辩证思维 / 边界陷阱-必修四辩证否定观,Q-2025东城期末-5,S-2025东城期末,选择题陷阱,B-choice-signal,S-2025东城期末第5题干扰项③,把辩证否定误说成简单的'否定过去肯定现在'，必修四辩证否定观跨模块陷阱。
推理 / 三段论 / 中项不周延,Q-2025东城期末-13,S-2025东城期末,正例(选择题),B-choice-signal,S-2025东城期末第13题正确项①③,①'大国重器'与③'适合山地骑行'两次出现都不周延，违反'中项至少周延一次'。
推理 / 三段论 / 大项不当扩大,Q-2025东城期末-13,S-2025东城期末,选择题陷阱,B-choice-signal,S-2025东城期末第13题干扰项②,②'三盘六针'作肯定判断谓项不周延，结论否定判断里被周延使用，犯大项不当扩大。
推理 / 三段论 / 四概念,Q-2025东城期末-13,S-2025东城期末,选择题陷阱,B-choice-signal,S-2025东城期末第13题干扰项④,④'智能温控系统'前后所指不同，实际出现四个项，犯四概念错误。
判断 / 性质判断 / 谓项周延性,Q-2025东城期末-14,S-2025东城期末,正例(选择题),B-choice-signal,S-2025东城期末第14题正确项D,简单肯定性质判断的谓项不周延这条硬规则的直接考点。
判断 / 关系判断 / 反对称关系,Q-2025东城期末-14,S-2025东城期末,选择题陷阱,B-choice-signal,S-2025东城期末第14题干扰项B,把'位于'反对称关系误标为传递关系。
判断 / 概念 / 属种关系 vs 整体部分关系,Q-2025东城期末-14,S-2025东城期末,选择题陷阱,B-choice-signal,S-2025东城期末第14题干扰项A,把整体与部分关系误标为属种关系。
判断 / 概念 / 外延一致性,Q-2025东城期末-14,S-2025东城期末,选择题陷阱,B-choice-signal,S-2025东城期末第14题干扰项C,两个'中'语义不同，外延并不一致。
推理 / 假言推理 / 充分条件假言推理,Q-2025东城期末-15,S-2025东城期末,正例(选择题),B-choice-signal,S-2025东城期末第15题正确项B,肯前+否后必为假，是充分条件假言推理'肯前必肯后'规则的直接反例。
推理 / 假言推理 / 必要条件假言判断方向干扰,Q-2025东城期末-15,S-2025东城期末,选择题陷阱,B-choice-signal,S-2025东城期末第15题干扰项A,'只有…才…'是必要条件假言判断，与原前提充分条件不矛盾，不必假。
推理 / 假言推理 / 否前禁推 vs 肯后禁推,Q-2025东城期末-15,S-2025东城期末,选择题陷阱,B-choice-signal,S-2025东城期末第15题干扰项C/D,C是'否前不能否后'、D是'肯后不能肯前'；禁推动作不必导致必假。
综合短文 / 中国式现代化民生为大,Q-2025东城期末-21,S-2025东城期末,同类索引(综合短文),B-choice-signal,S-2025东城期末第21题综合运用所学,细则按知识运用方面数等级给分，不限选必三；可作为综合短文的同类索引提示，不入选必三主链正文。
