title,source_section,framework_part,framework_node,sub_node,tag,included_as,reason
2025 海淀期末第18题,主观题,思维方法框架,创新思维,总口令与综合题,可正用例,模拟题正例,城市图书馆创新服务
2026 东城一模第19题第(4)问,主观题,思维方法框架,创新思维,总口令与综合题,可正用例,模拟题正例,从0到1再把1拉长
2025 东城期末第18题第(2)问,主观题,思维方法框架,创新思维,总口令与综合题,可正用例,模拟题正例,登月服设计
2026 朝阳期中第21题第(2)问,主观题,思维方法框架,创新思维,总口令与综合题,可正用例,模拟题正例,工业城市文旅转型
2024 朝阳期中第19题,主观题,思维方法框架,创新思维,总口令与综合题,可正用例,模拟题正例,文旅或方案创新
2024 朝阳一模第7题,选择题,思维方法框架,创新思维,总口令与综合题,易混选择题,易混选择题,开放创新与继承借鉴；选择题信号
2026 东城一模第19题第(4)问,主观题,思维方法框架,创新思维,发散思维与聚合思维,可正用例,模拟题正例,拓展场景并聚合产业链资源
2025 东城期末第18题第(2)问,主观题,思维方法框架,创新思维,发散思维与聚合思维,可正用例,模拟题正例,任务需求发散并聚焦方案
2026 朝阳期中第21题第(2)问,主观题,思维方法框架,创新思维,发散思维与聚合思维,可正用例,模拟题正例,多角度挖潜后聚焦融合街区
2024 朝阳期中第19题,主观题,思维方法框架,创新思维,发散思维与聚合思维,相关检索,相关检索,方案生成与收束
2025 东城期末第18题第(2)问,主观题,思维方法框架,创新思维,思路新方法新结果新,可正用例,模拟题正例,文化表达任务适配技术防护
2025 海淀期末第18题,主观题,思维方法框架,创新思维,联想思维,可正用例,模拟题正例,赤印意象迁移到建筑设计
2025 东城期末第18题第(2)问,主观题,思维方法框架,创新思维,联想思维,可正用例,模拟题正例,传统文化火箭形象登月服联结
2026 朝阳期中第21题第(2)问,主观题,思维方法框架,创新思维,联想思维,可正用例,模拟题正例,冰雪音乐文化叙事联结
2024 朝阳期中第19题,主观题,思维方法框架,创新思维,联想思维,相关检索,相关检索,要素联结
2026 东城一模第19题第(4)问,主观题,思维方法框架,创新思维,超前思维,相关检索,相关检索,制度机制提前完善
2026 朝阳期中第21题第(2)问,主观题,思维方法框架,创新思维,超前思维,可正用例,模拟题正例,预测消费趋势和旅游期待
2024 朝阳期中第19题,主观题,思维方法框架,创新思维,超前思维,相关检索,相关检索,趋势预判
2025 海淀二模第12题,选择题,思维方法框架,创新思维,超前思维,易混选择题,易混选择题,耐心资本长期趋势
2025 海淀期末第18题,主观题,思维方法框架,创新思维,逆向思维,可正用例,模拟题正例,人找书到书找人
2026 朝阳期中第21题第(2)问,主观题,思维方法框架,创新思维,逆向思维,可正用例,模拟题正例,冷资源转化为热经济
2025 海淀期末第17题第(1)问,主观题,思维方法框架,科学思维,总口令与综合题,可正用例,模拟题正例,永动机；客观规律
2024 海淀二模第17题第(1)问,主观题,思维方法框架,科学思维,总口令与综合题,可正用例,模拟题正例,原题只问科学思维，按科学思维专项处理
2026 顺义一模第19题第(2)问,主观题,思维方法框架,科学思维,总口令与综合题,可正用例,模拟题正例,科学思维为主线
2026 顺义一模第19题第(2)问,主观题,思维方法框架,科学思维,可检验性,可正用例,模拟题正例,多轮测试打磨迭代
2025 海淀期末第17题第(1)问,主观题,思维方法框架,科学思维,客观性,可正用例,模拟题正例,从实际出发；如实反映对象
2024 海淀二模第17题第(1)问,主观题,思维方法框架,科学思维,客观性,可正用例,模拟题正例,全面真实准确；客观反映生活模式
2026 顺义一模第19题第(2)问,主观题,思维方法框架,科学思维,客观性,可正用例,模拟题正例,真实生活习惯与养老需求
2024 海淀二模第17题第(1)问,主观题,思维方法框架,科学思维,探索性与方法更新,可正用例,模拟题正例,范围对象采集方式分类方式更新；本题材料支持
2024 海淀二模第17题第(1)问,主观题,思维方法框架,科学思维,整体安排,可正用例,模拟题正例,分阶段实施任务明确；本题材料支持
2026 顺义一模第19题第(2)问,主观题,思维方法框架,科学思维,预见性,可正用例,模拟题正例,老龄化趋势与市场潜力
2024 朝阳二模第19题第(1)问,主观题,思维方法框架,类比推理,总口令与综合题,相关检索,相关检索,如正文涉及类比则相关检索
2026 东城一模第19题第(4)问,主观题,思维方法框架,系统观念,总口令与综合题,可正用例,模拟题正例,基础研究研发转化应用整体统筹
2024 海淀二模第17题第(2)问,主观题,思维方法框架,认识发展历程,总口令与综合题,可正用例,模拟题正例,调查了解到分析研究
2026 通州期末第11题,选择题,思维方法框架,认识发展历程,总口令与综合题,易混选择题,易混选择题,感性具体到思维抽象再到思维具体
2024 海淀二模第17题第(2)问,主观题,思维方法框架,认识发展历程,思维具体,可正用例,模拟题正例,认识发展到整体把握
2026 通州期末第11题,选择题,思维方法框架,认识发展历程,思维具体,易混选择题,易混选择题,时代精神整体诠释
2024 海淀二模第17题第(2)问,主观题,思维方法框架,认识发展历程,思维抽象,可正用例,模拟题正例,分析研究阶段
2026 通州期末第11题,选择题,思维方法框架,认识发展历程,思维抽象,易混选择题,易混选择题,河合和理念
2024 海淀二模第17题第(2)问,主观题,思维方法框架,认识发展历程,感性具体,可正用例,模拟题正例,调查了解阶段
2026 通州期末第11题,选择题,思维方法框架,认识发展历程,感性具体,易混选择题,易混选择题,水脉文脉人脉材料
2025 海淀二模第20题,主观题,思维方法框架,辩证思维,总口令与综合题,可正用例,模拟题正例,角度池；整体性；动态性；分析综合；质量互变；辩证否定
2026 朝阳期中第20题,主观题,思维方法框架,辩证思维,总口令与综合题,可正用例,模拟题正例,机遇挑战对立统一
2025 海淀二模第20题,主观题,思维方法框架,辩证思维,分析与综合,可正用例,模拟题正例,共享层次拆分后综合推进
2026 朝阳期中第20题,主观题,思维方法框架,辩证思维,分析与综合,可正用例,模拟题正例,综合考量机遇挑战
2025 海淀二模第20题,主观题,思维方法框架,辩证思维,动态性,可正用例,模拟题正例,渐进共享；逐步推进共同富裕
2026 朝阳期中第20题,主观题,思维方法框架,辩证思维,动态性,可正用例,模拟题正例,当前长远国际变化
2024 朝阳二模第19题第(1)问,主观题,思维方法框架,辩证思维,动态性,可正用例,模拟题正例,动态把握对象变化
2025 海淀二模第20题,主观题,思维方法框架,辩证思维,整体性,可正用例,模拟题正例,共享发展四层次整体推进
2026 朝阳期中第20题,主观题,思维方法框架,辩证思维,整体性,可正用例,模拟题正例,局部风险整体格局
2025 海淀二模第20题,主观题,思维方法框架,辩证思维,质量互变,相关检索,相关检索,渐进积累到共同富裕
2026 朝阳期中第20题,主观题,思维方法框架,辩证思维,质量互变,可正用例,模拟题正例,逐步积累条件转化机遇
2025 海淀二模第20题,主观题,思维方法框架,辩证思维,辩证否定,相关检索,相关检索,角度池可选；非三点全必答
2025 丰台期末第7题,选择题,思维方法框架,边界陷阱与易混选择题,边界提醒 / 选必三干扰项 / 哲学唯物论伪装,边界提醒,边界提醒,只作边界提醒，不作超前思维正例
2026 通州期末第9题,选择题,思维方法框架,边界陷阱与易混选择题,易混选择题 / 数字化治理材料事实与选必三方法区分,易混选择题,易混选择题,只作易混选择题，不作主观题方法正例
2024 西城一模第19题第(5)问,主观题,推理题型框架,相关检索与边界辅助,暂不作为正例,相关检索,相关检索,实践调研+矛盾分析+推理想象+超前思维
2025 东城期末第18题第(2)问,主观题,推理题型框架,相关检索与边界辅助,暂不作为正例,相关检索,相关检索,联想思维+发散思维+聚合思维(登月服设计)
2024 朝阳期中第19题,主观题,推理题型框架,相关检索与边界辅助,暂不作为正例,相关检索,相关检索,创新思维(三新+发散+聚合+联想)
2026 顺义一模第19题第(2)问,主观题,推理题型框架,相关检索与边界辅助,暂不作为正例,相关检索,相关检索,科学思维三特征(客观性+预见性+可检验性)
2024 西城一模第13题,选择题,推理题型框架,相关检索与边界辅助,暂不作为正例,相关检索,相关检索,联想；非逻辑制约的畅想性
2026 东城一模第6题,选择题,推理题型框架,相关检索与边界辅助,暂不作为正例,相关检索,相关检索,换质换位法；性质判断推理
2026 顺义一模第5题,选择题,推理题型框架,相关检索与边界辅助,暂不作为正例,相关检索,相关检索,性质判断；关系判断；发散思维；认识论；感知表象
2026 通州期末第11题,选择题,推理题型框架,相关检索与边界辅助,暂不作为正例,相关检索,相关检索,辩证思维；从感性具体到思维抽象再到思维具体
2025 顺义一模第7题,选择题,推理题型框架,推理题型框架,三段论周延规则 / 大项不当扩大 / 谬误名称纠错,易混选择题,易混选择题,真实错误=大项不当扩大； 小项不当扩大仅为A项错误命名陷阱
2026 东城期末第17题第(2)问,主观题,推理题型框架,推理题型框架,三段论结构题,可正用例,模拟题正例,主张3；中项不周延
2026 丰台一模第18题第(2)问,主观题,推理题型框架,推理题型框架,三段论结构题,可正用例,模拟题正例,乙；三段论大项不当扩大
2026 顺义一模第19题第(1)问,主观题,推理题型框架,推理题型框架,三段论结构题,可正用例,模拟题正例,三段论(前提真实性+结构正确性)
2025 海淀二模第13题,选择题,推理题型框架,推理题型框架,三段论结构题,易混选择题,易混选择题,三段论有效式；概念外延关系辨析；相容/不相容选言区分
2025 东城期末第13题,选择题,推理题型框架,推理题型框架,三段论结构题,易混选择题,易混选择题,①③中项不周延；②大项不当扩大；④四概念；三段论谬误辨析
2025 东城期末第14题,选择题,推理题型框架,推理题型框架,三段论结构题,易混选择题,易混选择题,概念外延关系+周延判断+关系判断
2026 朝阳期中第11题,选择题,推理题型框架,推理题型框架,三段论结构题,易混选择题,易混选择题,三段论补大前提
2024 朝阳二模第7题,选择题,推理题型框架,推理题型框架,三段论结构题,易混选择题,易混选择题,A项小项扩大；小项娱乐工具前提不周延结论扩大； 不是中项不周延
2024 朝阳期中第7题,选择题,推理题型框架,推理题型框架,三段论结构题,易混选择题,易混选择题,三段论；大前提小前提结论
