question_id,suite_id,stable_locator,qno,question_type,thinking_or_method,material_signal,answer_action,answer_landing,source_example,same_type_question_ids,optional_angle_pool,trap_or_boundary,fusion_status,phase04_level,student稿_permission,blocker_reason
Q-2024朝阳一模-7,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q7,7,选择题,创新思维;发散思维;想象;聚合思维;超前思维;迁移,,,,Q-2024朝阳一模-7,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2024朝阳一模-9,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q9,9,选择题,系统观念,,,,Q-2024朝阳一模-9,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-19-1,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(1),19(1),主观题,判断;动态性;推理;类比;联言;辩证思维,,,,Q-2024朝阳二模-19-1,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-19-2,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(2),19(2),主观题,判断;动态性;推理;类比;联言;辩证思维,,,,Q-2024朝阳二模-19-2,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-19-3,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(3),19(3),主观题,判断;动态性;推理;类比;联言;辩证思维,,,,Q-2024朝阳二模-19-3,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-7,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q7,7,选择题,判断;前提;归纳;推理;科学思维;结论,,,,Q-2024朝阳二模-7,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2024朝阳期中-19,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q19,19,主观题,分析与综合;创新思维;发散思维;概念;科学思维;结论;联想思维;聚合思维;超前思维;辩证思维;迁移;逆向思维,,,,Q-2024朝阳期中-19,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2024朝阳期中-9,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q9,9,选择题,前提;思维具体;思维抽象;想象;推理;演绎推理;结论,,,,Q-2024朝阳期中-9,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2024海淀二模-17-1,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q17(1),17(1),主观题,客观性;思维具体;思维抽象;感性具体;整体性;科学思维,,,,Q-2024海淀二模-17-1,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024海淀二模-17-2,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q17(2),17(2),主观题,客观性;思维具体;思维抽象;感性具体;整体性;科学思维,,,,Q-2024海淀二模-17-2,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025东城期末-1,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q1,1,选择题,创新思维;辩证思维,,,,Q-2025东城期末-1,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025东城期末-18-1,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(1),18(1),主观题,创新思维;发散思维;大项;联想思维;聚合思维;超前思维;迁移,,,,Q-2025东城期末-18-1,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025东城期末-18-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(2),18(2),主观题,创新思维;发散思维;大项;联想思维;聚合思维;超前思维;迁移,,,,Q-2025东城期末-18-2,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2025东城期末-5,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q5,5,选择题,辩证思维,,,,Q-2025东城期末-5,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025丰台期末-10,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q10,10,选择题,归纳;思维具体;思维抽象;感性具体;推理;演绎推理;类比,,,,Q-2025丰台期末-10,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2025丰台期末-16,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q16,16,主观题,判断;前提;推理;系统观念;结论;质量互变;辩证思维,,,,Q-2025丰台期末-16,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,targeted Lane B verification for A-only subjective/high-number question
Q-2025丰台期末-7,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q7,7,选择题,超前思维,,,,Q-2025丰台期末-7,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2025丰台期末-8,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q8,8,选择题,判断;发散思维;想象;推理;概念,,,,Q-2025丰台期末-8,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2025海淀二模-20,S-2025海淀二模,008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf::render_page_07::Q20,20,主观题,分析与综合;系统优化;整体性;质量互变;动态性;辩证否定;矛盾分析法,,,,Q-2025海淀二模-20,,,,locked_for_fusion,L4_LOCKED_FOR_FUSION,NO_STUDENT_DRAFT_YET_GPT_BLOCKED,student draft still blocked by GPT Phase03 gate
Q-2025海淀期末-17-1,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q17(1),17(1),主观题,客观性;想象;科学思维,,,,Q-2025海淀期末-17-1,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2025海淀期末-17-2,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q17(2),17(2),主观题,客观性;想象;科学思维,,,,Q-2025海淀期末-17-2,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025海淀期末-18,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q18,18,主观题,创新思维;联想思维;迁移;逆向思维,,,,Q-2025海淀期末-18,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2025海淀期末-2,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q2,2,选择题,整体性;结论;辩证思维;迁移,,,,Q-2025海淀期末-2,,,,blocked_visual_or_options,L0_BLOCKED,NO_STUDENT_DRAFT,visual/options/rubric recovery before fusion
Q-2025海淀期末-22,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q22,22,主观题,质量互变,,,,Q-2025海淀期末-22,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,targeted Lane B verification for A-only subjective/high-number question
Q-2025西城二模-16-3,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q16(3),16(3),主观题,创新思维：改变创造条件、建立新联系以解决矛盾,,,,Q-2025西城二模-16-3,,,,pending_B_target_verification,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,Codex local patch ready; requires Lane B targeted verification before locked fusion
Q-2025顺义一模-3,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q3,3,选择题,想象;逆向思维,,,,Q-2025顺义一模-3,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城一模-19-1,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(1),19(1),主观题,分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,,,,Q-2026东城一模-19-1,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城一模-19-2,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(2),19(2),主观题,分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,,,,Q-2026东城一模-19-2,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城一模-19-3,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(3),19(3),主观题,分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,,,,Q-2026东城一模-19-3,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城一模-19-4,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(4),19(4),主观题,分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,,,,Q-2026东城一模-19-4,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2026东城一模-6,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q6,6,选择题,换质;辩证否定,,,,Q-2026东城一模-6,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,module-boundary decision with answer key/rubric
Q-2026东城期末-21,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q21,21,主观题,科学思维;系统观念;辩证思维,,,,Q-2026东城期末-21,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,targeted Lane B verification for A-only subjective/high-number question
Q-2026朝阳期中-13,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q13,13,选择题,联想思维/类比推理/感性具体边界,,,,Q-2026朝阳期中-13,,,,pending_B_target_verification,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,Codex local patch ready; requires Lane B targeted verification before locked fusion
Q-2026朝阳期中-20,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q20,20,主观题,分析与综合;动态性;整体性;质量互变;辩证思维,,,,Q-2026朝阳期中-20,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2026朝阳期中-21-1,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q21(1),21(1),主观题,创新思维;发散思维;联想思维;聚合思维;超前思维;逆向思维,,,,Q-2026朝阳期中-21-1,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026朝阳期中-21-2,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q21(2),21(2),主观题,创新思维;发散思维;联想思维;聚合思维;超前思维;逆向思维,,,,Q-2026朝阳期中-21-2,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2026通州期末-11,S-2026通州期末,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q11,11,选择题,思维具体;思维抽象;感性具体;推理;类比;迁移,,,,Q-2026通州期末-11,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2026通州期末-5,S-2026通州期末,006_Desktop_2026模拟题_2026各区期末和期中_2026通州期末_试卷_试卷.pdf::Q5,5,选择题,系统思维;辩证思维,,,,Q-2026通州期末-5,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
