title,suite,question,part,same_group,score,score_method,layer,layer_method,question_text
2. 2025海淀期中Q21(2),2025海淀期中,Q21,2,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。
3. 2026朝阳一模Q20,2026朝阳一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》的知识，阐述中国为什么能为全球发展注入稳定性和正能量。
"5. 2025延庆一模Q20(2)外交部发言人回应""脱钩断链""",2025延庆一模,Q20,2,YES,,,NO,,假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对上述提问做出回应。
6. 2025房山一模Q18(2)中国开源战略,2025房山一模,Q18,2,YES,,,NO,,"""中国的开源战略不仅是技术上的革新，更是对全球合作新模式的一次积极探索和实践。""结合材料，运用《当代国际政治与经济》知识，谈谈你对这句话的理解。"
"7. 2024海淀期中Q21(2)新中国外交的""变""",2024海淀期中,Q21,2,YES,,,NO,,"结合材料，运用《当代国际政治与经济》知识，分析新中国外交的""变""与""不变""。"
8. 2024西城二模Q19中国答案的国际关系新思路,2024西城二模,Q19,,YES,,,NO,,结合材料，阐述中国答案所体现的处理国际关系的新思路。
9. 2025朝阳期末Q21,2025朝阳期末,Q21,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。
10. 2026顺义一模Q20,2026顺义一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
11. 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,2025丰台期末,Q20,,YES,,,NO,,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。
"12. 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",2026延庆一模,Q19,2,YES,,,NO,,"结合材料二，运用《当代国际政治与经济》知识，说明中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴。"
14. 2026朝阳期末Q20,2026朝阳期末,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。
2. 2024朝阳一模Q21,2024朝阳一模,Q21,,YES,,,NO,,结合上述资料，在分析我国当前经济形势的基础上，运用《当代国际政治与经济》知识，谈谈如何推动中国经济在变局中开新局。
3. 2025东城期末Q20,2025东城期末,Q20,,YES,,,NO,,运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认识。要求：题目自拟，观点明确，逻辑清晰，200字左右。
1. 2024朝阳二模Q20,2024朝阳二模,Q20,,YES,,,NO,,结合研讨背景，运用《当代国际政治与经济》知识，完成下表：完善全球气候治理应遵循的基本原则；本次研讨各方达成的共识。
1. 2025延庆一模Q20(2),2025延庆一模,Q20,2,YES,,,NO,,结合材料二，运用《当代国际政治与经济》知识，阐释中国对维护全球产供链韧性和稳定的政策主张。
1. 2025海淀期中Q21(2),2025海淀期中,Q21,2,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。
"3. 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",2026延庆一模,Q19,2,YES,,,NO,,"结合材料二，运用《当代国际政治与经济》知识，说明中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴。"
4. 2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税,2025东城期末,Q20,,YES,,,NO,,运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认识。要求：题目自拟，观点明确，逻辑清晰，200字左右。
6. 2026朝阳期末Q20,2026朝阳期末,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。
7. 2026石景山二模Q18,2026石景山二模,Q18,,YES,,,NO,,结合材料，运用《当代国际政治与经济》的知识，分析中国与东盟经贸合作不断提质升级的原因和意义。
1. 2025东城一模Q20,2025东城一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，谈谈此次元首外交的“精彩”之处。
2. 2026石景山一模Q20,2026石景山一模,Q20,,YES,,,NO,,运用《当代国际政治与经济》知识，任选两个关键词，说明中国倡议如何助推亚太合作。
3. 2026顺义一模Q20,2026顺义一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
4. 2026丰台一模Q19,2026丰台一模,Q19,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明中国在全球可持续发展中彰显了怎样的大国情怀与担当。
5. 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,2025丰台期末,Q20,,YES,,,NO,,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。
"6. 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",2026延庆一模,Q19,2,YES,,,NO,,"结合材料二,运用《当代国际政治与经济》知识，说明中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴。"
7. 2026房山二模Q20,2026房山二模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析世界数据组织完善全球数据治理，服务全球数字经济发展的智慧。
8. 2026石景山二模Q18,2026石景山二模,Q18,,YES,,,NO,,结合材料，运用《当代国际政治与经济》的知识，分析中国与东盟经贸合作不断提质升级的原因和意义。
