status,extractor,chars,lines,source,text_path,error
ok,pdf,15,2,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024东城一模__其他材料__北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf.txt,
ok,pptx,10592,901,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024东城一模__细则__2024东城一模细则.pptx.txt,
ok,pdf,194,24,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024东城一模__试卷__北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf.txt,
ok,docx,4561,129,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024丰台一模__细则__2024丰台一模细则.docx.txt,
ok,pdf,8950,359,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024丰台一模__试卷__2024北京丰台高三一模政治试题及答案.pdf.txt,
ok,pdf,1115,64,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\丰台高三一模政治试卷终版.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024丰台一模__试卷__丰台高三一模政治试卷终版.pdf.txt,
ok,pptx,12273,1327,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024朝阳一模__其他材料__202404朝阳高三政治一模试卷讲评.pptx.txt,
ok,docx,1979,61,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024朝阳一模__其他材料__202404朝阳高三政治质量检测一参考答案_上交版.docx.txt,
ok,pptx,12273,1327,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024朝阳一模__细则__2024朝阳一模细则.pptx.txt,
ok,pdf,7068,236,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024朝阳一模__试卷__202404朝阳高三一模试题.pdf.txt,
ok,docx,1493,40,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\其他材料\一模政治-答案.docx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024海淀一模__其他材料__一模政治-答案.docx.txt,
ok,docx,3052,87,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024海淀一模__细则__2024海淀一模细则.docx.txt,
ok,pdf,8353,335,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024海淀一模__试卷__高三政治：一模试题.pdf.txt,
ok,pptx,13135,1739,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024石景山一模__其他材料__2024年石景山一模.pptx.txt,
ok,docx,8512,169,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024石景山一模__试卷__2024北京石景山高三一模政治（教师版带答案）.docx.txt,
ok,docx,1621,50,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\2024.4高三统一测试思想政治答案.docx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024西城一模__其他材料__2024.4高三统一测试思想政治答案.docx.txt,
error,,0,0,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024西城一模__其他材料__~$24.4西城高三统一测试思想政治答案_阅卷细则（调整）.docx.txt,"PackageNotFoundError(""Package not found at 'C:\\Users\\Administrator\\Desktop\\2024各区模拟题\\2024各区一模\\2024西城一模\\其他材料\\~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx'"")"
skipped,,0,0,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\~$教学班报告--高三西城一模练习(政治)-高三年级政6.xlsx,,unsupported extension .xlsx
ok,docx,3005,96,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\细则\2024西城一模细则.docx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024西城一模__细则__2024西城一模细则.docx.txt,
ok,docx,5994,133,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区一模__2024西城一模__试卷__2024.4高三统一测试思想政治试卷.docx.txt,
ok,pdf,15,2,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\其他材料\002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2024\texts\2024各区二模__2024东城二模__其他材料__002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf.txt,
