source_id,year,district_or_exam_scope,exam_type,file_type,raw_category,candidate_evidence_level,verified_evidence_level,contains_xuanbiyi,contains_subjective_question,question_numbers_detected,has_scoring_detail,has_reference_answer,has_teaching_or_lecture,has_pdf_visual_risk,has_ppt_visual_risk,has_image_or_table,needs_ocr,status,blocker
2026通州期末_试卷,2026,通州,期末,pdf,exam_paper,P3_paper_only,P3_paper_only,yes_confirmed,yes,Q20,no,no,no,no,no,no,no,verified,none
2026通州期末_细则,2026,通州,期末,pptx,scoring_rubric,P0_candidate,P0_verified_scoring_rule,yes_confirmed,yes,Q20,yes,no,no,no,no,no,no,verified,none
2026朝阳期中_试卷,2026,朝阳,期中,pdf,exam_paper,P3_paper_only,P3_paper_only,yes_confirmed,yes,Q17,no,no,no,no,no,no,no,verified,none
2026朝阳期中_细则,2026,朝阳,期中,docx,scoring_rubric,P0_candidate,P0_verified_scoring_rule,yes_confirmed,yes,Q17,yes,no,no,no,no,no,no,verified,none
2026朝阳期中_细则补充,2026,朝阳,期中,docx,scoring_rubric_supplement,P0_candidate,unknown_needs_content_check,unknown,unknown,unknown,unknown,unknown,unknown,no,no,no,no,needs_content_check,content_not_yet_extracted
2026西城期末_试卷,2026,西城,期末,none,exam_paper,excluded_missing,excluded_missing,unknown,unknown,Q20_inferred,no,no,no,no,no,no,no,blocked,试卷文件夹为空无试卷文件
2026西城期末_细则,2026,西城,期末,pdf,scoring_rubric,P0_candidate,unknown_needs_visual_check,yes_probable,yes,Q20_probable,unknown,no,no,yes,no,yes,yes,blocked,细则.pdf为扫描件无法提取文字需OCR
2026西城期末_评标补充,2026,西城,期末,pptx,teaching_lecture,P2_candidate,P2_teaching_or_lecture,yes_partial,yes,Q16_Q20_partial,no,no,yes,no,no,no,no,partial,PPTX 12幻灯片未见Q20评分细则含部分他题内容
2026西城期末_参考答案,2026,西城,期末,pdf,reference_answer,P1_candidate,P1_reference_answer,yes_confirmed,yes,Q20,no,yes,no,no,no,no,no,verified_partial,无原始设问文字仅参考答案
2026东城期末_试卷,2026,东城,期末,pdf,exam_paper,P3_paper_only,P3_paper_only,unknown,yes,unknown,no,no,no,no,no,no,no,needs_content_check,未检查是否含选必一题
