source_year,district,exam,question,artifact_file,claimed_knowledge,claim_text,evidence_file,evidence_location,verdict,problem_type,recommended_action,notes
2026,东城,一模,第16题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,矛盾主次方面,"细则先承认贴近群众情绪的合理性，再强调思想性、艺术性、时代情感才是优秀文艺的主流和本质",data/preprocessed_corpus/texts/99e851c9338f0983_26东城一模细则.txt,"L3-4 哲学：人民群众是社会历史的主体、矛盾的主次方面(情绪需求是次要方面，思想性、艺术性是主要方面)；L16-18 矛盾的主次方面辩证关系要求我们抓主流",PASS,正确,KEEP,细则正文逐字点名
2026,丰台,一模,第16题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,矛盾对立统一/两点论与重点论/主流支流,"AI 既积极动能又风险隐忧，要全面看",data/preprocessed_corpus/texts/26649804f1de31f5_2026丰台一模细则.txt,"L77-83 坚持矛盾的观点；坚持两点论与重点论的统一；AI的积极作用是主流，风险与隐忧是支流",PASS,正确,KEEP,逐字点名
2024,东城,一模,第21题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,主次矛盾/两点论/整体部分,"功能圈 主次矛盾／两点论／整体部分",data/preprocessed_corpus/texts/4b2073bcc9e26f62_2024东城一模细则.txt,L213-219,PASS,正确,KEEP,
2024,朝阳,一模,第18(2)题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,两点论和重点论统一,"两点论看两翼，重点论抓人才和基层短板",data/preprocessed_corpus/texts/d64506799887753e_2024朝阳一模细则.txt,L217 坚持两点论和重点论的统一,PASS,正确,KEEP,
2024,朝阳,期中,第16题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,社会存在与社会意识/社会基本矛盾/改革/人民群众,"四项历史唯物主义给分点",data/preprocessed_corpus/texts/0f8ea3bbe2629d2f_2024.11期中政治朝阳评标docx.txt,L1-13 评标四项分项给分,PASS,正确,KEEP,
2024,朝阳,期中,第17题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,辩证否定/对立统一/具体问题具体分析/价值观导向/价值判断/尊重规律,"评标第5个给分角度",data/preprocessed_corpus/texts/0f8ea3bbe2629d2f_2024.11期中政治朝阳评标docx.txt,L33-61 第17题评标分项给分,PASS,正确,KEEP,所有原理在评标中点名
2024,丰台,二模,第21题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,联系/整体与部分/价值观/民族精神/量变质变/实现人生价值,"个人步伐与中国步伐",data/preprocessed_corpus/texts/71fcaa9e66afc5db_2024丰台二模细则.txt,L92-97 拓展答案：联系观、整体与部分、个人梦与中国梦、量变质变、价值观、理想信念、民族精神、奋斗,PASS,等级题/拓展答案,KEEP,条目首加"等级题/拓展答案"标签
2025,延庆,一模,第16题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,矛盾对立统一/一分为二,"中老年微短剧适老化与价值偏差并存",data/preprocessed_corpus/texts/c0a3990e95796ddd_2025延庆一模细则.txt,L40-41 可以从一切从实际出发、矛盾、价值观、文化发展的基本途径等角度,PASS,正确,KEEP,
2025,顺义,一模,第16题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,辩证否定/守正创新,"评分细则明确要求可从辩证否定角度作答",data/preprocessed_corpus/texts/bef8332e23ce30ac_2025顺义一模细则.txt,"L11-14 文化角度：文化载体、文化功能、中华文化与中华文明、双创；哲学角度：规律、联系、发展、矛盾(对立统一、普特关系)、价值观——无辩证否定",SUSPECT,过度归因,REWORD,删除"评分细则明确要求"，改为"可作合理角度"或将原理改"双创"
2024,海淀,一模,第16题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,量变质变/前进性与曲折性,"长期航天积累形成质变",data/preprocessed_corpus/texts/b692254ceb1b8174_2024海淀一模细则.txt,"L5 可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度——无量变质变/前进性与曲折性",SUSPECT,过度归因,DELETE,删除量变质变和前进性曲折性两条原理
2025,石景山,一模,第21题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,辩证否定/破立统一/发展观点,"破立关系翻译为辩证否定",data/preprocessed_corpus/texts/0b97375f2f69e53d_2025石景山一模细则.txt,L106 综合运用改革的实质、全面深化改革的总目标和原则、党的领导、坚持中国特色社会主义、社会发展普遍规律——无辩证否定/发展观点,SUSPECT,过度归因,DELETE,保留改革实质/社会基本矛盾/党的领导/人民立场；"破立"放进逻辑链不进触发知识
2025,西城,二模,第16题(1),artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,联系的客观性/根据固有联系建立新的具体联系,"鹿叫村废弃水井改造为动物乐园",data/preprocessed_corpus/texts/cfb0f19ef38aafd7_2025西城二模细则.txt,L9 可从尊重规律、正确发挥主观能动性、具体问题具体分析、树立正确的生态价值观等——无联系客观性,SUSPECT,等角度兜底,MOVE,把该题迁到"尊重规律与发挥主观能动性"或"价值观导向"板块；联系客观性降级为合理角度
2024,石景山,一模,第16题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,习近平文化思想/中华优秀传统文化/文化自信(评分方向),"评分方向允许从文化继承与发展、文化自信、认识作用、联系、发展等角度作答",2024北京石景山高三一模政治（教师版带答案）.docx + 2024年石景山一模.pptx,reports/必修四文化_细则给分点全库扫描台账.md 标注"普通答案命中，不能入答题点",WEAK,证据等级误用,REWORD,把"评分方向"改"教师版参考答案/讲评PPT"，加"非细则"标签
2024,石景山,一模,第20题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,矛盾普遍性与特殊性/具体问题具体分析/联系/系统观念,"等级评分要求观点鲜明、综合运用所学",2024北京石景山高三一模政治（教师版带答案）.docx,reports/必修四文化_细则给分点全库扫描台账.md 标注"普通答案命中，不能入答题点",WEAK,证据等级误用,REWORD,改用"教师版参考答案/讲评PPT"用词，加"非细则"标签
2024,丰台,一模,第18(1)题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,发展观/联系/辩证否定/社会基本矛盾/生产关系适应生产力,"评标允许多角度",未抽取丰台一模评标细则汇总.docx 全文,corpus 缺,WEAK,证据未读到,NEED_EVIDENCE,重新抽取并按 R3 逐项核
2024,丰台,一模,第21题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,联系/社会存在与社会意识/价值观/人民群众/整体与部分,"全人类共同价值",未抽取丰台一模评标细则汇总.docx 全文,corpus 缺,WEAK,证据未读到,NEED_EVIDENCE,重新抽取并按 R3 逐项核
2025,朝阳,一模,第16题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,主观能动性/联系/发展/辩证否定/文化自信,"用户补充评分截图",corpus 中未存对应 OCR/抽取,本审计未读到原文,WEAK,证据未上传,NEED_EVIDENCE,把高清细则截图正式入 corpus
2026,朝阳,期末,第16题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,一切从实际出发/联系/发展/辩证否定/规律客观性/矛盾对立统一/价值观/人民群众/文化自信,"扫描页读图核定，多原理",未抽取2026朝阳期末细则.pdf 全文,corpus 缺,WEAK,证据未读到,NEED_EVIDENCE,抽取/读图后逐项核对，删除细则未提及的原理
2024,顺义,二模,第20(2)题,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,实践与认识/一切从实际出发/价值观导向,"开放等级口径",细则文本(框架自承"开放等级口径"),自承等级,WEAK,等级题误显化,REWORD,条目首部加"等级题/非稳定给分点"
2026,东城,一模,第16题(选择题正确项),artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,价值观导向(选择题第1题),"选择正确项呼应价值观",题面+答案表+正确项,选择题答案表与正确项措辞,WEAK,用词,REWORD,把"稳定触发"改"正确项呼应"
2024,海淀,期中,16-21,reports/必修四哲学_2024-2026题源穷尽清单.md,主观题模块边界排除,"细则模块分布显示主观题属必修2/3/选必1",细则PDF第3页,题源清单 L26 已记,PASS,边界处理正确,KEEP,
2025,海淀,期中,16-21,reports/必修四哲学_2024-2026题源穷尽清单.md,主观题模块边界排除,"细则docx显示主观题为经济、政治与法治、法律与生活、当代国际",2025海淀期中细则.docx,题源清单 L51,PASS,边界处理正确,KEEP,
所有套卷,—,—,选择题正确项链整体,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,价值观导向/联系/辩证否定 等"稳定触发",—,题面+答案表+正确项,—,WEAK,用词与主观题混淆,REWORD,把"稳定触发"统一改"正确项呼应X知识"，并在条目开头加[选择题正确项]标签
顶层目录,—,—,主要矛盾/主要方面/两点论暂无稳定挂点,artifacts/必修四哲学材料-知识触发总框架_持续更新版_v2.md,顶层目录与正文不一致,"L715-723 暂无稳定挂点；正文已多处稳定挂点",同文件,L715-723 vs L1109/1122/1516/1550,FAIL_meta,文档自相矛盾,REWORD,更新顶层目录列出已稳定挂点
文化框架B类,—,—,等级支持术语整体,artifacts/必修四文化材料-知识触发总框架_持续更新版.md,B类术语条目,"L117-138 多条来源是教师版/讲评PPT",同文件,—,WEAK,潜在边界混淆,REWORD,B类条目结尾加"非逐点细则，按等级赋分"
错肢库样本,—,—,30余条样本,artifacts/北京高考政治错肢库_持续更新版.md,错误类型/为什么错/规范改写,"知识性错肢分析",题面+答案表+正确选项,—,PASS,质量良好,KEEP,逻辑通顺，可脱离材料判错
