comparison_id,gpt_observation_id,claude_observation_id,match_type,shared_question_ids,shared_rubric_atom_ids,shared_material_atom_ids,keyword_overlap,tag_overlap,supporting_rubric_atom_ids_for_decision,supporting_material_atom_ids_for_decision,difference_description,better_supported_side,needs_source_check,decision,reason,gpt_plain_observation,claude_plain_observation
CMP_COWORK_001,STRONG_OBS_03,OBS_LAWLIFE_008_table_cell_independent_scoring,same,CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0157_2025_朝阳_期末_20|CC0180_2025_海淀_期末_20|CC0325_2026_石景山_一模_18|RECOVER_2026_通州_一模_20,R_CC0077_2025_东城_一模_19_02|R_CC0077_2025_东城_一模_19_07|R_CC0084_2025_东城_二模_19_07|R_CC0180_2025_海淀_期末_20_M17_06,M_CC0077_2025_东城_一模_19_01|M_CC0077_2025_东城_一模_19_02|M_CC0077_2025_东城_一模_19_08|M_CC0077_2025_东城_一模_19_09|M_CC0077_2025_东城_一模_19_15|M_CC0084_2025_东城_二模_19_01|M_CC0084_2025_东城_二模_19_02|M_CC0084_2025_东城_二模_19_13|M_CC0157_2025_朝阳_期末_20_01|M_CC0157_2025_朝阳_期末_20_02|M_CC0157_2025_朝阳_期末_20_03|M_CC0157_2025_朝阳_期末_20_04|M_CC0180_2025_海淀_期末_20_01|M_CC0180_2025_海淀_期末_20_02|M_CC0180_2025_海淀_期末_20_03|M_CC0180_2025_海淀_期末_20_04|M_CC0325_2026_石景山_一模_18_02|M_CC0325_2026_石景山_一模_18_03|M_CC0325_2026_石景山_一模_18_05|M_CC0325_2026_石景山_一模_18_06|M_CC0325_2026_石景山_一模_18_08|M_CC0325_2026_石景山_一模_18_09|M_CC0325_2026_石景山_一模_18_10|M_CC0325_2026_石景山_一模_18_12|M_RECOVER_2026_通州_一模_20_01|M_RECOVER_2026_通州_一模_20_02|M_RECOVER_2026_通州_一模_20_03|M_RECOVER_2026_通州_一模_20_04,举证|侵权|合同|无过错|未成年人|材料|格式条款|表格,table,R_CC0077_2025_东城_一模_19_02|R_CC0077_2025_东城_一模_19_07|R_CC0084_2025_东城_二模_19_07|R_CC0180_2025_海淀_期末_20_M17_06,M_CC0077_2025_东城_一模_19_01|M_CC0077_2025_东城_一模_19_02|M_CC0077_2025_东城_一模_19_08|M_CC0077_2025_东城_一模_19_09|M_CC0077_2025_东城_一模_19_15|M_CC0084_2025_东城_二模_19_01|M_CC0084_2025_东城_二模_19_02|M_CC0084_2025_东城_二模_19_13|M_CC0157_2025_朝阳_期末_20_01|M_CC0157_2025_朝阳_期末_20_02|M_CC0157_2025_朝阳_期末_20_03|M_CC0157_2025_朝阳_期末_20_04|M_CC0180_2025_海淀_期末_20_01|M_CC0180_2025_海淀_期末_20_02|M_CC0180_2025_海淀_期末_20_03|M_CC0180_2025_海淀_期末_20_04|M_CC0325_2026_石景山_一模_18_02|M_CC0325_2026_石景山_一模_18_03|M_CC0325_2026_石景山_一模_18_05|M_CC0325_2026_石景山_一模_18_06|M_CC0325_2026_石景山_一模_18_08|M_CC0325_2026_石景山_一模_18_09|M_CC0325_2026_石景山_一模_18_10|M_CC0325_2026_石景山_一模_18_12|M_RECOVER_2026_通州_一模_20_01|M_RECOVER_2026_通州_一模_20_02|M_RECOVER_2026_通州_一模_20_03|M_RECOVER_2026_通州_一模_20_04,score=124; gpt_category=strong; claude_category=strong,both,no,merge,双模型强观察均发现且源表可核到共享题号/细则/材料；仅作为代码本观察，不直接等于框架节点。,完成下表、参考示例、补充完整类题目，判分机制按格子采点，核心是精准填法律概念、案件事实、裁判理由或意义，长篇总论收益很低。,"""阅读材料完成下表/补充裁判理由""型表格题，每个空格是独立赋分单元；跨格抄写模板套话、不区分主体的""维护双方合法权益""式表述被显式扣分。"
CMP_COWORK_002,STRONG_OBS_08,OBS_LAWLIFE_W_014_ip_innovation_cluster_keywords,similar,CC0103_2025_丰台_一模_19|CC0131_2025_房山_一模_19|CC0189_2025_石景山_一模_20|CC0229_2026_东城_一模_18|CC0283_2026_朝阳_一模_18,R_CC0103_2025_丰台_一模_19_01|R_CC0131_2025_房山_一模_19_03|R_CC0189_2025_石景山_一模_20_02|R_CC0229_2026_东城_一模_18_05|R_CC0283_2026_朝阳_一模_18_03,M_CC0103_2025_丰台_一模_19_01|M_CC0103_2025_丰台_一模_19_02|M_CC0103_2025_丰台_一模_19_03|M_CC0131_2025_房山_一模_19_01|M_CC0131_2025_房山_一模_19_02|M_CC0131_2025_房山_一模_19_03|M_CC0131_2025_房山_一模_19_04|M_CC0189_2025_石景山_一模_20_05|M_CC0189_2025_石景山_一模_20_07|M_CC0189_2025_石景山_一模_20_08|M_CC0189_2025_石景山_一模_20_12|M_CC0189_2025_石景山_一模_20_13|M_CC0189_2025_石景山_一模_20_16|M_CC0229_2026_东城_一模_18_02|M_CC0229_2026_东城_一模_18_03|M_CC0229_2026_东城_一模_18_04|M_CC0229_2026_东城_一模_18_05|M_CC0229_2026_东城_一模_18_06|M_CC0229_2026_东城_一模_18_07|M_CC0229_2026_东城_一模_18_08|M_CC0229_2026_东城_一模_18_09|M_CC0229_2026_东城_一模_18_10|M_CC0283_2026_朝阳_一模_18_01|M_CC0283_2026_朝阳_一模_18_02|M_CC0283_2026_朝阳_一模_18_03|M_CC0283_2026_朝阳_一模_18_04|M_CC0283_2026_朝阳_一模_18_05,侵权|材料|知识产权,ip,R_CC0103_2025_丰台_一模_19_01|R_CC0131_2025_房山_一模_19_03|R_CC0189_2025_石景山_一模_20_02|R_CC0229_2026_东城_一模_18_05|R_CC0283_2026_朝阳_一模_18_03,M_CC0103_2025_丰台_一模_19_01|M_CC0103_2025_丰台_一模_19_02|M_CC0103_2025_丰台_一模_19_03|M_CC0131_2025_房山_一模_19_01|M_CC0131_2025_房山_一模_19_02|M_CC0131_2025_房山_一模_19_03|M_CC0131_2025_房山_一模_19_04|M_CC0189_2025_石景山_一模_20_05|M_CC0189_2025_石景山_一模_20_07|M_CC0189_2025_石景山_一模_20_08|M_CC0189_2025_石景山_一模_20_12|M_CC0189_2025_石景山_一模_20_13|M_CC0189_2025_石景山_一模_20_16|M_CC0229_2026_东城_一模_18_02|M_CC0229_2026_东城_一模_18_03|M_CC0229_2026_东城_一模_18_04|M_CC0229_2026_东城_一模_18_05|M_CC0229_2026_东城_一模_18_06|M_CC0229_2026_东城_一模_18_07|M_CC0229_2026_东城_一模_18_08|M_CC0229_2026_东城_一模_18_09|M_CC0229_2026_东城_一模_18_10|M_CC0283_2026_朝阳_一模_18_01|M_CC0283_2026_朝阳_一模_18_02|M_CC0283_2026_朝阳_一模_18_03|M_CC0283_2026_朝阳_一模_18_04|M_CC0283_2026_朝阳_一模_18_05,score=117; gpt_category=strong; claude_category=weak,both,yes,pending,需要回源或证据等级审查后再决定。,知识产权与创新发展题的命题机制不是泛谈创新，而是用侵权、惩罚性赔偿、不正当竞争、调解、典型案例等法律机制解释创新保护。,"知识产权 + 新质生产力 + 创新这一主题集群（占 2025–2026 出现频率高），rubric 倾向于把""知识产权保护 / 惩罚性赔偿 / 公平竞争秩序 / 创新生态 / 诚信原则""作为可替换 reward keywords，但具体到每题""必选 vs 可选""的对应表尚未稳定。"
CMP_COWORK_003,STRONG_OBS_01,OBS_LAWLIFE_002_significance_three_angles,same,CC0002_2024_丰台_一模_17|CC0251_2026_丰台_一模_20,R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,M_CC0002_2024_丰台_一模_17_01|M_CC0002_2024_丰台_一模_17_02|M_CC0002_2024_丰台_一模_17_03|M_CC0002_2024_丰台_一模_17_04|M_CC0251_2026_丰台_一模_20_01|M_CC0251_2026_丰台_一模_20_02|M_CC0251_2026_丰台_一模_20_03|M_CC0251_2026_丰台_一模_20_04|M_CC0251_2026_丰台_一模_20_05|M_CC0251_2026_丰台_一模_20_06|M_CC0251_2026_丰台_一模_20_07,价值|判决|现实意义,significance,R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,M_CC0002_2024_丰台_一模_17_01|M_CC0002_2024_丰台_一模_17_02|M_CC0002_2024_丰台_一模_17_03|M_CC0002_2024_丰台_一模_17_04|M_CC0251_2026_丰台_一模_20_01|M_CC0251_2026_丰台_一模_20_02|M_CC0251_2026_丰台_一模_20_03|M_CC0251_2026_丰台_一模_20_04|M_CC0251_2026_丰台_一模_20_05|M_CC0251_2026_丰台_一模_20_06|M_CC0251_2026_丰台_一模_20_07,score=63; gpt_category=strong; claude_category=strong,both,no,merge,双模型强观察均发现且源表可核到共享题号/细则/材料；仅作为代码本观察，不直接等于框架节点。,法理依据加现实意义类设问，判分机制通常拆成法律依据、材料适用、现实意义三层。学生不能用价值话替代法律判断。,"凡设问含""现实意义/社会价值/典型意义/意义""且独立赋分 ≥ 3 分的题，意义层按""个人/当事人合法权益—司法或行业秩序—社会公平/核心价值观""三个角度分点给分，每个角度 1 分，互不重复；只答其中两个角度封顶 2 分。"
CMP_COWORK_004,NEXT_CHECK_05,OBS_LAWLIFE_C_017_reference_only_evidence_strength,conflict,CC0040_2024_海淀_一模_19|CC0162_2025_海淀_一模_18|CC0311_2026_海淀_二模_18_2|CC0353_2026_西城_期末_17,R_CC0040_2024_海淀_一模_19_01|R_CC0162_2025_海淀_一模_18_M17_01|R_CC0353_2026_西城_期末_17_01,M_CC0040_2024_海淀_一模_19_01|M_CC0040_2024_海淀_一模_19_02|M_CC0162_2025_海淀_一模_18_01|M_CC0162_2025_海淀_一模_18_02|M_CC0311_2026_海淀_二模_18_2_01|M_CC0311_2026_海淀_二模_18_2_02|M_CC0311_2026_海淀_二模_18_2_03|M_CC0353_2026_西城_期末_17_01|M_CC0353_2026_西城_期末_17_02,合同,contract,R_CC0040_2024_海淀_一模_19_01|R_CC0162_2025_海淀_一模_18_M17_01|R_CC0353_2026_西城_期末_17_01,M_CC0040_2024_海淀_一模_19_01|M_CC0040_2024_海淀_一模_19_02|M_CC0162_2025_海淀_一模_18_01|M_CC0162_2025_海淀_一模_18_02|M_CC0311_2026_海淀_二模_18_2_01|M_CC0311_2026_海淀_二模_18_2_02|M_CC0311_2026_海淀_二模_18_2_03|M_CC0353_2026_西城_期末_17_01|M_CC0353_2026_西城_期末_17_02,score=63; gpt_category=next_round; claude_category=conflict,both,yes,pending,需要回源或证据等级审查后再决定。,reference_only 四题需要寻找 formal 评分细则或阅卷报告，再决定是否把数字人、年卡格式合同、知识产权融资、青少年模式技术屏蔽纳入代码本。,"4 道 reference_only 题（CC0040、CC0162、CC0311、CC0353）仅有参考答案而无评分细则，但其中 CC0353 内嵌""以事实为依据、以法律为准绳""锚句、CC0162 出现""格式合同有效+诚信原则+合法权益""完整链条，似乎已能形式上支持 OBS_001 与 OBS_003 — 但按本工程最高原则 reference_only 不能单独支撑核心节点。"
CMP_COWORK_005,STRONG_OBS_01,OBS_LAWLIFE_001_anchor_facts_law_yardstick,same,CC0002_2024_丰台_一模_17|CC0119_2025_丰台_期末_19|CC0251_2026_丰台_一模_20,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0119_2025_丰台_期末_19_M17_01|R_CC0251_2026_丰台_一模_20_01,M_CC0119_2025_丰台_期末_19_04,以事实为依据|以法律为准绳|价值|判决|材料|法理依据,court_anchor,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0119_2025_丰台_期末_19_M17_01|R_CC0251_2026_丰台_一模_20_01,M_CC0119_2025_丰台_期末_19_04,score=50; gpt_category=strong; claude_category=strong,both,yes,merge,双模型强观察均发现且源表可核到共享题号/细则/材料；仅作为代码本观察，不直接等于框架节点。,法理依据加现实意义类设问，判分机制通常拆成法律依据、材料适用、现实意义三层。学生不能用价值话替代法律判断。,"凡设问对象是""法院判决/裁判理由/法官调解""且分值 ≥ 5 分的题，""判决以事实为依据、以法律为准绳""是被显式记入评分细则的""必踩点 1 分""。学生只要不点出该锚句（或同义""相关法律规定/民法典规定""）就少 1 分，且该 1 分独立于事实分析分和价值分。"
CMP_COWORK_006,STRONG_OBS_06,OBS_LAWLIFE_003_case_four_step_dingxing,same,CC0150_2025_朝阳_二模_20|CC0244_2026_东城_期末_18,R_CC0150_2025_朝阳_二模_20_05|R_CC0150_2025_朝阳_二模_20_06|R_CC0150_2025_朝阳_二模_20_07|R_CC0150_2025_朝阳_二模_20_08,M_CC0150_2025_朝阳_二模_20_02|M_CC0244_2026_东城_期末_18_02,侵权,tort,R_CC0150_2025_朝阳_二模_20_05|R_CC0150_2025_朝阳_二模_20_06|R_CC0150_2025_朝阳_二模_20_07|R_CC0150_2025_朝阳_二模_20_08,M_CC0150_2025_朝阳_二模_20_02|M_CC0244_2026_东城_期末_18_02,score=49; gpt_category=strong; claude_category=strong,both,no,merge,双模型强观察均发现且源表可核到共享题号/细则/材料；仅作为代码本观察，不直接等于框架节点。,侵权责任题的最低必要判断是责任类型和事实要件匹配，尤其要区分一般过错责任、无过错责任、过错推定、安全保障义务、自甘风险。,"凡设问形如""分析上述案例/分析判决结果并说明理由""且案例核心是侵权或合同纠纷时，评分按""①定性（权利名/行为性质）→②确权（援引法律规则）→③解释（材料事实嵌入规则要件）→④责任（承担方式）""四步分点给分，缺任一步当步即扣。"
CMP_COWORK_007,STRONG_OBS_06,OBS_LAWLIFE_W_013_no_fault_liability_topic_specific,similar,CC0180_2025_海淀_期末_20|CC0244_2026_东城_期末_18,R_CC0180_2025_海淀_期末_20_M17_01|R_CC0180_2025_海淀_期末_20_M17_04|R_CC0180_2025_海淀_期末_20_M17_06|R_CC0244_2026_东城_期末_18_06,M_CC0180_2025_海淀_期末_20_03|M_CC0180_2025_海淀_期末_20_04,举证|侵权|无过错,tort,R_CC0180_2025_海淀_期末_20_M17_01|R_CC0180_2025_海淀_期末_20_M17_04|R_CC0180_2025_海淀_期末_20_M17_06|R_CC0244_2026_东城_期末_18_06,M_CC0180_2025_海淀_期末_20_03|M_CC0180_2025_海淀_期末_20_04,score=49; gpt_category=strong; claude_category=weak,both,no,pending,需要回源或证据等级审查后再决定。,侵权责任题的最低必要判断是责任类型和事实要件匹配，尤其要区分一般过错责任、无过错责任、过错推定、安全保障义务、自甘风险。,"""无过错侵权责任""作为知识产权和产品/动物致害类题的关键判别词，rubric 显式""通篇没有'无过错侵权责任'不能得满分""。但形式样本目前只有 CC0180。"
CMP_COWORK_008,NEXT_CHECK_01,OBS_LAWLIFE_008_table_cell_independent_scoring,similar,CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0157_2025_朝阳_期末_20|CC0180_2025_海淀_期末_20|CC0325_2026_石景山_一模_18,R_CC0077_2025_东城_一模_19_02,M_CC0077_2025_东城_一模_19_01|M_CC0084_2025_东城_二模_19_01|M_CC0157_2025_朝阳_期末_20_01|M_CC0180_2025_海淀_期末_20_01|M_CC0325_2026_石景山_一模_18_02,举证|材料|表格,table,R_CC0077_2025_东城_一模_19_02,M_CC0077_2025_东城_一模_19_01|M_CC0084_2025_东城_二模_19_01|M_CC0157_2025_朝阳_期末_20_01|M_CC0180_2025_海淀_期末_20_01|M_CC0325_2026_石景山_一模_18_02,score=49; gpt_category=next_round; claude_category=strong,both,no,pending,需要回源或证据等级审查后再决定。,表格题需要补充原卷版式与空格位置，因为相同法律材料在不同表格列中会对应不同满分句。,"""阅读材料完成下表/补充裁判理由""型表格题，每个空格是独立赋分单元；跨格抄写模板套话、不区分主体的""维护双方合法权益""式表述被显式扣分。"
CMP_COWORK_009,STRONG_OBS_02,OBS_LAWLIFE_004_attitude_first_then_two_grounds,same,CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18,R_CC0305_2026_海淀_一模_18_3_P01|R_CC0373_2026_顺义_一模_18_P01|R_CC0373_2026_顺义_一模_18_P04,M_CC0373_2026_顺义_一模_18_P01,合同|表态|诉讼|诉讼请求,attitude,R_CC0305_2026_海淀_一模_18_3_P01|R_CC0373_2026_顺义_一模_18_P01|R_CC0373_2026_顺义_一模_18_P04,M_CC0373_2026_顺义_一模_18_P01,score=44; gpt_category=strong; claude_category=strong,both,no,merge,双模型强观察均发现且源表可核到共享题号/细则/材料；仅作为代码本观察，不直接等于框架节点。,判决结果、诉讼请求、裁判理由类题目，最小必要判断是先表态结论，再分主体或分请求写法律依据和事实依据。,"评析类（含""判断…是否有效/能否得到法院支持/是否构成××""）题，得分有强制顺序：第一步先做表态（支持/不支持/有效/无效/构成/不构成），第二步分别给出""法律依据 + 事实依据""。表态缺失即使后续论证正确也扣 1–2 分。"
CMP_COWORK_010,STRONG_OBS_05,OBS_LAWLIFE_003_case_four_step_dingxing,same,CC0244_2026_东城_期末_18|CC0317_2026_海淀_期末_18|RECOVER_2026_朝阳_期末_18_1,R_CC0244_2026_东城_期末_18_08|R_RECOVER_2026_朝阳_期末_18_1_01,M_CC0244_2026_东城_期末_18_02|M_RECOVER_2026_朝阳_期末_18_1_01,侵权|合同|材料,contract,R_CC0244_2026_东城_期末_18_08|R_RECOVER_2026_朝阳_期末_18_1_01,M_CC0244_2026_东城_期末_18_02|M_RECOVER_2026_朝阳_期末_18_1_01,score=43; gpt_category=strong; claude_category=strong,both,no,merge,双模型强观察均发现且源表可核到共享题号/细则/材料；仅作为代码本观察，不直接等于框架节点。,合同题的判分链条常按成立、有效、履行、违约或撤销分层，学生必须判断自己处在哪一层，不能把合同成立、合同有效、违约责任混作一个点。,"凡设问形如""分析上述案例/分析判决结果并说明理由""且案例核心是侵权或合同纠纷时，评分按""①定性（权利名/行为性质）→②确权（援引法律规则）→③解释（材料事实嵌入规则要件）→④责任（承担方式）""四步分点给分，缺任一步当步即扣。"
