question_id,node_names,sentence_id,sentence,source_rubric_atom_ids,use_condition
CC0002_2024_丰台_一模_17,分关系·定责任 + 推价值,CC0002_2024_丰台_一模_17_CLEAN_S01,法院裁判应坚持以事实为依据、以法律为准绳，把法律规定与案件具体事实结合起来。,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
CC0002_2024_丰台_一模_17,分关系·定责任 + 推价值,CC0002_2024_丰台_一模_17_CLEAN_S02,甲某无偿搭乘乙某车辆，双方形成好意同乘关系，应在明确权利义务的基础上确定责任。,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
CC0002_2024_丰台_一模_17,分关系·定责任 + 推价值,CC0002_2024_丰台_一模_17_CLEAN_S03,好意同乘中，机动车一方有责任但无故意或者重大过失的，依法应当减轻其赔偿责任。,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
CC0002_2024_丰台_一模_17,分关系·定责任 + 推价值,CC0002_2024_丰台_一模_17_CLEAN_S04,本案乙某基于善意无偿搭载甲某，事故因雨天路滑发生，甲某未系安全带，乙某还主动垫付费用，法院减责有事实依据。,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
CC0002_2024_丰台_一模_17,分关系·定责任 + 推价值,CC0002_2024_丰台_一模_17_CLEAN_S05,判决兼顾双方合法权益，体现公正司法，也有利于鼓励互助友爱和绿色出行。,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。
CC0025_2024_朝阳_二模_17,分关系·定责任 + 排维权步骤 + 推价值,CC0025_2024_朝阳_二模_17_CLEAN_S01,判断新就业形态劳动关系，不能只看协议名称，要看人格、经济、组织从属性。,R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12|R_CC0025_2024_朝阳_二模_17_13|R_CC0025_2024_朝阳_二模_17_14|R_CC0025_2024_朝阳_二模_17_15|R_CC0025_2024_朝阳_二模_17_16|R_CC0025_2024_朝阳_二模_17_17,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
CC0025_2024_朝阳_二模_17,分关系·定责任 + 排维权步骤 + 推价值,CC0025_2024_朝阳_二模_17_CLEAN_S02,甲公司通过平台派单并用奖惩制度管理王某，王某具有人格从属性。,R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12|R_CC0025_2024_朝阳_二模_17_13|R_CC0025_2024_朝阳_二模_17_14|R_CC0025_2024_朝阳_二模_17_15|R_CC0025_2024_朝阳_二模_17_16|R_CC0025_2024_朝阳_二模_17_17,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
CC0025_2024_朝阳_二模_17,分关系·定责任 + 排维权步骤 + 推价值,CC0025_2024_朝阳_二模_17_CLEAN_S03,甲公司掌握运输服务所需数据信息，并单方确定服务费和奖励金标准，王某具有经济从属性。,R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12|R_CC0025_2024_朝阳_二模_17_13|R_CC0025_2024_朝阳_二模_17_14|R_CC0025_2024_朝阳_二模_17_15|R_CC0025_2024_朝阳_二模_17_16|R_CC0025_2024_朝阳_二模_17_17,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
CC0025_2024_朝阳_二模_17,分关系·定责任 + 排维权步骤 + 推价值,CC0025_2024_朝阳_二模_17_CLEAN_S04,王某提供的货物运输服务属于甲公司业务组成部分，具有组织从属性。,R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12|R_CC0025_2024_朝阳_二模_17_13|R_CC0025_2024_朝阳_二模_17_14|R_CC0025_2024_朝阳_二模_17_15|R_CC0025_2024_朝阳_二模_17_16|R_CC0025_2024_朝阳_二模_17_17,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
CC0025_2024_朝阳_二模_17,分关系·定责任 + 排维权步骤 + 推价值,CC0025_2024_朝阳_二模_17_CLEAN_S05,三个从属性共同说明双方存在事实劳动关系，王某的经济补偿请求应当得到支持。,R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12|R_CC0025_2024_朝阳_二模_17_13|R_CC0025_2024_朝阳_二模_17_14|R_CC0025_2024_朝阳_二模_17_15|R_CC0025_2024_朝阳_二模_17_16|R_CC0025_2024_朝阳_二模_17_17,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。"
