question_id,question_type,module,patched,has_complete_options,has_subjective_trio
Q-2025海淀二模-20,主观题,思维,split_answer_landing_and_exam_action,no,yes
Q-2025海淀期末-17-1,主观题,思维,ensure_subjective_minimum_trio,no,yes
Q-2025海淀期末-18,主观题,思维,ensure_subjective_minimum_trio,no,yes
Q-2024海淀二模-17-1,主观题,思维,ensure_subjective_minimum_trio,no,yes
Q-2024海淀二模-17-2,主观题,思维,ensure_subjective_minimum_trio,no,yes
Q-2025西城二模-16-2,主观题,推理,ensure_subjective_minimum_trio,no,yes
Q-2025西城二模-16-3,主观题,思维,ensure_subjective_minimum_trio,no,yes
Q-2024西城一模-19-2,主观题,推理,ensure_subjective_minimum_trio,no,yes
Q-2024西城一模-19-3,主观题,推理,ensure_subjective_minimum_trio,no,yes
Q-2024西城一模-19-5,主观题,推理,ensure_subjective_minimum_trio,no,yes
Q-2026东城一模-19-4,主观题,思维,ensure_subjective_minimum_trio,no,yes
Q-2026东城期末-17-2,主观题,推理,ensure_subjective_minimum_trio,no,yes
Q-2025东城期末-18-2,主观题,交叉,ensure_subjective_minimum_trio,no,yes
Q-2026朝阳期中-20,主观题,思维,ensure_subjective_minimum_trio,no,yes
Q-2026朝阳期中-21-2,主观题,思维,ensure_subjective_minimum_trio,no,yes
Q-2024朝阳一模-20-1,主观题,推理,add_denial_of_consequent_exam_formula;ensure_subjective_minimum_trio,no,yes
Q-2024朝阳一模-20-2,主观题,推理,ensure_subjective_minimum_trio,no,yes
Q-2024朝阳二模-19-1,主观题,交叉,ensure_subjective_minimum_trio,no,yes
Q-2024朝阳二模-19-2,主观题,交叉,ensure_subjective_minimum_trio,no,yes
Q-2024朝阳期中-18,主观题,推理,ensure_subjective_minimum_trio,no,yes
Q-2024朝阳期中-19,主观题,交叉,ensure_subjective_minimum_trio,no,yes
Q-2026丰台一模-18-2,主观题,推理,convert_bullets_to_bracket_blocks,no,yes
Q-2025丰台期末-18-1,主观题,推理,ensure_subjective_minimum_trio,no,yes
Q-2026顺义一模-19-1,主观题,交叉,ensure_subjective_minimum_trio,no,yes
Q-2026顺义一模-19-2,主观题,交叉,ensure_subjective_minimum_trio,no,yes
Q-2026通州期末-19-2,主观题,推理,ensure_subjective_minimum_trio,no,yes
Q-2025顺义一模-17-1,主观题,推理,ensure_subjective_minimum_trio,no,yes
Q-2025海淀二模-12,选择题,思维,insert_complete_options,yes,yes
Q-2025海淀二模-13,选择题,推理,no_change,yes,yes
Q-2025海淀期末-2,选择题,思维,insert_complete_options,yes,yes
Q-2025海淀期末-8,选择题,推理,no_change,yes,yes
Q-2024海淀二模-6,选择题,推理,no_change,yes,yes
Q-2025西城二模-6,选择题,,no_change,yes,yes
Q-2025西城二模-7,选择题,推理,insert_complete_options,yes,yes
Q-2024西城一模-11,选择题,推理,insert_complete_options,yes,yes
Q-2024西城一模-13,选择题,推理,no_change,yes,yes
Q-2026东城一模-6,选择题,交叉,no_change,yes,yes
Q-2026东城期末-6,选择题,推理,no_change,yes,yes
Q-2026东城期末-7,选择题,推理,no_change,yes,yes
Q-2025东城期末-5,选择题,思维,insert_complete_options,yes,yes
Q-2025东城期末-13,选择题,推理,insert_complete_options,yes,yes
Q-2025东城期末-14,选择题,推理,no_change,yes,yes
Q-2025东城期末-15,选择题,推理,no_change,yes,yes
Q-2026朝阳期中-11,选择题,推理,no_change,yes,yes
Q-2026朝阳期中-12,选择题,推理,no_change,yes,yes
Q-2026朝阳期中-13,选择题,交叉,insert_complete_options,yes,yes
Q-2026朝阳期中-14,选择题,推理,insert_complete_options,yes,yes
Q-2026朝阳期中-15,选择题,推理,no_change,yes,yes
Q-2024朝阳一模-6,选择题,,no_change,yes,yes
Q-2024朝阳一模-7,选择题,思维,insert_complete_options,yes,yes
Q-2024朝阳一模-9,选择题,思维,insert_complete_options,yes,yes
Q-2024朝阳二模-6,选择题,推理,insert_complete_options,yes,yes
Q-2024朝阳二模-7,选择题,交叉,no_change,yes,yes
Q-2024朝阳期中-7,选择题,推理,insert_complete_options,yes,yes
Q-2024朝阳期中-8,选择题,推理,insert_complete_options,yes,yes
Q-2024朝阳期中-9,选择题,交叉,insert_complete_options,yes,yes
Q-2024朝阳期中-11,选择题,推理,insert_complete_options,yes,yes
Q-2026丰台一模-4,选择题,思维,insert_complete_options,yes,yes
Q-2026丰台一模-7,选择题,思维,insert_complete_options,yes,yes
Q-2026丰台一模-8,选择题,推理,insert_complete_options,yes,yes
Q-2026丰台一模-9,选择题,推理,no_change,yes,yes
Q-2025丰台期末-7,选择题,思维,insert_complete_options,yes,yes
Q-2025丰台期末-8,选择题,思维,insert_complete_options,yes,yes
Q-2025丰台期末-9,选择题,推理,no_change,yes,yes
Q-2025丰台期末-10,选择题,交叉,insert_complete_options,yes,yes
Q-2026通州期末-10,选择题,,insert_complete_options,yes,yes
Q-2026顺义一模-3,选择题,思维,insert_complete_options,yes,yes
Q-2026顺义一模-4,选择题,推理,no_change,yes,yes
Q-2026顺义一模-5,选择题,交叉,no_change,yes,yes
Q-2026顺义一模-6,选择题,思维,no_change,yes,yes
Q-2026通州期末-5,选择题,思维,insert_complete_options,yes,yes
Q-2026通州期末-8,选择题,思维,insert_complete_options,yes,yes
Q-2026通州期末-9,选择题,思维,no_change,yes,yes
Q-2026通州期末-11,选择题,交叉,no_change,yes,yes
Q-2025顺义一模-5,选择题,推理,no_change,yes,yes
Q-2025顺义一模-6,选择题,推理,insert_complete_options,yes,yes
Q-2025顺义一模-7,选择题,推理,insert_complete_options;add_syllogism_four_step_formula,yes,yes
