suite,question,classification,evidence_level,evidence_source,score,selected_terms,bucket_primary,boundary_notes,csv_original,notes
2024朝阳期中,Q16,excluded,—,—,8,历史唯物主义,—,—,yes,哲学四/必修三
2024朝阳期中,Q17,excluded,—,—,8,哲学与文化,—,—,yes,选必三
2024朝阳期中,Q18,excluded,—,—,8,逻辑与思维,—,—,yes,选必三
2024朝阳期中,Q19,excluded,—,—,8,逻辑与思维,—,—,yes,选必三
2024朝阳期中,Q20(1),excluded,—,SRC_486fe5ba720a,4,图表信息,—,—,yes,图表题
2024朝阳期中,Q20(2),excluded,—,SRC_486fe5ba720a,9,经济与社会,—,必修二,yes,数字经济机制
2024朝阳期中,Q20(3),in_scope,P0,SRC_3d4cd35f4494+SRC_486fe5ba720a+SRC_b706c444e16d,10,推动经济全球化朝着更加开放包容普惠平衡共赢方向发展;更好地利用两个资源两个市场;中国平等开放合作共享的全球治理理念,经济全球化;中国,—,yes,数字贸易博览会短评
2024朝阳一模,Q16,excluded,—,—,7,政治制度/全面从严治党,—,—,yes,政治与法治
2024朝阳一模,Q17,excluded,—,—,7,市场调节宏观调控,—,必修二,yes,经济与社会
2024朝阳一模,Q18,excluded,—,—,16,政治与法治/条例贯彻,—,—,yes,政治与法治
2024朝阳一模,Q19,excluded,—,—,7,法律诚信/法律与生活,—,—,yes,法律与生活
2024朝阳一模,Q20,excluded,—,—,9,假言推理/逻辑,—,—,yes,逻辑与思维
2024朝阳一模,Q21,in_scope,P0,SRC_4fc81e818683_slide49(21题【评分细则】),9,坚持和平共处五项原则维护主权安全发展利益;推动建设新型国际关系;推动构建人类命运共同体;增强国内国际两个市场两种资源联动效应;坚持独立自主,中国;政治多极化;经济全球化,推进高水平对外开放=必修二边界;总体国家安全观=必修三边界,no,CSV遗漏!综合题选必一部分5分
2024朝阳二模,Q16,excluded,—,—,14,经济与社会,—,必修二,yes,数字经济
2024朝阳二模,Q17,excluded,—,—,9,法律/劳动,—,—,yes,法律与生活
2024朝阳二模,Q18,excluded,—,—,8,政治与法治/全过程民主,—,—,yes,政治与法治
2024朝阳二模,Q19,excluded,—,—,16,逻辑与思维,—,—,yes,逻辑与思维
2024朝阳二模,Q20,in_scope,P0,SRC_df323259ba77(明确评分细则),8,平等;开放合作共享共赢包容;气候变化是全球性挑战应对是人类共同责任;共商共建共享全球治理观;公平正义合作共赢的新型国际关系;共同利益是国家合作的基础;推动构建人类命运共同体;统筹传统安全和非传统安全,政治多极化;理论;联合国,统筹传统安全非传统安全=1分可选项,yes,完善全球气候治理填表题
2025朝阳二模,Q16,excluded,—,—,7,哲学与文化,—,—,yes,选必三
2025朝阳二模,Q17,excluded,—,—,5,逻辑与思维,—,—,yes,选必三
2025朝阳二模,Q18,excluded,—,—,6,经济与社会,—,必修二,yes,社会保障
2025朝阳二模,Q19,excluded,—,—,9,政治与法治,—,—,yes,法治社会
2025朝阳二模,Q20,excluded,—,—,10,法律与生活,—,—,yes,民法案例
2025朝阳二模,Q21,in_scope,P0,SRC_436f84dc1edf(明确评分细则),8,推动构建人类命运共同体;共同利益是国家合作的基础;坚持独立自主的和平外交政策;促进区域贸易和投资自由化便利化;维护地区和平与稳定/推动构建周边国家命运共同体;以合作共赢为核心的新型国际关系;推动国际关系民主化;实现真正的多边主义;推动全球治理变革;推动经济全球化朝着更加开放包容普惠平衡共赢方向发展,中国;理论;政治多极化;经济全球化,—,yes,开创周边工作新局面
2025朝阳一模,Q16,excluded,—,SRC_c3d1aea637c9(空),8,哲学与文化(纸质确认),—,—,yes,试卷可见
2025朝阳一模,Q17,excluded,P0,SRC_341c036102eb,5,逻辑与思维,—,—,yes,具身智能阐释论证
2025朝阳一模,Q18,excluded,P0,SRC_e70708293da1,8,政治与法治/社区治理,—,—,yes,社区治理
2025朝阳一模,Q19,excluded,P0,SRC_07886c57967f,8,法律与生活/合同,—,—,yes,合同欺诈
2025朝阳一模,Q20,missing_scoring_source,—,SRC_c3d1aea637c9(空),9,产业链供应链/全球化(纸质提示),经济全球化(待确认),细则.pdf空白需视觉核读,yes,试卷有选必一提示词但无评分来源
2025朝阳一模,Q21,missing_scoring_source,—,SRC_c3d1aea637c9(空),10,未确认,—,细则.pdf空白需视觉核读,yes,无法确认是否含选必一
2025朝阳期末,Q16,excluded,—,—,8,哲学与文化,—,—,yes,文化交流
2025朝阳期末,Q17,excluded,—,—,8,政治与法治,—,—,yes,全过程民主
2025朝阳期末,Q18,excluded,—,—,6,经济与社会,—,必修二,yes,消费
2025朝阳期末,Q19,excluded,—,—,7,逻辑与思维,—,—,yes,排中律/矛盾律
2025朝阳期末,Q20,excluded,—,—,10,法律与生活,—,—,yes,侵权案例
2025朝阳期末,Q21,in_scope,P2,其他材料/朝阳高三期末2025.pptx(含明确评分分布),8,推动构建人类命运共同体;独立自主和平外交政策;和平共处五项原则;维护主权安全发展利益;三大全球倡议;平等有序世界多极化;以合作共赢为核心新型国际关系;共商共建共享;反对霸权主义强权政治;推动国际关系民主化;维护以联合国为核心国际体系;推动经济全球化朝开放包容普惠平衡共赢方向发展;正确义利观,中国;政治多极化;联合国;经济全球化,推进高水平对外开放=必修二边界;服务构建新发展格局=必修三边界;文化自信讲好中国故事=选必三边界;细则.pdf空白升级为P2,yes,中国特色大国外交8分
2026朝阳期末,全部,missing_scoring_source,—,SRC_e80d35a6d904(细则空)+SRC_0056d930a7a9(试卷空),—,未确认,—,细则.pdf和试卷.pdf均无法文字提取需视觉渲染,yes,完全无法分类
