label,qid,parent,child,thinking_type,small_method,material_action,trigger_logic,answer_sentence,prompt,prompt_status,evidence_level,source_packet,cov_question_id,cov_year,cov_district,cov_stage,cov_suite_name,cov_question_no,cov_book_part,cov_question_type,cov_evidence_level,cov_source_packet,cov_status,cov_decision_reason,audit_status,reason,entry_id,question_id,status,rubric_source
2026顺义一模 Q19(2),Q0001,科学思维,客观性、预见性、可检验性,科学思维（主采；超前只作交叉提醒）,客观性/预见性/可检验性,社区和养老院蹲点观察老人真实需求；跟踪老龄化和具身机器人应用趋势；多轮测试迭代,先抓研发链条的三个动作：蹲点观察老人真实生活，不是从概念想象产品，触发科学思维追求认识客观性；老龄化加速、护理人员短缺和居家养老需求增长，要求企业由现在推知未来应用场景，触发结果预见性；多轮应用测试、打磨迭代和老人真实反馈说明结论要能经实践检验，触发可检验性。本题设问锁定科学思维特征，超前思维只能作为预见性背后的辅助理解，不能夺走主线。,该企业从社区、养老院等真实场景出发，把老人居家生活中的实际需要作为研发依据，体现科学思维追求认识客观性；它根据老龄化和护理需求变化预判养老服务应用空间，体现结果预见性；又通过多轮测试、打磨和迭代不断修正方案，使研发成果经受实践检验，体现可检验性。,运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的,locked_prompt_exact_question,A-formal,02_codex_lane/HARD_SAMPLE_SOURCE_PACKETS.md#q0001-2026顺义一模-q192,Q0001,2026,顺义,一模,2026顺义一模,19(2),thinking,main_question,A-formal,02_codex_lane/HARD_SAMPLE_SOURCE_PACKETS.md#q0001-2026顺义一模-q192,source_locked,正式细则锁定科学思维客观性/预见性/可检验性三层,included_thinking_main,locked_prompt_exact_question,,,,
2025海淀二模 Q20,Q0002,辩证思维,分析与综合、整体性与系统观念,辩证思维,分析与综合/整体性/动态性/质量互变/辩证否定,共享发展理念要求全民共享、全面共享、共建共享和渐进共享：既要统筹共享主体、建设领域、合法权益和人人参与，又要看到共同富裕从低级到高级、从不均衡到均衡的渐进过程，还要继承发展传统文化中重视均衡互济的思想。,看到“全民、全面、共建共享”，不能只写共同富裕价值判断，而要把主体、领域、权利和参与机制作为相互联系的系统来处理，触发分析与综合、系统优化和整体性；看到“渐进共享”“从低级到高级、从不均衡到均衡”，说明共同富裕不是一次性完成，触发动态性和质量互变；看到对传统均衡互济思想的吸收和新时代发展，触发辩证否定；看到高水平共享后仍存在差别，还要用矛盾分析法把公平与差异统一起来。,坚持共享发展理念推进共同富裕，要把全民共享、全面共享、共建共享作为相互联系的整体来把握，统筹共享主体、建设领域、合法权益和人人参与；要坚持动态性和质量互变观点，看到共同富裕是从低级到高级、从不均衡到均衡的渐进过程；还要坚持辩证否定，继承传统文化中重视均衡互济的合理因素，并结合新时代现实问题加以发展。,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕,locked_prompt_exact_question,A-formal,02_codex_lane/HARD_SAMPLE_SOURCE_PACKETS.md#q0002-2025海淀二模-q20,Q0002,2025,海淀,二模,2025海淀二模,20,thinking,main_question,A-formal,02_codex_lane/HARD_SAMPLE_SOURCE_PACKETS.md#q0002-2025海淀二模-q20,source_locked,正式细则锁定辩证思维复合角度，讲评与评标实录补充确认,included_thinking_main,locked_prompt_exact_question,,,,
2026朝阳期中(2025-11) Q21(2),Q0003,创新思维,超前思维,创新思维,超前/联想/逆向/发散聚合/三新,从人文底蕴和消费趋势预判城市转型；联结冰雪资源、音乐和文化叙事；把冷资源转成热经济；多角度挖掘后聚焦融合街区,材料不是单纯讲文旅宣传，而是把城市转型拆成四个创新动作：先调查本地人文底蕴并预测消费趋势，触发超前思维的调查研究和前瞻判断；再把冰雪资源、音乐、街区空间和文化叙事跨界联结，触发联想思维；把冷资源看成热经济入口，是对资源功能作反向转换，触发逆向思维；多角度挖掘后聚焦融合模式街区，触发发散与聚合。若只写“思路新、方法新、结果新”，只能覆盖总特征，不能解释满分所需的具体方法链。,该市先通过调查研究和趋势预测转变城市发展理念，体现超前思维；又把冰雪资源、音乐文化和街区场景联结起来，体现联想思维；把“冷资源”转换为“热经济”，体现逆向思维；最后在多方向挖掘文旅潜力的基础上聚焦融合街区和复合业态，体现发散思维与聚合思维协同。,运用《逻辑与思维》知识，说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的,locked_prompt_exact_question,A-formal,02_codex_lane/HARD_SAMPLE_SOURCE_PACKETS.md#q0003-2026朝阳期中-q212,Q0003,2026,朝阳,期中,2026朝阳期中(2025-11),21(2),thinking,main_question,A-formal,02_codex_lane/HARD_SAMPLE_SOURCE_PACKETS.md#q0003-2026朝阳期中-q212,source_locked,细则锁定超前/联想/逆向/发散聚合/三新,included_thinking_main,locked_prompt_exact_question,,,,
2024海淀二模 Q17(1),Q0011,科学思维,科学总帽下的复合触发,科学思维总帽下三模块复合,科学思维客观性/创新思维三新与发散聚合或超前/辩证思维整体性与分析综合,全面真实准确了解居民时间利用情况；调查思路新、方法新、范围对象内容更丰富并创造性解决问题；调查分阶段实施且每阶段任务明确,设问表面问“如何体现科学思维”，但材料和给分口径把它拆成三层：全面、真实、准确了解居民时间利用情况，触发科学思维客观性或预见性；首次拓宽调查范围、扩展对象、电子化采集、细化活动分类，说明思路和方法更新，触发创新思维三新，也可落到发散聚合或超前；准备、实施、开发应用各阶段任务明确，说明调查作为一个系统工程被整体安排，触发辩证思维整体性、分析与综合。答题时必须把“科学思维总帽”下面的创新与辩证支点写出来。,此次调查为了全面、真实、准确了解居民时间利用情况，体现科学思维追求认识客观性和结果预见性；调查范围、对象、方式和内容比以往更新，体现创新思维；调查工作按准备、实施、开发应用等阶段整体推进，体现辩证思维的整体性以及分析与综合方法。,（1）结合材料，说明此次时间利用调查是如何体现科学思维的。（7分）,paper_line,A-formal,02_codex_lane/FAMILY_SOURCE_PACKETS_Q0006_Q0012.md#q0011-2024海淀二模-q171,Q0011,2024,海淀,二模,2024海淀二模,17(1),thinking,main_question,A-formal,02_codex_lane/FAMILY_SOURCE_PACKETS_Q0006_Q0012.md#q0011-2024海淀二模-q171,source_locked,科学思维总帽下三模块复合：科学2分+创新3分+辩证2分,included_thinking_main,paper_line,,,,
2026朝阳期中(2025-11) Q20,Q0014,辩证思维,分析与综合、整体性与系统观念,辩证思维,矛盾分析法/分析与综合/质量互变/动态性,面对机遇与挑战并存的新征程；拆分新机遇与风险因素再整体谋划；持续投入科研和循序渐进化解冲击；顺应科技革命和国际环境变化,材料把“机遇”放在新征程背景中，不是让学生单向乐观，而是要求同时看见机遇与挑战的对立统一，触发矛盾分析法；把科技革命、产业基础、外部压力、内部短板等因素拆开判断，再综合成国家战略安排，触发分析与综合；科研投入、制度建设和产业升级要长期积累，触发质量互变；国内外环境变化要求随过程调整策略，触发动态性。若只写“抓住机遇”，就没有把挑战转化为发展条件。,面对机遇，要坚持矛盾分析法，既看到有利条件，也看到风险挑战；要运用分析与综合，把科技、产业、制度和国际环境等因素分别判断后整体谋划；要坚持质量互变和动态性，通过持续投入、循序渐进和因势而变，把机遇转化为发展优势，把挑战转化为成长动力。,结合材料，运用辩证思维方法，谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的 “机遇”,paper_line,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0013_Q0017.md#q0014-2026朝阳期中-q20,Q0014,2026,朝阳,期中,2026朝阳期中(2025-11),20,thinking,main_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0013_Q0017.md#q0014-2026朝阳期中-q20,source_locked,辩证思维机遇挑战复合题,included_thinking_main,paper_line,,,,
2026朝阳一模 Q17(1)后半,Q0019,创新思维,联想、迁移和想象,联想思维,迁移/想象,把中国铁路博物馆元素转化为文创产品方案；围绕铁路文化、科技、历史进行形象化设想,跨领域移用触发迁移，围绕铁路元素构造新产品形态触发想象,设计中国铁路博物馆文创产品时，要运用迁移或想象，把铁路文化元素转化为具体、可展示、可使用的产品方案。,运用联想思维的具体方法提出一份“中国铁路博物馆文创产品”的设计方案。,rubric_locked_prompt,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0019-2026朝阳一模-q171-后半,Q0019,2026,朝阳,一模,2026朝阳一模,17(1)后半,thinking,main_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0019-2026朝阳一模-q171-后半,source_locked,联想思维迁移或想象设计文创方案,included_thinking_main,rubric_locked_prompt,,,,
2026海淀期末 Q20(2),Q0021,创新思维,超前思维,超前思维,调查研究/矛盾分析/推理和想象,调查居民阅读和服务需求；分析建设运营成本与需求之间的矛盾；结合人口结构变化规划未来功能,需求摸底触发调查研究，在超前思维帽下预判成本与需求的潜在张力触发矛盾分析，未来功能规划触发推理和想象,城市书房建设要运用超前思维，通过调查研究把握需求，运用超前思维的矛盾分析方法预判并平衡运营条件与居民需求，并通过推理和想象作出前瞻性功能规划。,结合城市书房建设与运营的问题，运用超前思维的方法提出具体建议。,rubric_prompt_reconstructed,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0021-2026海淀期末-q202,Q0021,2026,海淀,期末,2026海淀期末,20(2),thinking,main_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0021-2026海淀期末-q202,source_locked,超前思维调查研究/矛盾分析/推理和想象,included_thinking_main,rubric_prompt_reconstructed,,,,
2026海淀一模 Q17(2),Q0023,科学思维,科学总帽下的复合触发,调研改进综合思维,科学思维/逻辑思维规则/辩证思维/创新思维,从实际问题和真实需求设计调研；检查不完全归纳可靠性和选项完整性；综合多种调研方法；发散收集意见后聚焦核心问题,客观事实触发科学思维，归纳可靠性和分类完整性触发逻辑规则，多方法综合触发辩证思维，广泛收集再聚焦触发创新思维,可从科学思维角度写：调研应从真实问题和需求出发设计选项，并通过实地测量、数据比对检验结论可靠性；也可从逻辑规则角度写：提高不完全归纳推理可靠程度，要扩大样本、完善选项并寻找因果联系。,结合调研活动，运用《逻辑与思维》知识提出两条具体可行的改进建议。,rubric_prompt_reconstructed,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0023-2026海淀一模-q172,Q0023,2026,海淀,一模,2026海淀一模,17(2),thinking,main_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0018_Q0026.md#q0023-2026海淀一模-q172,source_locked,调研改进题：科学/逻辑/辩证/创新思维任选两个,included_thinking_main,rubric_prompt_reconstructed,,,,
,,,,思维抽象与思维具体,感性具体/思维抽象/思维具体,大运河材料从具体形态出发，抽出河/合/和理念，再回到文化之河、生态之河、发展之河、民生之河的整体诠释,具体经验对象触发感性具体，抽出核心理念触发思维抽象，把理念放回多层规定整体触发思维具体,大运河理念诠释体现从感性具体到思维抽象，再由思维抽象上升到思维具体的发展过程。,,,A-formal,,Q0004,2026,通州,期末,2026通州期末,11,choice_trap,choice_question,A-formal,02_codex_lane/HARD_SAMPLE_SOURCE_PACKETS.md#q0004-2026通州期末-q11,source_locked,教师版题干与官方答案键锁定思维抽象到思维具体选择题陷阱,excluded_from_thinking_body,not_thinking_main_question,MT0009,Q0004,source_locked,gpt_sources/7f3083ea306ea1e9_2026北京通州高三_上_期末政治_教师版.md:125-131; answer_key:273-276
,,,,治理事实边界,系统化/数字化治理模式与创新思维边界,医保与商保打通数据壁垒，形成一站式清分结算路径,系统化整合资源触发治理事实判断；缺少发散、逆向、联想、超前等创新思维动作,材料没有明确创新思维动作，正确判断应落在整合医保与商保资源、形成一站式清分结算新机制。,,,A-formal,,Q0017,2026,通州,期末,2026通州期末,9,choice_trap,choice_question,A-formal,02_codex_lane/B_ADDITIONS_BACKCHECK_Q0013_Q0017.md#q0017-2026通州期末-q9,source_locked,数字化治理事实与创新思维/发散思维误挂边界,excluded_from_thinking_body,not_thinking_main_question,MT0010,Q0017,source_locked,gpt_sources/7f3083ea306ea1e9_2026北京通州高三_上_期末政治_教师版.md:111-117; answer_key:273-276
