container_id,source_decision_id,status,question_ids,rubric_atom_ids,material_atom_ids,reason,core_codebook_use
OPEN_CONTAINER_PLATFORM_LABOR_SUBORDINATION,DEC_006,open_container_only,CC0025_2024_朝阳_二模_17,R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12,M_CC0025_2024_朝阳_二模_17_02|M_CC0025_2024_朝阳_二模_17_03|M_CC0025_2024_朝阳_二模_17_04|M_CC0025_2024_朝阳_二模_17_05,保留开放容器,no
OPEN_CONTAINER_MINOR_TRANSACTION_FAULT_ALLOCATION,DEC_007,open_container_only,CC0200_2025_西城_二模_18,R_CC0200_2025_西城_二模_18_01,M_CC0200_2025_西城_二模_18_01|M_CC0200_2025_西城_二模_18_02|M_CC0200_2025_西城_二模_18_03|M_CC0200_2025_西城_二模_18_04,保留开放容器,no
NA,DEC_008,reject_core,CC0276_2026_房山_二模_17,R_CC0276_2026_房山_二模_17_01,M_CC0276_2026_房山_二模_17_01|M_CC0276_2026_房山_二模_17_02|M_CC0276_2026_房山_二模_17_03|M_CC0276_2026_房山_二模_17_04,拒绝,no
OPEN_CONTAINER_AFTER_PATCH_ONLY,DEC_009,open_container_only,CC0254_2026_丰台_二模_18|RECOVER_2026_房山_一模_17_1,PATCH_CC0254_R01|PATCH_CC0254_R02|PATCH_CC0254_R03|PATCH_CC0254_R04|PATCH_CC0254_R05|PATCH_CC0254_R06|PATCH_CC0254_R07|PATCH_CC0254_R08|PATCH_RECOVER_FS17_1_R01|PATCH_RECOVER_FS17_1_R02A|PATCH_RECOVER_FS17_1_R02B|PATCH_RECOVER_FS17_1_R02C,M_CC0254_2026_丰台_二模_18_02|M_CC0254_2026_丰台_二模_18_06|M_CC0254_2026_丰台_二模_18_09|M_CC0254_2026_丰台_二模_18_10|M_CC0254_2026_丰台_二模_18_11|RECOVER_2026_房山_一模_17_1_M01|RECOVER_2026_房山_一模_17_1_M02,先拆后开放，不能升核心,no
NA,DEC_010,reject_core,CC0040_2024_海淀_一模_19|CC0162_2025_海淀_一模_18|CC0311_2026_海淀_二模_18_2|CC0353_2026_西城_期末_17,R_CC0040_2024_海淀_一模_19_01|R_CC0162_2025_海淀_一模_18_M17_01|R_CC0311_2026_海淀_二模_18_2_01|R_CC0353_2026_西城_期末_17_01,M_CC0040_2024_海淀_一模_19_01|M_CC0162_2025_海淀_一模_18_01|M_CC0311_2026_海淀_二模_18_2_01|M_CC0353_2026_西城_期末_17_01,硬规则禁止reference_only支撑核心code,no
SUPPLEMENT_TO_CODE_COWORK_002_OR_OPEN_ECOLOGY_CONTAINER,DEC_011,open_container_only,CC0011_2024_丰台_二模_17,PATCH_CC0011_R01|PATCH_CC0011_R02|PATCH_CC0011_R03|PATCH_CC0011_R04,M_CC0011_2024_丰台_二模_17_01|M_CC0011_2024_丰台_二模_17_02|M_CC0011_2024_丰台_二模_17_03|M_CC0011_2024_丰台_二模_17_04|M_CC0011_2024_丰台_二模_17_05|M_CC0011_2024_丰台_二模_17_06,可作002修订补充或生态开放容器,no
OPEN_CONTAINER_FAMILY_DUTY_VALUE_AFTER_SPLIT,DEC_013,open_container_only,CC0061_2024_西城_一模_18,PATCH_CC0061_18_1_R01|PATCH_CC0061_18_2_R01|PATCH_CC0061_18_3_R01|PATCH_CC0061_18_3_R02|PATCH_CC0061_18_3_R03|PATCH_CC0061_18_3_R04,M_CC0061_2024_西城_一模_18_01|M_CC0061_2024_西城_一模_18_02|M_CC0061_2024_西城_一模_18_04|M_CC0061_2024_西城_一模_18_05|M_CC0061_2024_西城_一模_18_07|M_CC0061_2024_西城_一模_18_08|M_CC0061_2024_西城_一模_18_09,需split后使用，18(3)最多弱支持家庭义务开放分支,no
OPEN_CONTAINER_LAW_MORAL_MEDIATION_ANIMAL_TORT,DEC_014,open_container_only,CC0254_2026_丰台_二模_18,PATCH_CC0254_R01|PATCH_CC0254_R02|PATCH_CC0254_R03|PATCH_CC0254_R04|PATCH_CC0254_R05|PATCH_CC0254_R06|PATCH_CC0254_R07|PATCH_CC0254_R08,M_CC0254_2026_丰台_二模_18_02|M_CC0254_2026_丰台_二模_18_05|M_CC0254_2026_丰台_二模_18_06|M_CC0254_2026_丰台_二模_18_08|M_CC0254_2026_丰台_二模_18_09|M_CC0254_2026_丰台_二模_18_10|M_CC0254_2026_丰台_二模_18_11,开放容器保留,no
OPEN_CONTAINER_AI_CIVIL_RELATION_RESPONSIBILITY,DEC_015,open_container_only,RECOVER_2026_房山_一模_17_1,PATCH_RECOVER_FS17_1_R01|PATCH_RECOVER_FS17_1_R02A|PATCH_RECOVER_FS17_1_R02B|PATCH_RECOVER_FS17_1_R02C,RECOVER_2026_房山_一模_17_1_M01|RECOVER_2026_房山_一模_17_1_M02,仅作开放容器或004/006弱迁移提醒,no
OPEN_CONTAINER_MISC_SINGLETONS,DEC_016,open_container_only,CC0181_2025_海淀_期末_21|CC0195_2025_西城_一模_20|CC0318_2026_海淀_期末_18_2|CC0332_2026_石景山_二模_19|CC0340_2026_西城_一模_17|RECOVER_2024_东城_一模_19|RECOVER_2024_东城_二模_19_2|RECOVER_2025_丰台_二模_19_2,R_CC0181_2025_海淀_期末_21_M17_01|R_CC0195_2025_西城_一模_20_01|R_CC0318_2026_海淀_期末_18_2_01|R_CC0332_2026_石景山_二模_19_01|R_CC0340_2026_西城_一模_17_01|RECOVER_2024_东城_一模_19_R01|RECOVER_2024_东城_二模_19_2_R01|RECOVER_2025_丰台_二模_19_2_R01,M_CC0181_2025_海淀_期末_21_01|M_CC0195_2025_西城_一模_20_01|M_CC0318_2026_海淀_期末_18_2_01|M_CC0332_2026_石景山_二模_19_01|M_CC0340_2026_西城_一模_17_01|RECOVER_2024_东城_一模_19_M01|RECOVER_2024_东城_二模_19_2_M01|RECOVER_2025_丰台_二模_19_2_M01,同意Cowork不能进核心的总体判断,no
