patch_id,target_file,target_id,question_id,patch_type,current_value,suggested_value,reason,evidence_level_impact,source_locator,must_fix_before_reasoner
RP_0001,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0011_2024_丰台_二模_17_01,CC0011_2024_丰台_二模_17,split,1 atom; len=481 sents=11,"按""一句一拆""拆分为多个 rubric atom，每句对应一个细则要点","单 atom 多句聚合，违反""一句一拆""原则",no_level_change_if_split_atomically,F0047:text | F0270:text,yes
RP_0002,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0019_2024_朝阳_一模_19_01,CC0019_2024_朝阳_一模_19,split,1 atom; len=238 sents=5,"按""一句一拆""拆分为多个 rubric atom，每句对应一个细则要点","单 atom 多句聚合，违反""一句一拆""原则",no_level_change_if_split_atomically,F0014:text | F0239:text,yes
RP_0003,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0040_2024_海淀_一模_19_01,CC0040_2024_海淀_一模_19,split,1 atom; len=155 sents=4,"按""一句一拆""拆分为多个 rubric atom，每句对应一个细则要点","单 atom 多句聚合，违反""一句一拆""原则",no_level_change_if_split_atomically,F0025:text | F0026:page 7 | F0249:text | F0251:page 7,yes
RP_0004,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0045_2024_海淀_二模_19_01,CC0045_2024_海淀_二模_19,split,1 atom; len=193 sents=3,"按""一句一拆""拆分为多个 rubric atom，每句对应一个细则要点","单 atom 多句聚合，违反""一句一拆""原则",no_level_change_if_split_atomically,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7,yes
RP_0005,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0063_2024_西城_二模_16_01,CC0063_2024_西城_二模_16,split,1 atom; len=545 sents=5,"按""一句一拆""拆分为多个 rubric atom，每句对应一个细则要点","单 atom 多句聚合，违反""一句一拆""原则",no_level_change_if_split_atomically,F0064:text | F0065:text | F0067:text | F0286:text | F0287:text | F0288:text,yes
RP_0006,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0103_2025_丰台_一模_19_01,CC0103_2025_丰台_一模_19,split,1 atom; len=467 sents=8,"按""一句一拆""拆分为多个 rubric atom，每句对应一个细则要点","单 atom 多句聚合，违反""一句一拆""原则",no_level_change_if_split_atomically,F0075:text | F0076:page 10 | F0076:page 7 | F0294:text,yes
RP_0007,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0195_2025_西城_一模_20_01,CC0195_2025_西城_一模_20,split,1 atom; len=410 sents=3,"按""一句一拆""拆分为多个 rubric atom，每句对应一个细则要点","单 atom 多句聚合，违反""一句一拆""原则",no_level_change_if_split_atomically,F0093:text | F0094:page 10 | F0094:page 7 | F0311:text,yes
RP_0008,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0200_2025_西城_二模_18_01,CC0200_2025_西城_二模_18,split,1 atom; len=552 sents=13,"按""一句一拆""拆分为多个 rubric atom，每句对应一个细则要点","单 atom 多句聚合，违反""一句一拆""原则",no_level_change_if_split_atomically,F0124:text | F0125:page 6 | F0125:page 9 | F0337:text,yes
RP_0009,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0317_2026_海淀_期末_18_01,CC0317_2026_海淀_期末_18,split,1 atom; len=174 sents=4,"按""一句一拆""拆分为多个 rubric atom，每句对应一个细则要点","单 atom 多句聚合，违反""一句一拆""原则",no_level_change_if_split_atomically,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2,yes
RP_0010,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0319_2026_海淀_期末_19_01,CC0319_2026_海淀_期末_19,split,1 atom; len=261 sents=3,"按""一句一拆""拆分为多个 rubric atom，每句对应一个细则要点","单 atom 多句聚合，违反""一句一拆""原则",no_level_change_if_split_atomically,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3,yes
RP_0011,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0332_2026_石景山_二模_19_01,CC0332_2026_石景山_二模_19,split,1 atom; len=309 sents=4,"按""一句一拆""拆分为多个 rubric atom，每句对应一个细则要点","单 atom 多句聚合，违反""一句一拆""原则",no_level_change_if_split_atomically,F0198:text | F0199:text,yes
RP_0012,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0061_2024_西城_一模_18_01,CC0061_2024_西城_一模_18,split,len=236 sents=5,拆分为更小 rubric atoms；每个仅承载一句细则点,rubric atom 仍然过粗（>200 chars 多句），不利于细则↔材料映射,no_level_change,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text,no
RP_0013,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0061_2024_西城_一模_18_03,CC0061_2024_西城_一模_18,split,len=469 sents=7,拆分为更小 rubric atoms；每个仅承载一句细则点,rubric atom 仍然过粗（>200 chars 多句），不利于细则↔材料映射,no_level_change,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text,no
RP_0014,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0077_2025_东城_一模_19_12,CC0077_2025_东城_一模_19,split,len=405 sents=6,拆分为更小 rubric atoms；每个仅承载一句细则点,rubric atom 仍然过粗（>200 chars 多句），不利于细则↔材料映射,no_level_change,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4,no
RP_0015,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0084_2025_东城_二模_19_11,CC0084_2025_东城_二模_19,split,len=318 sents=6,拆分为更小 rubric atoms；每个仅承载一句细则点,rubric atom 仍然过粗（>200 chars 多句），不利于细则↔材料映射,no_level_change,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3,no
RP_0016,merged_rubric_atoms_subjective_for_reasoners_claudecode_corrected.csv,R_CC0131_2025_房山_一模_19_10,CC0131_2025_房山_一模_19,split,len=283 sents=2,拆分为更小 rubric atoms；每个仅承载一句细则点,rubric atom 仍然过粗（>200 chars 多句），不利于细则↔材料映射,no_level_change,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3,no
