条目#,思维方法（章节）,题目（年份·区县·题号）,设问/题号/分值,分类·同题组·角度,阐释质量,优先级,处理状态,处理说明
1,科学思维>追求认识的客观性,1. 2026顺义一模 第19题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
2,科学思维>追求认识的客观性,2. 2026顺义二模 第18题第（1）问（主观题）,⚠️ 设问漏标分值“（6分）”。,⚠️ 本题(顺义二模18(1))“结论一”属形式逻辑(矛盾律/思维一致性)，本条只收科学思维客观性，宜注明结论一另属逻辑规则线。,好,中,patched,补明结论一归形式逻辑线，本条只收结论二客观性。
3,科学思维>追求认识的客观性,3. 2025丰台一模 第18题第（1）问（主观题）,✅ 一致,✅ 合理,中　落点“建立在现实依据之上”未说明材料提供了哪些现实依据，轻微空泛。,中,patched,把现实依据具体化为技术阶段、教育实践、基础理论和应用目标。
4,科学思维>追求认识的客观性,4. 2024海淀二模 第17题第（1）问（主观题）,❌ 分值错误：【设问说明】写“原题9分”，经核原题为7分（第17题整题11分=(1)7分+(2)4分）。须改为7分。,✅ 合理,好,高,already_ok,底稿设问已写7分，未检出审核表所说9分残留。
5,科学思维>追求认识的客观性,5. 2026海淀一模 第17题第（2）问（主观题）,⚠️ 题号“第（2）问”与原卷不符：2026海淀一模第17题“指出逻辑错误+提建议”为一体设问，原卷无“第(2)问”；建议统一标注为“第17题(建议部分)”。,✅ 合理,好,低,kept,审核表未要求必须修改或当前底稿可保留。
6,科学思维>追求认识的客观性,6. 2025石景山一模 第19题（主观题）,✅ 一致,⚠️ 同题采分合并：2025石景山一模19题细则将“客观性+可检验性”合为同一个2分采分点，本条(#6客观性)与#21(可检验性)分列两条，宜加注“同题二者合计2分，非各得2分”。,中　落点方向散乱，客观性与可检验性混写，学生方向不明。,中,patched,拆清客观性与可检验性的关系，补同题采分合并提醒。
7,科学思维>追求认识的客观性,7. 2024丰台一模 第19题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
8,科学思维>追求认识的客观性,8. 2025门头沟一模 第21题第（1）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
9,科学思维>追求认识的客观性,9. 2025西城一模 第17题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
10,科学思维>追求认识的客观性,10. 2026西城二模 第18题第（4）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
11,科学思维>追求认识的客观性,11. 2026海淀二模 第18题第（1）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
12,科学思维>追求认识的客观性,12. 2026丰台期末 第20题（主观题）,✅ 一致,✅ 合理,中　仅以材料标签词替换通用表述，信息密度偏低。,中,patched,补足种源、生存策略、地区条件等材料信息。
13,科学思维>追求认识的客观性,13. 2024各区一模分类汇编·模拟政协题（参考答案讲评复练题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
14,科学思维>追求认识的客观性,14. 2025海淀期末 第17题第（1）问（主观题）,⚠️ 设问未标分值；该卷细则缺失，采分结构未能核验。,✅ 合理,好,低,kept,审核表未要求必须修改或当前底稿可保留。
15,科学思维>结果具有预见性,1. 2026顺义一模 第19题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
16,科学思维>结果具有预见性,2. 2025丰台一模 第18题第（1）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
17,科学思维>结果具有预见性,3. 2025门头沟一模 第21题第（1）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
18,科学思维>结果具有预见性,4. 2024丰台二模 第18题第（2）问（主观题）,✅ 一致,⚠️ 与#102高度重复：2024丰台二模18(2)同一采分点，#18(预见性)与#102(超前思维)材料触发点/答案落点几乎雷同，建议合并或互注“同一采分点的两种表述”。,好,中,patched,补与#102同题同采分点提醒。
19,科学思维>结果具有可检验性,1. 2026顺义一模 第19题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
20,科学思维>结果具有可检验性,2. 2025丰台一模 第18题第（1）问（主观题）,✅ 一致,✅ 合理,差　可检验性层为空泛套话、与材料脱节，可原样套到任何政策题。,高,patched,重写可检验性，落到三步走、技术突破、AI教育和产业落地。
21,科学思维>结果具有可检验性,3. 2025石景山一模 第19题（主观题）,✅ 一致,⚠️ 同题采分合并：与#6(客观性)在细则中合为同一2分点，宜加注。,好,中,patched,补与#6同题采分合并提醒。
22,科学思维>结果具有可检验性,4. 2026海淀二模 第18题第（1）问（主观题）,✅ 一致,⚠️ 延伸条目宜标注：2026海淀二模18(1)“可检验性”非细则得分点，属延伸训练，建议明确标“延伸/非细则必答”。,好,中,already_ok,底稿已有“细则边界”，明确可检验性为延伸训练。
23,科学思维>结果具有可检验性,5. 2026海淀一模 第17题第（2）问（主观题）,⚠️ 题号“第（2）问”同#5问题（海淀一模建议部分）。,✅ 合理,中　推理停在“有距离→需检验”，与#43触发信号重叠，方法边界未分。,中,patched,统一海淀一模17题题名，避免把建议部分误标成普通第(2)问。
24,辩证思维>整体性,1. 2025海淀二模 第20题（主观题）,✅ 一致,⚠️ 同题组缺说明：2025海淀二模20题细则为3组(1+1+1)结构；本条(整体性)与#37(分析综合)同属第1组、择一得分；缺“本条只训练单一角度、勿当满分答案”提示。,好,中,patched,补海淀二模20同题组择一采分提醒。
25,辩证思维>整体性,2. 2025东城一模 第18题第（1）问（主观题）,⚠️ 设问漏标分值“（4分）”。,⚠️ 答案落点未覆盖细则第二层(抓主要矛盾/两点论重点论，约2分)。,好,中,patched,补主要矛盾/两点论重点论层。
26,辩证思维>整体性,3. 2026东城一模 第19题第（4）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
27,辩证思维>整体性,4. 2026房山一模 第18题第（1）问（主观题）,✅ 一致,⚠️ 同题漏角度：2026房山一模18(1)6分含整体性/矛盾分析法/动态性三路径(各2分)，本条仅收整体性，漏4分两路径。,好,中,patched,补同题另有矛盾分析法和动态性路径提醒，并在对应章节新增角度。
28,辩证思维>整体性,5. 2026门头沟一模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
29,辩证思维>整体性,6. 2025西城一模 第17题（主观题）,✅ 一致,✅ 合理,中　先给结论再补材料依据，推理顺序倒置(倒推)。,中,patched,调整为先材料依据、后方法结论。
30,辩证思维>整体性,7. 2026西城二模 第18题第（4）问（主观题）,✅ 一致,⚠️ 方法名实不符：标“整体性”，但答案落点用的是矛盾“两分法/全面”语言(“既看作用也警惕风险”)，与整体性(多要素相互联系成整体)实质不符；细则用语为“全面、发展的观点”。,差　落点是矛盾两分法套路，与所标“整体性”方法不符。,高,patched,从整体性移到矛盾分析法，删去名实不符的整体性表述。
31,辩证思维>整体性,8. 2026通州一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,中　仅凭“列了多个要素”就跳到整体性，缺“相互依存”论证，收束语套话。,中,patched,补充相互依存论证。
32,辩证思维>整体性,9. 2026丰台期末 第20题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
33,辩证思维>动态性,1. 2025海淀二模 第20题（主观题）,✅ 一致,⚠️ 同题组缺说明：与#55(量变质变)同属细则第2组、择一得分。,好,中,patched,补海淀二模20同题组择一采分提醒。
34,辩证思维>动态性,2. 2024朝阳二模 第19题第（1）问（主观题）,✅ 一致,⚠️ 白话提示张冠李戴：本条(动态性)“白话提示”写“山一程、水一程…思乡”，与本题(生生之宇宙观)无关，疑误植他题提示，建议更正。,好,中,patched,纠正白话提示张冠李戴。
35,辩证思维>动态性,3. 2026通州一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,中　方法混淆，“不能静止肯定否定”滑向两分法表达。,中,patched,动态性表达从两分法改为发展过程。
36,辩证思维>动态性,4. 2026西城期末 第21题（综合题讲评复练题）,✅ 一致,⚠️ 复练题宜区隔：2026西城期末21细则无“动态性”明文(已自注复练题)，建议与正式考点条目明确区分，防被当正式考点。,好,中,patched,强化复练题与正式考点区隔。
37,辩证思维>分析与综合,1. 2025海淀二模 第20题（主观题）,✅ 一致,⚠️ 同题组缺说明：与#24(整体性)同属细则第1组、择一得分。,好,中,patched,补海淀二模20同题组择一采分提醒。
38,辩证思维>分析与综合,2. 2024石景山一模 第19题第（3）问（主观题）,✅ 一致,⚠️ 同题漏角度：2024石景山一模19(3)“任选一种辩证思维方法”，本条仅收分析与综合，漏“辩证否定观”(亦为合法答案)。,好,中,patched,补辩证否定合法答案提示，并新增辩证否定条目。
39,辩证思维>分析与综合,3. 2024海淀一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,中　“分析”信号过于概括，未交代三地各自特质，分析流于形式。,中,already_ok,底稿已写出京津冀三地功能特质和综合协同，未再改动。
40,辩证思维>分析与综合,4. 2025丰台二模 第19题第（1）问（主观题）,✅ 一致,❌ 分类错误：2025丰台二模19(1)核心考“充分条件假言判断”(形式逻辑)，细则无“分析与综合”；宜移入姊妹篇/逻辑规则线或改注。,好,高,removed,移出分析与综合正例；本题核心为充分条件假言判断，归推理/逻辑规则线。
41,辩证思维>分析与综合,5. 2026海淀二模 第18题第（1）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
42,辩证思维>分析与综合,6. 2026石景山二模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
43,辩证思维>分析与综合,7. 2026海淀一模 第17题第（2）问（主观题）,⚠️ 题号“第（2）问”同#5问题（海淀一模建议部分）。,✅ 合理,好,低,kept,审核表未要求必须修改或当前底稿可保留。
44,辩证思维>分析与综合,8. 2026通州一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,中　与#23/#31触发信号雷同，方法边界混乱。,中,patched,厘清通州AI题分析综合与整体性、可检验性的边界。
45,辩证思维>分析与综合,9. 2026丰台期末 第20题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
46,辩证思维>分析与综合,10. 2024各区一模分类汇编·模拟政协题（参考答案讲评复练题）,✅ 一致,✅ 合理,中　以“看参考答案第二层”作触发依据，属逻辑跳跃(教看答案而非看材料)。,中,patched,把触发依据从参考答案改为材料动作。
47,辩证思维>分析与综合,11. 2026石景山期末 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
48,辩证思维>矛盾分析法,1. 2026朝阳期中(2025-11) 第20题（主观题）,✅ 一致,⚠️ 分类偏窄：2026朝阳期中20题为辩证思维综合(矛盾分析+分析综合+量变质变+动态性)，仅标“矛盾分析法”，易致学生漏答其他角度。,好,中,patched,补同题多角度提醒并新增三条覆盖角度。
49,辩证思维>矛盾分析法,2. 2025延庆一模 第18题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
50,辩证思维>矛盾分析法,3. 2026延庆一模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
51,辩证思维>矛盾分析法,4. 2024丰台二模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
52,辩证思维>矛盾分析法,5. 2026通州一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,中　仅凭“有积极有挑战”识别矛盾分析法；落点为对偶万能套语。,中,patched,通州AI矛盾分析法材料化。
53,辩证思维>矛盾分析法,6. 2025丰台期末评标讲评 “界”复练题（讲评复练迁移题）,✅ 一致,✅ 合理,中　开放迁移题，落点“守底线中推动联系发展”高度通用。,中,patched,让开放复练题的落点更具体。
54,辩证思维>矛盾分析法,7. 2026丰台期末 第20题（主观题）,✅ 一致,✅ 合理,好,—,kept,审核表未要求必须修改或当前底稿可保留。
