suite_guess,question,likely_xuanbiyi,audit_status,final_location_by_suite_key,p0_or_v2_hit,v2_source_path_hit,v2_closure,matched_terms,book_named,has_scoring_context,choice_like_without_scoring,paper_source,rubric_source,paper_context,rubric_context
2024一模,Q19,yes,new_or_unmatched_candidate_needs_triage,absent,no,no,,当代国际政治与经济；国际政治与经济；经济全球化；国际竞争；全球治理；供应链；产业链,yes,no,no,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必1.docx,,自由化便利化；通过运用先进技术降低成本、提高效率，推动全球供应链高质量发展；通过畅通全球供应链产业链，增强经济全球化活力，推动各国合作共赢。 2.（石景山一模19（2）） 新能源汽车已成为全球汽车产业转型发展的主要方向，也是促进世界经济持续增长的重要引擎。2023 年，我国全年汽车整车出口 491 万辆，同比增长 57.9%，首次跃居全球第一。其中，新能源汽车出口 120.3 万辆，同比增长 77.6%。出海大势之下，中国新能源汽车不但“走了出去”，也在悄悄“扎下根来”。以某企业为例，在继泰国等多国设厂后，计划采用全球先进的工艺设备和高度自动化的生产流程，在匈牙利建设全球领先的新能源汽车整车制造基地。匈牙利是欧洲重要的交通枢纽，拥有雄厚的工业基础，为该企业在当地建设工厂提供了良好的契机。生产基地的建设将创造数千,
2024一模,Q20,yes,closed_by_v2_audit,absent,yes,no,CLOSED_MAIN_IN_CURRENT_SHA,经济全球化；人类命运共同体；开放型世界经济；贸易投资；两个市场；两种资源；供应链；产业链；高水平对外开放；制度型开放,no,no,no,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必1.docx,,进互利共赢，推动构建人类命运共同体；改善沿线国家人民的生产生活条件，增强了人民的幸福感；促进贸易和投资自由化、便利化，推动开放型世界经济发展。 4.（东城一模20.） (8分)加快构建新发展格局，是推动高质量发展的战略基点。 释放“内循环”活力 释放“内循环”活力 围绕节能降碳、超低排放、智能化升级等方向，推进重点行业设备更新改造，开展汽车、家电、家居等耐用消费品以旧换新；实施降低物流成本行动…… “外循环”跑出加速度 “外循环”跑出加速度 主动对照相关国际规则、规制、管理、标准，深化国内相关领域改革；全面取消制造业领域外资准入限制措施，放宽电信、医疗等服务业市场准入…… 结合材料，运用经济的相关知识，分析我国的上述措施如何通过构建新发展格局助力经济高质量发展。 参考答案：推进重点行业设备更新改造和耐用消费品以,
2024一模,Q21,yes,new_or_unmatched_candidate_needs_triage,absent,no,no,,经济全球化；供应链；产业链,no,no,no,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必1.docx,,，我国的创新指数位居全球第12位，已进入创新型国家行列。 中部、西部地区生产总值占全国的比重由2012年的21.3%、19.6%提高到了2022年的22.1%、21.4%。 2012至2022年，我国以年均3%的能源消费增速支撑了超过6%的经济增长。 我国已成为140多个国家和地区的主要贸易伙伴，进出口总额居世界第一。 2012至2023年，我国城乡居民人均可支配收入从1.65万元增至3.92万元。 资料卡三 资料卡三 资料卡四 资料卡四 地缘政治动荡，局部冲突频发，地区安全问题此起彼伏，全球性问题加剧。 个别国家泛化国家安全，把经贸科技交流政治化，筑起“小院高墙”。 发展鸿沟拉大，世界经济复苏艰难，经济增长动能不足，我国外部需求收缩。 经济全球化遇逆流，保护主义上升，全球产业链供应链出现本地化发展趋势。 地缘,
2024一模,Q22,yes,closed_by_v2_audit,absent,yes,no,CLOSED_EXCLUDED_BY_ADJUDICATION,经济全球化；全球治理；人类命运共同体；国际组织,no,no,no,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必1.docx,,年，美国、英国等发达经济体数字服务出口 3.14 万亿美元，占全球市场的 77.2%。中国、 印度等发展中经济体数字服务出口 9270 亿美元，在全球的占比为 22.8%，同比增长 14%。 读图，据此推断正确的是 ①2015 年、2020 年、2022 年全球可数字化服务出口规模有明显下降 ②随着数字技术创新步伐加快，数字贸易为全球经济增长注入新动能 ③数字鸿沟是经济全球化中的重要挑战，需要深化全球数字治理与合作 ④全球治理体系加速变革，各经济体在数字贸易规则方面达成全面共识 A．①② B．①④ C．②③ D．③④ 4.（石景山一模15）2023 年是“一带一路”倡议提出十周年。作为“一带一路”倡议的“总设计师”， 习近平主席在多个场合对“一带一路”建设的指导原则、丰富内涵、目标路径等进行了深刻阐述。 时 间,
2024丰台一模,Q18,yes,closed_by_v2_audit,absent,yes,no,CLOSED_EXCLUDED_BY_ADJUDICATION,产业链；高水平对外开放,no,yes,no,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx,当减轻被告乙某的赔偿责任。法院判决有利于维护双方合法权益，促进社会公平，对维持人 际关系和谐、弘扬社会主义核心价值观及减少交通拥堵、倡导绿色出行具有积极意义。 18.(16 分) (1)(7 分)可以从联系、发展、矛盾、唯物史观等角度作答。 等级水平 等级描述 水平 4 （6-7 分） 观点鲜明，能明确表达自己的见解；紧扣观点，综合运用所学知识展开论述；逻辑严密， 条理清晰 水平 3 （4-5 分） 观点比较明确，能表达自己的见解；能扣住观点展开论述，知识运用比较准确；逻辑性较 强，有条理 水平 2 （2-3 分） 观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理 性差 水平 1 （0-1 分） 应答与试题无关；或重复试题内容；或没有应答 (2)(9 分)畅通教育、科技、人才的良性,学生辩证思考问题的能力，可从对个人、对国家司法、对社会发展三个角度作答，涉及维护双方合法权益、保障公正司法、弘扬社会主义核心价值观等方面，每点1分，共3分。 18（1）新质生产力丰富发展了马克思主义生产力理论，深化了对生产力发展规律的认识。从哲学角度，谈谈你对新质生产力的理解。（7分） 参考答案： 可以从联系、发展、矛盾、唯物史观等角度作答。 等级水平 等级描述 水平4 （6—7分） 观点鲜明，能明确表达自己的见解；紧扣观点，综合运用所学知识展开论述；逻辑严密，条理清晰 水平3 （4—5分） 观点比较明确，能表达自己的见解；能扣住观点展开论述，知识运用比较准确；逻辑性较强，有条理 水平2 （2—3分） 观点不明确；论述不能集中指向问题，罗列知识；知识运用不正确；论述缺乏逻辑，条理性差 水平1 （0—1分） 应答
2024丰台一模,Q20,yes,closed_by_v2_audit,main,yes,no,CLOSED_MAIN_IN_CURRENT_SHA,当代国际政治与经济；国际政治与经济；中国力量；供应链；高水平对外开放,yes,no,no,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,,据上下文，将划线①处补充完整，使其成为一个符合逻辑规则的真判断。(2 分) （2）在划线②处补全两种具体研究方法，并运用科学思维知识分别说明理由。(6 分) 20.(7 分)让供应链成为国际合作的“共赢链”。 ➢ 中国已建成全球最大的高速铁路网、高速公路网、世界级港口群。 ➢ 中国发起设立国际金融机构及投资基金，加快供应链金融创新发展，助推全球供应链向广大发展中国 家延伸。 ➢ 首届中国国际供应链促进博览会共有 515 家中外企业和机构参展，共签署合作协议、意象协议 200 多 项，涉及金额 1500 多亿元人民币。 ➢ 中国大力推动和支持企业运用数字化技术、绿色低碳技术，有效解决全球供应链中的成本高、信息不 对称、环节不透明、流程不标准、管理不高效、发展不环保等痛点问题。 中国近年来在国际经济贸易与合作方面的,
2024丰台一模,Q21,yes,closed_by_v2_audit,main,yes,no,CLOSED_MAIN_IN_CURRENT_SHA,当代国际政治与经济；国际政治与经济；人类命运共同体；中国力量；联合国；供应链；和平与发展,yes,no,no,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,,"的决心与信心，为促进全 球供应链开放合作贡献了中国力量。 结合材料，运用《当代国际政治与经济》知识，说明我国的实践是如何推动供应链成为国际合作“共赢 链”的。 21.(8 分)和平、发展、公平、正义、民主、自由，是我们弘扬的全人类共同价值，彰显了中国共产党和中 国人民对人类前途命运高度负责的历史态度，具有深刻而丰富的思想理论内涵。 《尚书·尧典》有道：“克明俊德，以亲九族。九族既睦，平章百姓。百姓昭明，协和万邦。” 马克思、恩格斯曾深刻指出：“各民族的原始封闭状态由于日益完善的生产方式、交往以及因交往而自然 形成的不同民族之间的分工消灭得越是彻底，历史也就越是成为世界历史” “和平与发展是我们的共同事业，公平正义是我们的共同理想，民主自由是我们的共同追求。”这 3 个 “共同”,集中体现了各国人民对美好生活的共",
2024丰台二模,Q19,yes,closed_by_v2_audit,main,yes,no,CLOSED_MAIN_IN_CURRENT_SHA,当代国际政治与经济；国际政治与经济；经济全球化；全球治理；人类命运共同体；中国智慧；中国方案；中国力量；国际关系民主化；两个市场；两种资源；高水平对外开放,yes,yes,no,,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx,,业链、品牌能力、竞争力）1分 对外开放：高水平对外开放/国内国际双循环/新发展格局/国内国际两个市场两种资源/比较优势1分+材料如何加强对外合作与交流1分 19.结合材料，运用《当代国际政治与经济》知识，说明中国“答卷”如何彰显大国担当。（6分） 参考答案： 中国作为负责任大国，在面临气候变化的挑战中积极承担责任，发挥建设性作用；在保护环境方面，中国通过南南合作帮助发展中国家发展，贡献中国智慧、中国力量；中国通过区域合作，促进区域环境改善，构建人类命运共同体。 【拓展答案】： 完善全球治理。共商共建共享。合作共赢。 评分标准说明： 1.三个角度，每个角度2分，分析“做了什么，有怎样的效果或意义，从而彰显大国担当。 第一个角度：做法-中国怎么承担大国责任的，效果或意义-发挥建设性作用。 第二个角度：做法-中国怎么
2024朝阳一模,Q20,yes,new_or_unmatched_candidate_needs_triage,absent,no,no,,新型国际关系；人类命运共同体；和平共处五项原则,no,yes,no,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。 20.（9分） （1）（5分） 以上推理属于充分条件假言推理。 充分条件假言判断，前件真，后件一定真，后件假，前件一定假。 考古发掘中已发掘出地底下有大量炭化竹节，故后件假，则前件假，即该区域当时广泛生长着竹子，以上推理成立。 （2）（4分） ①只有A区域古代气候较为温暖，A区域古代才能广泛生长着竹子， ②古代A区域广泛生长着竹子，,平衡、解决信息不对称问题） 有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。（激发市场活力/社会和谐稳定） （写出以上任意1点给1分，总分不超过2分） 20（1）参考答案： 以上推理属于充分条件假言推理。 充分条件假言判断，前件真，后件一定真，后件假，前件一定假。 考古发掘中已发掘出地底下有大量炭化竹节，故后件假，则前件假，即该区域当时广泛生长着竹子，以上推理成立。 细则： 推理类型： 充分条件假言推理（1分），没有替代，其他表述都不给分。 理由：充分条件假言判断，前件真，后件一定真，后件假，前件一定假。（2分） 替代：肯定前件，就能肯定后件/肯定前件式/前真后必真 考古发掘中已发掘出地底下有大量炭化竹节，故后件假，则前件假，即该区域当时广泛生长着竹子，以上推理成立。（2分） 结合材料分析，踩意。 20
2024朝阳一模,Q21,yes,closed_by_v2_audit,main,yes,no,CLOSED_MAIN_IN_CURRENT_SHA,新型国际关系；高水平对外开放,no,no,no,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx,,件假，即该区域当时广泛生长着竹子，以上推理成立。 （2）（4分） ①只有A区域古代气候较为温暖，A区域古代才能广泛生长着竹子， ②古代A区域广泛生长着竹子， 21.（9分） 在概括我国经济形势的基础上，可从总体国家安全观、推动构建新型国际关系、构建新发展格局、推进高水平对外开放等角度作答。 等级水平 等 级 描 述 水平4 观点鲜明，能明确表达自己的见解；紧扣问题，准确运用相关知识，全面展开分析；逻辑严密，条理清晰 水平3 观点比较明确，能表达自己的见解；能扣住问题展开分析，知识运用比较准确；逻辑性较强，有条理 水平2 观点不明确；分析不能集中指向问题，罗列知识；知识运用不正确； 论述缺乏逻辑，条理性差 水平1 应答与试题无关；或重复试题内容；或没有应答 PAGE \* MERGEFORMAT2,
