file_id,file_path,failure_stage,failure_reason,suggested_fix
F0010,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0011,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0042,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0043,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0048,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0057,/Users/wanglifei/Desktop/2024模拟题/西城一模/其他材料/~$教学班报告--高三西城一模练习(政治)-高三年级政6.xlsx,extract,BadZipFile('File is not a zip file'),Open/render manually or convert with Office/OCR
F0060,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/补充材料/~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx,extract,"PackageNotFoundError(""Package not found at '/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/补充材料/~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx'"")",Open/render manually or convert with Office/OCR
F0066,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/补充材料/~$模拟测试思想政治试卷.docx,extract,"PackageNotFoundError(""Package not found at '/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/补充材料/~$模拟测试思想政治试卷.docx'"")",Open/render manually or convert with Office/OCR
F0082,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/其他材料/高三政治一模试卷讲评.pptx,extract,"XMLSyntaxError('Namespace prefix w for pos on tab is not defined, line 1, column 1202')",Open/render manually or convert with Office/OCR
F0083,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/细则.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0118,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/试卷/补充材料/扫描全能王 2025-05-13 21.42.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0123,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0134,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/细则/细则.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0152,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/细则.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0154,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/补充材料/2026东城一模 原卷扫描版.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
