题目标题,所在六要素,所在小框架,所在答题术语,设问,材料触发点,答案落点,是否挂错,建议归位,处理方式
2026朝阳期末 第20题,时代背景,机遇,和平与发展是时代的主题,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。,要求说明中国特色大国外交为什么要更有作为 先要求判断国际背景和时代主题。,和平与发展是当今时代主题，中国特色大国外交主动作为顺应世界发展大势并服务国家发展大局。,否,保留当前位置,已核对，未发现需要迁移。
2025西城期末 第20题第（2）问,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义,欧盟决定对从中国进口的纯电动汽车征收为期五年的高额反补贴税。中国汽车企业该如何应对？,题目呈现欧盟作为主要出口市场且突然提高贸易壁垒 引出市场多元化和海外合作布局。,欧盟对中国电动汽车征收高额反补贴税，本质上是贸易保护主义，会扭曲国际市场竞争，不利于正常经贸往来。,否,若写企业应对做法，应归经济全球化的开或贸资；本轮仅保留其贸易保护主义识别功能。,保留在政治多极化 -> 单边，但答案落点只写欧盟反补贴税属于贸易保护主义，不再写企业出口市场多元化、走出去、投资设厂。
2024东城二模 第20题,中国,责任,承担大国责任 / 发挥建设性作用 / 世界第一大发展中国家 / 世界第二大经济体,结合材料，运用《当代国际政治与经济》知识，说明中国的“三大倡议”如何助力人类走向美好未来。,要求说明三大倡议如何助力人类未来 材料先铺发展安全文明挑战 后要求总论现实意义。,中国承担大国责任、发挥建设性作用，三大倡议如何助力人类未来材料先铺发展安全文明挑战后要求总论现实意义展现负责任大国担当。,否,保留当前位置,已核对，未发现需要迁移。
2025延庆一模 第20题第（2）问,理论,共同利益,共同利益是国家间合作的基础,假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对“脱钩断链”相关提问做出回应。,回应脱钩断链，要先判断全球供应链稳定为何符合各方利益，引出共同利益与时代主题。,维护全球产供链韧性和稳定是推动世界经济可持续发展的重要保障，符合国际社会共同利益，顺应和平与发展时代主题。,否,保留当前位置,已核对，未发现需要迁移。
2026朝阳期末 第20题,理论,共同利益,维护本国利益的同时兼顾他国合理关切,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。,材料写海外安全保障体系和维护国家利益 从国家利益角度引出国家利益理论。,中国特色大国外交既要维护我国主权、安全、发展利益和海外利益，也要在开放合作中兼顾各方合理关切，为推进中国式现代化营造稳定外部环境。,否,理论 -> 共同利益 -> 维护本国利益的同时兼顾他国合理关切,不新增“国家利益是国际关系决定性因素”术语；只在答案落点中作为维护本国利益的理论补充，并回扣兼顾他国合理关切。
2025西城期末 第20题第（2）问,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放,欧盟决定对从中国进口的纯电动汽车征收为期五年的高额反补贴税。中国汽车企业该如何应对？,欧盟对中国电动汽车征收高额反补贴税，要求说明中国汽车企业如何应对外部贸易壁垒，说明国际规则和争端解决渠道，但不能写成企业直接行使国际组织成员权利。,欧盟对中国电动汽车征收高额反补贴税，要求说明中国汽车企业如何应对外部贸易壁垒，说明国际规则和争端解决渠道，但…有利于发展更高层次的开放型经济，推进我国高水平对外开放。,否,经济全球化 -> 开,保留企业应对外部贸易壁垒的开放和规则应对表达。
2026朝阳期末 第20题,经济全球化,开,发展更高层次的开放型经济 / 坚持引进来和走出去相结合 / 推进我国高水平对外开放,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。,材料写维护以世贸组织为核心的多边贸易体制和拓展贸易投资自由化便利化 回答经济方面引出全球化与反保护主义。,维护以世贸组织为核心的多边贸易体制和拓展贸易投资自由化便利化回答经济方面有利于发展更高层次的开放型经济，推进我国高水平对外开放。,否,保留当前位置,已核对，未发现需要迁移。
2025延庆一模 第20题第（2）问,经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展,假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对“脱钩断链”相关提问做出回应。,链博会和自贸协定说明中国用开放合作回应逆全球化，引出推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展完整五词。,中国坚持高质量发展和高水平对外开放，推动经济全球化朝着开放、包容、普惠、平衡、共赢方向发展。,否,保留当前位置,已核对，未发现需要迁移。
2026朝阳期末 第20题,政治多极化,民主,推动国际关系民主化,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。,材料写为构建周边命运共同体和全球南方共同迈向现代化汇聚力量 引出命运共同体和全球治理目标。；材料写全球南方联合自强和金砖扩员 回答政治方面为什么更有作为引出反霸权与国际关系民主化。,中国推动构建周边命运共同体并支持发展中国家联合自强体现国际事务应由各国平等参与、共同商量，推动国际关系民主化。；全球南方联合自强和金砖扩员回答政治方面为什么更有作为体现国际事务应由各国平等参与、共同商量，推动国际关系民主化。,否,保留当前位置,已核对，未发现需要迁移。
2026朝阳期末 第20题,政治多极化,单边,反对单边主义和贸易保护主义 / 反对霸权主义和强权政治 / 坚持真正的多边主义,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。,材料写为构建周边命运共同体和全球南方共同迈向现代化汇聚力量 引出命运共同体和全球治理目标。；材料写全球南方联合自强和金砖扩员 回答政治方面为什么更有作为引出反霸权与国际关系民主化。,面对中国推动构建周边命运共同体并支持发展中国家联合自强，我国反对单边主义和贸易保护主义，反对霸权主义和强权政治，主张坚持真正的多边主义。；面对单边主义和霸权强权，中国特色大国外交推动多极化进程，提升发展中国家代表性和话语权，维护发展中国家利益并促进全球南方联合自强。,否,保留当前位置,已核对，未发现需要迁移。
